"asset_size_code","description","year"
12,"All total asset sizes (universe totals)",1975
1,"Total assets under $1 million",1976
2,"Total assets $1 million to $5 million",1976
3,"Total assets $5 million to $10 million",1976
4,"Total assets $10 million to less than $25 million",1976
5,"Total assets under $5 million",1976
6,"Total assets  $5 million and over",1976
7,"Total assets $25 million to less than $50 million",1976
8,"Total assets $50 million to less than $100 million",1976
9,"Total assets $100 million to less than $250 million",1976
10,"Total assets $250 million to less than $1 billion",1976
11,"Total assets $1 billion and over",1976
12,"All total asset sizes (universe totals)",1976
1,"Total assets under $5 million",1977
2,"Total assets $5 million to $10 million",1977
3,"Total assets $10 million to less than $25 million",1977
4,"Total assets  $5 million and over",1977
6,"Total assets $25 million to less than $50 million",1977
7,"Total assets $50 million to less than $100 million",1977
8,"Total assets $100 million to less than $250 million",1977
9,"Total assets $250 million to less than $1,000 million",1977
10,"Total assets $1,000 million and over",1977
11,"All total asset sizes (universe totals)",1977
1,"Total assets under $5 million",1978
2,"Total assets $5 million to $10 million",1978
3,"Total assets $10 million to less than $25 million",1978
4,"Total assets  $5 million and over",1978
6,"Total assets $25 million to less than $50 million",1978
7,"Total assets $50 million to less than $100 million",1978
8,"Total assets $100 million to less than $250 million",1978
9,"Total assets $250 million to less than $1 billion",1978
10,"Total assets $1 billion and over",1978
11,"All total asset sizes (universe totals)",1978
1,"Total assets under $5 million",1979
2,"Total assets $5 million to $10 million",1979
3,"Total assets $10 million to less than $25 million",1979
4,"Total assets  $5 million and over",1979
6,"Total assets $25 million to less than $50 million",1979
7,"Total assets $50 million to less than $100 million",1979
8,"Total assets $100 million to less than $250 million",1979
9,"Total assets $250 million to less than $1 billion",1979
10,"Total assets $1 billion and over",1979
11,"All total asset sizes (universe totals)",1979
1,"Total assets under $5 million",1980
2,"Total assets $5 million and over",1980
3,"Total assets $5 million to less than $10 million",1980
4,"Total assets $10 million to less than $25 million",1980
5,"Total assets under $25 million",1980
6,"Total assets $25 million and over",1980
7,"Total assets $25 million to less than $50 million",1980
8,"Total assets $50 million to less than $100 million",1980
9,"Total assets $100 million to less than $250 million",1980
10,"Total assets $250 million to less than $1 billion",1980
11,"Total assets $1 billion and over",1980
12,"All total asset sizes (universe totals)",1980
1,"Total assets under $5 million",1981
2,"Total assets $5 million to less than $10 million",1981
3,"Total assets $10 million to less than $25 million",1981
4,"Total assets under $25 million",1981
5,"Total assets $25 million and over",1981
6,"Total assets $25 million to less than $50 million",1981
7,"Total assets $50 million to less than $100 million",1981
8,"Total assets $100 million to less than $250 million",1981
9,"Total assets $250 million to less than $1 billion",1981
10,"Total assets $1 billion and over",1981
11,"All total asset sizes (universe totals)",1981
1,"Total assets under $5 million",1982
2,"Total assets $5 million to less than $10 million",1982
3,"Total assets $10 million to less than $25 million",1982
4,"Total assets under $25 million",1982
5,"Total assets $25 million and over",1982
6,"Total assets $25 million to less than $50 million",1982
7,"Total assets $50 million to less than $100 million",1982
8,"Total assets $100 million to less than $250 million",1982
9,"Total assets $250 million to less than $1 billion",1982
10,"Total assets $1 billion and over",1982
11,"All total asset sizes (universe totals)",1982
1,"Total assets under $5 million",1983
2,"Total assets $5 million to less than $10 million",1983
3,"Total assets $10 million to less than $25 million",1983
4,"Total assets under $25 million",1983
5,"Total assets $25 million and over",1983
6,"Total assets $25 million to less than $50 million",1983
7,"Total assets $50 million to less than $100 million",1983
8,"Total assets $100 million to less than $250 million",1983
9,"Total assets $250 million to less than $1 billion",1983
10,"Total assets $1 billion and over",1983
11,"All total asset sizes (universe totals)",1983
1,"Total assets under $5 million",1984
2,"Total assets $5 million to less than $10 million",1984
3,"Total assets $10 million to less than $25 million",1984
4,"Total assets under $25 million",1984
5,"Total assets $25 million and over",1984
6,"Total assets $25 million to less than $50 million",1984
7,"Total assets $50 million to less than $100 million",1984
8,"Total assets $100 million to less than $250 million",1984
9,"Total assets $250 million to less than $1 billion",1984
10,"Total assets $1 billion and over",1984
11,"All total asset sizes (universe totals)",1984
1,"Total assets under $5 million",1985
2,"Total assets $5 million to less than $10 million",1985
3,"Total assets $10 million to less than $25 million",1985
4,"Total assets under $25 million",1985
5,"Total assets $25 million and over",1985
6,"Total assets $25 million to less than $50 million",1985
7,"Total assets $50 million to less than $100 million",1985
8,"Total assets $100 million to less than $250 million",1985
9,"Total assets $250 million to less than $1 billion",1985
10,"Total assets $1 billion and over",1985
11,"All total asset sizes (universe totals)",1985
1,"Total assets under $5 million",1986
2,"Total assets $5 million to less than $10 million",1986
3,"Total assets $10 million to less than $25 million",1986
4,"Total assets under $25 million",1986
5,"Total assets $25 million and over",1986
6,"Total assets $25 million to less than $50 million",1986
7,"Total assets $50 million to less than $100 million",1986
8,"Total assets $100 million to less than $250 million",1986
9,"Total assets $250 million to less than $1 billion",1986
10,"Total assets $1 billion and over",1986
11,"All total asset sizes (universe totals)",1986
1,"Total assets under $5 million",1987
2,"Total assets $5 million to less than $10 million",1987
3,"Total assets $10 million to less than $25 million",1987
4,"Total assets under $25 million",1987
5,"Total assets $25 million and over",1987
6,"Total assets $25 million to less than $50 million",1987
7,"Total assets $50 million to less than $100 million",1987
8,"Total assets $100 million to less than $250 million",1987
9,"Total assets $250 million to less than $1 billion",1987
10,"Total assets $1 billion and over",1987
11,"All total asset sizes (universe totals)",1987
1,"Total assets under $5 million",1988
2,"Total assets $5 million to less than $10 million",1988
3,"Total assets $10 million to less than $25 million",1988
4,"Total assets under $25 million",1988
5,"Total assets $25 million and over",1988
6,"Total assets $25 million to less than $50 million",1988
7,"Total assets $50 million to less than $100 million",1988
8,"Total assets $100 million to less than $250 million",1988
9,"Total assets $250 million to less than $1 billion",1988
10,"Total assets $1 billion and over",1988
11,"All total asset sizes (universe totals)",1988
1,"Total assets under $5 million",1989
2,"Total assets $5 million to less than $10 million",1989
3,"Total assets $10 million to less than $25 million",1989
4,"Total assets under $25 million",1989
5,"Total assets $25 million and over",1989
6,"Total assets $25 million to less than $50 million",1989
7,"Total assets $50 million to less than $100 million",1989
8,"Total assets $100 million to less than $250 million",1989
9,"Total assets $250 million to less than $1 billion",1989
10,"Total assets $1 billion and over",1989
11,"All total asset sizes (universe totals)",1989
1,"Total assets under $5 million",1990
2,"Total assets $5 million to less than $10 million",1990
3,"Total assets $10 million to less than $25 million",1990
4,"Total assets under $25 million",1990
5,"Total assets $25 million and over",1990
6,"Total assets $25 million to less than $50 million",1990
7,"Total assets $50 million to less than $100 million",1990
8,"Total assets $100 million to less than $250 million",1990
9,"Total assets $250 million to less than $1 billion",1990
10,"Total assets $1 billion and over",1990
11,"All total asset sizes (universe totals)",1990
1,"Total assets under $5 million",1991
2,"Total assets $5 million to less than $10 million",1991
3,"Total assets $10 million to less than $25 million",1991
4,"Total assets under $25 million",1991
5,"Total assets $25 million and over",1991
6,"Total assets $25 million to less than $50 million",1991
7,"Total assets $50 million to less than $100 million",1991
8,"Total assets $100 million to less than $250 million",1991
9,"Total assets $250 million to less than $1 billion",1991
10,"Total assets $1 billion and over",1991
11,"All total asset sizes (universe totals)",1991
1,"Total assets under $5 million",1992
2,"Total assets $5 million to less than $10 million",1992
3,"Total assets $10 million to less than $25 million",1992
4,"Total assets under $25 million",1992
5,"Total assets $25 million and over",1992
6,"Total assets $25 million to less than $50 million",1992
7,"Total assets $50 million to less than $100 million",1992
8,"Total assets $100 million to less than $250 million",1992
9,"Total assets $250 million to less than $1 billion",1992
10,"Total assets $1 billion and over",1992
11,"All total asset sizes (universe totals)",1992
1,"Total assets under $5 million",1993
2,"Total assets $5 million to less than $10 million",1993
3,"Total assets $10 million to less than $25 million",1993
4,"Total assets under $25 million",1993
5,"Total assets $25 million and over",1993
6,"Total assets $25 million to less than $50 million",1993
7,"Total assets $50 million to less than $100 million",1993
8,"Total assets $100 million to less than $250 million",1993
9,"Total assets $250 million to less than $1 billion",1993
10,"Total assets $1 billion and over",1993
11,"All total asset sizes (universe totals)",1993
1,"Total assets under $5 million",1994
2,"Total assets $5 million to less than $10 million",1994
3,"Total assets $10 million to less than $25 million",1994
4,"Total assets under $25 million",1994
5,"Total assets $25 million and over",1994
6,"Total assets $25 million to less than $50 million",1994
7,"Total assets $50 million to less than $100 million",1994
8,"Total assets $100 million to less than $250 million",1994
9,"Total assets $250 million to less than $1 billion",1994
10,"Total assets $1 billion and over",1994
11,"All total asset sizes (universe totals)",1994
1,"Total assets under $5 million",1995
2,"Total assets $5 million to less than $10 million",1995
3,"Total assets $10 million to less than $25 million",1995
4,"Total assets under $25 million",1995
5,"Total assets $25 million and over",1995
6,"Total assets $25 million to less than $50 million",1995
7,"Total assets $50 million to less than $100 million",1995
8,"Total assets $100 million to less than $250 million",1995
9,"Total assets $250 million to less than $1 billion",1995
10,"Total assets $1 billion and over",1995
11,"All total asset sizes (universe totals)",1995
1,"Total assets under $5 million",1996
2,"Total assets $5 million to less than $10 million",1996
3,"Total assets $10 million to less than $25 million",1996
4,"Total assets under $25 million",1996
5,"Total assets $25 million and over",1996
6,"Total assets $25 million to less than $50 million",1996
7,"Total assets $50 million to less than $100 million",1996
8,"Total assets $100 million to less than $250 million",1996
9,"Total assets $250 million to less than $1 billion",1996
10,"Total assets $1 billion and over",1996
11,"All total asset sizes (universe totals)",1996
1,"Total assets under $5 million",1997
2,"Total assets $5 million to less than $10 million",1997
3,"Total assets $10 million to less than $25 million",1997
4,"Total assets under $25 million",1997
5,"Total assets $25 million and over",1997
6,"Total assets $25 million to less than $50 million",1997
7,"Total assets $50 million to less than $100 million",1997
8,"Total assets $100 million to less than $250 million",1997
9,"Total assets $250 million to less than $1 billion",1997
10,"Total assets $1 billion and over",1997
11,"All total asset sizes (universe totals)",1997
1,"Total assets under $5 million",1998
2,"Total assets $5 million to less than $10 million",1998
3,"Total assets $10 million to less than $25 million",1998
4,"Total assets under $25 million",1998
5,"Total assets $25 million and over",1998
6,"Total assets $25 million to less than $50 million",1998
7,"Total assets $50 million to less than $100 million",1998
8,"Total assets $100 million to less than $250 million",1998
9,"Total assets $250 million to less than $1 billion",1998
10,"Total assets $1 billion and over",1998
11,"All total asset sizes (universe totals)",1998
1,"Total assets under $5 million",1999
2,"Total assets $5 million to less than $10 million",1999
3,"Total assets $10 million to less than $25 million",1999
4,"Total assets under $25 million",1999
5,"Total assets $25 million and over",1999
6,"Total assets $25 million to less than $50 million",1999
7,"Total assets $50 million to less than $100 million",1999
8,"Total assets $100 million to less than $250 million",1999
9,"Total assets $250 million to less than $1 billion",1999
10,"Total assets $1 billion and over",1999
11,"All total asset sizes (universe totals)",1999
1,"Total assets under $5 million",2000
2,"Total assets $5 million to less than $10 million",2000
3,"Total assets $10 million to less than $25 million",2000
4,"Total assets under $25 million",2000
5,"Total assets $25 million and over",2000
6,"Total assets $25 million to less than $50 million",2000
7,"Total assets $50 million to less than $100 million",2000
8,"Total assets $100 million to less than $250 million",2000
9,"Total assets $250 million to less than $1 billion",2000
10,"Total assets $1 billion and over",2000
11,"All total asset sizes (universe totals)",2000
1,"Total assets under $5 million",2001
2,"Total assets $5 million to less than $10 million",2001
3,"Total assets $10 million to less than $25 million",2001
4,"Total assets under $25 million",2001
5,"Total assets $25 million and over",2001
6,"Total assets $25 million to less than $50 million",2001
7,"Total assets $50 million to less than $100 million",2001
8,"Total assets $100 million to less than $250 million",2001
9,"Total assets $250 million to less than $1 billion",2001
10,"Total assets $1 billion and over",2001
11,"All total asset sizes (universe totals)",2001
1,"Total assets under $5 million",2002
2,"Total assets $5 million to less than $10 million",2002
3,"Total assets $10 million to less than $25 million",2002
4,"Total assets under $25 million",2002
5,"Total assets $25 million and over",2002
6,"Total assets $25 million to less than $50 million",2002
7,"Total assets $50 million to less than $100 million",2002
8,"Total assets $100 million to less than $250 million",2002
9,"Total assets $250 million to less than $1 billion",2002
10,"Total assets $1 billion and over",2002
11,"All total asset sizes (universe totals)",2002
1,"Total assets under $5 million",2003
2,"Total assets $5 million to less than $10 million",2003
3,"Total assets $10 million to less than $25 million",2003
4,"Total assets under $25 million",2003
5,"Total assets $25 million and over",2003
6,"Total assets $25 million to less than $50 million",2003
7,"Total assets $50 million to less than $100 million",2003
8,"Total assets $100 million to less than $250 million",2003
9,"Total assets $250 million to less than $1 billion",2003
10,"Total assets $1 billion and over",2003
11,"All total asset sizes (universe totals)",2003
1,"Total assets under $5 million",2004
2,"Total assets $5 million to less than $10 million",2004
3,"Total assets $10 million to less than $25 million",2004
4,"Total assets under $25 million",2004
5,"Total assets $25 million and over",2004
6,"Total assets $25 million to less than $50 million",2004
7,"Total assets $50 million to less than $100 million",2004
8,"Total assets $100 million to less than $250 million",2004
9,"Total assets $250 million to less than $1 billion",2004
10,"Total assets $1 billion and over",2004
11,"All total asset sizes (universe totals)",2004
1,"Total assets under $5 million",2005
2,"Total assets $5 million to less than $10 million",2005
3,"Total assets $10 million to less than $25 million",2005
4,"Total assets under $25 million",2005
5,"Total assets $25 million and over",2005
6,"Total assets $25 million to less than $50 million",2005
7,"Total assets $50 million to less than $100 million",2005
8,"Total assets $100 million to less than $250 million",2005
9,"Total assets $250 million to less than $1 billion",2005
10,"Total assets $1 billion and over",2005
11,"All total asset sizes (universe totals)",2005
1,"Total assets under $5 million",2006
2,"Total assets $5 million to less than $10 million",2006
3,"Total assets $10 million to less than $25 million",2006
4,"Total assets under $25 million",2006
5,"Total assets $25 million and over",2006
6,"Total assets $25 million to less than $50 million",2006
7,"Total assets $50 million to less than $100 million",2006
8,"Total assets $100 million to less than $250 million",2006
9,"Total assets $250 million to less than $1 billion",2006
10,"Total assets $1 billion and over",2006
11,"All total asset sizes (universe totals)",2006
1,"Total assets under $5 million",2007
2,"Total assets $5 million to less than $10 million",2007
3,"Total assets $10 million to less than $25 million",2007
4,"Total assets under $25 million",2007
5,"Total assets $25 million and over",2007
6,"Total assets $25 million to less than $50 million",2007
7,"Total assets $50 million to less than $100 million",2007
8,"Total assets $100 million to less than $250 million",2007
9,"Total assets $250 million to less than $1 billion",2007
10,"Total assets $1 billion and over",2007
11,"All total asset sizes (universe totals)",2007
1,"Total assets under $5 million",2008
2,"Total assets $5 million to less than $10 million",2008
3,"Total assets $10 million to less than $25 million",2008
4,"Total assets under $25 million",2008
5,"Total assets $25 million and over",2008
6,"Total assets $25 million to less than $50 million",2008
7,"Total assets $50 million to less than $100 million",2008
8,"Total assets $100 million to less than $250 million",2008
9,"Total assets $250 million to less than $1 billion",2008
10,"Total assets $1 billion and over",2008
