"columns","QFR_industry_code","QFR_industry_title","standard_industry_code","year","standard_code_type"
"S","31","Leather and Leather Products","3111 - 3199",1970,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1970,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1970,"SIC_1987"
"V","34","Fabricated Metal Products","3411 - 3499",1970,"SIC_1987"
"W","35","Machinery, Except Electrical","3511 - 3599",1970,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1970,"SIC_1987"
"Y","36","Electrical and Electronic Equipment","3612 - 3699",1970,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1970,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1970,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1970,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1970,"SIC_1987"
"AD","39","Miscellaneous Manufacturing","3911 - 3999",1970,"SIC_1987"
"AE - AG","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1970,"SIC_1987"
"AH - AJ","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1970,"SIC_1987"
"AK - AS","20.-39.","All Manufacturing","2011 - 3999",1970,"SIC_1987"
"AT","331","Primaary Iron and Steel","3312 - 3325, 3398 - 3399",1970,"SIC_1987"
"AU","333","Primary Nonferrous Metals","3331 - 3369",1970,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1971,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1971,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1971,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1971,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1971,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1971,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1971,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1971,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1971,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1971,"SIC_1987"
"L","27","Printing and Publishing","2711 - 2796",1971,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1971,"SIC_1987"
"N","281","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1971,"SIC_1987"
"O","283","Drugs","2833 - 2836",1971,"SIC_1987"
"P","29","Petroleum Refining and related industries","2911 - 2999",1971,"SIC_1987"
"Q","291","Petroleum Refining","2911",1971,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1971,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1971,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1971,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1971,"SIC_1987"
"V","34","Fabricated Metal Products","3411 - 3499",1971,"SIC_1987"
"W","35","Machinery, Except Electrical","3511 - 3599",1971,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1971,"SIC_1987"
"Y","36","Electrical and Electronic Equipment","3612 - 3699",1971,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1971,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1971,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1971,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1971,"SIC_1987"
"AD","39","Miscellaneous Manufacturing","3911 - 3999",1971,"SIC_1987"
"AE - AG","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1971,"SIC_1987"
"AH - AJ","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1971,"SIC_1987"
"AK - AS","20.-39.","All Manufacturing","2011 - 3999",1971,"SIC_1987"
"AT","331","Primaary Iron and Steel","3312 - 3325, 3398 - 3399",1971,"SIC_1987"
"AU","333","Primary Nonferrous Metals","3331 - 3369",1971,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1972,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1972,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1972,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1972,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1972,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1972,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1972,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1972,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1972,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1972,"SIC_1987"
"L","27","Printing and Publishing","2711 - 2796",1972,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1972,"SIC_1987"
"N","281","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1972,"SIC_1987"
"O","283","Drugs","2833 - 2836",1972,"SIC_1987"
"P","29","Petroleum Refining and related industries","2911 - 2999",1972,"SIC_1987"
"Q","291","Petroleum Refining","2911",1972,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1972,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1972,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1972,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1972,"SIC_1987"
"V","34","Fabricated Metal Products","3411 - 3499",1972,"SIC_1987"
"W","35","Machinery, Except Electrical","3511 - 3599",1972,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1972,"SIC_1987"
"Y","36","Electrical and Electronic Equipment","3612 - 3699",1972,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1972,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1972,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1972,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1972,"SIC_1987"
"AD","39","Miscellaneous Manufacturing","3911 - 3999",1972,"SIC_1987"
"AE - AG","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1972,"SIC_1987"
"AH - AJ","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1972,"SIC_1987"
"AK - AT","20.-39.","All Manufacturing","2011 - 3999",1972,"SIC_1987"
"AU","331","Primaary Iron and Steel","3312 - 3325, 3398 - 3399",1972,"SIC_1987"
"AV","333","Primary Nonferrous Metals","3331 - 3369",1972,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1973,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1973,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1973,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1973,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1973,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1973,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1973,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1973,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1973,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1973,"SIC_1987"
"L","27","Printing and Publishing","2711 - 2796",1973,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1973,"SIC_1987"
"N","281","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1973,"SIC_1987"
"O","283","Drugs","2833 - 2836",1973,"SIC_1987"
"P","29","Petroleum Refining and related industries","2911 - 2999",1973,"SIC_1987"
"Q","291","Petroleum Refining","2911",1973,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1973,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1973,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1973,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1973,"SIC_1987"
"V","34","Fabricated Metal Products","3411 - 3499",1973,"SIC_1987"
"W","35","Machinery, Except Electrical","3511 - 3599",1973,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1973,"SIC_1987"
"Y","36","Electrical and Electronic Equipment","3612 - 3699",1973,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1973,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1973,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1973,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1973,"SIC_1987"
"AD","39","Miscellaneous Manufacturing","3911 - 3999",1973,"SIC_1987"
"AE - AG","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1973,"SIC_1987"
"AH - AJ","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1973,"SIC_1987"
"AK - AS","20.-39.","All Manufacturing","2011 - 3999",1973,"SIC_1987"
"AT","331","Primaary Iron and Steel","3312 - 3325, 3398 - 3399",1973,"SIC_1987"
"AU","333","Primary Nonferrous Metals","3331 - 3369",1973,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1974,"SIC_1987"
"C","21","Tobacco Manufactures","2101 - 2141",1974,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1974,"SIC_1987"
"E","26","Paper and Allied Products","2611 - 2679",1974,"SIC_1987"
"F","27","Printing and Publishing","2711 - 2796",1974,"SIC_1987"
"G","28","Chemicals and Allied Products","2812 - 2899",1974,"SIC_1987"
"H","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1974,"SIC_1987"
"I","28.300000000000001","Drugs","2833 - 2836",1974,"SIC_1987"
"J","29","Petroleum and Coal Products","2911 - 2999",1974,"SIC_1987"
"K","30","Rubber and Misc. Plastics Products","3011 - 3089",1974,"SIC_1987"
"L","32","Stone, Clay, and Glass Products","3211 - 3299",1974,"SIC_1987"
"M","33","Primary Metal Industries","3312 - 3399",1974,"SIC_1987"
"N","34","Fabricated Metal Products","3411 - 3499",1974,"SIC_1987"
"O","35","Machinery, Except Electrical","3511 - 3599",1974,"SIC_1987"
"P","36","Electrical and Electronic Equipment","3612 - 3699",1974,"SIC_1987"
"Q","37","Transportation Equipment","3711 - 3799",1974,"SIC_1987"
"R","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1974,"SIC_1987"
"S","37.700000000000003","Aircraft, Guided Missiles, and Parts","3721 - 3728, 3761 - 3769",1974,"SIC_1987"
"T","38","Instruments and Related Products","3812 - 3873",1974,"SIC_1987"
"U - W","98","All Nondurable Manufacturing Corporations","2011 - 2399, 2611 - 3199",1974,"SIC_1987"
"X","98.099999999999994","Other Nondurable Manufacturing Products","2311 - 2399, 3111 - 3199",1974,"SIC_1987"
"Y - AA","99","All Durable Manufacturing Corporations","2411 - 2599, 3211 - 3999",1974,"SIC_1987"
"AB","99.099999999999994","Other Durable Manufacturing Products","2411 - 2599, 3911 - 3999",1974,"SIC_1987"
"AC","10.-14.","All Mining Corporations","1011 - 1499",1974,"SIC_1987"
"AD - AM","20.-39.","All Manufacturing Corporations","2011 - 3999",1974,"SIC_1987"
"AN","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1974,"SIC_1987"
"AO","33.5-33.6","Nonferrous Metals","3331 - 3369",1974,"SIC_1987"
"AP","50.-51.","All Wholesale Trade Corporations","5012 - 5199",1974,"SIC_1987"
"AQ","53.-59.","All Retail Trade Corporations","5311 - 5999",1974,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1975,"SIC_1987"
"C","21","Tobacco Manufactures","2101 - 2141",1975,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1975,"SIC_1987"
"E","26","Paper and Allied Products","2611 - 2679",1975,"SIC_1987"
"F","27","Printing and Publishing","2711 - 2796",1975,"SIC_1987"
"G","28","Chemicals and Allied Products","2812 - 2899",1975,"SIC_1987"
"H","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1975,"SIC_1987"
"I","28.300000000000001","Drugs","2833 - 2836",1975,"SIC_1987"
"J","29","Petroleum and Coal Products","2911 - 2999",1975,"SIC_1987"
"K","30","Rubber and Misc. Plastics Products","3011 - 3089",1975,"SIC_1987"
"L","32","Stone, Clay, and Glass Products","3211 - 3299",1975,"SIC_1987"
"M","33","Primary Metal Industries","3312 - 3399",1975,"SIC_1987"
"N","34","Fabricated Metal Products","3411 - 3499",1975,"SIC_1987"
"O","35","Machinery, Except Electrical","3511 - 3599",1975,"SIC_1987"
"P","36","Electrical and Electronic Equipment","3612 - 3699",1975,"SIC_1987"
"Q","37","Transportation Equipment","3711 - 3799",1975,"SIC_1987"
"R","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1975,"SIC_1987"
"S","37.700000000000003","Aircraft, Guided Missiles, and Parts","3721 - 3728, 3761 - 3769",1975,"SIC_1987"
"T","38","Instruments and Related Products","3812 - 3873",1975,"SIC_1987"
"U - W","98","All Nondurable Manufacturing Corporations","2011 - 2399, 2611 - 3199",1975,"SIC_1987"
"X","98.099999999999994","Other Nondurable Manufacturing Products","2311 - 2399, 3111 - 3199",1975,"SIC_1987"
"Y - AA","99","All Durable Manufacturing Corporations","2411 - 2599, 3211 - 3999",1975,"SIC_1987"
"AB","99.099999999999994","Other Durable Manufacturing Products","2411 - 2599, 3911 - 3999",1975,"SIC_1987"
"AC","10.-14.","All Mining Corporations","1011 - 1499",1975,"SIC_1987"
"AD - AM","20.-39.","All Manufacturing Corporations","2011 - 3999",1975,"SIC_1987"
"AN","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1975,"SIC_1987"
"AO","33.5-33.6","Nonferrous Metals","3331 - 3369",1975,"SIC_1987"
"AP","50.-51.","All Wholesale Trade Corporations","5012 - 5199",1975,"SIC_1987"
"AQ","53.-59.","All Retail Trade Corporations","5311 - 5999",1975,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1976,"SIC_1987"
"C","21","Tobacco Manufactures","2101 - 2141",1976,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1976,"SIC_1987"
"E","26","Paper and Allied Products","2611 - 2679",1976,"SIC_1987"
"F","27","Printing and Publishing","2711 - 2796",1976,"SIC_1987"
"G","28","Chemicals and Allied Products","2812 - 2899",1976,"SIC_1987"
"H","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1976,"SIC_1987"
"I","28.300000000000001","Drugs","2833 - 2836",1976,"SIC_1987"
"J","29","Petroleum and Coal Products","2911 - 2999",1976,"SIC_1987"
"K","30","Rubber and Misc. Plastics Products","3011 - 3089",1976,"SIC_1987"
"L","32","Stone, Clay, and Glass Products","3211 - 3299",1976,"SIC_1987"
"M","33","Primary Metal Industries","3312 - 3399",1976,"SIC_1987"
"N","34","Fabricated Metal Products","3411 - 3499",1976,"SIC_1987"
"O","35","Machinery, Except Electrical","3511 - 3599",1976,"SIC_1987"
"P","36","Electrical and Electronic Equipment","3612 - 3699",1976,"SIC_1987"
"Q","37","Transportation Equipment","3711 - 3799",1976,"SIC_1987"
"R","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1976,"SIC_1987"
"S","37.700000000000003","Aircraft, Guided Missiles, and Parts","3721 - 3728, 3761 - 3769",1976,"SIC_1987"
"T","38","Instruments and Related Products","3812 - 3873",1976,"SIC_1987"
"U - W","98","All Nondurable Manufacturing Corporations","2011 - 2399, 2611 - 3199",1976,"SIC_1987"
"X","98.099999999999994","Other Nondurable Manufacturing Products","2311 - 2399, 3111 - 3199",1976,"SIC_1987"
"Y - AA","99","All Durable Manufacturing Corporations","2411 - 2599, 3211 - 3999",1976,"SIC_1987"
"AB","99.099999999999994","Other Durable Manufacturing Products","2411 - 2599, 3911 - 3999",1976,"SIC_1987"
"AC","10.-14.","All Mining Corporations","1011 - 1499",1976,"SIC_1987"
"AD - AM","20.-39.","All Manufacturing Corporations","2011 - 3999",1976,"SIC_1987"
"AN","33.1,2","Iron and Steel","3312 - 3325, 3398 - 3399",1976,"SIC_1987"
"AO","33.5,6","Nonferrous Metals","3331 - 3369",1976,"SIC_1987"
"AP","50.-51.","All Wholesale Trade Corporations","5012 - 5199",1976,"SIC_1987"
"AQ","53.-59.","All Retail Trade Corporations","5311 - 5999",1976,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1977,"SIC_1987"
"C","21","Tobacco Manufactures","2101 - 2141",1977,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1977,"SIC_1987"
"E","26","Paper and Allied Products","2611 - 2679",1977,"SIC_1987"
"F","27","Printing and Publishing","2711 - 2796",1977,"SIC_1987"
"G","28","Chemicals and Allied Products","2812 - 2899",1977,"SIC_1987"
"H","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1977,"SIC_1987"
"I","28.300000000000001","Drugs","2833 - 2836",1977,"SIC_1987"
"J","29","Petroleum and Coal Products","2911 - 2999",1977,"SIC_1987"
"K","30","Rubber and Miscellaneous Plastics Products","3011 - 3089",1977,"SIC_1987"
"L","32","Stone, Clay, and Glass Products","3211 - 3299",1977,"SIC_1987"
"M","33","Primary Metal Industries","3312 - 3399",1977,"SIC_1987"
"N","34","Fabricated Metal Products","3411 - 3499",1977,"SIC_1987"
"O","35","Machinery, Except Electrical","3511 - 3599",1977,"SIC_1987"
"P","36","Electrical and Electronic Equipment","3612 - 3699",1977,"SIC_1987"
"Q","37","Transportation Equipment","3711 - 3799",1977,"SIC_1987"
"R","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1977,"SIC_1987"
"S","37.700000000000003","Aircraft, Guided Missiles, and Parts","3721 - 3728, 3761 - 3769",1977,"SIC_1987"
"T","38","Instruments and Related Products","3812 - 3873",1977,"SIC_1987"
"U - W","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1977,"SIC_1987"
"X","98.099999999999994","Other Nondurable Manufacturing Products","2311 - 2399, 3111 - 3199",1977,"SIC_1987"
"Y - AA","99","Durable Goods","2411 - 2599, 3211 - 3999",1977,"SIC_1987"
"AB","99.099999999999994","Other Durable Manufacturing Products","2411 - 2599, 3911 - 3999",1977,"SIC_1987"
"AC","10.-14.","All Mining","1011 - 1499",1977,"SIC_1987"
"AD - AL","20.-39.","All Manufacturing","2011 - 3999",1977,"SIC_1987"
"AM","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1977,"SIC_1987"
"AN","33.5-33.6","Nonferrous Metals","3331 - 3369",1977,"SIC_1987"
"AO","50.-51.","All Wholesale Trade","5012 - 5199",1977,"SIC_1987"
"AP","53.-59.","All Retail Trade","5311 - 5999",1977,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1978,"SIC_1987"
"C","21","Tobacco Products Tobacco Manufactures","2101 - 2141",1978,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1978,"SIC_1987"
"E","26","Paper and Allied Products","2611 - 2679",1978,"SIC_1987"
"F","27","Printing and Publishing","2711 - 2796",1978,"SIC_1987"
"G","28","Chemicals and Allied Products","2812 - 2899",1978,"SIC_1987"
"H","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1978,"SIC_1987"
"I","28.300000000000001","Drugs","2833 - 2836",1978,"SIC_1987"
"J","29","Petroleum and Coal Products","2911 - 2999",1978,"SIC_1987"
"K","30","Rubber and Misc. Plastics Products","3011 - 3089",1978,"SIC_1987"
"L","32","Stone, Clay, and Glass Products","3211 - 3299",1978,"SIC_1987"
"M","33","Primary Metal Industries","3312 - 3399",1978,"SIC_1987"
"N","34","Fabricated Metal Products","3411 - 3499",1978,"SIC_1987"
"O","35","Machinery, Except Electrical","3511 - 3599",1978,"SIC_1987"
"P","36","Electrical and Electronic Equipment","3612 - 3699",1978,"SIC_1987"
"Q","37","Transportation Equipment","3711 - 3799",1978,"SIC_1987"
"R","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1978,"SIC_1987"
"S","37.700000000000003","Aircraft, Guided Missiles, and Parts","3721 - 3728, 3761 - 3769",1978,"SIC_1987"
"T","38","Instruments and Related Products","3812 - 3873",1978,"SIC_1987"
"U - W","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1978,"SIC_1987"
"X","98.099999999999994","Other Nondurable Manufacturing Industries","2311 - 2399, 3111 - 3199",1978,"SIC_1987"
"Y - AA","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1978,"SIC_1987"
"AB","99.099999999999994","Other Durable Manufacturing Industries Other Durable Manufacturing Products","2411 - 2599, 3911 - 3999",1978,"SIC_1987"
"AC","10.-14.","All Mining","1011 - 1499",1978,"SIC_1987"
"AD - AL","20.-39.","All Manufacturing","2011 - 3999",1978,"SIC_1987"
"AM","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1978,"SIC_1987"
"AN","33.5-33.6","Nonferrous Metals","3331 - 3369",1978,"SIC_1987"
"AO","50.-51.","All Wholesale Trade","5012 - 5199",1978,"SIC_1987"
"AP","53.-59.","All Retail Trade","5311 - 5999",1978,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1979,"SIC_1987"
"C","21","Tobacco Products","2101 - 2141",1979,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1979,"SIC_1987"
"E","26","Paper and Allied Products","2611 - 2679",1979,"SIC_1987"
"F","27","Printing and Publishing","2711 - 2796",1979,"SIC_1987"
"G","28","Chemicals and Allied Products","2812 - 2899",1979,"SIC_1987"
"H","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1979,"SIC_1987"
"I","28.300000000000001","Drugs","2833 - 2836",1979,"SIC_1987"
"J","29","Petroleum and Coal Products","2911 - 2999",1979,"SIC_1987"
"K","30","Rubber and Misc. Plastics Products","3011 - 3089",1979,"SIC_1987"
"L","32","Stone, Clay, and Glass Products","3211 - 3299",1979,"SIC_1987"
"M","33","Primary Metal Industries","3312 - 3399",1979,"SIC_1987"
"N","34","Fabricated Metal Products","3411 - 3499",1979,"SIC_1987"
"O","35","Machinery, Except Electrical","3511 - 3599",1979,"SIC_1987"
"P","36","Electrical and Electronic Equipment","3612 - 3699",1979,"SIC_1987"
"Q","37","Transportation Equipment","3711 - 3799",1979,"SIC_1987"
"R","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1979,"SIC_1987"
"S","37.700000000000003","Aircraft, Guided Missiles, and Parts","3721 - 3728, 3761 - 3769",1979,"SIC_1987"
"T","38","Instruments and Related Products","3812 - 3873",1979,"SIC_1987"
"U - W","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1979,"SIC_1987"
"X","98.099999999999994","Other Nondurable Manufacturing Industries","2311 - 2399, 3111 - 3199",1979,"SIC_1987"
"Y - AA","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1979,"SIC_1987"
"AB","99.099999999999994","Other Durable Manufacturing Industries","2411 - 2599, 3911 - 3999",1979,"SIC_1987"
"AC","10.-14.","All Mining","1011 - 1499",1979,"SIC_1987"
"AD - AL","20.-39.","All Manufacturing","2011 - 3999",1979,"SIC_1987"
"AM","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1979,"SIC_1987"
"AN","33.5-33.6","Nonferrous Metals","3331 - 3369",1979,"SIC_1987"
"AO","50.-51.","All Wholesale Trade","5012 - 5199",1979,"SIC_1987"
"AP","53.-59.","All Retail Trade","5311 - 5999",1979,"SIC_1987"
"B - D","20","Food and Kindred Products (includes Tobacco Manufactures)","2011 - 2141",1980,"SIC_1987"
"E - G","22","Textile Mill Products","2211 - 2299",1980,"SIC_1987"
"H - J","26","Paper and Allied Products","2611 - 2679",1980,"SIC_1987"
"K - M","27","Printing and Publishing","2711 - 2796",1980,"SIC_1987"
"N - P","28","Chemicals and Allied Products","2812 - 2899",1980,"SIC_1987"
"Q - S","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1980,"SIC_1987"
"T - V","28.300000000000001","Drugs","2833 - 2836",1980,"SIC_1987"
"W - Y","29","Petroleum and Coal Products","2911 - 2999",1980,"SIC_1987"
"Z - AB","30","Rubber and Misc. Plastics Products","3011 - 3089",1980,"SIC_1987"
"AC - AE","32","Stone, Clay, and Glass Products","3211 - 3299",1980,"SIC_1987"
"AF - AH","33","Primary Metal Industries","3312 - 3399",1980,"SIC_1987"
"AI - AK","34","Fabricated Metal Products","3411 - 3499",1980,"SIC_1987"
"AL - AN","35","Machinery, Except Electrical","3511 - 3599",1980,"SIC_1987"
"AO - AQ","36","Electrical and Electronic Equipment","3612 - 3699",1980,"SIC_1987"
"AR - AT","37","Transportation Equipment","3711 - 3799",1980,"SIC_1987"
"AU - AW","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1980,"SIC_1987"
"AX - AZ","37.700000000000003","Aircraft, Guided Missiles, and Parts","3721 - 3728, 3761 - 3769",1980,"SIC_1987"
"BA - BC","38","Instruments and Related Products","3812 - 3873",1980,"SIC_1987"
"BD","50","Wholesale Trade, Durable Goods","5012 - 5099",1980,"SIC_1987"
"BE","51","Wholesale Trade, Nondurable Goods","5111 - 5199",1980,"SIC_1987"
"BF","53","General Merchandise Stores","5311 - 5399",1980,"SIC_1987"
"BG","54","Retail Food Stores","5411 - 5499",1980,"SIC_1987"
"BH - BR","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1980,"SIC_1987"
"BS - BU","98.099999999999994","Other Nondurable Manufacturing Industries","2311 - 2399, 3111 - 3199",1980,"SIC_1987"
"BV - CF","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1980,"SIC_1987"
"CG - CI","99.099999999999994","Other Durable Manufacturing Industries","2411 - 2599, 3911 - 3999",1980,"SIC_1987"
"CJ","10.-14.","All Mining","1011 - 1499",1980,"SIC_1987"
"CK - CU","20.-39.","All Manufacturing","2011 - 3999",1980,"SIC_1987"
"CV - CX","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1980,"SIC_1987"
"CY - DA","33.5-33.6","Nonferrous Metals","3331 - 3369",1980,"SIC_1987"
"DB","50.-51.","All Wholesale Trade","5012 - 5199",1980,"SIC_1987"
"DC","53.-59.","All Retail Trade","5311 - 5999",1980,"SIC_1987"
"DD","55.-59.","All Other Retail Trade","5511 - 5999",1980,"SIC_1987"
"B - D","20","Food and Kindred Products","2011 - 2141",1981,"SIC_1987"
"E - G","21","Tobacco Manufactures","2101 - 2141",1981,"SIC_1987"
"H - J","22","Textile Mill Products","2211 - 2299",1981,"SIC_1987"
"K - M","26","Paper and Allied Products","2611 - 2679",1981,"SIC_1987"
"N - P","27","Printing and Publishing","2711 - 2796",1981,"SIC_1987"
"Q - S","28","Chemicals and Allied Products","2812 - 2899",1981,"SIC_1987"
"T - V","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1981,"SIC_1987"
"W - Y","28.300000000000001","Drugs","2833 - 2836",1981,"SIC_1987"
"Z - AB","29","Petroleum and Coal Products","2911 - 2999",1981,"SIC_1987"
"AC - AE","30","Rubber and Misc. Plastics Products","3011 - 3089",1981,"SIC_1987"
"AF - AH","32","Stone, Clay, and Glass Products","3211 - 3299",1981,"SIC_1987"
"AI - AK","33","Primary Metal Industries","3312 - 3399",1981,"SIC_1987"
