Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2022:Q2,Hispanic,4430004,2519964,2087528,432436,1910040,346388,21496,19974,19974,0,1322,1188,134,214239,43385,86636,233009,579511,293287,70794,1152344,1151401,825848,297783,11081,16689,943,3277660,12206381
2022:Q2,Other,15606889,6215780,5500647,715133,9391110,1397874,130141,225982,225982,0,129210,111493,17717,3277271,226238,235271,1005273,1310411,1302264,151174,2570547,2565795,1848131,618691,41480,57493,4752,13036342,16036178
2022:Q3,White,127957796,39983934,34135032,5848902,87973862,12461483,2575491,2884137,2884137,0,1025185,967830,57354,29133587,1564551,1783854,7189939,13630660,14586819,1138156,13175703,13144607,9011400,3171351,283240,678616,31096,114782093,87725176
2022:Q3,Black,6206280,2698484,2161112,537373,3507796,353253,38990,32141,32141,0,40412,40083,329,232595,125180,234670,338473,1626922,355812,129348,1491848,1489279,768665,687586,16908,16120,2569,4714433,15118565
2022:Q3,Hispanic,4303434,2432554,1990158,442396,1870880,338990,22439,23102,23102,0,708,696,12,208184,43635,81786,220933,573839,285670,71593,1165040,1164090,837892,298708,10675,16815,950,3138394,12284804
2022:Q3,Other,15169774,5973275,5235293,737982,9196499,1385839,131933,280687,280687,0,125504,107599,17904,3142963,227883,233439,971596,1270608,1272317,153730,2633013,2628224,1892230,631751,44829,59414,4788,12536761,16177911
2022:Q4,White,128996080,39153612,33266165,5887447,89842468,12121377,2720572,3628901,3628901,0,981449,926285,55164,30686243,1582407,1795954,7501452,13457574,14204954,1161585,13270528,13241329,9099942,3233911,296224,611251,29199,115725552,87740163
2022:Q4,Black,6209816,2690744,2146060,544684,3519072,349983,39696,38825,38825,0,37383,37079,304,242173,126671,236285,367633,1605459,342308,132656,1512235,1509937,771898,706103,19045,12891,2297,4697581,15116267
2022:Q4,Hispanic,4293681,2416979,1969592,447387,1876702,329656,23238,27017,27017,0,385,374,11,219623,44593,82770,232089,570056,273884,73390,1173162,1172294,846250,301372,11130,13542,867,3120519,12347974
2022:Q4,Other,15495634,5969038,5213094,755944,9526596,1388734,139432,366411,366411,0,123808,105974,17834,3346774,233418,238433,1025393,1253109,1252263,158820,2702049,2697452,1936006,652857,49896,58693,4597,12793585,16408955
2023:Q1,White,131515803,39095706,33149225,5946481,92420097,11759434,3042192,4217326,4217326,0,958715,903560,55156,32476852,1611798,1861328,7837814,13539179,13940358,1175100,13272886,13242980,9140354,3220334,279388,602903,29907,118242916,87781563
2023:Q1,Black,6275178,2695241,2142492,552749,3579937,346967,41049,43664,43664,0,35768,35464,305,253451,129285,245655,399804,1616480,333152,134661,1498294,1495896,759514,707646,16261,12474,2398,4776884,15134598
2023:Q1,Hispanic,4339259,2434589,1979019,455569,1904670,320291,24840,29580,29580,0,207,196,11,233349,46154,86542,244780,577601,266545,74780,1163537,1162631,840291,298453,10689,13197,906,3175722,12446519
2023:Q1,Other,16023128,6047807,5270855,776953,9975321,1393625,154054,440554,440554,0,124075,105959,18116,3588006,241104,251703,1086030,1287282,1245757,163130,2739885,2735114,1970454,660300,44834,59526,4771,13283244,16683976
2023:Q2,White,135830961,40768475,34765417,6003058,95062486,11579943,3227871,4302593,4302593,0,958882,904501,54381,34319071,1630720,1911314,8156833,13619881,14168937,1186441,13365752,13335877,9198616,3251726,273523,612012,29875,122465209,87717343
2023:Q2,Black,6457486,2798918,2233993,564924,3658568,345937,41750,44428,44428,0,35917,35620,297,265332,131233,253311,432057,1630125,341844,136635,1513137,1510737,762090,720309,15399,12939,2400,4944349,15159650
2023:Q2,Hispanic,4464335,2525230,2065050,460180,1939105,314736,25620,29892,29892,0,215,204,11,245927,47009,89027,255400,581207,274529,75543,1164220,1163314,842240,296901,10510,13663,906,3300115,12447442
