Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2012:Q4,pct99to100,14789094,15620366,2237308,563817,5116627,246639,719607,2734139,4002230,831273,599900,53867,177506
2012:Q4,pct80to99,31939918,37700102,8316156,1685333,6605558,6516047,4134990,3190436,7251582,5760184,4571261,955035,233888
2012:Q4,pct60to80,10363730,13385414,3477546,1026216,1190166,3436449,1275620,685176,2294241,3021684,2231212,720675,69797
2012:Q4,pct40to60,5541452,7327914,2071603,703445,615150,1780447,484590,283679,1388999,1786462,1198274,551434,36754
2012:Q4,pct20to40,3297563,4288859,1503174,473247,260672,824309,118920,177068,931469,991296,607854,354642,28800
2012:Q4,pct00to20,1975471,2645746,929334,275382,258896,191679,45975,374551,569929,670275,298493,277253,94529
2013:Q1,pct99to100,15683725,16494356,2306447,584946,5837824,237592,752307,2833774,3941466,810631,581307,47108,182216
2013:Q1,pct80to99,33203377,39004655,8564768,1690725,7367779,6699810,4309737,3221601,7150235,5801278,4590673,956790,253815
2013:Q1,pct60to80,10777721,13818423,3560997,1031094,1317466,3571665,1371000,693774,2272427,3040702,2249353,725099,66250
2013:Q1,pct40to60,5634199,7377973,2065808,693545,660256,1817871,510981,271882,1357631,1743775,1159019,548651,36105
2013:Q1,pct20to40,3355712,4327862,1509478,477462,274700,847187,126938,170892,921205,972150,596163,348677,27310
2013:Q1,pct00to20,1975331,2634360,935680,275318,261242,198897,44983,358979,559262,659029,276382,287448,95199
2013:Q2,pct99to100,15965873,16781040,2397636,595801,5933920,220571,756921,3034819,3841372,815167,579414,47831,187922
2013:Q2,pct80to99,33683445,39517194,8794525,1694833,7472833,6892057,4329134,3356206,6977606,5833749,4595446,973036,265267
2013:Q2,pct60to80,11013473,14064375,3665430,1033029,1335484,3676656,1402824,722606,2228345,3050902,2245147,742459,63296
2013:Q2,pct40to60,5676026,7402822,2099361,685586,666994,1849526,510843,281858,1308654,1726796,1136389,554733,35674
2013:Q2,pct20to40,3373835,4350894,1528291,477240,273258,874717,129087,166169,902132,977059,591385,359047,26627
2013:Q2,pct00to20,1964862,2613579,954569,270330,249402,204579,44170,347150,543378,648717,266817,283087,98813
2013:Q3,pct99to100,16623521,17444000,2473221,600404,6293695,204890,785187,3235078,3851525,820479,579906,48987,191586
2013:Q3,pct80to99,34768029,40635243,9013844,1705880,7852737,7098195,4482420,3486978,6995189,5867214,4617744,995563,253907
2013:Q3,pct60to80,11416479,14493589,3784029,1037661,1399047,3788862,1492889,750687,2240414,3077110,2253528,764794,58788
2013:Q3,pct40to60,5804199,7524275,2144457,682598,689320,1883900,534574,290990,1298437,1720077,1120725,565508,33844
2013:Q3,pct20to40,3428664,4413536,1559770,476057,277904,902728,136447,160959,899672,984873,588528,371173,25172
2013:Q3,pct00to20,1972504,2613109,979012,263862,242686,210790,43028,334209,539522,640605,258775,284273,97557
2013:Q4,pct99to100,17302096,18138983,2553700,610263,6763150,224446,838046,3299429,3849949,836888,585178,57272,194438
2013:Q4,pct80to99,35809363,41812690,9187169,1699457,8321201,7310711,4695825,3573327,7025000,6003326,4612533,1006705,384088
2013:Q4,pct60to80,11656012,14745564,3826454,1039940,1443536,3894025,1572869,741794,2226947,3089552,2240848,785582,63122
2013:Q4,pct40to60,5894062,7622918,2158203,685320,694687,1917222,562369,288577,1316539,1728855,1113602,578389,36864
2013:Q4,pct20to40,3474414,4462804,1587800,476719,283922,906311,144624,167595,895834,988390,584503,381192,22695
2013:Q4,pct00to20,1977434,2614293,975471,265635,250954,213192,43303,336395,529344,636859,258380,281329,97150
2014:Q1,pct99to100,17914579,18767034,2620123,626152,7193869,230558,862068,3294609,3939656,852455,592286,62740,197429
2014:Q1,pct80to99,36674423,42670591,9345489,1684887,8751316,7384992,4752079,3587399,7164429,5996168,4594013,998432,403723
2014:Q1,pct60to80,11795260,14861889,3863572,1038832,1482496,3927648,1586156,719631,2243555,3066629,2216813,784559,65257
2014:Q1,pct40to60,5957346,7683997,2195710,682551,698618,1922951,562797,271334,1350036,1726651,1106025,584180,36446
2014:Q1,pct20to40,3491272,4476473,1587321,478003,289290,904798,146716,172943,897401,985201,580685,382455,22061
2014:Q1,pct00to20,1972452,2613099,970407,268644,258582,210333,44004,335752,525377,640647,259643,284449,96555
2014:Q2,pct99to100,18623092,19498287,2706664,636438,7653251,237268,896797,3404872,3962997,875194,601852,72412,200930
2014:Q2,pct80to99,37670439,43675230,9515325,1681084,9213211,7464389,4865759,3720540,7214922,6004791,4586477,1011546,406768
2014:Q2,pct60to80,11977173,15052153,3932303,1042784,1527392,3963897,1623814,721044,2240919,3074981,2200208,806803,67970
2014:Q2,pct40to60,6082244,7821218,2273443,686495,704989,1929557,573118,279515,1374100,1738974,1104170,598652,36152
2014:Q2,pct20to40,3513968,4510454,1605265,479480,295567,903305,150960,180155,895722,996486,578542,395448,22496
2014:Q2,pct00to20,1984065,2624767,975672,271263,266966,207651,44557,340007,518651,640702,262637,279140,98925
2014:Q3,pct99to100,18768363,19664256,2778672,652257,7536579,242659,905751,3516548,4031789,895893,611460,81340,203093
2014:Q3,pct80to99,38072697,43990293,9699992,1680240,9071499,7529353,4837350,3854908,7316952,5917596,4589096,1027548,300952
2014:Q3,pct60to80,11993541,15083931,3995381,1049642,1473223,3992651,1601661,723131,2248241,3090390,2191764,829957,68669
2014:Q3,pct40to60,6116936,7870105,2324740,690471,677197,1933151,558770,288040,1397737,1753169,1104678,615788,32703
2014:Q3,pct20to40,3515461,4525089,1620350,483884,288103,901137,149699,187360,894555,1009628,576864,407646,25118
2014:Q3,pct00to20,1976136,2626922,978031,277033,263072,204399,45393,344435,514559,650786,265493,280666,104627
2014:Q4,pct99to100,19274269,20191404,2825515,669119,7857536,249200,932860,3606268,4050906,917135,620737,90390,206008
2014:Q4,pct80to99,38835677,44748579,9840403,1671452,9390114,7605275,4914003,3966152,7361179,5912902,4590423,1040784,281695
