Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2011:Q2,White,55840256,65877169,15084846,3648215,12202444,10035441,5366001,5910793,13629430,10036913,7567356,1850351,619206
2011:Q2,Black,2659860,3626208,995581,310807,157140,1253845,320227,136272,452336,966349,613463,334171,18715
2011:Q2,Hispanic,1321691,2125892,758021,288077,133661,359618,188623,168720,229172,804201,601860,191504,10837
2011:Q2,Other,3957174,5346065,1543547,361975,846794,760537,485802,439685,907725,1388890,1077989,277051,33850
2011:Q3,White,54232851,64269628,15014570,3678490,10385020,10066005,5001381,5989773,14134389,10036777,7532086,1890815,613876
2011:Q3,Black,2610874,3581829,986459,304368,150962,1263562,277524,142381,456573,970956,612957,340625,17374
2011:Q3,Hispanic,1276430,2068952,746811,287354,119794,347485,167175,170788,229546,792523,591741,190856,9926
2011:Q3,Other,3795290,5180068,1546809,360417,682287,769424,452939,450108,918085,1384778,1071609,279879,33290
2011:Q4,White,55427489,65455302,14889492,3691407,11056030,10162309,5223964,6112976,14319124,10027813,7489466,1936641,601706
2011:Q4,Black,2647816,3626733,966005,306730,163894,1281191,301474,150126,457313,978917,616302,346854,15761
2011:Q4,Hispanic,1260323,2043574,728587,283336,124397,337528,165722,174231,229773,783251,584684,190021,8546
2011:Q4,Other,3894920,5275088,1544593,363181,708929,787799,477324,463991,929270,1380168,1064487,282709,32972
2012:Q1,White,57118633,67133815,14747034,3713344,12437106,10273844,5573445,6127080,14261963,10015183,7456345,1938540,620298
2012:Q1,Black,2721830,3687619,941248,316270,182334,1300241,341922,153738,451866,965789,607607,342550,15632
2012:Q1,Hispanic,1258777,2020378,712181,279192,133955,327873,168494,173568,225115,761600,567303,185055,9242
2012:Q1,Other,4046038,5413281,1537158,370108,789144,808255,514179,469301,925135,1367243,1056705,278896,31642
2012:Q2,White,57182157,67188325,14903431,3731320,12061855,10334496,5488932,6263917,14404373,10006168,7409895,1980169,616104
2012:Q2,Black,2723185,3691845,938729,311904,187534,1312063,328938,162122,450555,968660,606907,347419,14334
