Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2015:Q1,Hispanic,1975461,2789349,996152,286557,279642,402658,244279,212249,367812,813888,563403,236876,13609
2015:Q1,Other,5817139,7268247,2089813,388562,1047936,1200405,714012,617052,1210466,1451108,1046261,346268,58579
2015:Q2,White,72375851,82388997,18037654,3869200,18827398,11840042,6847423,8512112,14455168,10013146,7051996,2301216,659934
2015:Q2,Black,3741525,4877661,1203937,376189,276450,1626080,517043,237340,640622,1136136,650337,471540,14259
2015:Q2,Hispanic,2078027,2916725,1036404,293661,297328,420240,259252,217157,392683,838698,576375,247097,15226
2015:Q2,Other,5916738,7397712,2138007,396036,1044371,1225698,722369,631483,1239748,1480974,1057902,357879,65193
2015:Q3,White,71357874,81397913,18331708,3888199,17334461,11841025,6545695,8668974,14787851,10040039,7059121,2337651,643267
2015:Q3,Black,3760665,4927435,1249520,378803,263200,1639442,480918,239745,675807,1166770,659274,493392,14104
2015:Q3,Hispanic,2151675,3016313,1076317,301006,300819,436789,263369,218364,419649,864639,589191,259862,15586
2015:Q3,Other,5877774,7391797,2196764,395688,920485,1247580,701984,638104,1291192,1514023,1070751,372160,71112
2015:Q4,White,72464170,82466689,18534679,3902363,17978899,11884076,6692735,8717231,14756706,10002518,7083443,2280795,638280
2015:Q4,Black,3873138,5040009,1284165,384177,268184,1658392,504957,237615,702518,1166871,665881,485138,15852
2015:Q4,Hispanic,2265114,3146486,1110853,307322,322964,455072,284577,215522,450176,881372,600224,264506,16642
2015:Q4,Other,6034747,7570107,2251153,396763,963969,1276530,728496,636189,1317007,1535360,1086258,369784,79318
2016:Q1,White,73282732,83243994,18708006,3922541,18233244,11916528,6749238,8666147,15048290,9961262,7058930,2270285,632047
2016:Q1,Black,3965608,5143835,1315012,398773,269651,1674307,516128,231246,738717,1178226,670472,490831,16923
2016:Q1,Hispanic,2365436,3266711,1145539,312958,341164,472581,301854,208912,483703,901274,608873,274605,17796
2016:Q1,Other,6160957,7717265,2295887,402971,977399,1304090,745554,626319,1365045,1556309,1093808,376513,85988
2016:Q2,White,74478448,84477350,19097562,3942827,18732497,11961828,6836458,8889562,15016616,9998902,7065948,2297098,635856
2016:Q2,Black,4078532,5285370,1361623,419090,273115,1695142,531597,236092,768711,1206838,681502,507172,18164
2016:Q2,Hispanic,2463116,3390209,1184697,317470,361267,487013,320108,212094,507559,927093,622968,284499,19626
2016:Q2,Other,6316893,7904291,2355553,412336,1010331,1325469,766114,639166,1395321,1587398,1107440,388024,91934
2016:Q3,White,75669251,85737515,19434017,3963755,19276794,12015850,6993397,9074330,14979372,10068264,7093161,2335534,639569
2016:Q3,Black,4152094,5389663,1401461,414372,276717,1714893,555570,239061,787589,1237569,690745,527428,19396
2016:Q3,Hispanic,2590890,3543948,1247332,324144,381204,500988,340567,213525,536188,953057,635496,296012,21549
2016:Q3,Other,6456639,8081137,2419825,408920,1046983,1347916,794138,648887,1414467,1624497,1123946,402614,97937
2016:Q4,White,76045173,86149624,19689160,3986695,19427014,12078780,7001313,9054668,14911994,10104452,7103517,2378572,622363
2016:Q4,Black,4198149,5454674,1436004,410366,280025,1737777,566587,236187,787729,1256525,697428,542467,16630
2016:Q4,Hispanic,2574823,3538094,1250852,328585,363647,512946,341339,213333,527393,963271,644082,298907,20282
2016:Q4,Other,6661240,8317357,2526193,411083,1126233,1333277,800096,678343,1442133,1656117,1146903,416490,92724
2017:Q1,White,77890349,88017553,19961864,4020452,20495198,12171627,7252104,9038680,15077629,10127204,7117215,2368904,641085
2017:Q1,Black,4305486,5561385,1451978,414179,291039,1762507,612072,232961,796649,1255899,700466,539313,16120
2017:Q1,Hispanic,2603012,3573113,1274984,332614,353396,525191,351683,212817,522428,970101,649303,299853,20945
2017:Q1,Other,7002664,8682300,2627903,417957,1284006,1322307,833161,708471,1488495,1679636,1169544,422349,87743
2017:Q2,White,79364945,89579399,20322996,4040727,21070943,12261513,7413894,9433960,15035366,10214454,7146177,2399629,668648
2017:Q2,Black,4393212,5664964,1482305,409752,297071,1783816,644620,246637,800763,1271751,705522,548443,17786
2017:Q2,Hispanic,2622513,3601314,1302970,335275,336792,536321,357564,226994,505398,978801,656018,300634,22149
2017:Q2,Other,7308091,9022504,2728829,420315,1405419,1309691,856553,775108,1526589,1714413,1194843,434000,85570
2017:Q3,White,80655222,90953531,20667062,4056926,21723168,12354900,7613972,9501983,15035519,10298308,7184495,2438095,675718
2017:Q3,Black,4457283,5745131,1506239,401329,303204,1802766,682005,246065,803522,1287848,712374,558930,16544
2017:Q3,Hispanic,2627420,3617450,1328024,337240,319535,546685,364270,228786,492910,990030,664051,303931,22048
2017:Q3,Other,7610105,9360578,2843497,420658,1536996,1296533,884396,814151,1564348,1750473,1221881,448224,80368
2017:Q4,White,82615675,93034187,20918189,4104093,22868770,12454494,7847864,9632336,15208441,10418512,7217209,2488801,712502
2017:Q4,Black,4522507,5830286,1522110,397291,312971,1819822,723861,247711,806521,1307779,717290,572571,17918
2017:Q4,Hispanic,2637016,3636572,1346558,341637,305192,556470,371710,232538,482467,999555,670289,305641,23625
2017:Q4,Other,7982202,9770295,2958814,424615,1715564,1283338,916363,859501,1612099,1788092,1247557,463739,76796
2018:Q1,White,83342305,93795242,21350051,4152632,22749909,12543762,7793557,9704724,15500607,10452937,7235151,2479947,737839
2018:Q1,Black,4568921,5868284,1543675,399215,311357,1832342,722736,246468,812492,1299363,714374,565993,18996
2018:Q1,Hispanic,2642572,3641621,1374378,344986,279446,565046,367040,233850,476875,999049,669965,304564,24520
2018:Q1,Other,8255443,10067579,3099213,432047,1786349,1267326,915380,900312,1666952,1812136,1269200,469372,73564
2018:Q2,White,84291633,94826453,21626384,4197871,23059008,12645297,7885597,9824634,15587662,10534820,7281488,2505114,748218
2018:Q2,Black,4609298,5914502,1557815,397483,312890,1844025,741983,246844,813462,1305203,715642,569606,19955
2018:Q2,Hispanic,2629280,3630664,1388989,347871,256612,573483,367813,236651,459245,1001383,673392,303334,24657
