Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2007:Q1,College,41294159,48063353,13081401,2034092,10663917,5333160,3481178,5840184,7629421,6769194,5296832,1059127,413235
2007:Q1,SomeCollege,11083695,14021055,4709375,986199,1575133,2462806,1066669,1181084,2039790,2937360,2235433,644262,57665
2007:Q1,HS,10422248,13217602,4766145,1034704,1238147,2252333,873444,1166905,1885924,2795354,2146782,603078,45494
2007:Q1,NoHS,2218004,2794904,1307432,289637,196292,230634,83388,240548,446973,576901,418207,133705,24989
2007:Q2,College,41791399,48697209,13001300,2043432,10960272,5393579,3634187,5954221,7710218,6905810,5379521,1072988,453301
2007:Q2,SomeCollege,11167671,14157527,4686600,1004069,1613090,2522136,1117660,1169125,2044848,2989856,2273787,653744,62325
2007:Q2,HS,10506398,13380692,4787847,1047466,1290189,2282021,907634,1195056,1870480,2874295,2214287,613733,46275
2007:Q2,NoHS,2172264,2764717,1278969,296655,201180,225873,84889,242035,435116,592452,427599,136501,28352
2007:Q3,College,42431150,49415240,12860838,2052734,11027418,5452511,3711177,6019100,8291462,6984089,5450039,1110634,423416
2007:Q3,SomeCollege,11259272,14292871,4630946,1018894,1614326,2577886,1141201,1141297,2168321,3033599,2305795,672577,55227
2007:Q3,HS,10578114,13541613,4823732,1057083,1305837,2304092,918339,1207521,1925009,2963499,2279798,631430,52271
2007:Q3,NoHS,2130359,2737578,1258170,299231,202568,220312,84979,241311,431007,607219,437040,140910,29269
2007:Q4,College,42100286,49188913,12747204,2069759,10508846,5543846,3686784,5895682,8736792,7088627,5517936,1133935,436756
2007:Q4,SomeCollege,11042596,14123125,4553618,1030742,1522060,2558884,1107361,1117914,2232546,3080529,2336905,684159,59465
2007:Q4,HS,10409297,13398008,4714321,1070435,1222633,2333684,905225,1205784,1945926,2988711,2285879,648439,54393
2007:Q4,NoHS,2091459,2698961,1227671,303853,186131,230233,83549,236590,430933,607502,436415,142944,28143
2008:Q1,College,41005535,48208124,12441801,2096074,9736256,5632860,3525444,5564193,9211496,7202589,5578348,1140940,483301
2008:Q1,SomeCollege,10604751,13717074,4392959,1040610,1390294,2535181,1024953,1031590,2301488,3112323,2360498,682278,69547
2008:Q1,HS,10090722,13065867,4541337,1085127,1100172,2354131,850829,1146492,1987779,2975145,2278066,639468,57611
2008:Q1,NoHS,2020973,2621747,1180838,301567,166396,238927,79795,224040,430184,600775,433212,139322,28241
2008:Q2,College,40478619,47678962,12211810,2117821,9398847,5736802,3539352,5474885,9199444,7200343,5623913,1145959,430471
2008:Q2,SomeCollege,10341236,13454700,4266069,1044433,1323494,2515973,997982,1015797,2290951,3113464,2367030,685117,61317
2008:Q2,HS,9918327,12846025,4384935,1094142,1038911,2377221,839240,1145895,1965681,2927698,2227479,649318,50901
2008:Q2,NoHS,1960006,2544867,1135412,292345,152523,248354,78536,219628,418069,584861,420862,140060,23939
2008:Q3,College,39024438,46346954,11976390,2135434,8249438,5835735,3347841,5281883,9520232,7322515,5621886,1169807,530822
2008:Q3,SomeCollege,9906484,13040583,4128475,1051594,1135943,2491452,908503,968956,2355660,3134099,2362515,690222,81362
2008:Q3,HS,9570239,12491615,4243893,1099353,863971,2391178,777599,1115944,1999677,2921377,2210161,646013,65203
2008:Q3,NoHS,1886051,2467453,1091283,291352,128689,256331,74780,211270,413748,581402,417280,137772,26350
2008:Q4,College,37037203,44185041,11736513,2131781,6505374,5923194,2992091,4997484,9898604,7147838,5608095,1178458,361285
2008:Q4,SomeCollege,9408219,12498858,3991475,1052398,865014,2458767,765895,895980,2469329,3090638,2348186,689760,52692
2008:Q4,HS,9151564,12031229,4112108,1091654,617049,2392988,669859,1060803,2086768,2879665,2173999,640480,65186
2008:Q4,NoHS,1818806,2381658,1054141,290414,98197,262251,68023,199545,409086,562851,409786,135091,17974
2009:Q1,College,35983018,43118883,11512922,2130820,5848258,5997965,2921738,4718060,9989121,7135865,5631404,1169913,334548
2009:Q1,SomeCollege,9050819,12127280,3861273,1051553,756291,2417783,717603,825382,2497395,3076460,2351612,675177,49671
2009:Q1,HS,8883776,11704750,3975530,1083834,521522,2383106,640227,1005755,2094776,2820974,2157368,606663,56943
2009:Q1,NoHS,1754885,2302357,1016172,285850,82363,266121,66434,187908,397509,547472,406204,126390,14878
2009:Q2,College,36727650,43898242,11348306,2140292,7087386,6102070,3221056,4365446,9633686,7170592,5656116,1163168,351308
2009:Q2,SomeCollege,8993606,12063979,3771517,1050888,917779,2390151,779718,736286,2417640,3070373,2347905,667764,54704
2009:Q2,HS,8890298,11658096,3850010,1080226,665667,2388637,702178,932011,2039367,2767799,2111508,595322,60969
2009:Q2,NoHS,1719018,2251381,973467,277108,89237,272474,70701,173747,394647,532363,396046,122619,13698
2009:Q3,College,38310328,45517016,11264911,2144884,8360579,6210560,3544501,4269367,9722214,7206689,5652172,1181516,373001
2009:Q3,SomeCollege,9103504,12169087,3698494,1047074,1083216,2363583,848214,717602,2410904,3065583,2335832,669431,60320
2009:Q3,HS,8991091,11722634,3734071,1073505,815944,2394961,769190,921204,2013759,2731543,2076710,588072,66761
2009:Q3,NoHS,1680256,2201284,938384,265804,95076,278690,74987,168405,379938,521028,388714,119692,12622
2009:Q4,College,38630404,45887596,11215709,2163026,8629561,6308601,3697849,4127435,9745414,7257192,5669434,1189861,397897
2009:Q4,SomeCollege,9012893,12075741,3629958,1055288,1104014,2331037,865071,686863,2403510,3062848,2328542,667689,66617
2009:Q4,HS,8987207,11667551,3660444,1074732,834752,2394129,794569,898732,2010193,2680343,2030399,580707,69237
2009:Q4,NoHS,1657190,2163929,909566,267087,89581,283346,77022,161525,375802,506739,378377,116759,11603
2010:Q1,College,39581071,46849560,11251704,2166623,9127256,6477919,3857477,4175085,9793497,7268489,5642514,1175551,450424
2010:Q1,SomeCollege,9093248,12118019,3580708,1054746,1156938,2333545,880570,706000,2405511,3024770,2300867,652839,71064
2010:Q1,HS,9080707,11708771,3592955,1068475,883028,2436146,818690,922393,1987083,2628063,1967259,554680,106124
2010:Q1,NoHS,1645427,2130815,887517,260959,86338,294656,78874,161027,361445,485388,364821,109986,10581
2010:Q2,College,39176184,46474070,11287522,2162748,8398018,6618230,3738062,4383417,9886073,7297885,5656804,1173985,467096
2010:Q2,SomeCollege,8925931,11940058,3545210,1052947,1036955,2326484,812754,767439,2398270,3014127,2290549,648392,75186
2010:Q2,HS,8996522,11568343,3539750,1059552,774334,2475177,776356,985460,1957714,2571821,1913075,548775,109971
2010:Q2,NoHS,1612959,2081762,860427,255665,71507,305705,77715,165716,345028,468803,352428,107301,9074
2010:Q3,College,40704848,48012912,11198889,2165616,9407673,6786622,4021188,4475967,9956957,7308064,5647454,1194957,465653
2010:Q3,SomeCollege,9124315,12131455,3534471,1051680,1161337,2333488,865463,798367,2386649,3007140,2274131,653072,79937
2010:Q3,HS,9270978,11788439,3517745,1055100,888080,2532745,833584,1020963,1940223,2517461,1868103,549763,99595
2010:Q3,NoHS,1605902,2061448,837700,247969,73058,319015,81520,166533,335652,455546,342066,105934,7546
2010:Q4,College,41924177,49228732,11136306,2178918,10181289,6853338,4211755,4562040,10105086,7304555,5572078,1254225,478252
2010:Q4,SomeCollege,9388462,12376087,3433475,1053728,1288516,2404811,940532,825546,2429480,2987625,2214005,685196,88424
2010:Q4,HS,9384479,11919693,3430811,1053933,960445,2629528,891278,1007921,1945777,2535215,1841724,594245,99246
2010:Q4,NoHS,1602733,2054372,821976,248922,78739,324402,83712,160502,336119,451639,330091,113144,8404
2011:Q1,College,42699817,50036578,10973496,2204759,10868652,6854782,4331106,4619520,10184263,7336761,5579960,1258645,498156
2011:Q1,SomeCollege,9574837,12544375,3360026,1057191,1405605,2445445,988263,845634,2442211,2969538,2188433,681671,99434
2011:Q1,HS,9494952,11997955,3356707,1059795,1022278,2691449,924127,988530,1955069,2503004,1831390,579424,92190
2011:Q1,NoHS,1587558,2026171,803086,246518,83558,323788,84193,153695,331334,438613,320343,108570,9700
2011:Q2,College,42942987,50265941,10911009,2227824,10842625,6849858,4334005,4674284,10426336,7322954,5564854,1271850,486250
2011:Q2,SomeCollege,9721982,12670882,3334770,1064865,1422522,2484367,1006728,865508,2492122,2948899,2156515,687874,104510
2011:Q2,HS,9544130,12038468,3350516,1065756,992752,2752348,935655,968712,1972729,2494338,1827041,585347,81950
2011:Q2,NoHS,1569881,2000043,785699,250629,82140,322869,84266,146966,327474,430162,312258,108006,9898
2011:Q3,College,41508345,48836503,10878993,2254304,9278528,6816920,4019759,4761035,10826964,7328158,5555233,1300993,471932
2011:Q3,SomeCollege,9577658,12512734,3321703,1063314,1220645,2510917,927502,894579,2574075,2935076,2126893,699487,108696
2011:Q3,HS,9301728,11801457,3316057,1072490,771066,2798829,870603,956138,2016273,2499729,1822001,593688,84040
2011:Q3,NoHS,1527714,1949784,777895,240521,67823,319811,81156,141297,321281,422070,304266,108008,9796
2011:Q4,College,42408131,49724187,10782222,2265964,9843090,6822323,4173778,4880913,10955897,7316056,5537368,1328763,449925
2011:Q4,SomeCollege,9839856,12760693,3281712,1065120,1322950,2557500,993222,933314,2606875,2920837,2096365,712434,112038
2011:Q4,HS,9456625,11973472,3295172,1073103,815478,2868385,918471,950452,2052411,2516846,1823108,606172,87566
2011:Q4,NoHS,1525935,1942345,769572,240467,71732,320619,83013,136645,320297,416410,298099,108855,9456
2012:Q1,College,43722775,51046332,10673390,2283149,11012493,6835907,4421666,4918765,10900963,7323556,5527039,1332886,463631
2012:Q1,SomeCollege,10182733,13079600,3238214,1072871,1514393,2609251,1095284,950091,2599495,2896867,2064831,710870,121166
2012:Q1,HS,9706484,12190761,3270212,1076614,934946,2942439,994595,924873,2047081,2484276,1807020,595651,81605
2012:Q1,NoHS,1533286,1938400,755804,246281,80706,322615,86493,129958,316544,405115,289072,105633,10410
2012:Q2,College,43720529,51035208,10797880,2298620,10680488,6817734,4335194,5049767,11055524,7314679,5505173,1355986,453520
2012:Q2,SomeCollege,10298516,13179364,3282898,1071765,1490506,2646564,1082950,993111,2611570,2880848,2032328,722127,126393
2012:Q2,HS,9674234,12160386,3289323,1077562,865690,2996883,977474,919106,2034348,2486152,1801257,605868,79027
2012:Q2,NoHS,1512557,1912680,752835,241017,77302,322422,85598,125844,307662,400122,283072,106487,10563
2012:Q3,College,44963104,52283867,10950032,2313545,11313862,6819345,4465164,5232799,11189119,7320763,5477651,1390548,452564
2012:Q3,SomeCollege,10673856,13545531,3330332,1071868,1607711,2694556,1147184,1051447,2642433,2871675,2001185,737121,133369
2012:Q3,HS,9860252,12358303,3319833,1077361,915557,3060235,1019559,923060,2042698,2498051,1806524,615270,76257
2012:Q3,NoHS,1523158,1921975,761318,237833,82018,324594,87847,123107,305258,398817,280271,107514,11032
2012:Q4,College,45540627,52859557,11064362,2335046,11417774,6813403,4481828,5333019,11414125,7318929,5481835,1415851,421243
2012:Q4,SomeCollege,10894073,13755502,3363466,1075743,1649007,2739777,1175992,1087272,2664245,2861429,1973864,751791,135774
2012:Q4,HS,9934885,12422487,3336117,1079080,897732,3115536,1032654,906327,2055042,2487602,1779440,634532,73630
2012:Q4,NoHS,1537643,1930856,771178,237572,82556,326853,89226,118431,305041,393213,271855,110732,10626
2013:Q1,College,47398888,54692932,11322873,2351984,12729265,6940226,4671731,5428519,11248334,7294043,5424502,1436630,432911
2013:Q1,SomeCollege,11400432,14241486,3434422,1081744,1868715,2850742,1264031,1122285,2619547,2841054,1940220,755520,145314
2013:Q1,HS,10249791,12746533,3395337,1077215,1028097,3240873,1087501,886313,2031197,2496742,1811164,614457,71121
2013:Q1,NoHS,1580954,1976680,790545,242147,93190,341181,92683,113785,303148,395726,277011,107166,11549
2013:Q2,College,48022009,55341454,11642017,2364522,12901246,7075662,4687601,5690414,10979992,7319444,5420482,1459396,439566
2013:Q2,SomeCollege,11705483,14544906,3537414,1081322,1922417,2961734,1294680,1205582,2541757,2839423,1916156,768032,155235
2013:Q2,HS,10344549,12841148,3449935,1070491,1013484,3332793,1096071,899673,1978701,2496599,1802858,623337,70404
2013:Q2,NoHS,1605473,2002396,810446,240485,94744,347917,94627,113139,301039,396923,275101,109428,12394
2013:Q3,College,49570273,56937627,11953590,2385575,13551871,7226897,4854247,5948674,11016773,7367353,5441825,1500104,425424
2013:Q3,SomeCollege,12239878,15087551,3671123,1080360,2047754,3081326,1379868,1289088,2538032,2847673,1902946,786120,158607
2013:Q3,HS,10561322,13056446,3492843,1064856,1055224,3424223,1141719,908694,1968887,2495124,1799057,631765,64302
2013:Q3,NoHS,1641923,2042130,836776,235671,100541,356918,98712,112444,301067,400207,275378,112308,12521
2013:Q4,College,51174346,58687696,12218553,2391656,14414849,7440184,5090713,6082727,11049014,7513350,5446459,1528633,538258
2013:Q4,SomeCollege,12476638,15345200,3696426,1085500,2101763,3195558,1451677,1287655,2526620,2868562,1891258,801210,176094
2013:Q4,HS,10705115,13188870,3510012,1056373,1126011,3437007,1189351,916140,1953976,2483755,1773574,642190,67991
2013:Q4,NoHS,1757283,2175486,863804,243805,114827,393158,125296,120594,314002,418202,283752,118434,16016
2014:Q1,College,52576048,60131081,12449885,2389189,15214738,7533834,5150959,6103346,11289130,7555033,5449189,1542467,563377
2014:Q1,SomeCollege,12640980,15496041,3738474,1091281,2146455,3251374,1462795,1254232,2551430,2855061,1875912,804552,174597
2014:Q1,HS,10722639,13152122,3513210,1041989,1183946,3375354,1189386,897729,1950508,2429483,1733609,629105,66769
2014:Q1,NoHS,1865666,2293839,881053,256609,129031,420716,150679,126360,329391,428174,290756,120691,16727
2014:Q2,College,54213667,61834984,12759756,2400681,16073653,7634304,5278726,6316477,11371386,7621318,5471905,1572713,576700
2014:Q2,SomeCollege,12889593,15751277,3815241,1098510,2199649,3310696,1496679,1276134,2554369,2861685,1868366,821567,171752
2014:Q2,HS,10770568,13174100,3532184,1031561,1243881,3310788,1202035,916554,1937097,2403532,1694664,641235,67633
2014:Q2,NoHS,1977154,2421747,901491,266791,144194,450278,177564,136969,344459,444593,298950,128488,17155
2014:Q3,College,54777290,62400778,13040265,2418646,15879903,7723353,5247426,6533769,11557416,7623488,5504236,1616775,502477
2014:Q3,SomeCollege,12936855,15796709,3877519,1110649,2101422,3364629,1475219,1299166,2568105,2859854,1865800,841702,152352
2014:Q3,HS,10634866,13009242,3549577,1022585,1177957,3235264,1173141,933506,1917211,2374376,1660324,648541,65511
2014:Q3,NoHS,2094123,2553867,929805,281648,150389,480104,202839,147981,361101,459744,308994,135927,14823
2014:Q4,College,55976795,63659571,13240248,2426130,16492529,7823193,5334149,6715799,11627523,7682775,5535156,1649190,498429
2014:Q4,SomeCollege,13086201,15953636,3914448,1120264,2120038,3424072,1496014,1312290,2566510,2867435,1862558,859402,145475
2014:Q4,HS,10577362,12924754,3538121,1007898,1203219,3161940,1172086,941282,1900207,2347391,1624393,656876,66122
2014:Q4,NoHS,2216008,2694182,953676,297468,163924,511928,230581,158346,378259,478175,319401,144072,14702
2015:Q1,College,57233295,64946239,13506455,2436705,16891777,7916381,5411737,6880206,11902979,7712945,5538194,1662182,512569
2015:Q1,SomeCollege,13268115,16119422,3966806,1129793,2108635,3480506,1511564,1320596,2601522,2851307,1848550,861913,140844
2015:Q1,HS,10524534,12813907,3523565,993605,1202345,3083329,1164886,944019,1902158,2289373,1584592,636867,67914
2015:Q1,NoHS,2341686,2832557,975911,312238,175667,543939,258452,168379,397972,490871,329602,146141,15128
2015:Q2,College,57918556,65731978,13842137,2469693,17027422,8002099,5413376,7112338,11864913,7813422,5583378,1697733,532311
2015:Q2,SomeCollege,13345843,16215889,4042263,1147544,2060826,3533544,1504409,1347669,2579634,2870045,1852916,881226,135903
2015:Q2,HS,10392323,12665187,3534086,988050,1172391,3000702,1142678,957904,1869376,2272864,1557862,644285,70717
2015:Q2,NoHS,2455418,2968041,997516,329799,184908,575715,285628,180181,414294,512623,342456,154489,15678
2015:Q3,College,57335031,65245389,14177721,2495170,15806186,8069998,5190019,7265824,12240471,7910358,5633348,1746609,530401
2015:Q3,SomeCollege,13208473,16097207,4125865,1154894,1826442,3578129,1421880,1353102,2636894,2888734,1858813,904039,125882
2015:Q3,HS,10057409,12310755,3522336,978235,1005636,2910803,1071959,956424,1865361,2253346,1531126,649912,72308
2015:Q3,NoHS,2547074,3080107,1028386,335396,180701,605907,308109,189836,431771,533033,355050,162505,15478
2015:Q4,College,58558800,66523183,14438292,2516503,16454905,8164224,5329659,7334052,12285549,7964384,5697350,1727221,539813
2015:Q4,SomeCollege,13400842,16276547,4186093,1163262,1852813,3635868,1462490,1335597,2640424,2875705,1868903,892792,114010
2015:Q4,HS,10005988,12209013,3501748,967261,1032065,2835869,1080983,939975,1851112,2203024,1503037,618983,81004
2015:Q4,NoHS,2671538,3214547,1054717,343599,194232,638108,337633,196934,449323,543008,366516,161228,15264
2016:Q1,College,59566571,67583606,14679798,2541391,16760464,8249266,5397974,7322676,12632037,8017035,5718633,1746743,551659
2016:Q1,SomeCollege,13528634,16392334,4230901,1178041,1832486,3689380,1476979,1297388,2687159,2863699,1863018,898679,102002
2016:Q1,HS,9899461,12060388,3482954,958865,1024523,2760276,1072882,911156,1849733,2160927,1473401,603705,83821
2016:Q1,NoHS,2780066,3335476,1070791,358947,203985,668584,364937,201403,466829,555409,377030,163106,15273
