Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2019:Q2,TopPt1,10.9,4.4,3.9,7.5,13.4,8.7,5.2,16.1,16.1,NA,28.8,30.1,14.1,21.8,9,0.1,1.5,0.3,28.3,2.3,0.8,0.8,0.5,0.5,0.5,9.4,5.2,12.3,130183,
2019:Q2,RemainingTop1,16.5,10.2,11.1,5.9,19.1,14,23.5,23.5,23.5,NA,45.2,48,14.2,30.6,19.9,4,9.5,4.3,24.3,6.3,4.6,4.6,5,1.2,10.1,19.3,19.9,18.2,1153458,
2019:Q2,Next9,36.9,28.9,30.4,21.2,40.1,38.2,45.7,40.4,40.4,NA,18.6,17,36.6,36.1,29,64.8,44,50.8,32.8,23.5,18,18,22.8,6.4,7.5,17.8,30.1,39.6,11555773,
2019:Q2,Next40,30.2,43.3,43.5,42,25,34.1,25,19.3,19.3,NA,7.2,4.8,33.9,11,34.1,29.6,39.3,43.1,13,47.6,44.4,44.4,49.5,34.3,34.7,29.2,36.1,28.2,51369427,
2019:Q2,Bottom50,5.5,13.1,11.2,23.5,2.4,5,0.7,0.6,0.6,NA,0.2,0.1,1.3,0.6,7.9,1.5,5.7,1.6,1.6,20.4,32.2,32.2,22.2,57.6,47.2,24.4,8.7,1.6,64216998,
2019:Q3,TopPt1,10.7,4.3,3.8,6.9,13.3,8.5,6.5,15.8,15.8,NA,29.5,30.9,13.4,21.5,9.2,0,1.4,0.3,28.5,2.3,0.8,0.8,0.5,0.5,0.4,9.9,5.4,12.1,130501,38420920
2019:Q3,RemainingTop1,16.5,10.1,10.9,5.9,19.1,13.6,23.8,23.4,23.4,NA,44.6,47.2,13.6,30.9,20.2,4,9.3,4.3,23.9,6.2,4.6,4.6,5,1.1,8.7,19.6,20.5,18.2,1155287,10473388
2019:Q3,Next9,36.9,28.8,30.1,21.8,40.2,38.5,44.9,40.7,40.7,NA,18.1,16.6,34.6,36.1,28.9,64.9,44.3,50.4,33,23.6,18,18,23,6.4,7.1,16,30,39.6,11574716,1775322
2019:Q3,Next40,30.3,43.3,43.5,42,25.1,34.4,24.1,19.5,19.5,NA,7.7,5.2,37,10.9,33.8,29.5,39.2,43.4,12.9,47.4,44.4,44.4,49.4,34.2,34.7,30.2,35.5,28.3,51456152,160852
2019:Q3,Bottom50,5.6,13.5,11.6,23.5,2.4,5,0.7,0.6,0.6,NA,0.2,0.1,1.4,0.6,7.9,1.5,5.8,1.6,1.6,20.4,32.2,32.3,22.1,57.8,49,24.3,8.6,1.8,64325791,
2019:Q4,TopPt1,11,4.3,3.9,6.8,13.6,8.8,7.9,15.9,15.9,NA,29.4,30.5,16.6,22,9.3,0.3,1.4,0.4,28.4,2.3,0.9,0.8,0.5,0.5,0.7,9.8,5.4,12.4,130794,
2019:Q4,RemainingTop1,16.4,10,10.8,5.8,19,13.6,23.1,23.1,23.1,NA,43.2,45.9,13.1,30.1,20,4.3,9.5,4.4,24.1,6.2,4.6,4.6,4.9,1.2,11.1,20.2,20.1,18.1,1157127,
2019:Q4,Next9,36.7,28.8,30.1,21.9,39.8,38,44.3,40.7,40.7,NA,19,17.7,33.3,36.3,29.1,63.3,44.2,49.4,32.8,23.4,18,18,22.9,6.7,7.6,15.5,30.2,39.3,11593589,
2019:Q4,Next40,30.4,43.5,43.8,42,25.2,34.5,24,19.7,19.7,NA,8.2,5.8,35.7,11,33.8,30.5,39.2,44.2,13.2,47.6,44.4,44.4,49.6,34.3,33.4,29.4,35.7,28.4,51542564,
2019:Q4,Bottom50,5.5,13.4,11.5,23.4,2.4,5.1,0.7,0.6,0.6,NA,0.2,0.1,1.2,0.6,7.9,1.6,5.7,1.7,1.6,20.5,32.1,32.2,22.1,57.2,47.2,25.1,8.6,1.8,64434188,
2020:Q1,TopPt1,10.3,4.3,3.9,6.7,12.9,9,10.8,16.1,16.1,22.9,29.3,30,19.4,20.7,9.5,0.8,1.4,0.5,28.3,2.3,0.9,0.9,0.5,0.5,0.6,9.5,5.7,11.7,131060,
2020:Q1,RemainingTop1,15.8,9.9,10.7,5.8,18.3,13.6,22.3,22.8,22.7,31.3,35.1,36.8,12.7,30.8,19.7,4.9,9.7,4.4,24.2,6.1,4.7,4.6,4.7,1.3,14.2,20.6,21,17.4,1158985,
2020:Q1,Next9,36.5,28.8,30.1,22.1,39.8,37.6,43,40.6,40.7,33.1,25.3,24.8,32.2,36.5,29.2,60,45.1,48.3,32.6,23.3,18.1,18,22.9,6.8,8.4,15.4,30.3,39.2,11612435,
2020:Q1,Next40,31.7,43.6,43.8,42.1,26.5,34.7,23.1,19.8,19.8,11.8,10.1,8.2,34.6,11.6,33.7,32.6,38.2,45,13.3,47.8,44.4,44.4,49.8,34,33.1,28.5,34.5,29.8,51628814,
2020:Q1,Bottom50,5.8,13.4,11.5,23.3,2.5,5.1,0.8,0.7,0.7,0.9,0.2,0.2,1.1,0.5,7.9,1.8,5.6,1.8,1.5,20.5,32,32.1,22.1,57.3,43.7,25.9,8.5,1.9,64542376,
2020:Q2,TopPt1,10.9,4.3,3.9,6.7,13.6,9.4,12.1,16.1,15.9,22,29.1,29.7,22,21.8,9.6,0.8,1.3,0.6,28.2,2.4,0.9,0.9,0.5,0.6,1.1,9.7,5.7,12.3,131296,
2020:Q2,RemainingTop1,15.9,9.8,10.5,5.8,18.4,13.7,21.8,22.9,22.6,31.1,34.1,35.7,12.4,29.5,19.5,5.1,9.8,4.5,24.3,6,4.6,4.6,4.6,1.4,15.6,21.7,20.2,17.5,1160867,
2020:Q2,Next9,36.3,28.9,30.1,22.2,39.3,36.8,42.5,40.4,40.7,32.4,26.1,25.7,31.1,36.6,29.4,59.7,44.6,47.2,32.5,23.2,18.1,18.1,22.9,7,8.6,14,30.5,38.8,11631302,
2020:Q2,Next40,31.3,43.7,44,42.1,26.2,34.8,22.8,19.8,20.1,13.7,10.5,8.8,33.6,11.5,33.6,32.8,38.7,45.8,13.5,47.9,44.5,44.5,49.9,33.9,31.4,28,35,29.4,51715086,
2020:Q2,Bottom50,5.7,13.3,11.5,23.3,2.5,5.2,0.8,0.8,0.8,0.9,0.2,0.2,1,0.7,7.9,1.7,5.6,1.9,1.5,20.5,31.8,31.9,22,57.2,43.2,26.5,8.6,2,64650578,
2020:Q3,TopPt1,11.2,4.4,3.9,6.7,13.9,9.5,11.8,16,16,NA,29,29.3,24.2,22.3,9.8,0.9,1.3,0.7,28.3,2.4,0.9,0.9,0.5,0.6,1.7,8.9,5.7,12.6,131499,
2020:Q3,RemainingTop1,15.9,9.6,10.4,5.7,18.4,13.7,21.2,22.3,22.3,NA,34.4,36.1,12,28.8,19.4,5.3,10,4.5,24.3,5.9,4.6,4.5,4.4,1.5,16.8,21,19.7,17.4,1162781,
2020:Q3,Next9,36.1,28.9,30.1,22.2,39,36.6,42.8,40.7,40.7,NA,25.7,25.4,30.2,36.7,29.6,58.8,44.4,46.2,32.3,23,18.3,18.3,23,7.3,8.7,15.7,30.7,38.5,11650236,
2020:Q3,Next40,31.2,43.7,44,42.1,26.1,35,23.4,20.2,20.2,NA,10.7,9,32.6,11.5,33.5,33.3,38.8,46.6,13.6,48.1,44.4,44.5,50,33.8,29.8,26.9,35.3,29.4,51801563,
