Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2020:Q2,College,88518801,23019614,20010022,3009592,65499187,8220064,2321925,2742796,2631913,110883,836309,786559,49750,22824224,1282893,1395491,6084713,10019252,9090285,681234,9430321,9403571,6541019,2196501,155808,510244,26750,79088480,47926113
2020:Q2,SomeCollege,21666792,7265973,5928793,1337181,14400818,2090247,322718,426169,410363,15806,147006,131008,15998,2653635,286733,567745,1345165,4425392,1810886,325121,3250879,3244726,2066077,1090657,48700,39292,6152,18415913,36763012
2020:Q2,HS,14324933,5340499,4264210,1076289,8984434,1338512,144440,228293,220435,7858,116845,106055,10790,1656978,225316,394609,851652,2491978,1287761,248049,2323595,2318742,1585949,650072,58841,23880,4853,12001338,31564270
2020:Q2,NoHS,2571383,1331389,1058848,272542,1239994,234818,15193,31585,30941,644,1114,165,948,188678,32438,40634,98855,347631,180992,68057,487850,487141,307528,160149,14914,4549,709,2083534,13035734
2020:Q3,College,92076688,23705183,20574679,3130504,68371505,8456141,2193104,2612167,2612167,0,809169,758419,50750,24922925,1325780,1455306,6421291,10131938,9338522,705162,9648356,9621672,6672786,2235794,149715,563378,26683,82428332,48361301
2020:Q3,SomeCollege,22298044,7428098,6065909,1362188,14869946,2122728,298934,391373,391373,0,133927,119690,14237,2923306,284849,597981,1441983,4441251,1902663,330949,3297905,3291904,2104776,1089706,52530,44893,6001,19000139,36757388
2020:Q3,HS,14636938,5432524,4331555,1100969,9204414,1362400,142515,220332,220332,0,117715,106210,11506,1802586,224740,402556,866744,2469666,1337461,257700,2312551,2307838,1574821,659471,49440,24106,4713,12324387,31571817
2020:Q3,NoHS,2545537,1328438,1056185,272253,1217100,231682,13593,30079,30079,0,952,158,794,191554,30619,39626,93528,332395,183900,69171,477385,476729,299236,157728,14754,5010,657,2068152,12814595
2020:Q4,College,98599684,24513840,21270962,3242878,74085844,9020526,2117833,2648965,2648965,0,853578,802122,51456,28979459,1382334,1510425,7008684,10314921,9532862,716258,9883700,9857642,6803029,2266385,154976,633253,26058,88715984,48816418
2020:Q4,SomeCollege,23367218,7610238,6228016,1382222,15756981,2213928,282817,381824,381824,0,125395,112802,12592,3447437,284683,623723,1605844,4483835,1976747,330748,3336014,3330207,2137029,1087133,52847,53199,5807,20031204,36723156
2020:Q4,HS,15223179,5546475,4424590,1121885,9676704,1423486,142421,223972,223972,0,113480,101374,12107,2114228,225748,407735,915624,2471053,1377545,261412,2306000,2301499,1553707,674357,49187,24248,4502,12917179,31568356
2020:Q4,NoHS,2547019,1331916,1060714,271201,1215104,231992,12553,28764,28764,0,806,173,634,207031,28987,38446,89629,322327,185779,68789,467537,466939,289428,156977,14677,5856,598,2079483,12614114
2021:Q1,College,102925408,25523672,22183884,3339788,77401736,9703427,2194172,2123188,2123188,0,874212,820408,53804,31432582,1401823,1520407,7237386,10450692,9738788,725059,10067980,10039874,6922735,2277228,154556,685354,28106,92857428,49292558
2021:Q1,SomeCollege,24046953,7848369,6448505,1399865,16198584,2321818,287352,290234,290234,0,116275,104872,11403,3743797,278150,618585,1663883,4498425,2050925,329139,3348960,3343175,2161611,1069021,54435,58108,5786,20697993,36658863
2021:Q1,HS,15581634,5700433,4562874,1137560,9881201,1495631,148742,184502,184502,0,111186,98355,12831,2280000,221443,392643,913392,2451796,1418011,263855,2271418,2266803,1528403,668950,44915,24535,4615,13310216,31551771
2021:Q1,NoHS,2551828,1350187,1076020,274168,1201640,233369,12824,30201,30201,0,862,179,683,211557,27098,35481,84450,309609,187976,68215,453016,452432,279651,152010,14544,6228,583,2098812,12437226
2021:Q2,College,108511805,27242984,23685087,3557897,81268821,9812819,2185941,2044099,1992229,51869,908386,852729,55657,34094746,1445070,1568535,7631820,10607623,10236591,733191,10540146,10512440,7252579,2395590,154655,709616,27706,97971658,49790816
2021:Q2,SomeCollege,25037991,8287773,6831420,1456353,16750218,2319328,280101,265955,260806,5149,108194,97978,10216,4055780,274952,637123,1763948,4516132,2201882,326822,3493316,3487720,2267938,1106072,55636,58074,5596,21544675,36563052
2021:Q2,HS,16167021,6022634,4834720,1187914,10144387,1499485,151040,177364,174079,3284,107978,94528,13450,2457793,220076,393504,932658,2437202,1501561,265725,2346203,2341777,1552284,723227,41302,24964,4425,13820818,31519946
2021:Q2,NoHS,2597404,1405778,1118514,287264,1191626,229728,12414,29304,29063,240,868,189,679,217315,25490,34145,80279,298770,195649,67664,461056,460524,279886,160282,14422,5933,532,2136348,12286870
2021:Q3,College,111418293,28623441,24895791,3727650,82794851,9985824,2136730,2129447,2020066,109382,964561,906973,57587,34598185,1473833,1597983,7630420,10734492,10792964,750412,10808862,10780877,7430667,2455195,163348,731668,27985,100609430,50312285
2021:Q3,SomeCollege,25497009,8597537,7106730,1490807,16899472,2325193,267337,265221,254067,11154,101458,92331,9127,4073109,269099,642247,1750314,4513649,2364034,327812,3539994,3534548,2313502,1108362,55123,57562,5445,21957016,36434267
2021:Q3,HS,16411951,6247353,5025875,1221479,10164598,1509040,151153,182969,175958,7011,103472,89440,14032,2446634,216521,385698,898180,2408280,1591517,271133,2363792,2359477,1554106,736626,43370,25376,4314,14048160,31470766
2021:Q3,NoHS,2615685,1446984,1153303,293682,1168700,227146,11722,28606,28125,481,891,205,687,210156,23841,32141,74984,286587,204423,68203,458025,457532,277454,159996,14480,5602,493,2157659,12165980
2021:Q4,College,115189698,29401392,25491683,3909709,85788307,10429337,2217402,1877894,1877894,0,994669,935260,59409,36356635,1502502,1617197,7986422,10915148,11127801,763300,11097889,11069435,7624311,2515437,190127,739560,28454,104091810,50858061
2021:Q4,SomeCollege,25976152,8718577,7193581,1524996,17257575,2375165,271301,225892,225892,0,93812,85713,8099,4244237,262864,639670,1830455,4527815,2459876,326489,3582587,3577286,2359749,1112647,50289,54601,5300,22393566,36271053
2021:Q4,HS,16634417,6318627,5062284,1256343,10315790,1546750,156923,163912,163912,0,100640,86086,14554,2537205,212703,373010,910067,2395252,1645017,274311,2400554,2396333,1554790,758403,57306,25833,4221,14233863,31402115
2021:Q4,NoHS,2614060,1456264,1156203,300060,1157796,227342,12070,26923,26923,0,900,213,687,211028,22269,29828,71347,278265,209435,68390,457837,457378,275637,162037,14738,4966,459,2156223,12077495
2022:Q1,College,116704949,32129022,28023282,4105741,84575927,10704641,2198157,1999163,1999163,0,1112401,1053807,58594,34804696,1510225,1583999,7650469,10824888,11412242,775046,11334194,11303943,7801991,2556942,200297,744714,30251,105370755,51429237
