Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2007:Q2,pct60to80,13744296,5824864,4821376,1003487,7919432,991962,243401,188994,134118,54876,79800,74326,5475,1456908,206502,346082,889697,2532896,797910,185279,3509197,3504760,2718609,734751,4444,46957,4437,10235099,23185428,,
2007:Q2,pct40to60,7727556,3512695,2821156,691539,4214862,604865,128212,104794,76779,28015,48003,32293,15710,544788,130955,182248,331443,1588273,424847,126434,1894333,1891524,1403552,469756,3341,14876,2809,5833223,23182960,,
2007:Q2,pct20to40,4430917,2226022,1791098,434924,2204895,508255,56842,65082,48182,16899,15496,9566,5930,309476,99011,44739,95304,751055,173196,86439,867175,865115,553616,300900,3582,7017,2060,3563742,23193447,,
2007:Q2,pct00to20,2643399,1452842,1217197,235645,1190557,258188,18474,14929,8280,6649,4279,2162,2117,207048,41525,1400,6727,184622,402280,51086,450409,449547,281278,164285,2795,1188,862,2192990,23176321,,
2007:Q3,pct99to100,16431270,3061490,2554152,507338,13369780,1045120,410017,985592,776641,208951,648937,621020,27916,5964277,225751,38902,618204,445536,2921588,65857,793597,789526,588855,37011,5969,157691,4072,15637672,1160752,692871,3151891714
2007:Q3,pct80to99,34799190,11933248,10402421,1530827,22865943,2245487,849409,889456,587085,302372,253125,213928,39197,5649146,488538,801406,2459533,5039540,3900506,289797,5926410,5915852,4841608,798662,16259,259324,10558,28872781,22063060,98213,692871
2007:Q3,pct60to80,13815459,5801223,4789319,1011903,8014236,980353,263415,247695,154815,92879,75217,70898,4319,1477008,207418,342235,913473,2527315,791350,188759,3605748,3601277,2783283,762122,5978,49894,4471,10209711,23222088,59648,98213
2007:Q3,pct40to60,7799568,3527546,2829759,697787,4272023,613200,136481,139102,88629,50473,44243,29037,15206,531135,133161,187638,342205,1599268,416787,128801,1918063,1915226,1418156,480114,5464,11492,2837,5881505,23219322,36508,59648
2007:Q3,pct20to40,4464252,2222623,1780636,441987,2241629,504247,64911,83730,55263,28467,13032,7853,5179,318611,103203,46404,98392,759255,161600,88244,878712,876562,553282,308333,6020,8928,2151,3585540,23229475,20541,36504
2007:Q3,pct00to20,2677562,1455500,1217400,238100,1222063,265549,16919,26315,15551,10764,1954,51,1903,209972,40402,1163,6140,183886,417397,52367,465875,465034,287489,169310,4825,3410,841,2211687,23212948,0,20529
