Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2020:Q1,TopPt1,12305938,1570303,1186117,384186,10735634,986709,280339,612935,610654,2280,324602,309408,15194,4660824,168921,16874,101257,85765,3467118,30290,134431,132188,52016,22032,1737,56403,2243,12171507,131060,
2020:Q1,RemainingTop1,18825672,3589621,3258914,330707,15236051,1493389,580029,866977,863852,3124,389688,379732,9956,6925932,352765,109430,717437,758120,2963162,79123,720817,712549,494881,54927,40902,121838,8269,18104854,1158985,
2020:Q1,Next9,43520436,10451531,9192819,1258712,33068906,4118815,1117855,1547807,1544512,3295,280324,255153,25171,8211575,521162,1343550,3340416,8286023,3998809,302570,2800510,2788563,2389804,283297,24190,91272,11947,40719926,11612435,
2020:Q1,Next40,37791635,15788676,13387530,2401146,22002959,3800966,599228,754559,753380,1179,111718,84660,27058,2602109,602968,730106,2827103,7721623,1632475,620105,6879319,6865719,5191875,1409902,94927,169014,13600,30912316,51628814,
2020:Q1,Bottom50,6929690,4840239,3508461,1331778,2089451,563207,20969,25541,25453,89,2494,1633,861,117962,140876,40311,416465,307403,188028,266193,4964548,4961190,2304522,2377668,125431,153569,3358,1965142,64542376,
2020:Q2,TopPt1,13818978,1596106,1215661,380445,12222872,1116603,339085,552831,523052,29779,320831,303810,17022,5958484,175820,18775,112453,106259,3490608,31124,137638,135461,52969,23029,3128,56335,2177,13681340,131296,
2020:Q2,RemainingTop1,20229499,3614108,3285179,328928,16615392,1628784,610090,785775,743739,42036,375142,365565,9576,8053287,357198,121359,822985,774752,3006510,79510,716949,709163,482430,57814,43400,125519,7785,19512551,1160867,
2020:Q2,Next9,46091257,10667226,9403867,1263359,35424032,4378370,1191327,1384601,1340861,43740,286940,262819,24121,9994831,536766,1430873,3733645,8164035,4016427,306217,2811650,2799918,2407938,286941,23950,81090,11732,43279607,11631302,
2020:Q2,Next40,39725566,16156751,13758804,2397947,23568815,4139118,640174,679194,660736,18458,115792,89780,26012,3132528,613858,785803,3244794,7912750,1670949,633855,6892196,6878732,5242153,1387341,87445,161792,13463,32833370,51715086,
2020:Q2,Bottom50,7216608,4923286,3598361,1324925,2293322,620767,23601,26442,25265,1178,2569,1814,755,184386,143738,41669,466508,326456,185429,271757,4934213,4930907,2315082,2342255,120340,153230,3306,2282395,64650578,
