Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2016:Q3,GenX,14026285,19458824,6341028,1312950,3020427,2038379,2206260,1858284,2681495,5432539,3915872,1381034,135633
2016:Q3,Millennial,2306167,4619665,1797170,687802,335451,228381,316900,268370,985591,2313498,1243873,1008463,61162
2016:Q4,Silent,20956957,22077916,5202837,853871,5881572,2723945,529505,2142620,4743566,1120959,705282,200053,215624
2016:Q4,BabyBoom,51344490,56305106,11269643,2246840,11770753,10559382,5577668,5764335,9116484,4960616,3628546,989423,342647
2016:Q4,GenX,14782251,20260749,6513929,1337416,3211290,2132738,2272177,1998164,2795035,5478498,3945881,1395144,137473
2016:Q4,Millennial,2395688,4815979,1915800,698601,333305,246715,329986,277412,1014161,2420292,1312221,1051815,56256
2017:Q1,Silent,20867228,21959483,5142235,842992,6029875,2664881,539099,2055751,4684650,1092255,688652,197524,206079
2017:Q1,BabyBoom,52345004,57262042,11411354,2248335,12394230,10624162,5682044,5709535,9192382,4917039,3575143,974771,367125
2017:Q1,GenX,15995131,21487065,6723562,1370901,3617323,2229481,2462658,2140518,2942621,5491934,3974249,1379657,138028
2017:Q1,Millennial,2594149,5125762,2039579,722974,382211,263108,365219,287125,1065547,2531613,1398485,1078468,54660
2017:Q2,Silent,20711907,21782370,5086652,831005,6025167,2603922,544700,2084348,4606576,1070463,673040,199632,197791
2017:Q2,BabyBoom,53173807,58080698,11608470,2243561,12762189,10680313,5726284,5873659,9186223,4906891,3531333,982044,393514
2017:Q2,GenX,17070340,22611606,6989371,1395535,3917690,2326275,2608132,2369415,3005188,5541266,4010944,1385068,145254
2017:Q2,Millennial,2732707,5393507,2152608,735969,405178,280831,393515,355277,1070130,2660800,1487243,1115962,57595
2017:Q3,Silent,20465688,21511286,5026113,818880,6035240,2542233,551724,2018083,4519013,1045599,658200,200157,187242
2017:Q3,BabyBoom,53876259,58768049,11807476,2236792,13172041,10735867,5789862,5860040,9165971,4891790,3499933,986178,405679
2017:Q3,GenX,18139205,23734756,7228136,1416987,4241987,2423574,2775931,2533533,3114608,5595551,4052735,1396179,146637
2017:Q3,Millennial,2868878,5662598,2283097,743493,433635,299210,427125,379328,1096710,2793720,1571933,1166665,55122
2017:Q4,Silent,20381896,21406644,4934111,815534,6177194,2480433,559036,1968065,4472272,1024748,642561,202763,179424
2017:Q4,BabyBoom,54927538,59837844,11959099,2245236,13844149,10794206,5872462,5877721,9244971,4910306,3467296,999381,443629
2017:Q4,GenX,19400394,25051193,7456682,1449464,4687199,2521574,2962805,2712650,3260819,5650799,4088971,1411930,149898
2017:Q4,Millennial,3047572,5975658,2395779,757403,493956,317912,465494,413650,1131465,2928086,1653516,1216678,57892
2018:Q1,Silent,19953697,20948120,4877068,806856,5957217,2416529,553971,1901401,4435079,994423,624150,199128,171145
2018:Q1,BabyBoom,55301561,60153589,12187976,2252432,13848973,10834263,5776165,5862148,9391632,4852028,3400749,982933,468346
2018:Q1,GenX,20344223,26005061,7742850,1486663,4844733,2618939,2994695,2881488,3435692,5660837,4109779,1395013,156045
2018:Q1,Millennial,3209761,6265957,2559423,782928,476139,338744,473885,440316,1194521,3056195,1754011,1242801,59383
2018:Q2,Silent,19606480,20575859,4788360,798336,5854314,2353866,554465,1847014,4379504,969379,608067,199560,161752
2018:Q2,BabyBoom,55844955,60652998,12323165,2258155,14079895,10884756,5767330,5869776,9469921,4808043,3347833,985510,474700
2018:Q2,GenX,21310064,27019643,7983056,1521028,5107037,2717422,3106322,3062180,3522598,5709579,4147744,1395155,166680
2018:Q2,Millennial,3285657,6488209,2666133,803380,484647,359158,498438,475408,1201045,3202552,1863208,1277950,61394
2018:Q3,Silent,19421117,20365710,4695315,787076,5923670,2292933,560756,1779892,4326068,944593,592996,199712,151885
2018:Q3,BabyBoom,56752579,61536058,12444488,2258921,14655434,10948405,5814656,5849641,9564513,4783479,3307171,991436,484872
2018:Q3,GenX,22416095,28186395,8180789,1551649,5527061,2817216,3280925,3234297,3594458,5770300,4190864,1409412,170024
2018:Q3,Millennial,3407170,6768574,2796899,820070,537145,378801,537221,503845,1194592,3361404,1967989,1334005,59410
2018:Q4,Silent,18081252,19001007,4577371,784385,4858035,2225598,530979,1682614,4342025,919755,576555,201299,141901
2018:Q4,BabyBoom,54972033,59712471,12543385,2270219,12977029,10943103,5365130,5762902,9850704,4740438,3260880,1002207,477351
2018:Q4,GenX,22133405,27958683,8355248,1585801,4954505,2912782,2991396,3381541,3777410,5825278,4220224,1421532,183522
2018:Q4,Millennial,3159716,6666588,2910204,831200,291712,405184,476278,512671,1239339,3506872,2063959,1382003,60910
