Table 6.6B. Wages and Salaries Per Full-Time Equivalent Employee by Industry
Table 6.6B. Wages and Salaries Per Full-Time Equivalent Employee by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
61,"            Hotels and other lodging places",2035,2124,2178,2274,2399,2494,2602,2706,2813,2948,3038,3170,3268,3339,3434,3497,3617,3728,3881,4074,4328,4630,4975,5206,5512,5751,6082,6458,6955,7437,8082,8919,9869,10888,11992,12701,13164,13614,14259,14752
62,"            Personal services",2080,2163,2246,2375,2526,2682,2817,2957,3129,3250,3369,3555,3665,3810,3968,4063,4267,4375,4551,4705,4960,5254,5636,5892,6268,6585,7079,7459,7943,8322,9032,9651,10505,11013,11676,12298,12670,13056,13673,14047
63,"            Business services",3435,3528,3730,3957,4145,4297,4453,4586,4791,4883,5025,5165,5311,5525,5699,5800,6043,6187,6344,6498,6801,7212,7630,7893,8145,8384,8937,9682,10256,10851,11949,13067,14436,15843,17034,18003,18754,19703,20509,21394
64,"            Auto repair, services, and parking",2520,2553,2658,2864,3000,3181,3254,3318,3445,3621,3712,3877,4000,4162,4396,4534,4715,4850,4997,5242,5641,6127,6534,6847,7252,7697,8250,8851,9464,10014,10986,11873,12836,13773,14595,15083,15787,16347,17007,17699
65,"            Miscellaneous repair services",2825,2789,2721,3107,3294,3458,3455,3623,3992,4136,4348,4589,4748,4969,5083,5213,5518,5735,6006,6214,6606,7126,7614,8262,8467,8985,9723,10403,11063,11681,12934,14065,15386,16588,17569,18115,19190,20102,20952,21806
66,"            Motion pictures",2964,3028,3089,3269,3485,3626,3929,4330,4587,4745,4940,5315,5444,5871,6008,6168,6603,7125,7397,7503,7946,8318,8359,8441,8882,9172,10108,10614,11987,13209,16578,18454,19753,21897,21551,23378,25968,27606,28614,33025
67,"            Amusement and recreation services",2475,2557,2605,2743,2956,3127,3320,3498,3651,3875,4218,4425,4584,4765,4922,5014,5223,5347,5592,5720,6067,6265,6766,7219,7252,7584,8107,8815,9181,9594,10354,11054,11981,12951,13980,14739,15270,16070,16963,18022
68,"            Health services",1824,1935,2045,2177,2344,2486,2592,2727,2789,2919,3077,3210,3414,3636,3831,4051,4277,4410,4565,4861,5292,5845,6593,7043,7499,7980,8727,9624,10465,11248,12129,13193,14637,16123,17890,19053,19977,20829,21805,23959
69,"            Legal services",2196,2308,2411,2573,2847,3032,3206,3437,3789,3962,4156,4326,4440,4715,4917,5148,5320,5486,5782,5925,6404,7134,8035,8768,9548,10466,11478,12378,13384,14397,14984,16332,18133,20213,24796,26885,28838,30768,33083,37066
70,"            Educational services",1978,2063,2135,2240,2320,2419,2535,2646,2866,2959,3080,3371,3529,3764,4010,4210,4528,4741,5020,5182,5664,6395,7013,7642,8389,8654,8926,9099,9402,9675,9910,10526,11653,12627,13537,14457,15034,15835,16604,17364
71,"            Social services and membership organizations",2209,2384,2495,2617,2746,2914,3055,3126,3216,3352,3498,3559,3584,3684,3787,3896,4000,4138,4280,4402,4655,5138,5449,5924,6088,6645,7130,7407,7701,8297,8858,9468,10290,11026,11875,12511,13212,13555,14376,14883
72,"                Social services",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6974,7260,7499,7719,8174,8783,9444,10324,10732,11241,11775,12368,13061
73,"                Membership organizations",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7616,7936,8751,9591,10373,11420,12248,13005,13885,14814,15100,16220,16573
74,"            Miscellaneous professional services",3335,3512,3651,4054,4489,4747,4885,5212,5721,5882,6123,6414,6680,7041,7473,7639,8014,8301,8817,9004,9362,9978,10601,11163,11383,11978,12923,14302,15220,16187,17148,18469,20435,22297,25205,26459,27778,28862,29961,31798
75,"            Private households",1500,1498,1502,1588,1707,1805,1874,1956,2017,2075,2154,2214,2356,2364,2418,2471,2557,2657,2780,2961,3254,3543,3847,4159,4478,4833,5260,5744,6479,6844,7543,7809,7946,8157,8439,8636,9504,9564,10128,10359
76,"    Government",2820,2890,3045,3154,3324,3429,3542,3755,3943,4087,4378,4453,4631,4777,4947,5175,5438,5676,5897,6175,6689,7176,7980,8649,9395,9996,10589,11397,12155,12928,13743,14689,16052,17683,19018,20230,21405,22499,23428,24547
77,"        Federal",2957,3016,3238,3227,3372,3456,3531,3816,4016,4103,4491,4611,4757,4861,4923,5220,5579,5845,5985,6064,6606,7101,8147,9014,10300,11006,11719,12591,13381,14222,15310,16250,17633,19610,21087,22051,23164,24294,25059,26039
78,"            General government",2949,2995,3220,3189,3326,3412,3487,3777,3986,4076,4464,4593,4726,4818,4867,5144,5510,5770,5928,6001,6528,7018,8044,9000,10336,11009,11645,12454,13164,13986,15084,15979,17242,19099,20705,21489,22625,23700,24470,25305
79,"                Civilian",3256,3481,3632,3924,4202,4412,4508,4804,5024,5205,5779,5852,6073,6455,6646,6996,7520,7860,8173,8262,9007,9694,10925,11774,12603,13471,14091,15213,16255,17491,18928,19927,21239,23050,24465,25327,26448,27366,28133,28984
80,"                Military2",2676,2599,2897,2788,2891,2927,2997,3237,3402,3439,3697,3824,3872,3813,3807,3997,4284,4477,4650,4732,5148,5526,6319,7139,8603,9070,9594,10064,10420,10854,11570,12316,13498,15537,17384,18120,19232,20418,21225,22009
81,"            Government enterprises",2996,3132,3345,3554,3789,3855,3908,4136,4247,4305,4678,4733,4964,5145,5307,5732,6034,6336,6366,6499,7143,7652,8774,9090,10106,10993,12095,13299,14517,15463,16489,17634,19639,22224,23089,25113,25998,27463,28238,30034
82,"        State and local",2677,2758,2845,3045,3246,3390,3556,3680,3860,4069,4265,4304,4516,4703,4968,5137,5324,5545,5825,6269,6756,7235,7861,8415,8876,9454,10006,10806,11561,12314,13018,13979,15330,16786,18054,19375,20572,21664,22693,23882
83,"            General government",2654,2731,2821,3018,3213,3358,3528,3650,3837,4053,4252,4303,4512,4714,4965,5133,5310,5527,5808,6258,6733,7211,7841,8389,8848,9411,9950,10745,11507,12251,12943,13919,15257,16695,17971,19261,20462,21532,22557,23772
84,"                Education",2666,2805,2934,3147,3327,3478,3685,3788,4018,4288,4561,4453,4687,4914,5209,5361,5565,5757,6046,6503,7019,7504,8170,8676,9139,9623,10089,11007,11849,12539,13222,14408,15781,17136,18539,19479,20770,21846,22892,24333
85,"                Other",2645,2676,2737,2919,3124,3263,3403,3536,3689,3858,3996,4164,4345,4523,4729,4904,5047,5285,5549,5988,6415,6879,7470,8064,8522,9173,9793,10455,11128,11933,12647,13416,14729,16244,17401,19037,20144,21204,22202,23194
86,"            Government enterprises",3000,3158,3201,3435,3655,3795,3925,4087,4179,4308,4456,4315,4572,4561,5012,5191,5524,5807,6085,6452,7123,7624,8182,8827,9334,10159,10891,11745,12393,13301,14176,14857,16373,18093,19210,20971,22101,23487,24587,25423
87,Rest of the world,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---

Legend/Footnotes
"1. Beginning with 1987, reflects the reclassification of air couriers from trucking and warehousing to transportation by air."
2. Includes Coast Guard.
Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).
