Table 6.3B. Wages and Salaries by Industry
Table 6.3B. Wages and Salaries by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
39,"                Railroad transportation",5422,4995,5187,5962,5995,6004,5476,5622,6015,6050,5556,5593,5498,5197,5241,5206,5300,5446,5542,5592,5726,5935,6268,6691,6799,7783,8174,8108,9061,9824,10694,12203,12850,13083,12204,11581,12121,11861,11633,11584
40,"                Local and interurban passenger transit",1203,1180,1164,1221,1254,1276,1229,1222,1240,1277,1248,1274,1307,1311,1321,1337,1374,1427,1503,1594,1708,1775,1868,1937,1934,2033,2213,2375,2500,2641,2813,3063,3383,3609,3715,3681,3829,4005,4190,4420
41,"                Trucking and warehousing1",1617,1689,1994,2295,2534,2878,2919,3299,3620,3820,3868,4396,4592,4667,5038,5345,5754,6265,6834,7173,7938,8765,9123,10227,11539,13228,14079,13786,15572,17805,20545,22776,23586,25221,24751,25430,28205,29541,30824,33559
42,"                Water transportation",880,800,832,1024,1094,1194,1091,1184,1272,1410,1223,1278,1379,1356,1422,1453,1552,1584,1795,1878,1980,2048,2112,1981,2093,2288,2480,2601,2839,3140,3776,4175,4699,5204,5149,4980,5227,5200,5089,5091
43,"                Transportation by air1",319,331,350,419,512,568,600,677,799,930,983,1124,1268,1329,1425,1504,1669,1852,2133,2637,3091,3645,4029,4208,4588,5114,5480,5894,6494,7345,8392,9774,11032,12055,12414,13384,14285,15748,16988,18616
44,"                Pipelines, except natural gas",123,121,117,132,147,148,147,148,158,166,162,164,160,161,158,156,154,153,156,158,166,175,183,194,202,210,233,285,321,350,432,489,577,649,693,717,682,709,707,723
45,"                Transportation services",219,233,219,268,297,310,310,326,356,374,370,394,425,437,454,471,514,549,616,683,737,833,922,972,1048,1198,1365,1463,1664,1904,2240,2630,3031,3476,3822,4099,4750,5341,5703,6246
46,"            Communication",2120,2222,2280,2532,2815,3109,3270,3519,3857,4095,4073,4239,4464,4611,4814,5011,5403,5759,6305,6735,7256,8299,9333,10145,11494,12695,14028,15262,16958,18817,21631,24733,27678,31619,35218,36494,37438,39245,40023,41877
47,"                Telephone and telegraph",1921,2003,2031,2241,2490,2742,2853,3069,3361,3568,3516,3655,3840,3976,4143,4298,4627,4933,5404,5763,6185,7119,8069,8817,10024,11101,12290,13362,14811,16398,18758,21465,24017,27508,30539,31406,31838,33136,33575,35254
48,"                Radio and television",199,219,249,291,325,367,417,450,496,527,557,584,624,635,671,713,776,826,901,972,1071,1180,1264,1328,1470,1594,1738,1900,2147,2419,2873,3268,3661,4111,4679,5088,5600,6109,6448,6623
49,"            Electric, gas, and sanitary services",1684,1814,1938,2124,2313,2517,2637,2760,2957,3126,3337,3514,3690,3834,3973,4144,4367,4563,4813,5144,5546,6065,6689,7252,7914,8643,9395,10118,11176,12332,13849,15510,17522,20051,22535,24442,26602,28873,30433,32008
50,"        Wholesale trade",9303,9155,9739,10937,11509,12226,12532,13344,14801,15566,15973,17057,18027,18567,19510,20496,21905,23541,25715,27568,29866,32846,35520,37631,41033,46096,52071,55080,60317,66707,75429,86165,95570,105661,110696,114503,127808,137011,144277,154540
51,"        Retail trade",14682,15069,16111,17479,18454,19673,20083,21462,22880,23934,24285,26114,27770,28168,29912,31645,34040,36714,39643,42445,46776,51321,55170,59369,64515,70957,77237,83151,92616,101872,114009,125409,134739,145420,152446,164026,181152,195521,209357,223676
