1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,13488,1569,12562,-643,13488,4991,26,0,5,0,4121,0,26,0,118,4146,32,12,0,0,11,0
1952:Q1,13713,1619,12701,-607,13713,5036,27,0,5,0,4181,0,27,0,120,4256,34,13,0,0,14,0
1952:Q2,13927,1695,12556,-324,13927,5076,28,0,5,0,4268,0,28,0,121,4337,36,13,0,0,15,0
1952:Q3,14161,1771,12531,-141,14161,5125,29,0,5,0,4361,0,29,0,122,4422,37,14,0,0,17,0
1952:Q4,14397,1836,12736,-175,14397,5171,30,0,6,0,4465,0,30,0,123,4501,39,15,0,0,17,0
1953:Q1,14660,1913,13012,-265,14660,5238,31,0,6,0,4567,0,31,0,125,4590,42,16,0,0,14,0
1953:Q2,14939,1987,12937,15,14939,5303,32,0,7,0,4679,0,32,0,129,4679,45,17,0,0,16,0
1953:Q3,15212,2050,12993,169,15212,5366,32,0,10,0,4787,0,32,0,134,4766,47,19,0,0,19,0
1953:Q4,15564,2132,13365,67,15564,5462,32,0,17,0,4916,0,32,0,139,4878,50,20,0,0,18,0
1954:Q1,15880,2224,13630,26,15880,5567,32,0,12,0,5037,0,32,0,143,4963,53,22,0,0,19,0
1954:Q2,16324,2322,13482,520,16324,5700,32,0,16,0,5228,0,32,0,145,5072,56,23,0,0,20,0
1954:Q3,16782,2397,13402,983,16782,5846,32,0,9,0,5418,0,32,0,145,5194,59,25,0,0,22,0
1954:Q4,17313,2412,13810,1091,17313,6016,33,0,9,0,5596,0,33,0,143,5371,62,26,0,0,24,0
1955:Q1,17765,2441,14089,1235,17765,6114,36,0,14,0,5793,0,36,0,144,5507,66,28,0,0,27,0
1955:Q2,18263,2295,14258,1710,18263,6248,40,0,24,0,6002,0,40,0,146,5631,71,30,0,0,31,0
1955:Q3,18819,2262,14468,2089,18819,6407,44,0,26,0,6229,0,44,0,149,5774,77,31,0,0,38,0
1955:Q4,19375,2166,15297,1913,19375,6589,47,0,30,0,6397,0,47,0,152,5959,83,33,0,0,38,0
1956:Q1,19954,2437,15501,2016,19954,6738,49,0,32,0,6639,0,49,0,156,6130,90,35,0,0,36,0
1956:Q2,20582,2568,15583,2431,20582,6916,50,0,37,0,6869,0,50,0,159,6329,99,37,0,0,36,0
1956:Q3,21199,2786,15655,2758,21199,7093,51,0,35,0,7097,0,51,0,161,6526,108,39,0,0,38,0
1956:Q4,21803,2860,16164,2779,21803,7262,54,0,37,0,7277,0,54,0,161,6763,117,42,0,0,36,0
1957:Q1,22321,2877,16663,2781,22321,7427,58,0,38,0,7392,0,58,0,161,6985,126,46,0,0,30,0
1957:Q2,22794,2922,16728,3144,22794,7558,63,0,52,0,7513,0,63,0,161,7172,135,49,0,0,28,0
1957:Q3,23478,3122,16823,3533,23478,7782,68,0,52,0,7746,0,68,0,161,7376,143,54,0,0,28,0
1957:Q4,24259,3255,17422,3582,24259,8022,72,0,56,0,7975,0,72,0,161,7660,154,59,0,0,28,0
1958:Q1,24812,3577,17694,3541,24812,8181,76,0,55,0,8148,0,76,0,161,7856,163,65,0,0,31,0
1958:Q2,25496,3856,17892,3749,25496,8390,80,0,56,0,8461,0,80,0,161,7990,173,70,0,0,35,0
1958:Q3,26204,3929,18128,4147,26204,8595,84,0,55,0,8739,0,84,0,161,8189,183,76,0,0,38,0
1958:Q4,27222,3871,19056,4295,27222,8885,87,0,54,0,9154,0,87,0,160,8474,196,83,0,0,42,0
1959:Q1,27761,4115,19037,4609,27761,9054,74,0,51,0,9452,0,74,0,160,8551,210,89,0,0,46,0
1959:Q2,28553,4277,19019,5257,28553,9302,62,0,50,0,9918,0,62,0,158,8636,226,95,0,0,44,0
1959:Q3,29283,4379,18954,5950,29283,9540,21,0,48,0,10257,0,21,0,155,8849,243,102,0,0,47,0
1959:Q4,30228,4370,19734,6124,30228,9826,21,0,47,0,10621,0,21,0,146,9121,262,113,0,0,50,0
1960:Q1,30899,4809,19655,6435,30899,10017,22,0,46,0,10872,0,22,0,145,9319,281,124,0,0,51,0
1960:Q2,31668,4942,19729,6997,31668,10225,23,0,45,0,11178,0,23,0,145,9539,303,138,0,0,49,0
1960:Q3,32531,5080,19924,7527,32531,10464,24,0,45,0,11533,0,24,0,147,9765,325,153,0,0,51,0
1960:Q4,33407,5208,20413,7786,33407,10708,24,0,45,0,11848,0,24,0,149,10045,346,168,0,0,50,0
1961:Q1,34121,5329,20295,8497,34121,10873,26,0,50,0,12158,0,26,0,153,10238,364,182,1,0,50,0
1961:Q2,35173,5454,20541,9178,35173,11148,28,0,53,0,12600,0,28,0,156,10526,381,197,3,0,53,0
1961:Q3,36085,5600,20716,9769,36085,11391,30,0,54,0,12990,0,30,0,157,10761,397,210,4,0,61,0
1961:Q4,37403,5743,21638,10022,37403,11827,33,0,56,0,13577,0,33,0,155,11007,416,224,4,0,71,0
1962:Q1,38374,5884,21936,10554,38374,11795,38,0,57,0,14281,0,38,0,154,11263,437,237,5,0,69,0
1962:Q2,39584,6050,22305,11229,39584,11882,44,0,58,0,15122,0,44,0,150,11491,460,249,6,0,78,0
1962:Q3,40733,6211,22745,11777,40733,11918,50,0,60,0,15874,0,50,0,144,11803,482,259,7,0,86,0
1962:Q4,42206,6339,23743,12124,42206,11976,54,0,62,0,16673,0,54,0,134,12380,505,272,8,0,88,0
1963:Q1,43148,6542,24087,12519,43148,11894,56,0,65,0,17344,0,56,0,131,12693,528,284,9,0,88,0
1963:Q2,44492,6649,24588,13255,44492,11884,56,0,67,0,18302,0,56,0,128,13048,549,295,10,0,97,0
1963:Q3,45835,6775,25151,13909,45835,11833,56,0,71,0,19222,0,56,0,126,13467,573,308,13,0,110,0
1963:Q4,47304,6935,26162,14207,47304,11790,60,0,75,0,20067,0,60,0,121,14078,600,322,15,0,116,0
1964:Q1,47831,7081,26662,14088,47831,11524,65,0,79,0,20669,0,65,0,120,14211,636,332,18,0,112,0
1964:Q2,48672,7237,27086,14349,48672,11304,72,0,83,0,21457,0,72,0,120,14405,675,342,21,0,121,0
1964:Q3,49848,7388,27830,14630,49848,11135,79,0,93,0,22488,0,79,0,120,14633,709,356,30,0,126,0
1964:Q4,51179,7540,29026,14613,51179,10981,84,0,101,0,23434,0,84,0,120,15087,747,373,41,0,127,0
1965:Q1,51982,7718,29689,14575,51982,10740,86,0,107,0,24049,0,86,0,124,15432,785,390,54,0,129,0
1965:Q2,53197,7905,30030,15262,53197,10523,86,0,111,0,25024,0,86,0,130,15768,856,410,68,0,135,0
1965:Q3,54413,8086,30482,15845,54413,10307,86,0,119,0,25944,0,86,0,137,16180,889,432,86,0,147,0
1965:Q4,55661,8258,31378,16025,55661,10093,88,0,127,0,26717,0,88,0,142,16790,913,454,104,0,145,0
1966:Q1,57017,8436,31881,16700,57017,10118,93,0,105,0,27521,0,93,0,140,17251,948,480,125,0,143,0
1966:Q2,58796,8616,32941,17239,58796,10303,100,0,120,0,28481,0,100,0,140,17777,976,510,147,0,142,0
1966:Q3,60317,8800,33848,17669,60317,10429,108,0,130,0,29200,0,108,0,140,18337,1013,540,170,0,142,0
1966:Q4,61468,8956,34693,17819,61468,10456,114,0,140,0,29692,0,114,0,143,18847,1071,566,194,0,131,0
1967:Q1,62233,9149,35222,17862,62233,10355,115,0,148,0,29999,0,115,0,171,19298,1095,588,219,0,130,0
1967:Q2,63577,9197,35501,18879,63577,10387,113,0,155,0,30846,0,113,0,176,19694,1094,611,245,0,143,0
1967:Q3,64924,9395,35705,19825,64924,10402,111,0,177,0,31744,0,111,0,181,20036,1118,622,274,0,148,0
1967:Q4,66249,11942,33939,20368,66249,10422,112,0,196,0,32552,0,112,0,185,20467,1125,632,301,0,145,0
1968:Q1,67543,9809,37280,20454,67543,10289,201,0,222,0,33398,0,106,0,188,20834,1130,652,327,0,140,56
1968:Q2,69114,9971,37436,21707,69114,10128,320,0,248,0,34544,0,104,0,190,21160,1122,669,352,0,150,127
1968:Q3,70927,10152,37950,22825,70927,10161,399,0,265,0,35695,0,103,0,192,21609,1130,674,368,0,157,174
1968:Q4,73019,10301,38911,23807,73019,9898,554,0,283,0,36960,0,100,0,193,22388,1132,692,383,0,170,266
1969:Q1,74367,10486,39757,24124,74367,10070,623,0,302,0,37652,0,123,0,195,22707,1136,700,397,0,169,293
1969:Q2,75792,10684,39236,25872,75792,9928,775,100,322,0,38448,0,160,0,196,23065,1133,709,411,0,184,361
1969:Q3,77271,10866,38950,27455,77271,9871,872,200,343,0,39235,0,201,0,197,23488,1150,713,428,0,179,394
1969:Q4,79051,11015,39579,28457,79051,9756,1056,300,365,0,39776,0,236,0,200,24370,1172,696,444,0,199,481
1970:Q1,78950,11329,51679,15942,78950,9019,965,400,389,92,40082,0,194,0,208,24662,1178,714,459,0,135,453
1970:Q2,81253,11515,52320,17419,81253,9781,1100,500,411,117,40498,0,202,0,220,25145,1176,764,474,0,337,528
1970:Q3,84057,11733,53334,18991,84057,10869,1241,600,425,165,41280,0,208,0,233,25495,1203,806,486,0,440,606
1970:Q4,86503,11901,54415,20187,86503,10838,1493,700,439,187,42494,0,214,0,245,26018,1176,911,496,0,541,751
1971:Q1,87700,12179,55335,20186,87700,10189,1635,800,453,251,43401,0,219,0,245,26422,1178,908,507,0,661,831
1971:Q2,90090,12109,56058,21923,90090,9647,1828,900,465,300,45277,0,199,0,240,26847,1148,921,518,0,844,956
1971:Q3,93327,12344,56707,24276,93327,9157,2046,1000,501,397,47616,0,220,0,233,27497,1136,913,554,0,984,1073
1971:Q4,96983,12475,58509,25999,96983,8604,2280,1100,539,413,49960,0,239,0,223,28503,1269,924,589,0,1141,1199
1972:Q1,100034,12689,61301,26044,100034,8567,2414,1200,550,504,51987,0,237,0,215,28853,1276,949,506,0,1498,1278
1972:Q2,104306,12875,62341,29090,104306,8726,2664,1300,544,593,54804,0,199,0,204,29353,1210,948,542,0,1771,1448
1972:Q3,108330,13089,63777,31464,108330,8841,2972,1400,537,599,57598,0,271,0,193,30060,1155,988,582,0,1547,1587
1972:Q4,114168,13242,66251,34675,114168,9307,3355,1500,320,664,60601,0,226,0,181,31608,1096,1070,867,0,1535,1838
1973:Q1,118253,13518,68316,36419,118253,8931,3703,1567,314,752,63363,20,264,0,176,32307,1092,1178,867,0,1699,2020
1973:Q2,124008,13551,74343,36114,124008,9150,4187,1626,263,783,66767,14,300,0,173,33363,1055,1335,970,0,1739,2283
1973:Q3,129035,13788,84699,30548,129035,8458,4798,1665,331,816,69917,30,312,0,171,34651,1020,1393,950,0,1889,2634
1973:Q4,133706,13854,95552,24301,133706,8253,5034,1688,218,857,72208,52,324,0,166,36496,1071,1544,1124,0,1905,2766
1974:Q1,137455,14145,97320,25991,137455,8228,5267,1764,272,925,74282,60,397,0,164,37397,1081,1622,1118,0,2018,2860
1974:Q2,142377,14176,97671,30531,142377,8190,5321,1830,419,977,77421,66,471,0,162,38579,1068,1733,1065,0,2226,2849
1974:Q3,145045,14423,94891,35731,145045,7178,5574,1869,1524,982,79205,82,617,0,161,39739,1057,1784,0,0,2362,2911
1974:Q4,148279,14465,94146,39668,148279,7152,5579,1888,1629,1198,80061,100,746,0,157,41256,1064,2013,0,0,2597,2839
1975:Q1,150411,14677,94218,41516,150411,8016,5099,1860,1700,1254,80755,215,807,0,151,42268,1107,2120,0,0,2542,2517
1975:Q2,153431,14694,95021,43716,153431,8707,4557,1836,1863,1254,82660,348,822,0,172,43265,1102,2236,0,0,2438,2171
1975:Q3,157058,14976,96504,45578,157058,9601,3883,1820,1946,1251,85457,286,874,0,191,44042,1123,2319,0,0,2539,1726
1975:Q4,161019,14987,97993,48039,161019,10021,3432,1811,2138,1242,88282,185,928,0,221,45196,1166,2313,0,0,2677,1407
1976:Q1,163221,15175,97369,50677,163221,9758,3558,1812,2218,1244,89854,165,902,0,221,45887,1166,2346,0,0,2795,1295
1976:Q2,166345,15346,99423,51576,166345,9704,3361,1842,2255,1243,92226,162,875,0,245,46479,1158,2421,-10,0,3203,1181
1976:Q3,170146,15487,101868,52791,170146,9704,3138,1940,2424,1264,94994,128,855,0,244,47336,1158,2506,0,0,3391,1064
1976:Q4,174189,15548,103907,54734,174189,9386,2937,2096,2512,1245,97521,89,838,0,273,48864,1228,2559,0,0,3697,944
1977:Q1,177453,15698,104635,57120,177453,9275,2835,2166,2634,1288,99504,91,804,0,327,49557,1270,2579,0,0,4243,880
1977:Q2,180348,15933,106566,57849,180348,8768,2742,2271,2806,1281,101510,102,770,0,368,50447,1359,2714,0,0,4393,817
1977:Q3,185795,16083,110253,59459,185795,8772,2773,2461,2966,1281,104926,81,860,0,395,51797,1336,2772,0,0,4622,753
1977:Q4,193261,16308,115655,61298,193261,8848,2784,2722,3094,1282,108960,55,930,0,384,54435,1334,2925,0,0,4819,689
1978:Q1,197958,16572,118459,62927,197958,8745,2627,2910,3746,1296,112104,67,770,0,375,55652,1328,2919,0,0,4742,677
1978:Q2,203343,16898,122261,64185,203343,8734,2480,3138,3405,1293,116469,86,594,0,365,57245,1377,2851,0,0,4641,665
1978:Q3,208876,16880,124822,67174,208876,8715,2498,3466,3620,1289,119549,96,594,0,366,59153,1376,2902,0,0,4605,647
1978:Q4,214511,17140,126084,71287,214511,8373,2514,3875,3661,1323,122051,103,594,0,391,62232,1379,3024,0,0,4350,641
1979:Q1,219175,17218,129118,72839,219175,8023,2557,4344,3943,1327,124336,119,595,0,448,63855,1401,3059,0,0,4532,636
1979:Q2,225711,17254,128542,79916,225711,7590,2603,4789,4111,1372,128383,136,600,0,428,65964,1375,3077,0,0,4652,631
1979:Q3,233353,17491,128569,87293,233353,7435,2650,5175,4316,1455,132463,465,606,0,458,68358,1422,3076,0,0,4848,626
1979:Q4,239448,17599,126755,95094,239448,7191,2684,5516,4502,1521,135017,856,615,0,650,70920,1437,3182,0,0,4736,621
1980:Q1,243912,17550,124107,102255,243912,7319,2623,5466,4904,1539,135849,1248,550,0,774,73554,1511,3271,0,0,4692,612
1980:Q2,248864,17862,118919,112083,248864,7407,2683,5492,5165,1644,137445,1639,575,0,821,75725,1541,3340,0,0,4784,603
1980:Q3,253808,18317,115707,119785,253808,7239,2724,5708,5429,1627,139018,1929,606,0,865,77916,1765,3388,0,0,5000,594
1980:Q4,259903,18241,115723,125939,259903,6993,2771,6079,5682,1681,141085,2178,635,0,994,80666,1836,3529,0,0,5189,585
1981:Q1,267511,18434,116102,132975,267511,6365,5146,6873,5861,1698,142871,2558,726,0,1055,82616,1963,3568,0,0,5629,582
1981:Q2,278496,18707,121637,138152,278496,5654,8995,7704,6107,1831,146211,3054,869,0,1147,84571,2063,3736,0,0,5975,579
1981:Q3,288922,18990,126970,142962,288922,4674,13416,8626,6365,2032,149476,3427,1000,0,1249,86070,2066,3861,0,0,6084,576
1981:Q4,299685,19036,122192,158457,299685,3525,18456,9619,6667,2163,151864,3916,1055,0,1341,88163,2115,3928,0,0,6299,574
1982:Q1,306619,19909,120481,166229,306619,926,23529,10159,6850,2324,154002,4255,1095,0,1406,89573,1283,4018,0,0,6620,579
1982:Q2,315647,20291,116758,178598,315647,790,24015,10631,7018,2589,158178,4651,1103,0,1448,91200,2500,4192,0,0,6747,585
1982:Q3,324780,20457,109766,194557,324780,665,25649,10930,7220,2780,163231,4876,1093,0,1501,91687,3093,4434,0,0,7031,590
1982:Q4,333680,20897,107317,205466,333680,563,27876,11091,7388,3062,166226,4994,1075,0,1600,93547,4127,4474,0,0,7061,596
1983:Q1,346330,22433,123320,200577,346330,1887,28416,11253,7452,3220,172948,5025,1018,0,1749,95356,5914,4494,0,0,7012,586
1983:Q2,360215,23714,127605,208896,360215,2138,29391,11532,7551,3288,182278,4974,914,0,1954,97416,6289,4542,0,0,7372,576
1983:Q3,373975,25957,131772,216246,373975,2485,28493,12101,7655,3433,191587,4833,814,0,2160,100209,7294,4547,0,0,7798,566
1983:Q4,389424,28392,136073,224959,389424,2467,29680,12905,7760,3430,200622,5190,740,0,2311,103831,6923,4786,0,0,8223,556
1984:Q1,408654,31805,138331,238518,408654,2473,33404,13845,7775,3494,215398,4422,705,0,2414,104770,5806,4841,0,0,8710,597
1984:Q2,429688,33818,143695,252175,429688,2325,37085,14848,7845,3531,228655,4264,688,0,2490,107548,5427,5053,0,0,9289,640
1984:Q3,451779,34914,147882,268983,451779,1876,42029,16010,7957,3611,242345,4407,701,0,2580,109801,4796,5092,0,0,9893,681
1984:Q4,471898,35304,148927,287667,471898,1197,45233,17297,8056,3694,254830,5616,696,0,2664,111175,5277,5378,0,0,10075,710
1985:Q1,487050,37013,137485,312552,487050,1986,45251,18244,8102,3751,264594,5453,695,0,2869,113421,5908,5472,0,0,10574,730
1985:Q2,505953,37139,139238,329577,505953,1464,46851,19151,8177,3892,275962,5380,720,0,3047,117295,6749,5505,0,85,10916,759
1985:Q3,522126,37717,137407,347002,522126,1844,47435,19960,8264,4129,286704,5471,752,0,3197,120183,6494,5531,0,83,11289,790
1985:Q4,541661,38516,146454,356691,541661,2127,48485,20692,8349,4423,293138,5743,773,0,3339,127670,7195,5552,0,564,12188,1423
1986:Q1,554231,40065,147896,366270,554231,872,45658,20887,8367,5087,304171,6174,795,0,3623,130718,7632,5699,0,548,12521,1479
1986:Q2,565823,43176,151191,371456,565823,470,44394,21077,8458,5077,311296,6587,810,0,3843,136325,6169,5647,0,1084,13032,1554
1986:Q3,579130,45542,155277,378311,579130,577,42148,21254,8524,5017,320494,6993,827,0,4075,140841,5775,5973,0,1144,13909,1579
1986:Q4,601970,43175,161627,397168,601970,1022,37123,20171,8446,5101,339013,8675,833,0,4348,149111,4585,6342,132,1116,14527,1425
1987:Q1,639606,45991,190513,403102,639606,2000,32091,19347,8463,5157,376293,8361,848,0,4444,151420,6125,6195,127,1601,15652,1482
1987:Q2,655668,46885,201648,407135,655668,500,30717,18273,8553,5209,388618,9777,848,0,4750,155611,5935,6197,126,2395,16683,1476
1987:Q3,668224,46646,210567,411011,668224,1299,28272,17249,6592,5398,399808,11235,859,0,4868,159464,5439,6261,124,2428,17370,1558
1987:Q4,694549,53665,224343,416541,694549,482,30091,16571,6603,5654,411339,13921,885,0,4994,169624,5205,6196,63,3125,18120,1676
1988:Q1,708871,55704,227412,425755,708871,463,35682,16746,6640,5846,408432,15959,943,0,5139,176595,6126,6264,58,3171,19058,1749
1988:Q2,731225,57016,228347,445862,731225,441,41564,17271,6288,6142,416399,17863,1029,0,5269,180646,7064,6459,41,3459,19532,1758
1988:Q3,742165,58328,223467,460370,742165,423,47840,17846,5300,6182,411296,19955,1132,0,5406,185013,9141,6621,38,3881,20203,1888
1988:Q4,767913,58236,235502,474175,767913,416,51544,18171,5343,6033,420611,22063,1241,0,5574,191719,11145,6712,38,4622,20592,2089
1989:Q1,784203,60456,247035,476712,784203,419,46967,17296,5101,6089,435684,23613,1358,0,5779,195132,11250,6738,34,5097,21621,2025
1989:Q2,790897,62171,248967,479759,790897,429,40165,16272,3885,6215,442555,25554,1486,0,6027,199357,11887,6620,26,5883,22527,2009
1989:Q3,800472,63721,249734,487017,800472,448,33711,15198,4366,6260,448827,27917,1625,0,6270,203848,12617,6742,26,7006,23639,1972
1989:Q4,802621,65445,243014,494161,802621,475,26715,14171,4443,6444,447348,30189,1772,0,6460,209858,13843,6626,26,8369,23870,2012
1990:Q1,813010,67174,257605,488231,813010,513,22539,13733,6499,6715,443641,35761,1929,0,6615,215013,17017,6587,25,9333,25096,1994
1990:Q2,816936,68730,260444,487762,816936,565,23430,13151,8811,6933,435441,38545,2090,0,6752,218774,17651,6596,24,9254,26932,1987
1990:Q3,820726,70468,264568,485690,820726,620,22195,12552,13032,6985,431293,41326,2269,0,6849,219444,17968,6768,24,9490,27930,1981
1990:Q4,822624,72730,266530,483363,822624,666,20882,11947,13426,7111,427371,45534,2478,0,6885,220154,18178,7492,24,10149,28481,1846
1991:Q1,830244,74906,273633,481705,830244,696,21762,11054,17403,7185,426521,49129,2637,0,6859,221913,17076,7867,23,10667,27645,1807
1991:Q2,834611,77097,275164,482350,834611,704,21761,10395,20610,7396,423040,51698,2869,0,6766,224445,15608,7767,21,11603,28141,1787
1991:Q3,822764,79290,268826,474648,822764,728,23593,8878,20484,7356,411660,52546,3076,0,6640,223496,14595,7934,20,11798,28221,1739
1991:Q4,809729,81470,260934,467324,809729,806,24750,8227,21175,7662,404588,54299,3169,0,6511,214805,13306,8323,19,12586,27851,1652
1992:Q1,800552,83134,255806,461613,800552,826,24874,7895,22582,7728,395757,54208,3170,0,6388,213034,12588,8161,18,13635,28072,1616
1992:Q2,794851,84799,251081,458970,794851,846,25297,7568,21273,7950,391625,54391,3080,0,6267,209987,11734,8940,18,15464,28668,1742
1992:Q3,783083,86463,242376,454244,783083,866,25666,7247,18428,7512,385439,53517,2988,0,6113,205454,11258,8521,18,19128,29260,1669
1992:Q4,765161,88127,223300,453734,765161,886,26473,6866,14622,7530,379308,51605,2994,0,5889,199584,10619,8875,17,19074,29060,1759
1993:Q1,758000,90643,215208,452149,758000,914,25812,6418,13073,7543,376142,50235,2947,0,5588,198622,10697,8234,16,21142,28908,1709
1993:Q2,748880,93157,207123,448600,748880,942,25115,6276,11525,7845,372693,48999,2945,0,5192,196684,10460,6973,15,23219,28307,1690
1993:Q3,743056,95673,204368,443015,743056,971,24385,6177,10889,7464,372982,47801,2980,0,4792,192860,10821,7565,14,23584,28094,1677
1993:Q4,739135,98910,205430,434795,739135,999,23659,5965,10160,7740,380675,45060,3089,0,4472,183319,9074,6961,13,28055,28239,1656
1994:Q1,730442,98709,201328,430405,730442,973,24597,5686,9125,7909,377602,43536,3175,0,4303,180101,8485,6959,12,27893,28151,1936
1994:Q2,730041,98508,203637,427896,730041,948,25468,6179,9158,8006,377777,42514,3620,0,4134,177442,8226,7097,10,28791,28512,2159
1994:Q3,730034,98308,205718,426009,730034,922,26226,6249,9444,8206,376263,41424,3842,0,3964,175785,7955,6998,9,31121,29319,2308
1994:Q4,723966,98106,203610,422250,723966,897,26650,6498,8039,8326,377157,40261,4019,0,3795,174565,3056,7011,9,31636,29780,2267
1995:Q1,729293,98073,205690,425530,729293,915,26914,6286,7889,8202,384189,38826,4081,0,3550,174330,3087,7029,7,31362,30385,2241
1995:Q2,731714,98040,206490,427184,731714,933,27253,6189,7594,8277,387192,37658,3837,0,3306,174432,3119,7007,6,31547,31103,2261
1995:Q3,734454,98007,206353,430094,734454,950,27508,6034,7266,7876,388334,36829,3891,0,3050,175922,3151,7011,5,32512,31890,2224
1995:Q4,734769,97974,204670,432126,734769,968,27574,5937,6773,7820,392915,35123,3987,0,2816,171109,3182,7012,5,35631,31829,2088
1996:Q1,741871,98805,208109,434957,741871,975,29739,5828,6365,7885,398100,33204,4222,0,2571,170556,3212,7007,5,37800,32495,1907
1996:Q2,751269,99637,212809,438823,751269,982,30231,5675,6552,7800,404520,32310,4062,0,2567,170231,3242,7008,5,39694,34608,1782
1996:Q3,751512,100469,211247,439796,751512,988,30914,5624,6681,7596,408128,32228,3882,0,2539,167145,3275,7008,4,40377,33469,1654
1996:Q4,763624,101031,218436,444157,763624,991,32025,5565,6841,7641,415672,32223,3933,0,2431,165335,3324,7008,0,46353,32563,1719
1997:Q1,776341,101907,228813,445622,776341,1000,37311,5375,6969,7781,418221,30765,4097,5599,2509,164426,3380,7007,0,47898,32116,1887
1997:Q2,793148,102783,236744,453621,793148,1009,42652,5301,7135,7963,427987,28277,4152,5830,2392,164225,3435,7004,0,51255,32443,2088
1997:Q3,809857,103659,249861,456337,809857,1017,47879,5197,7246,7861,438152,27611,4267,6115,2384,161825,3500,7003,0,55168,32411,2221
1997:Q4,831643,104535,261837,465271,831643,1026,53414,5117,7370,7814,444356,26097,4414,6235,2246,163254,3374,7000,0,66103,31288,2535
1998:Q1,844763,107071,255049,482643,844763,1034,51656,5627,7369,7824,449926,23957,4496,6355,2219,162916,3372,7470,0,76875,30718,2949
1998:Q2,864066,109607,252989,501470,864066,1041,49509,6138,7497,7788,454914,23026,4539,6662,2176,164055,3375,8272,0,91799,30129,3146
1998:Q3,886002,112143,255579,518281,886002,1049,47494,6648,7566,10040,467478,22840,4716,6853,1919,163857,3378,8599,0,97424,32697,3444
1998:Q4,921762,114679,277436,529647,921762,1056,45011,7157,7705,10626,484325,20396,4837,7014,1970,168872,3174,8964,0,113191,33997,3467
1999:Q1,946573,115511,287724,543338,946573,1096,40686,7150,7769,10718,498293,18362,5217,7147,1922,173838,3389,9117,0,122728,35424,3717
1999:Q2,969930,116343,299351,554237,969930,1137,35901,6991,7943,10755,513876,17147,5586,7517,1949,178759,3605,9587,0,128458,37022,3697
1999:Q3,1027750,117175,343337,567238,1027750,1177,31074,6830,41068,10783,531865,16871,5847,7866,2001,179886,3820,9542,0,136862,38607,3651
1999:Q4,1059505,118007,371006,570492,1059505,1217,26609,6670,41355,11001,554567,15940,5987,8049,1969,184663,4034,10275,0,143363,40337,3469
2000:Q1,1086194,120819,376798,588577,1086194,1373,26857,6627,40509,11033,577459,16652,6092,8255,2601,183578,3976,9741,0,148201,39988,3252
2000:Q2,1116644,123631,386141,606872,1116644,1530,26805,6582,40554,10971,596633,17204,6417,8616,1905,186281,3801,9837,0,154866,41157,3485
2000:Q3,1138647,126443,388955,623249,1138647,1686,26222,6539,40665,10983,611559,17004,6699,8877,1737,188060,3534,8629,0,160604,42310,3539
2000:Q4,1166629,129255,393928,643446,1166629,1842,26345,6494,41070,10900,625637,17128,6806,9012,1699,189135,3135,8757,0,172337,43426,2906
2001:Q1,1148011,131843,363246,652922,1148011,1772,26605,6722,41247,10849,639269,17111,9452,9148,1709,188389,2588,8590,0,138287,43597,2676
