1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q4,1935536,268079,1667457,1571575,95883,735,-5423,50104,190259,8512,333892,316724,302590,191033,93642,19511,-1595,14134,161387,58861,55784,-1775,60340,-49427,-34588,42280,-6836,-50283,-4502,-6083,1581,0,-125480,-11584,45235,20840,110115,2465,514,147252,2655,143850,92433,40554,6234,2093,2536,1881,-1134,17167
1999:Q1,1959161,264973,1694189,1589533,104656,340,-3699,48163,192472,8825,340505,250713,302803,190354,94412,19658,-1622,-52089,36117,-11845,-12048,1643,57913,12360,-9486,-45030,6432,60444,-1336,-3149,1813,0,-112177,-8159,18601,10393,80262,721,-210,88207,2021,83506,79071,1127,-2345,4821,832,1475,1205,89792
1999:Q2,1974201,274150,1700051,1624236,75815,1027,14707,54608,195208,9156,302796,75709,313320,198446,96547,19980,-1654,-237610,-81617,-28198,-271,1118,-20687,-25208,-65849,34281,14078,-7718,1746,292,1454,0,-147176,-22690,46674,15000,96386,721,968,155994,2821,151615,96054,29183,2130,23416,832,1475,83,227087
1999:Q3,2001996,282564,1719432,1651155,68277,390,-2503,55988,198854,8650,317362,189195,318692,202251,97866,20237,-1662,-129497,31871,-15868,44530,684,32799,-7107,-33768,44090,-11742,-5688,22407,20642,1765,0,-121794,-18660,-13582,7045,94314,721,6382,161368,2703,157146,117568,40314,-5590,4022,832,1475,44,128167
1999:Q4,2043240,290229,1753011,1685942,67069,628,-5212,54646,202744,9638,320661,293621,321552,203443,99381,20374,-1647,-27931,144685,35081,49157,-511,96110,-72098,67353,14711,5809,-159971,46902,45339,1563,0,-186994,-21786,58091,18061,122055,721,-105,172616,2868,167492,83003,41727,-1167,43097,832,1475,781,27040
2000:Q1,2102093,297023,1805070,1725723,79347,-707,-3583,68083,206725,8987,348044,365234,340424,219371,101667,21058,-1672,24810,153293,-34939,90781,4491,65647,-97010,-28974,-50683,289,-17642,56816,56573,243,0,-124792,-6841,71386,12467,107563,2528,5196,128483,775,126939,61950,143,2477,59557,2812,1512,-743,-17190
2000:Q2,2137430,308597,1828833,1751114,77719,487,16298,60505,210907,8979,324342,238629,337280,214858,102173,21917,-1669,-98650,47517,-36748,41813,691,-27778,-20946,-111634,40255,20023,30410,-16427,-16630,203,0,-27335,-8545,15202,8091,109523,2528,7447,146167,3400,141062,111883,48006,-2761,-18878,2812,1512,193,85712
2000:Q3,2177934,313490,1864443,1781930,82513,-24,-3511,59758,214715,8846,351628,247313,339749,217175,101526,22750,-1702,-92436,82673,-38111,45723,-1332,49181,-49337,-43618,965,-8227,1542,16195,16040,155,0,-85803,5463,8306,11902,109984,2528,7975,175110,413,173333,113577,54202,-5313,8055,2812,1512,-148,104315
2000:Q4,2203840,317218,1886621,1809380,77241,426,-5651,58339,217500,8828,350328,563327,342275,218167,102797,23082,-1772,221053,356837,9026,94557,3762,88394,73302,20736,10168,-7693,50091,54017,53842,175,0,-78237,-12560,-12959,11626,121564,2528,1817,135784,1171,132291,94781,74194,5713,-45209,2812,1512,810,-212999
2001:Q1,2243845,319856,1923989,1828746,95244,34,-4421,57544,220145,9038,368350,502893,344663,218207,105147,23138,-1830,158231,215153,22968,162633,2519,133650,-202479,-15061,-175935,17403,-28886,-14410,-15959,1549,0,-58691,6070,14827,27043,114839,225,5959,56922,1155,56740,84398,8457,-11008,-27695,2588,-150,-823,-134543
