1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,239632,7366,46760,182666,179073,1672,846,1075,261,2579,234344,138346,44733,26850,17883,7246,8571,30141,1175,24342,23395,364,174,409,1238,1085,329,0,138,0,89,1140,0,605,0,0,5307,5288
1952:Q1,239620,7352,45867,183471,179628,1894,854,1095,345,2585,237197,138706,43391,25495,17896,10503,8980,30139,836,24374,23368,415,176,415,1251,1015,697,0,143,0,79,1147,0,597,0,0,5478,2423
1952:Q2,242350,7326,45979,186081,181944,2081,863,1193,407,2557,238178,139181,44588,26852,17736,10533,8953,29153,595,23531,22465,455,175,436,1270,1077,702,0,148,0,89,1155,0,586,0,0,5770,4172
1952:Q3,247847,7305,47481,190172,186170,1872,872,1258,380,2509,244399,143473,44930,27396,17534,10654,8495,30882,1062,24786,23768,404,173,441,1293,1065,708,0,153,0,81,1163,0,571,0,0,5965,3448
1952:Q4,254298,7312,47946,196078,191874,1976,877,1351,420,2542,248106,147805,45029,27616,17413,9714,8979,30737,1064,24512,23416,435,170,491,1320,1146,721,0,158,0,96,1171,0,549,0,0,5842,6192
1953:Q1,252547,7288,46904,195289,190800,2223,879,1387,469,2597,248681,150416,41920,24591,17329,10521,9048,31071,1468,24554,23452,458,170,474,1343,990,746,0,164,0,100,1176,0,530,0,0,5705,3866
1953:Q2,251940,7265,46911,194819,190426,1992,878,1523,505,2440,246873,149761,43939,26684,17255,8227,9437,29709,625,24030,22906,432,171,521,1361,948,781,0,173,0,98,1183,0,510,0,0,5800,5067
1953:Q3,257605,7225,47310,200150,195714,1963,878,1595,481,2439,253593,153908,44065,26850,17215,11001,8817,29962,984,23785,22672,420,172,521,1372,1030,817,0,182,0,111,1189,0,492,0,0,5840,4012
1953:Q4,263172,7203,47740,205186,200549,2070,879,1688,558,2485,256709,157133,44781,27564,17217,8078,9723,31071,905,24733,23521,458,173,581,1375,1215,844,0,189,0,139,1196,0,475,0,0,5923,6463
1954:Q1,259381,7194,46158,202890,198197,2083,886,1724,739,2400,255909,157516,42047,24771,17276,9870,10389,29968,631,24078,22841,454,173,610,1371,1060,865,0,193,0,86,1208,0,476,0,0,6119,3472
1954:Q2,265094,7158,46369,208257,203378,2153,896,1830,819,2491,260561,159413,43882,26482,17400,10351,10394,29976,553,24085,22798,467,172,648,1360,1101,879,0,195,0,91,1220,0,492,0,0,6545,4533
1954:Q3,268345,7119,45515,212447,207410,2203,908,1926,773,2491,264745,165202,45498,27960,17538,8231,9569,29647,649,23614,22284,469,171,690,1344,1111,894,0,195,0,115,1204,0,521,0,0,6598,3600
1954:Q4,276898,7068,46409,219992,214625,2412,918,2037,802,2627,270861,168284,47228,29587,17641,7690,10556,30328,781,24039,22568,522,167,782,1323,1240,913,0,194,0,112,1169,0,557,0,0,6775,6037
1955:Q1,274631,7041,45351,218771,213432,2346,927,2066,859,2609,270791,170023,45758,28036,17722,7748,10462,30388,1114,23897,22448,500,168,781,1316,1061,944,0,191,0,102,1184,0,579,0,0,6412,3840
1955:Q2,278276,6953,45024,222696,217084,2480,934,2198,855,2748,273611,170134,46724,28933,17791,9272,10991,29884,863,23543,22040,523,169,811,1319,1089,985,0,185,0,104,1215,0,581,0,0,6606,4665
1955:Q3,281625,6847,45650,225660,219982,2417,943,2318,669,2799,278468,175011,47309,29452,17857,8475,9978,31097,1408,24065,22555,500,171,839,1331,1160,1027,0,179,0,99,1264,0,564,0,0,6598,3157
1955:Q4,289099,6836,46881,231762,225887,2473,956,2446,698,2922,282895,177800,48335,30411,17924,7633,10512,32019,1631,24550,22935,517,174,924,1348,1265,1062,0,174,0,132,1327,0,530,0,0,6596,6204
1956:Q1,287457,6752,45609,231364,225320,2528,972,2544,771,2961,283394,179208,45196,27235,17961,10191,10767,31513,1469,24443,22746,526,178,993,1354,1050,1090,0,175,0,92,1332,0,508,0,0,6519,4063
1956:Q2,289996,6734,45878,233548,227198,2702,991,2657,739,3097,285313,180728,46098,28118,17980,9621,11387,30772,1410,23730,21977,561,183,1009,1345,1086,1114,0,178,0,76,1331,0,502,0,0,6707,4683
1956:Q3,293839,6682,46124,236947,230327,2865,1013,2742,659,3427,289630,184955,46411,28396,18015,9664,9510,32057,1602,24800,23013,591,189,1007,1320,1084,1138,0,183,0,88,1329,0,513,0,0,7033,4209
1956:Q4,302559,6650,47480,243563,236672,2938,1039,2914,683,4183,295683,188841,48223,30128,18095,8443,10028,33095,1631,25545,23617,616,195,1117,1280,1281,1167,0,190,0,132,1331,0,538,0,0,7053,6876
1957:Q1,300959,6622,45543,243633,236672,2882,1070,3009,669,4492,297175,190956,45816,27600,18216,11887,10142,31639,1369,24549,22562,607,202,1178,1253,1074,1205,0,200,0,85,1345,0,559,0,0,6735,3784
1957:Q2,304685,6543,46477,246076,238853,2998,1106,3119,696,4893,300506,192241,46631,28276,18355,10464,11284,32654,1820,24973,22962,631,210,1170,1242,1142,1250,0,214,0,92,1353,0,568,0,0,7232,4179
1957:Q3,308824,6460,46366,250243,242909,2987,1143,3204,549,5206,305132,196665,47397,28865,18532,12350,9161,32485,1738,24816,22836,617,218,1145,1249,1150,1296,0,228,0,81,1363,0,564,0,0,7074,3692
1957:Q4,314356,6403,47485,254591,246978,3055,1177,3381,653,5224,308305,199551,48917,30155,18762,9511,9801,33438,1445,25824,23683,637,223,1281,1272,1292,1340,0,237,0,113,1368,0,547,0,0,7087,6051
1958:Q1,314349,6414,45538,256044,248311,3042,1211,3480,974,5379,310992,202912,46828,27682,19146,11390,10077,32071,783,25193,22903,628,229,1433,1298,1170,1383,0,242,0,84,1381,0,537,0,0,7714,3357
1958:Q2,324921,6335,46072,265673,257676,3158,1247,3592,1118,5723,321069,203410,49155,29450,19705,15329,11944,32930,877,25819,23454,650,235,1480,1321,1210,1425,0,245,0,109,1387,0,537,0,0,8301,3852
1958:Q3,325956,6350,45710,267192,258999,3236,1278,3679,859,5845,323330,211774,50567,30383,20184,10413,9847,32777,1194,25294,22887,649,239,1519,1337,1217,1467,0,245,0,79,1395,0,549,0,0,7952,2626
1958:Q4,336773,6298,46939,277030,268599,3266,1296,3869,819,5687,331085,216184,52467,32132,20335,10173,10397,33791,1307,25924,23352,667,240,1665,1345,1366,1513,0,244,0,125,1396,0,571,0,0,8073,5688
1959:Q1,333085,6276,45823,274697,266157,3447,1108,3985,736,5553,330076,218265,49377,29207,20170,9589,11497,33157,1284,25389,22759,686,188,1756,1348,1218,1561,0,241,0,83,1443,0,590,0,0,8191,3009
1959:Q2,339261,6250,46214,279967,271225,3707,919,4116,776,6054,335532,221237,49745,30067,19678,10975,11730,33874,1704,25557,22987,719,130,1721,1348,1206,1612,0,234,0,120,1491,0,602,0,0,7971,3729
1959:Q3,342147,6228,45854,283577,274774,3969,614,4220,570,5918,339097,227012,48609,29493,19116,12370,10911,32585,1107,24819,22366,738,74,1641,1345,1158,1665,0,227,0,112,1547,0,605,0,0,7610,3050
1959:Q4,348463,6186,46857,289016,280472,3492,611,4441,589,5815,342644,229104,49565,30828,18737,10867,11658,34046,1981,25117,22608,698,66,1745,1337,1309,1717,0,221,0,157,1607,0,600,0,0,7404,5819
1960:Q1,341879,6159,45270,284128,275318,3640,622,4548,534,5788,338890,229259,46395,27917,18478,10539,12418,33299,1582,24944,22386,708,67,1783,1334,1127,1765,0,223,0,102,1623,0,599,0,0,6980,2989
1960:Q2,348805,6115,45563,290468,281362,3793,641,4672,736,5923,345322,231115,47046,28762,18284,13507,12790,33056,1055,25053,22533,756,71,1693,1333,1188,1811,0,229,0,146,1640,0,601,0,0,7808,3483
1960:Q3,356456,6092,45967,297660,288289,3953,665,4753,737,6000,354117,237823,47419,29274,18145,13807,12728,34083,1474,25618,23132,776,77,1633,1333,1183,1860,0,236,0,104,1665,0,610,0,0,8257,2339
1960:Q4,365993,6086,45797,307108,297311,4128,688,4981,938,6064,359923,242843,49435,31391,18044,12012,13023,34005,1792,24917,22222,836,83,1776,1332,1330,1920,0,243,0,152,1695,0,624,0,0,8605,6070
1961:Q1,362566,6056,43767,305501,295287,4392,716,5106,1026,6216,358506,245986,47939,29923,18016,10301,12756,32516,790,24443,21492,915,91,1945,1337,1232,1995,0,251,0,81,1745,0,642,0,0,9009,4060
1961:Q2,372923,6055,44888,314380,303664,4716,749,5251,1154,6446,367839,249689,49909,31845,18064,12587,12998,33225,1003,24698,21716,938,101,1943,1344,1270,2083,0,260,0,115,1792,0,660,0,0,9431,5084
1961:Q3,381762,6149,44834,322759,311931,4681,783,5364,1022,6998,378009,255219,50880,32747,18133,14964,12782,34214,1282,25194,22183,933,111,1967,1354,1309,2174,0,269,0,115,1841,0,676,0,0,9950,3753
1961:Q4,395573,6149,47059,334248,323293,4501,815,5639,1180,6937,387935,260491,54171,36009,18162,12335,13903,37127,2310,26739,23491,973,119,2156,1365,1392,2258,0,277,0,207,1891,0,688,0,0,9908,7638
1962:Q1,393175,6109,45475,333715,322516,4552,845,5802,1109,6767,389678,265056,52017,33840,18177,12510,14349,35382,1008,26431,23041,916,124,2350,1388,1219,2337,0,285,0,103,1921,0,690,0,0,10364,3497
1962:Q2,405024,6090,46878,343881,332478,4591,873,5939,1193,6982,400351,269768,53505,35319,18186,15906,14824,35837,1618,26097,22840,890,127,2240,1422,1213,2410,0,294,0,148,1952,0,683,0,0,10511,4673
1962:Q3,411140,6014,46750,350240,338775,4514,903,6048,984,7152,408015,277439,54124,35940,18184,14607,14258,37545,2483,26746,23544,894,129,2179,1454,1289,2485,0,302,0,134,1984,0,668,0,0,10042,3125
1962:Q4,429969,6012,48652,366734,354888,4577,938,6331,1213,7358,423123,286577,58517,40354,18163,12894,14980,39720,2924,28104,24687,957,131,2329,1471,1457,2565,0,307,0,227,2017,0,648,0,0,10436,6846
1963:Q1,427327,5997,46938,365769,353700,4573,978,6518,1283,7340,423658,294687,52082,33943,18139,13533,15717,36593,1396,26802,23208,956,134,2504,1473,1230,2651,0,311,0,107,1971,0,652,0,0,11046,3669
1963:Q2,441313,5982,48398,377662,365282,4666,1023,6691,1325,7946,436364,300792,53498,35410,18088,17763,16042,36816,1691,26594,23136,958,136,2364,1462,1246,2739,0,313,0,193,1923,0,655,0,0,11453,4949
1963:Q3,445945,5955,48537,382600,370019,4681,1069,6831,1014,7839,441881,308199,53977,35938,18039,15251,15408,37458,1842,26982,23548,987,138,2309,1446,1350,2833,0,314,0,147,1873,0,671,0,0,11588,4064
1963:Q4,464464,5930,50776,398625,385582,4768,1110,7165,1151,7982,456944,317421,57863,39845,18018,12864,17559,39302,2626,27838,24179,1025,141,2493,1432,1466,2934,0,313,0,201,1820,0,672,0,0,11935,7520
1964:Q1,463175,5914,49593,398586,385202,4877,1150,7357,977,8105,457742,320509,54455,36437,18018,14007,18177,38107,1592,27803,23976,1042,144,2641,1424,1294,3046,0,313,0,126,1815,0,694,0,0,12487,5433
1964:Q2,476600,5895,50811,410537,396566,5147,1189,7635,1153,8204,470886,328292,56283,38236,18047,16495,17659,39073,1698,28504,24721,1051,147,2585,1418,1279,3180,0,313,0,188,1804,0,689,0,0,13084,5714
1964:Q3,486303,5852,51424,419597,404983,5560,1226,7828,989,8441,482005,338661,56635,38548,18087,15613,17849,39380,1665,28767,24990,1104,150,2523,1411,1314,3276,0,313,0,151,1799,0,684,0,0,13868,4298
1964:Q4,505698,5685,54075,435983,420525,5976,1257,8225,1199,8756,499014,346262,58625,40506,18119,13084,20540,41978,2796,29922,25839,1181,151,2751,1396,1488,3404,0,311,0,187,1793,0,681,0,0,18525,6684
1965:Q1,506795,5645,52629,438702,422607,6417,1280,8398,1048,8771,502266,351644,56281,38136,18145,14852,20267,40140,1305,29848,25648,1215,151,2834,1380,1286,3361,0,311,0,123,1839,0,687,0,0,19082,4529
1965:Q2,522536,5644,54326,452391,435885,6570,1292,8644,1175,9000,516108,358175,57807,39632,18175,18542,20098,42014,2132,30768,26737,1240,148,2643,1358,1279,3437,0,311,0,150,1881,0,698,0,0,19472,6428
1965:Q3,526055,5687,54787,455896,439815,5977,1308,8796,944,8741,522503,369738,57572,39370,18202,13810,20292,41482,1865,30319,26336,1275,146,2562,1337,1296,3573,0,312,0,140,1931,0,709,0,0,19610,3552
1965:Q4,546797,5771,56713,474629,458373,5692,1344,9220,1045,8639,538064,380386,61050,42827,18223,11602,22337,43280,2534,30875,26685,1249,144,2797,1321,1503,3862,0,317,0,172,1985,0,711,0,0,19410,8733
1966:Q1,544352,5912,55617,473551,457208,5553,1399,9391,824,8448,537833,384390,56940,38714,18226,11653,22717,42231,1847,30767,26474,1249,149,2895,1318,1073,3991,0,325,0,143,2037,0,730,0,0,19903,6519
1966:Q2,560973,6038,57627,487710,470667,5945,1472,9626,1025,8573,551093,388647,57591,39372,18219,17975,23259,43232,2305,31203,27018,1309,158,2718,1324,1097,3942,0,335,0,201,2079,0,746,0,0,20389,9880
1966:Q3,559508,6094,57775,486380,468922,6188,1550,9720,735,8524,551300,393521,56534,38323,18211,13441,22375,43484,2600,31035,26983,1374,168,2510,1331,1159,3990,0,349,0,143,2113,0,764,0,0,21945,8208
1966:Q4,578218,6296,60293,501856,483878,6287,1620,10071,1037,8736,565625,400623,60072,41859,18213,10952,24153,46412,2841,33055,28828,1399,176,2652,1329,1547,4176,0,368,0,175,2137,0,784,0,0,23414,12593
1967:Q1,580012,6447,58392,505339,487164,6233,1693,10249,1491,8343,573853,410212,58008,39772,18236,11722,25771,45069,1260,33265,28627,1593,187,2858,1321,1308,4363,0,407,0,140,2159,0,846,0,0,23071,6159
1967:Q2,598081,6539,60935,520441,501448,6649,1771,10573,1926,8240,589159,421877,59058,40792,18266,12817,26489,45783,1548,33372,28684,1679,200,2809,1305,1384,4521,0,432,0,130,2179,0,912,0,0,23135,8922
1967:Q3,612621,6648,61206,535206,515758,6874,1847,10727,1318,8243,605133,433295,60525,42223,18302,12782,26117,47512,1523,34829,29964,1916,214,2735,1291,1431,4711,0,450,0,120,2207,0,950,0,0,24902,7488
1967:Q4,637494,6653,64494,556367,536333,7017,1914,11103,1432,8548,625352,445900,63898,45554,18344,11824,27319,50444,2996,35811,30604,2047,226,2934,1285,1576,4908,0,464,0,178,2236,0,990,0,0,25968,12142
1968:Q1,635374,6799,63242,555285,534357,7611,1969,11348,1303,8745,628910,450725,62314,43939,18375,11400,27118,50826,2844,36529,30832,2334,231,3132,1297,1164,5007,0,473,0,125,2263,0,1124,0,0,26527,6464
1968:Q2,650367,6708,64737,567687,545446,8509,1990,11742,1400,9835,639222,458177,63296,44878,18418,11973,28109,49995,1939,36075,30197,2638,237,3003,1324,1225,5253,0,478,0,148,2279,0,1274,0,0,27673,11145
1968:Q3,668003,6741,66255,583770,562121,7761,2036,11852,1253,9984,659474,470260,63679,45217,18462,15185,27154,54002,3068,38266,32634,2694,243,2695,1351,1434,5468,0,575,0,151,2291,0,1398,0,0,29195,8529
1968:Q4,694408,6795,67901,608184,584771,8935,2166,12312,1383,10145,676484,484971,66673,48174,18499,10458,29876,55615,3909,38401,32708,2678,249,2766,1362,1682,5695,0,607,0,181,2313,0,1465,0,0,28891,17924
1969:Q1,685494,6826,66402,600657,574386,11198,2402,12671,1244,10365,674356,482576,64828,46302,18526,10979,28803,54630,3251,38305,32124,3048,257,2876,1361,1347,5804,0,549,0,194,2332,0,1487,0,0,32541,11138
1969:Q2,700493,6736,67299,614392,586927,11649,2770,13046,1278,10788,683454,488918,65500,46954,18546,12665,27437,52609,2619,36877,30777,3358,266,2476,1347,1217,6049,0,458,0,216,2356,0,1470,0,0,36326,17039
1969:Q3,692254,6761,69334,603590,574891,12346,3115,13238,891,11678,679369,486112,64799,46237,18562,13309,23872,57291,4241,39463,33487,3566,275,2135,1331,1279,6224,0,540,0,394,2392,0,1427,0,0,33987,12885
1969:Q4,712814,6848,71468,621623,594064,10538,3281,13740,1041,11834,694591,492052,66525,47947,18578,12766,25865,57886,4139,39815,33707,3538,284,2286,1321,1634,6453,0,479,0,230,2429,0,1386,0,0,39498,18223
1970:Q1,703067,6900,70737,612243,579863,14810,3456,14114,986,12201,692732,489065,65017,46210,18807,14907,26463,58547,3927,40803,33609,4215,305,2674,1338,1477,6675,0,374,0,160,2471,0,1322,0,0,38733,10335
1970:Q2,723050,6986,71210,631532,598733,14614,3578,14607,1333,11989,710806,503472,65157,45924,19233,16497,29288,58049,2947,41129,33455,4756,334,2584,1372,1381,6784,0,515,0,173,2523,0,1225,0,0,38343,12244
1970:Q3,745851,7074,73709,651807,617349,15945,3675,14838,1339,11922,735869,525253,66637,46978,19659,16644,29876,61014,3242,43467,35732,5017,364,2354,1408,1430,7127,0,441,0,180,2588,0,1131,0,0,36445,9982
1970:Q4,780101,7149,76027,682952,648102,15589,3775,15486,2330,11643,761047,541812,70291,50204,20087,16187,34903,64803,4464,45198,36838,5107,387,2866,1432,1758,7421,0,601,0,193,2663,0,1073,0,0,33052,19054
1971:Q1,795175,7270,76711,696482,659469,17020,3732,16261,3425,11287,782434,565757,69096,48581,20515,12758,38052,66992,2751,48901,39294,5594,408,3605,1455,1549,7766,0,585,0,206,2739,0,1040,0,0,29779,12741
1971:Q2,824562,7420,77623,726414,686728,18891,3696,17099,2112,10993,808484,586950,71544,50602,20942,16581,38514,66394,2857,47951,36978,6776,443,3754,1476,1482,7970,0,600,0,188,2811,0,1059,0,0,28501,16078
1971:Q3,837861,7547,79578,738336,697733,18952,4065,17586,1450,10950,827937,602006,72614,51238,21376,16883,38556,68591,2730,49614,38487,7003,507,3617,1494,1507,8275,0,624,0,381,2879,0,1087,0,0,29287,9924
1971:Q4,879796,7627,84172,774931,734464,17825,4284,18358,1789,11277,862196,622731,75148,53324,21824,18197,43046,73628,4183,52611,41954,6248,514,3895,1509,1763,8575,0,696,0,247,2947,0,1097,0,0,29446,17600
1972:Q1,892551,7895,82564,788374,748906,15961,4174,19333,2008,11710,882691,641738,75696,53412,22284,14672,43935,76855,3537,56684,46082,5394,561,4647,1521,1164,8926,0,742,0,167,3013,0,1101,0,0,29795,9860
1972:Q2,923307,8066,84601,817242,776259,16696,4067,20220,1746,11652,907741,660025,76959,54196,22763,16861,45696,76850,3141,56401,44769,6696,623,4313,1531,1328,9292,0,780,0,192,3079,0,1106,0,0,31351,15566
1972:Q3,948985,8200,83531,842849,799601,18144,4408,20696,1444,12961,941157,683906,79158,55919,23239,16423,45315,82751,4445,60382,48001,7505,676,4200,1537,1422,9732,0,788,0,197,3144,0,1104,0,0,33605,7828
1972:Q4,996789,8313,86422,885766,839188,20202,4750,21626,1548,14740,979922,708033,82693,59000,23693,17864,50591,83223,5949,58006,43850,8925,683,4548,1540,1981,10301,0,958,0,199,3208,0,1081,0,0,37519,16867
1973:Q1,1016544,8420,87852,902625,854965,20099,4792,22769,1291,16356,1008116,729042,84594,59367,25227,19722,52016,86142,4069,62768,47758,9185,688,5137,1540,1524,10780,0,916,0,234,3271,0,1040,0,0,36600,8428
1973:Q2,1048575,8531,88897,932143,879455,24064,4666,23958,1453,17551,1037366,746664,88712,61944,26768,19876,53661,88141,3725,64522,46575,12167,694,5086,1534,1501,11248,0,1093,0,210,3333,0,975,0,0,40312,11209
1973:Q3,1065492,8614,92555,945948,893949,23031,4975,23993,1178,17197,1057519,760116,91021,62702,28319,14510,54052,97538,7478,69300,54092,10252,832,4124,1529,1435,12020,0,1260,0,214,3395,0,907,0,0,40282,7973
1973:Q4,1106399,8716,93986,981558,926270,25553,5223,24512,1745,20394,1091471,778900,96133,66267,29866,17815,57602,97339,4277,71033,53436,12488,969,4140,1527,2070,12482,0,1344,0,297,3455,0,854,0,0,43682,14928
1974:Q1,1121509,8813,93645,994135,935362,28022,5182,25569,2027,22889,1117056,796557,95603,64773,30830,16516,57432,101382,4171,75221,56314,12800,850,5257,1534,1493,13048,0,1246,67,271,3513,0,818,0,0,49567,4453
1974:Q2,1171885,8924,98617,1033887,966379,35709,5138,26661,2064,28393,1158128,812680,96846,65306,31540,17291,61501,117321,5468,88866,62358,20322,730,5456,1546,1451,13713,0,1488,210,217,3571,0,791,0,0,52489,13757
1974:Q3,1180417,9069,103391,1037667,973014,32737,5220,26696,2063,28227,1173389,821374,99350,67623,31727,16862,58760,120192,8957,86682,67111,14582,675,4314,1560,1502,14424,0,1643,786,239,3628,0,771,0,0,56851,7028
1974:Q4,1218744,9252,100128,1073783,1003881,37094,5290,27518,2393,33188,1202769,840529,104710,73182,31528,14228,63237,117774,2217,88518,65235,17741,787,4755,1581,1998,15323,0,1797,1620,284,3684,0,752,0,0,62292,15975
1975:Q1,1227539,9453,103601,1076491,1007940,33706,5540,29305,2889,35105,1219289,855969,105753,74162,31591,15350,60595,123320,2948,92059,69960,15079,795,6225,1412,1613,16121,0,2128,2326,234,3739,0,740,0,0,58303,8250
1975:Q2,1269275,9687,104066,1112676,1038521,37262,5794,31099,2721,40125,1261446,884517,109741,78008,31733,17519,61182,128278,2337,96569,70214,18837,803,6715,1455,1546,17066,0,2020,2532,230,3793,0,730,0,0,60210,7829
1975:Q3,1287080,9934,109058,1125939,1051739,36353,6069,31778,2245,39904,1281645,901957,111658,79636,32022,19230,58691,127188,3715,93911,71202,16674,850,5185,1527,1294,18015,0,1638,2308,204,3847,0,729,0,0,62922,5435
1975:Q4,1338222,10218,110692,1169258,1088883,41012,6350,33013,2662,45392,1322991,924051,117437,85024,32413,17491,61739,137582,3933,101187,73970,21178,899,5140,1681,1924,18854,0,1446,2139,281,3899,0,738,1500,0,64691,15231
1976:Q1,1355585,10403,111327,1182879,1101126,40464,6325,34964,3121,47855,1346808,948116,119361,86555,32806,16640,60382,139376,2420,104591,76960,20603,875,6153,1486,1295,19712,0,1330,1705,285,3949,0,903,1700,0,62934,8777
1976:Q2,1405745,10558,118761,1218476,1132465,43024,6294,36693,2860,55090,1395814,977145,122086,88711,33375,24892,58880,148088,4329,110112,81189,22318,864,5741,1615,1420,20350,0,1418,1669,265,3999,0,1011,1900,0,64724,9931
1976:Q3,1427825,10685,121836,1237958,1149136,44848,6510,37464,3067,54279,1423434,999263,121063,86678,34385,27782,59050,150147,3214,113230,83818,24128,800,4484,1739,1081,20715,0,1309,1530,217,4048,0,964,2100,0,66130,4391
1976:Q4,1493910,10820,119693,1298284,1202665,49885,6729,39005,3866,61247,1479071,1026552,130950,95189,35761,21025,62878,158558,2611,120381,86196,28543,744,4898,1910,1697,21149,0,1414,1487,235,4096,0,1018,2560,0,79109,14839
1977:Q1,1514505,10939,118000,1322288,1226079,47891,6964,41354,3509,59769,1507502,1061620,127190,90430,36760,18185,64096,160510,2964,121978,87945,26879,900,6254,1765,956,21799,0,1334,1455,234,4143,0,1082,2800,0,75902,7003
1977:Q2,1565764,11081,126365,1360324,1257972,51734,7204,43414,3712,64282,1554873,1085378,132644,94748,37896,25772,64556,166525,3854,125043,88668,29350,1093,5932,1895,1119,22601,0,1701,1569,224,4189,0,1130,3200,0,79998,10891
1977:Q3,1600690,11206,127293,1393940,1284321,57332,7383,44904,3572,64679,1599317,1118879,134630,95271,39359,28362,65868,166803,3259,124426,85985,31924,1172,5345,1828,1232,23515,0,1803,1556,272,4235,0,1077,3600,0,84776,1373
1977:Q4,1678435,11331,127474,1459904,1341366,64280,7562,46696,4146,75580,1668435,1142911,148940,107859,41081,21287,70922,191291,4061,145507,99458,38921,1252,5876,2183,1883,24479,0,1696,1793,304,4279,0,1036,4070,0,93084,10000
1978:Q1,1696950,11441,124514,1476264,1352879,65935,7932,49518,4439,80292,1692196,1172027,144523,102106,42417,15346,72799,195467,3069,149008,101935,38319,1332,7422,1678,1123,25536,0,2090,2658,264,4321,0,1120,4600,0,92034,4754
1978:Q2,1748846,11565,135114,1519938,1390085,69780,8415,51658,5010,77219,1740288,1197852,149071,105184,43887,26255,73732,198498,4734,147529,100272,39744,1414,6099,1821,1285,26621,0,2430,3115,298,4363,0,1102,5200,0,94880,8558
1978:Q3,1796616,11683,140199,1561702,1421864,78629,8815,52394,5624,77408,1795351,1228961,149663,103979,45684,31115,75500,206799,5065,151808,100002,45180,1489,5137,2219,1178,27628,0,2855,4095,248,4404,0,1299,6000,0,103313,1265
1978:Q4,1886605,11831,139134,1633737,1481521,89985,9183,53048,6206,95697,1870254,1250287,167263,119514,47749,22186,79078,240687,7078,180371,121777,52479,1578,4537,2602,1857,28844,0,2739,4458,334,4444,0,1225,6735,0,110753,16351
1979:Q1,1886606,12158,138283,1637408,1477962,94929,9500,55017,6689,92068,1881660,1266158,169103,119121,49982,12937,79647,232436,5838,170177,109218,53364,1673,5922,2125,869,29934,0,3206,7229,301,4483,0,1374,6900,0,121380,4946
