1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,635411,81239,72177,2813,0,28451,16345,79,5740,6287,69853,49974,18623,1256,184698,3482,0,57777,118836,16085,119628,51792,17552,25350,8576,16358
1952:Q1,646805,80356,73469,2777,0,30920,17164,123,7499,6134,70579,49829,18652,2098,186382,3612,0,58445,123170,17095,121462,53066,17962,24597,8746,17092
1952:Q2,660923,78445,75744,2728,0,33084,16894,0,9835,6355,70902,49705,18913,2284,192554,3696,0,59153,127384,17233,126874,54798,18725,26878,8935,17538
1952:Q3,672164,81054,77273,2680,0,34755,18019,0,10606,6130,71178,49703,19126,2349,192052,3837,0,59892,131502,17941,130658,56640,19320,27965,8997,17736
1952:Q4,672330,82911,79651,2656,0,35169,18216,-1,10957,5997,71846,49887,19289,2670,181107,3932,0,60665,135627,18766,135039,58416,19650,30522,9085,17366
1953:Q1,678448,83582,81545,2618,0,35208,17435,52,11875,5846,72326,50258,19619,2449,177850,3867,0,61439,139907,20106,138683,60006,19887,30901,9420,18469
1953:Q2,677467,80272,84177,2567,0,39045,20054,135,12743,6113,72343,49897,19886,2560,168575,3778,0,62199,144271,20240,144127,62225,20596,32672,9715,18919
1953:Q3,682704,82859,85755,2509,0,39364,19865,209,13542,5748,72498,49926,20020,2552,163841,3753,0,62937,148566,20622,147494,64205,21052,33354,9706,19177
1953:Q4,704672,83999,87886,2465,0,38681,18667,154,13873,5987,73162,50079,20285,2798,177571,4146,0,63647,152853,20262,149065,65938,21280,34614,9771,17462
1954:Q1,722896,82489,89888,2415,0,39020,18775,140,14386,5719,73188,50207,20492,2489,188597,4512,0,64339,157092,21356,150743,67351,21551,32744,10040,19057
1954:Q2,745345,81629,92829,2355,0,38450,18010,140,14678,5622,73757,50378,20817,2562,203774,4895,0,65018,161396,21242,156021,69614,22467,34006,10310,19624
1954:Q3,774497,85996,94440,2304,0,37369,16498,152,15246,5473,74241,50622,21107,2512,221809,5469,0,65687,165597,21585,161300,72336,23205,34242,10662,20855
1954:Q4,784573,86504,97182,2239,0,37084,16121,147,15964,4852,75208,50986,21423,2799,222894,6110,0,66349,169935,21068,165835,75356,23588,35963,11125,19803
1955:Q1,801262,86271,99274,2200,0,38748,17475,39,16484,4750,75485,51188,21796,2501,229229,6525,0,67031,174406,22093,170687,78237,24084,35702,11752,20912
1955:Q2,829873,83950,101868,2107,0,40234,18056,117,17509,4552,75805,51097,22089,2619,249979,7186,0,67740,179126,21878,179933,81697,24831,38755,12029,22621
1955:Q3,856984,87509,103362,1997,0,42276,19003,232,18360,4681,76091,51163,22315,2613,264068,7257,0,68498,183738,22188,187025,85032,25509,40543,12283,23658
1955:Q4,868359,87957,105783,1984,0,43368,18614,605,19174,4975,76758,51128,22725,2905,265346,7839,0,69254,188255,21815,192531,87936,25692,42949,12288,23665
1956:Q1,896359,87330,107946,1893,0,45534,20077,721,19569,5167,77199,51369,23199,2631,281568,8555,0,70104,193193,23037,195952,90356,26473,42251,12423,24449
1956:Q2,896584,85925,110925,1858,0,46872,19863,958,20436,5615,77561,51155,23674,2732,272443,8613,0,71013,198064,23310,202918,93327,27466,44281,12649,25195
1956:Q3,904084,88662,112516,1792,0,48602,20394,1115,21308,5785,77853,51105,23976,2772,267405,8506,0,71904,202861,23983,207809,96174,28315,44978,12719,25622
1956:Q4,935482,89966,115230,1740,0,49060,20090,959,21900,6111,78405,51017,24327,3061,287754,9046,0,72724,207775,23782,211726,98745,28575,46580,12969,24857
1957:Q1,935845,89017,118462,1693,0,51600,21276,933,22537,6854,78036,50417,24871,2748,274211,9106,0,73468,215364,24888,214163,100851,28810,45242,13101,26159
1957:Q2,963377,87019,121985,1592,0,52610,21603,1154,22812,7041,78156,49954,25333,2869,290571,9687,0,74135,223253,24369,219994,103039,29510,47223,13484,26738
1957:Q3,952334,89835,123872,1490,0,54976,22998,1100,23526,7352,78171,49485,25843,2843,264952,9001,0,74784,230809,24444,223967,105397,30350,47971,13527,26722
1957:Q4,965524,89733,127167,1413,0,55721,23231,1463,23851,7176,78555,49170,26283,3102,266362,8714,0,75462,238362,24035,226942,107374,30733,49217,13328,26290
1958:Q1,992746,89965,130705,1388,0,56176,22603,1208,24382,7983,78749,49297,26750,2702,280533,9463,0,76183,244119,25465,227803,108975,31426,46775,13932,26696
1958:Q2,1015151,86992,134835,1288,0,54438,22996,824,23317,7301,79548,49235,27539,2774,294974,10610,0,76958,249988,25520,232895,111142,32482,47704,14621,26946
1958:Q3,1060429,92963,137708,1287,0,52971,20619,798,23794,7760,80118,49142,28168,2808,323831,11791,0,77752,255963,26045,237838,114035,33528,47940,14832,27502
1958:Q4,1084806,94033,141266,1220,0,54143,20770,833,24616,7924,81014,49024,28887,3103,333702,13242,0,78535,261909,25742,243897,117177,34177,49490,15177,27876
1959:Q1,1103575,93417,143832,1186,0,56944,22345,917,25460,8222,81070,48904,29330,2836,339992,14132,0,79331,266993,26678,248533,119935,35460,48991,15668,28479
1959:Q2,1125622,92107,147681,1127,0,57963,22258,1523,26068,8114,81226,48318,29939,2969,351618,14973,0,80133,272376,26418,257958,123346,37106,51878,16197,29432
1959:Q3,1134001,95119,149934,1075,0,61011,23793,2011,27058,8149,80940,47682,30314,2944,345702,14747,0,80994,277689,26790,266083,127007,38493,53918,16206,30459
1959:Q4,1163164,94285,152525,1031,0,64358,25512,2267,28362,8217,79940,45714,30801,3425,364772,15818,0,81956,282854,25625,272121,130099,39170,57213,16312,29327
1960:Q1,1155619,92240,154522,975,0,69706,29565,1630,28972,9539,79386,45180,31342,2864,344367,15312,0,82895,288834,27382,275774,132580,40447,55757,16412,30578
1960:Q2,1172310,90326,158156,917,0,70504,28513,1909,30072,10010,79908,44773,32110,3025,350355,16097,0,83772,295418,26857,284055,135366,41796,58622,16901,31369
1960:Q3,1161542,93814,161281,873,0,69857,27973,1294,30503,10087,80836,45089,32820,2927,326084,15640,0,84539,301295,27323,290060,138582,43062,59590,17190,31636
1960:Q4,1214115,95582,164461,844,0,69154,26502,1033,31007,10612,82517,45740,33575,3202,364813,17026,0,85184,307674,26860,295331,141378,43950,61248,17325,31430
1961:Q1,1265254,93498,169701,803,0,67790,26023,359,30769,10639,82484,45465,34425,2594,403502,19440,0,85872,313878,28286,298968,143645,45554,59339,18181,32249
1961:Q2,1278309,91883,175096,774,0,67904,24589,224,31610,11481,84194,46178,35253,2763,403359,20003,0,86665,320203,28228,306613,146603,47158,60597,18928,33327
1961:Q3,1302800,94876,177733,743,0,68371,25921,244,31180,11026,84585,45777,36010,2798,412972,21007,0,87588,326199,28726,312755,150179,48925,61082,19171,33399
1961:Q4,1349492,95088,182845,720,0,69387,25449,592,32506,10840,85719,45755,36834,3130,443622,22875,0,88631,332393,28212,319921,154027,50221,63435,19480,32758
1962:Q1,1349670,93352,189204,677,0,69362,26353,567,31469,10973,85782,45628,37377,2777,433425,22981,0,89663,335970,29254,323749,156488,51680,62038,19629,33915
1962:Q2,1251091,91226,196080,648,0,69118,26370,410,31384,10954,87283,46288,37975,3020,329923,18257,0,90651,339111,28794,333014,160237,53563,65435,19656,34123
1962:Q3,1284853,93580,201423,620,0,70279,27948,286,31852,10193,87975,46550,38406,3019,348575,18796,0,91563,342950,29092,341149,164345,55270,66626,20190,34717
1962:Q4,1382989,95311,208828,601,0,69232,26699,235,32087,10211,88476,46155,39006,3315,431479,20909,0,92398,347129,28626,349533,168307,56830,69344,20546,34506
1963:Q1,1409177,96486,215765,575,0,65500,23170,9,31665,10656,88223,45933,39324,2966,444237,22156,0,93355,353307,29573,354841,171352,58378,68935,21303,34872
1963:Q2,1446509,95299,223030,551,0,64641,22610,0,31642,10389,90317,47046,40093,3178,465592,23306,0,94378,359984,29411,366719,175801,60528,72217,22454,35718
1963:Q3,1482694,97969,227746,523,0,65002,23997,0,31128,9877,90528,46985,40319,3224,485481,24118,0,95473,366147,29707,375853,180662,62446,74362,23121,35262
1963:Q4,1474160,99995,234936,508,0,66655,24418,0,32094,10143,91409,47328,40528,3553,457587,24819,0,96635,372399,29217,385776,185106,64114,77870,23565,35122
1964:Q1,1519799,97291,240745,491,0,68234,25798,0,32475,9961,92434,48288,40880,3266,486613,26433,0,97719,379682,30157,392101,188776,65477,78041,24039,35767
1964:Q2,1552304,97878,247988,473,0,68446,25825,0,33112,9509,91857,47295,41158,3404,501922,27156,0,98806,387400,30378,404549,193368,67697,81812,24542,37130
1964:Q3,1592439,102726,253567,455,0,69385,25619,0,34138,9628,93342,48292,41613,3437,518877,28523,0,99913,394671,30980,413426,198076,69718,84142,24639,36851
1964:Q4,1621321,102904,261041,436,0,69875,24486,245,34854,10290,94139,48262,42098,3779,530699,28447,0,101051,401876,30853,422888,202335,71426,87352,24669,37106
1965:Q1,1653329,100587,268791,411,0,71018,27113,21,33771,10113,94356,48686,42175,3495,544164,29751,0,102149,410278,31824,429075,205891,72805,87645,25250,37484
1965:Q2,1646586,100904,275058,388,0,70757,26678,618,33792,9669,94930,48788,42480,3662,521171,29291,0,103382,418760,31945,441702,210329,75193,92243,25798,38140
1965:Q3,1718885,106947,280622,371,0,72069,26280,909,34915,9965,95217,49156,42391,3670,566815,32050,0,104656,427481,32657,450901,215042,77349,94391,25858,38261
1965:Q4,1776618,109743,288514,352,0,71438,24774,1132,36531,9001,96329,49678,42611,4040,601439,34410,0,105876,435926,32591,461314,219449,79111,97489,26651,38614
1966:Q1,1779808,108175,294109,332,0,78025,28787,1843,37666,9729,95814,49513,42600,3701,581368,35326,0,107049,445817,33793,468050,223358,81379,97096,27788,38429
1966:Q2,1772165,107089,299561,216,0,79074,25623,4946,38778,9727,97817,50560,43427,3830,555687,34547,0,108190,456039,33945,480277,227232,83554,100205,28645,40642
1966:Q3,1733553,110014,301554,164,0,84603,28546,5724,39058,11275,98354,50639,43990,3725,497826,31301,0,109347,465257,35133,485833,230272,85213,100989,28972,40387
1966:Q4,1791652,111566,307135,135,0,86024,27902,5850,41151,11121,99718,51113,44617,3988,531716,33850,0,110568,475695,35245,493036,232742,86317,103422,29512,41043
1967:Q1,1886500,110950,317399,99,0,84641,27027,5837,39687,12090,100164,51551,44959,3654,599333,38226,0,111833,487191,36664,494608,234221,87590,101348,30972,40477
1967:Q2,1914477,111808,328252,83,0,80255,24029,5716,38330,12180,101106,52032,45344,3730,605033,39284,0,113070,498505,37081,505350,237076,89966,104131,32172,42005
1967:Q3,1983447,115693,335860,44,0,84487,26303,5625,39262,13297,102067,52563,45877,3627,641200,42006,0,114312,509672,38106,514123,241547,92535,105544,33395,41101
1967:Q4,2036288,122075,342144,25,0,87405,27821,6265,38208,15111,103909,53430,46607,3872,663676,42973,0,115533,520252,38296,538136,245974,97118,108567,35205,51273
1968:Q1,2006129,118180,350920,0,0,90315,32224,5670,37137,15284,103870,52966,47312,3592,614634,40523,0,116735,533152,37800,529375,249378,96239,107272,35446,41040
1968:Q2,2123717,119957,356638,0,0,91751,30703,6475,38066,16507,106785,55351,47757,3677,697727,45972,0,117919,548654,38314,546128,253675,99100,111404,38430,43518
1968:Q3,2164809,124314,364408,0,0,92415,32056,5982,37621,16756,109096,56829,48735,3532,705275,48300,0,119108,562373,39520,556623,258183,101670,114160,39116,43495
1968:Q4,2281543,131158,372312,0,0,90773,30117,6120,36490,18046,109730,56796,49082,3852,791494,49529,0,120321,576542,39684,572297,262934,104189,119324,40893,44956
1969:Q1,2255312,123783,377319,0,0,101861,37507,5981,40035,18338,104221,53370,47321,3530,745190,48554,0,121558,591689,41137,574373,264857,106002,118884,40290,44340
1969:Q2,2239908,125248,382216,0,0,100297,30883,7983,42266,19165,105835,55130,47138,3567,707585,46190,0,122811,607671,42055,591348,269738,109728,123675,41115,47092
1969:Q3,2245216,123924,380750,0,0,115019,39511,9209,45302,20997,103138,52024,47629,3485,686177,46004,0,124080,623045,43079,601553,274512,112982,125813,40631,47615
1969:Q4,2233068,129503,381127,0,0,122174,41565,11305,47244,22060,108001,54752,49537,3712,638984,45578,0,125359,638886,43456,615915,278689,115922,129231,41899,50174
1970:Q1,2235239,125516,382356,0,0,130825,47075,14195,48079,21476,104151,53228,47509,3414,614908,46279,0,126700,659903,44601,609197,279940,104588,126663,42314,55692
1970:Q2,2122498,131828,390877,0,0,123476,37544,14982,48227,22723,105093,53146,48469,3478,485261,37027,0,127975,675845,45116,621044,283228,108080,129421,42885,57429
1970:Q3,2256091,135762,409150,0,0,125455,34716,15735,48542,26462,107617,53607,50430,3580,564921,41919,0,129291,696323,45653,632963,287149,112635,131424,43755,58000
1970:Q4,2351754,137187,424712,0,0,124368,31477,15943,47144,29804,110465,55828,50808,3829,617731,44501,0,130699,716279,45812,645459,290995,116557,133660,44723,59524
1971:Q1,2465071,137498,448774,0,0,120567,27473,14951,46097,32046,109484,55693,50335,3456,677526,50329,0,132198,739207,49488,654756,294998,119208,134072,46058,60420
1971:Q2,2505976,143139,464753,0,0,118033,23729,13112,46375,34817,110112,55505,51066,3541,673299,50571,0,133782,761039,51248,676280,301637,124389,138912,47819,63522
1971:Q3,2536090,145069,478313,0,0,123172,25388,13937,46564,37283,109052,55336,50209,3507,658901,49798,0,135412,782805,53568,695259,309668,129526,143465,48530,64071
1971:Q4,2632249,150668,493887,0,0,118595,20572,14615,45970,37438,111053,58125,49216,3712,707587,53006,0,137050,805219,55184,717552,316620,134201,149243,49846,67643
1972:Q1,2726178,149467,514555,0,0,119716,22522,12831,46559,37804,110603,57397,49835,3371,748641,55084,0,138719,831637,57756,731077,323810,137604,148847,52649,68167
1972:Q2,2770058,149811,532977,0,0,117026,20190,11668,46909,38259,112458,58425,50626,3407,744860,54180,0,140425,858047,60274,762433,333473,144958,156222,54752,73027
1972:Q3,2844272,154051,553094,0,0,117729,20727,10943,47181,38878,111915,57435,51109,3371,764315,53712,0,142160,884124,63172,786468,344759,150882,161529,55662,73637
1972:Q4,3021397,163090,568636,0,0,115953,20766,8898,47684,38605,115290,60400,51260,3630,882122,56383,0,143924,911037,64962,815575,354615,158500,168757,56100,77603
1973:Q1,2991069,161041,593228,0,0,121478,23472,8537,50607,38862,113160,58868,51001,3291,812281,50224,0,145728,925340,68589,842441,363074,163234,171528,57581,87024
1973:Q2,2959256,164852,608580,0,0,122200,23530,8472,51521,38677,115787,60899,51514,3374,744351,45290,0,147582,939629,70985,876987,374782,167503,180398,57242,97061
1973:Q3,3050304,165586,622849,0,0,132652,28355,9481,54174,40642,114738,60533,50937,3268,785638,49090,0,149445,956898,73408,905500,386342,166098,186695,57744,108621
1973:Q4,2948230,176003,632763,0,0,134368,29309,8332,55136,41591,117880,63927,50516,3437,647173,43695,0,151271,969401,75676,927956,396316,162662,192980,57672,118327
1974:Q1,2965239,172229,655158,0,263,141878,36056,5738,56629,43455,116847,62201,51525,3121,612434,41490,0,153053,993426,78461,944929,404299,167529,190460,58534,124108
1974:Q2,2933127,171326,672894,0,570,141283,30113,6970,57899,46301,120591,65069,52356,3166,537817,37557,0,154785,1015519,80785,980516,415158,175432,196777,59938,133210
1974:Q3,2830142,173272,679829,0,1386,131121,8477,11510,62394,48740,147437,91041,53356,3040,395668,29123,0,156539,1033711,82056,1011087,425363,183843,201241,61706,138934
1974:Q4,2888190,181277,690780,0,2379,140237,9044,13669,62164,55360,148950,91880,53987,3083,391408,31813,0,158390,1060356,82600,1032106,432009,189927,201926,62895,145350
1975:Q1,3034155,168610,718950,0,3620,137384,4335,11529,62603,58917,144022,93397,47980,2645,485182,37436,0,161437,1093315,84199,1038375,436823,194263,195912,64173,147204
1975:Q2,3178590,178589,737661,0,3661,135842,6667,8769,63059,57347,147488,94526,50303,2659,556835,42283,0,163786,1126810,85635,1060238,447576,198254,195933,66508,151966
1975:Q3,3163670,181029,752950,0,3708,150864,16199,7681,65177,61807,146873,91676,52665,2532,486024,36835,0,165845,1152351,87191,1085671,459486,200953,201183,68223,155827
1975:Q4,3276672,183182,773282,0,3645,161538,21266,7584,66809,65879,152327,95926,53733,2668,523873,38749,0,168615,1182138,89323,1114991,471020,204010,206996,70134,162830
1976:Q1,3418420,178881,802041,0,3557,158611,18840,6963,69757,63051,154221,97200,54682,2339,610222,42619,0,170603,1206466,91199,1133150,482963,209038,204908,73059,163182
1976:Q2,3495771,184962,825558,0,3341,161641,14671,7584,73874,65512,155213,97274,55561,2378,629097,42441,0,173063,1226453,94002,1168961,497634,212828,213148,76302,169049
1976:Q3,3559831,187523,846125,0,3322,166163,14604,6993,74962,69604,156098,97173,56669,2256,640103,40957,0,175284,1247028,97228,1202926,515251,216910,220688,78898,171180
1976:Q4,3650527,195979,866334,0,3099,168418,6443,11611,72859,77505,163485,104014,56990,2481,664031,41436,0,177810,1268980,100955,1239496,531432,221201,228961,80849,177052
1977:Q1,3656905,196382,901998,0,2939,169085,9651,7418,73367,78649,159091,98981,57948,2162,608789,37826,0,180110,1296706,103979,1268938,546488,226732,229155,84265,182298
1977:Q2,3732619,200317,922957,0,3017,164650,719,7507,77953,78471,161788,100720,59010,2058,622067,40651,0,182542,1326184,108446,1320931,571489,232943,242048,87361,187091
1977:Q3,3774190,208959,949279,0,2956,167102,3360,7832,76821,79089,161452,99352,60254,1846,591498,40413,0,184977,1354319,113235,1370276,598540,238605,252953,89051,191127
1977:Q4,3816018,213619,970373,0,3197,171671,3136,8260,78817,81458,169432,106548,60887,1997,559025,40355,0,187791,1382302,118253,1418428,622779,244514,264892,91113,195131
1978:Q1,3859864,214115,1000329,0,4734,177061,4242,8452,84708,79659,169681,105771,62427,1483,525569,39400,0,190447,1415228,123300,1454282,641067,250760,266971,95663,199821
1978:Q2,3974570,221663,1020076,0,6050,179571,364,8340,92098,78769,173359,106431,65581,1347,559106,41664,0,193515,1451322,128244,1522994,669239,258180,284526,102411,208637
1978:Q3,4103946,229599,1045046,0,7215,186151,4894,8388,97663,75206,179045,108948,68894,1203,594913,43683,0,196379,1488737,133178,1588648,701677,265550,298022,108012,215387
1978:Q4,4157070,233564,1064472,0,8928,186486,-4749,9657,104168,77410,195711,123694,70559,1458,567841,41080,0,199349,1521778,137861,1648314,732331,273801,311305,107647,223229
1979:Q1,4276093,228176,1087964,0,15693,198479,1220,11425,109320,76514,192593,117863,73778,952,602005,42476,0,201981,1563938,142788,1693072,757019,281137,313819,110291,230806
1979:Q2,4384137,240525,1101016,0,22681,212878,8375,11300,116868,76335,195013,116325,77837,851,613786,43252,0,204874,1602267,147845,1769066,788579,294528,327319,119232,239408
1979:Q3,4523467,254468,1123224,0,29822,215611,11820,12373,121094,70324,201764,119428,81615,721,652390,44837,0,207470,1641416,152465,1843762,822265,307654,341528,123814,248500
1979:Q4,4667577,256149,1136716,0,39459,251472,38122,12405,123387,77558,209243,125748,82612,883,684612,38388,0,210280,1684319,156939,1911821,849968,320456,354616,126093,260689
1980:Q1,4700137,247541,1161713,0,54525,267431,57002,16591,123644,70194,206086,113902,91775,409,627160,39456,0,212738,1724349,159138,1962931,880320,332830,349662,133395,266724
1980:Q2,4897203,252641,1181212,0,69928,270056,57940,14552,126357,71207,204868,110934,93709,225,718134,44130,0,215426,1779887,160921,2002457,896823,347575,345637,138149,274273
1980:Q3,5117345,272199,1213277,0,70003,275622,62118,13534,128410,71560,212576,114311,98115,150,809262,49129,0,217843,1833785,163649,2057309,925899,359138,350336,142971,278966
1980:Q4,5336879,276640,1263768,0,64366,284088,71267,13624,129712,69485,218424,118802,99472,150,901755,52060,0,220528,1884123,171127,2117728,952035,368998,358044,151033,287617
1981:Q1,5432724,280101,1267308,0,98522,285920,71985,8314,142505,63116,212530,109170,103285,75,901836,52359,0,222820,1933066,178262,2145221,967221,379921,353902,154604,289573
1981:Q2,5521396,288570,1288454,0,108564,289557,65490,9456,150441,64170,217254,105837,111367,50,882884,53153,0,225469,1981972,185519,2202100,990980,389101,361610,161739,298670
1981:Q3,5512203,299155,1313852,0,137398,309843,80234,8332,158568,62709,218697,101111,117536,50,737934,48742,0,227675,2026634,192273,2248719,1008827,397458,371928,165110,305396
1981:Q4,5755024,325152,1362455,0,154610,318052,79050,7380,158648,72974,227365,105594,121746,25,800923,52640,0,230103,2084376,199348,2295970,1024623,411139,377882,169302,313024
1982:Q1,5761423,319339,1411237,0,164885,337351,86473,8143,171382,71353,229069,101300,127744,25,677657,49981,0,232020,2139456,200427,2317411,1036050,422465,373537,167688,317671
1982:Q2,5871600,321447,1452588,0,175381,353336,89934,9017,188545,65840,234126,102137,131989,0,650001,50031,0,234054,2198867,201770,2370030,1049487,437456,380887,171945,330255
1982:Q3,6087457,335664,1476259,0,201364,386086,107660,8568,199419,70439,228609,99829,128780,0,692346,55666,0,235699,2271462,204302,2406310,1049598,453936,386815,176360,339602
1982:Q4,6391295,349165,1538502,2427,186712,382834,101897,3400,201416,76121,242243,106394,135849,0,845288,65110,0,237912,2331384,209717,2460352,1064385,467324,396718,181196,350730
1983:Q1,6635925,356556,1613263,2536,164329,401675,110993,5319,212744,72619,234441,99208,135233,0,923495,76160,0,239825,2408221,215424,2473830,1081163,465064,391910,183530,352164
1983:Q2,6926240,365554,1659167,2490,150654,431478,126280,5584,230886,68728,237622,99991,137631,0,1029505,92057,0,242193,2494575,220946,2547142,1110187,479014,403838,191506,362597
1983:Q3,7065343,367387,1716223,2601,150913,472504,145067,4873,245480,77084,240075,101829,138246,0,996472,95017,0,244236,2552166,227749,2626172,1146901,494058,420612,193722,370879
1983:Q4,7127583,367885,1760157,6937,149944,462274,141937,4642,246752,68943,245154,104536,140618,0,939597,98040,0,246680,2614619,236297,2711887,1179094,510940,444878,195116,381859
1984:Q1,7196278,353621,1824944,7190,163904,460327,156118,5353,255368,43488,243765,101004,142761,0,877756,100040,0,247938,2676848,239945,2774162,1208670,532835,452010,194670,385977
1984:Q2,7327995,362198,1894709,7280,166718,513750,182138,8895,274551,48166,247254,100597,146657,0,814943,100241,0,249458,2728682,242762,2874060,1246094,556207,479799,196721,395239
1984:Q3,7558558,361890,1947495,7026,167650,546627,200441,8701,290758,46727,254628,103196,151432,0,849182,113338,0,250814,2814425,245484,2964236,1280785,579364,501839,196019,406229
1984:Q4,7753298,384917,2010134,6902,194318,540226,191203,11880,291176,45967,253896,111576,142320,0,847020,119018,0,252717,2896256,247894,3061626,1313080,603029,526584,197451,421482
1985:Q1,8059011,381588,2054719,7017,201589,610835,210471,14465,318631,67268,266837,102102,164735,0,895484,135840,0,254827,2997273,253002,3167119,1376924,626666,536023,197014,430491
1985:Q2,8300479,394861,2082814,6812,207124,624716,186558,28752,331746,77660,285415,117172,168243,0,948347,162766,0,257670,3067437,262518,3278761,1418706,648908,559592,202017,449538
1985:Q3,8382752,409829,2113313,7207,203542,654426,200866,23211,348109,82240,280008,114478,165530,0,880000,179161,0,260483,3118680,276103,3400258,1469978,669698,585905,209134,465544
1985:Q4,8736227,410630,2141933,7791,206063,682285,183787,9315,397033,92150,297289,137132,160157,0,1033079,219442,0,264250,3184551,288915,3520263,1519551,677030,610574,216768,496340
1986:Q1,9103648,424759,2165611,7952,226375,696462,172032,5630,402145,116655,299515,140582,158933,0,1161103,275257,0,268176,3277172,301266,3553828,1550671,692564,606799,219721,484073
1986:Q2,9348071,458756,2182052,8126,237429,709142,149282,8507,415992,135361,295848,135422,160426,0,1206194,312493,0,272767,3353180,312083,3639115,1608931,705975,627891,221178,475140
1986:Q3,9390983,477868,2216663,8447,253462,705523,167277,7952,402635,127659,300640,141445,159195,0,1087234,338139,0,277335,3402400,323272,3742363,1675900,720428,649888,222783,473364
1986:Q4,9844306,530382,2265426,8753,249879,738008,176216,10108,416632,135052,314311,157033,157278,0,1249742,375743,0,282494,3496575,332993,3846582,1722797,744599,666355,225437,487394
1987:Q1,10267191,494700,2277700,8687,262066,746532,145432,7585,440512,153003,316567,155333,161234,0,1469527,453009,0,289559,3606001,342844,3867701,1762183,757276,644317,218695,485230
1987:Q2,10437352,507667,2309779,8525,259961,804324,157860,11705,468867,165892,315517,156709,158808,0,1440409,458493,0,295941,3687526,349210,3974025,1835901,764829,660313,223088,489894
1987:Q3,10718706,512602,2349327,8400,265292,853583,163266,13709,496053,180555,315308,158702,156606,0,1501900,458924,0,303247,3794033,356090,4064328,1890295,770723,679637,225431,498243
1987:Q4,10550801,526342,2404912,9759,275259,861102,180011,16572,523080,141439,326319,170581,155738,0,1210754,404113,51818,313725,3801361,365337,4150265,1920397,785013,698640,234006,512209
1988:Q1,10886712,519122,2472681,9724,300008,859286,173679,9967,531743,143897,336052,177890,158162,0,1319317,422040,52512,319905,3899611,376454,4222760,1967038,804721,693732,232416,524852
1988:Q2,11146220,525079,2511932,10130,282634,886582,192684,7144,547534,139220,344176,181998,162178,0,1402012,428843,53230,327303,3985937,388362,4337083,2036529,822781,710128,235766,531879
1988:Q3,11352683,524711,2557351,10318,280755,932210,214874,10140,571805,135391,351032,184736,166296,0,1431896,424255,53960,333606,4051392,401197,4448102,2096937,840585,725838,240633,544109
