1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q4,18,22,-1193,-304,-1153,-377,-1111,638,-303,-3226,-2776,3707,-4157,3490,-8014,2411,-1981,-8444,-6826,-1446
2008:Q1,38,47,611,46,-841,-429,-604,-2,194,715,21,538,156,691,-300,-416,-527,643,-920,10080
2008:Q2,38,48,2581,69,2021,-198,2094,177,-52,-275,-366,11,80,766,2322,525,1296,501,-269,172
2008:Q3,38,48,-1174,-85,-547,-15,-419,64,-177,135,-169,322,-18,-677,-1356,-284,2675,-3747,-191,293
2008:Q4,39,46,-4316,597,-2696,-2,-3021,258,69,-450,-1165,508,207,-1767,-4049,-911,-1279,-1859,260,-11143
2009:Q1,36,40,-1696,1078,-1785,-343,-1580,456,-318,76,5,116,-45,-1065,-2407,340,-2875,128,-715,13
2009:Q2,36,38,-1708,-1017,1295,-79,682,-591,1283,-1040,-1104,-79,143,-946,-1681,636,-1322,-995,25,1
2009:Q3,36,37,-93,-484,221,-79,-1677,1110,867,1223,1103,12,108,-1053,5778,178,-311,5911,5870,-3662
2009:Q4,36,38,-2866,1383,-1881,-193,-1320,-31,-337,-887,-314,-331,-242,-1481,-2760,290,-1297,-1753,104,-9
2010:Q1,27,24,-3731,-314,-2652,408,-2101,-380,-579,-1698,-990,-369,-339,933,-3119,164,-491,-2792,616,3503
2010:Q2,27,25,-4224,1513,-3799,380,-2205,-1097,-877,-7753,-2686,-1438,-3629,5815,-4721,527,-9160,3912,-495,-1399
2010:Q3,27,25,-4249,-128,-2660,-166,-3214,732,-12,-275,131,-359,-47,-1186,-4134,167,252,-4553,117,182
2010:Q4,27,25,-3431,-1930,-352,-56,-161,-185,50,-73,196,-329,60,-1076,-2840,-327,-949,-1564,593,-695
2011:Q1,26,23,-642,782,-285,1,-5869,297,5286,-999,-20,-1346,367,-140,-512,555,159,-1226,134,1508
2011:Q2,27,23,-1030,290,-1390,524,-935,-335,-644,-1003,-83,-555,-365,1073,-1026,983,-406,-1603,8,405
2011:Q3,27,25,3681,463,-1648,-652,-640,346,-702,127,677,-286,-264,4739,2851,-117,-30,2998,-828,958
2011:Q4,27,25,-4867,-310,-192,96,-525,588,-351,514,476,-171,209,-4879,-4421,1372,-452,-5341,448,-370
2012:Q1,28,26,19578,-343,17,-401,310,-14,122,-690,39,-441,-288,20594,19374,384,-988,19978,-202,-553
2012:Q2,28,27,5221,129,-859,456,-375,-664,-276,-445,71,-253,-263,6396,5402,2679,1709,1014,182,1296
2012:Q3,29,27,-3722,741,-844,-363,-853,-37,409,-66,515,-165,-416,-3553,-3545,-1728,-1708,-109,179,-495
2012:Q4,29,27,796,-331,-1015,-495,-1361,266,575,3348,584,2883,-119,-1206,996,967,606,-577,202,-98
2013:Q1,30,27,1174,-175,357,-32,-165,85,469,-509,49,-66,-492,1501,1357,196,578,583,186,1109
2013:Q2,30,26,1199,412,-30,-105,-210,60,225,-538,314,-861,9,1355,570,857,-407,120,-625,1299
2013:Q3,30,27,1306,-265,550,199,-224,480,95,-1624,108,-9,-1723,2645,2128,1418,2124,-1414,826,1183
2013:Q4,31,28,358,-269,724,528,-74,91,179,829,-47,-131,1007,-926,-1228,337,-739,-826,-1583,-348
2014:Q1,29,26,-572,755,287,138,-116,-248,513,-604,-156,-549,101,-1010,-448,-871,-1374,1797,127,-639
2014:Q2,30,27,-2210,382,-1476,-490,10,-756,-240,-1290,-1085,-52,-153,174,-2048,1306,1417,-4771,165,364
2014:Q3,30,27,-3999,-622,-189,438,2,-144,-485,-1541,-708,-676,-157,-1647,-4126,-815,-926,-2385,-124,-136
2014:Q4,30,28,11089,133,-303,88,-63,50,-378,-586,-204,-158,-224,11845,11023,5793,5112,118,-63,2752
2015:Q1,30,37,-5262,399,-134,127,-265,-14,18,-4352,-1561,-1009,-1782,-1175,-5087,-580,-3740,-767,169,-413
2015:Q2,31,37,7802,479,680,386,361,-195,128,-849,-135,-198,-516,7492,7454,2799,2444,2211,-354,1693
2015:Q3,31,37,-7832,-747,-21,344,-3,-284,-78,-640,-408,-190,-42,-6424,-7975,-408,-1085,-6482,-149,-162
2015:Q4,31,37,18337,-328,587,217,11,-127,486,-241,-28,-226,13,18319,18324,-350,-678,19352,-19,-344
2016:Q1,34,42,11893,648,-445,20,-320,-232,87,-763,-769,-158,164,12453,12286,3368,2618,6300,385,2064
2016:Q2,34,42,-4637,129,504,307,-41,-52,290,-674,-302,-220,-152,-4596,-4419,-958,-1991,-1470,210,-33
2016:Q3,35,43,-21358,1334,-256,-152,-16,-123,35,-354,-232,-143,21,-22082,-21421,1050,-867,-21604,-71,1620
2016:Q4,35,43,3255,-1219,1609,881,80,6,642,-372,-134,-176,-62,3237,2646,2278,2755,-2387,-617,597
2017:Q1,34,43,1163,769,839,759,6,-54,128,-594,-240,-219,-135,149,1186,1161,-406,431,14,1369
2017:Q2,34,44,-1817,964,57,322,-165,-72,-28,-95,184,-168,-111,-2743,-1765,1101,-861,-2005,42,681
2017:Q3,35,45,-4949,1680,-735,-381,56,-348,-62,-460,-542,-113,195,-5434,-5069,-3814,-3598,2343,-130,-1136
2017:Q4,35,46,623,-404,1427,1202,95,-2,132,988,167,809,12,-1388,558,1832,221,-1495,-76,211
2018:Q1,37,51,1970,1734,1489,1259,235,15,-20,-602,-63,-362,-177,-651,1425,1467,1110,-1152,-559,1823
2018:Q2,38,52,3102,1556,689,484,267,-9,-53,-193,203,-270,-126,1050,2963,2846,257,-140,-153,1591
2018:Q3,39,52,2142,-3911,2732,2977,-184,-69,8,-311,103,-299,-115,3632,1917,-666,-1036,3619,-239,944
2018:Q4,39,53,-3920,-800,165,579,-396,-18,0,-138,232,-267,-103,-3147,-3789,-129,53,-3713,118,-441
2019:Q1,42,69,-1077,487,992,892,62,34,4,723,1132,-305,-104,-3279,-436,116,-814,262,614,383
2019:Q2,43,71,6690,-1385,7536,2847,40,-21,4670,1404,1677,-164,-109,-865,7280,2337,797,4146,562,2212
2019:Q3,44,72,6772,2283,1866,-642,-631,-76,3215,-1022,-462,-246,-314,3645,7103,3401,1778,1924,303,2735
2019:Q4,44,71,-621,-2752,2786,2789,218,1,-222,2411,2679,-208,-60,-3066,-39,-1034,-391,1386,555,-1015
2020:Q1,44,57,7119,3960,-871,-3304,-1070,24,3479,1907,2005,-164,66,2123,8631,834,1683,6114,1498,720
2020:Q2,44,54,10561,5375,4023,3044,1993,-25,-989,2129,1646,373,110,-966,11053,7845,1198,2010,483,5986
2020:Q3,44,56,-4855,2172,749,-2338,3299,-157,-55,-1435,-1541,342,-236,-6341,-4185,2064,710,-6959,659,3500
2020:Q4,45,57,-2256,-1489,2240,-1038,2849,-924,1353,-1697,-1546,-232,81,-1310,-2591,263,-525,-2329,-347,264
2021:Q1,44,51,8775,-157,4233,2306,1924,1,2,-1177,-699,-346,-132,5876,6801,5775,4503,-3477,-1980,3492
2021:Q2,45,52,6725,8710,-1982,-6,422,-1,-2397,-920,-352,-449,-119,917,7787,6785,814,188,1056,7229
2021:Q3,47,52,-8791,-794,5129,2936,70,-11,2134,-1393,-1340,-354,301,-11733,-9225,-3416,-4963,-846,-440,-937
2021:Q4,48,53,-5084,-586,504,1304,-510,0,-290,-876,-478,-358,-40,-4126,-5390,-1822,-2538,-1030,-312,-1363
2022:Q1,48,58,-3040,-8527,3281,1176,1175,5,925,0,109,-301,192,2206,-5809,-6271,-847,1309,-2780,-5810
2022:Q2,48,60,2335,-1494,5525,4291,390,4,840,368,375,-189,182,-2064,181,1449,-1235,-33,-2166,1439
2022:Q3,49,62,9761,-5516,5729,4916,270,-9,552,938,543,-96,491,8610,6718,2565,2743,1410,-3056,736
2022:Q4,50,63,-7471,-315,-4079,-3362,-415,-1,-301,380,353,30,-3,-3457,-6276,-3898,-2663,285,1181,-4246
2023:Q1,54,62,1346,579,-2105,-1186,-559,-2,-358,138,126,-86,98,2734,2415,256,2223,-64,1061,245
2023:Q2,54,64,1782,2631,271,307,-105,-1,70,711,764,-8,-45,-1831,907,1037,-654,524,-885,3012
2023:Q3,55,64,24289,-2776,20804,521,226,0,20057,1505,1217,155,133,4756,22599,-645,811,22433,-1700,-44
2023:Q4,56,65,4277,105,438,-2022,-647,31,3076,2266,1622,250,394,1468,7892,2420,-2350,7822,3606,880
2024:Q1,56,66,-6535,-1131,1566,1752,-280,8,86,554,357,65,132,-7524,-7232,-5010,-4623,2401,-707,-1643
2024:Q2,57,67,2321,61,3091,476,-172,0,2787,1024,940,94,-10,-1855,1885,808,-643,1720,-446,792
2024:Q3,58,69,1439,65,-2950,-2927,-586,-12,575,757,435,113,209,3567,4776,-1361,-213,6350,3327,-866
2024:Q4,59,69,6261,592,4783,2007,59,2,2715,1298,899,194,205,-412,3442,2048,439,955,-2829,1816
2025:Q1,60,71,-2620,4,204,407,-625,22,400,-2095,-1017,-472,-606,-733,-990,-1785,-1122,1917,1619,-628
