1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q2,392,132,5700,688,-474,997,62,519,416,0,0,4400,0,860,860,0,0,0,3540,0,0,89,5461,0,541,4659,0,0,261,21,-116
1984:Q3,428,136,1500,-1375,-655,230,-28,292,-34,0,0,3600,0,622,622,0,0,0,2978,0,0,-300,1219,0,497,803,0,0,-81,11,84
1984:Q4,428,140,1000,-1273,194,-1388,-91,-394,-903,0,0,3400,0,514,514,0,0,0,2886,0,0,67,730,0,214,-114,0,0,630,19,104
1985:Q1,383,149,7100,2092,1403,1580,91,1214,275,0,0,1300,0,254,254,0,0,0,1046,0,0,725,6822,0,640,6260,0,0,-78,-45,80
1985:Q2,345,152,7400,1568,1597,1082,-27,717,392,0,0,3100,0,1033,1033,0,0,0,2067,0,0,53,7108,0,1047,6553,0,0,-492,-99,73
1985:Q3,350,150,5800,367,313,947,66,308,573,0,0,3100,0,1220,1220,0,0,0,1880,0,0,1073,5493,0,609,4991,0,0,-107,-107,67
1985:Q4,354,153,3900,1645,429,79,-16,203,-108,0,0,2200,0,1045,1045,0,0,0,1155,0,0,-453,3552,0,850,1950,0,0,752,-147,124
1986:Q1,322,160,7800,3263,2554,555,-25,183,397,0,0,600,0,2536,2536,0,0,0,-1936,0,0,828,7472,0,-241,7841,0,0,-128,-166,65
1986:Q2,263,159,8600,2502,1134,1143,-3,862,284,0,0,2800,0,1506,1506,0,0,0,1294,0,0,1021,8274,0,-181,8781,0,0,-326,-222,26
1986:Q3,85,158,7100,1773,-544,1230,-48,559,719,0,0,4300,0,2127,2127,0,0,0,2173,0,0,341,6801,0,381,5619,0,0,801,-372,167
1986:Q4,91,160,5400,213,-633,1237,644,202,391,0,0,3600,0,2070,2070,0,0,0,1530,0,0,983,5118,0,436,4564,0,0,118,-352,404
1987:Q1,230,170,9200,2379,3135,1539,-587,1249,877,0,0,300,0,2721,2721,0,0,0,-2421,0,0,1847,8879,0,464,8236,0,0,179,-261,-236
1987:Q2,287,174,6000,1917,-2154,1741,41,806,894,0,0,4600,0,2882,2882,0,0,0,1718,0,0,-104,5710,0,694,5106,0,0,-90,-177,405
1987:Q3,298,179,500,-3582,-1881,-133,6,956,-1095,0,0,6100,0,2695,2695,0,0,0,3405,0,0,-4,190,0,206,-906,0,0,890,-191,-242
1987:Q4,295,179,0,-313,-733,-185,255,216,-656,0,0,3500,0,2249,2249,0,0,0,1251,0,-48,-2221,-201,0,321,-821,0,0,299,-85,335
1988:Q1,311,208,6100,3049,-647,-50,11,1272,-1333,0,0,1700,0,1648,1648,0,0,0,52,0,-118,2166,5776,0,79,5721,0,0,-24,-221,-116
1988:Q2,317,214,4800,-1565,1962,756,129,1029,-402,0,0,4600,0,2543,2543,0,0,0,2057,0,-79,-874,4509,0,61,4639,0,0,-191,-188,795
1988:Q3,327,216,2800,-3248,-1666,702,125,387,190,0,0,5700,0,2314,2314,0,0,0,3386,0,-123,1435,2491,0,419,781,0,0,1291,-199,-569
1988:Q4,333,221,700,-1493,486,594,144,566,-116,0,0,3500,0,1683,1683,0,0,0,1817,0,-144,-2243,385,0,206,494,0,0,-315,-204,262
1989:Q1,356,238,3400,26,973,-220,402,-446,-176,0,0,1100,0,2693,2693,0,0,0,-1593,0,-89,1610,2046,0,314,2786,0,0,-1054,-1237,105
1989:Q2,362,243,-200,-1643,-378,-582,206,-667,-121,0,0,3700,0,2159,2159,0,0,0,1541,0,-143,-1154,-417,0,321,-721,0,0,-17,-98,-97
1989:Q3,383,250,3700,-867,957,-1204,-430,-505,-269,0,0,4100,0,1440,1440,0,0,0,2660,0,-43,757,3317,0,349,2551,0,0,417,-250,1538
1989:Q4,412,247,2700,380,1573,-945,79,-707,-317,0,0,1200,0,494,494,0,0,0,706,0,-21,513,3531,0,342,2658,0,0,531,996,1536
1990:Q1,374,169,7900,1299,4311,2507,73,-872,3306,0,0,-1200,-229,649,649,0,0,0,-1620,0,128,855,7369,0,763,6837,0,0,-231,-326,-1236
1990:Q2,393,166,4600,620,-798,1235,228,-954,1836,0,125,1600,-230,1504,1504,0,0,0,326,0,40,1903,4552,0,770,3430,0,0,352,179,-1129
1990:Q3,444,169,1900,-1273,-1370,896,154,-952,1569,0,125,3100,-234,2066,2066,0,0,0,1268,1,121,425,1323,0,-15,1115,0,0,223,-302,129
1990:Q4,507,167,1200,-217,-41,1141,720,-791,1087,0,125,1300,-233,1564,1564,0,0,0,-31,1,-30,-954,1037,0,-9,909,0,0,137,177,115
1991:Q1,513,162,7000,3413,1955,2700,198,645,1757,0,100,-3400,-264,-14,-14,0,0,0,-3122,1,183,2148,6588,0,1129,5471,0,0,-12,-62,185
