1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q1,-1642,-84,-1272,-398,-567,55,16,98,73,39,499,1408,-3139,-3176,37,2558,255,-506,-162,-107,-189,9,4,69,6,-215,28,0,1,0,-40,5,0,-22,0,0,-77,-2141
1956:Q2,2539,-18,269,2184,1878,174,19,113,-32,136,1919,1520,902,883,19,-570,620,-741,-59,-713,-769,35,5,16,-9,36,24,0,3,0,-16,-1,0,-6,0,0,188,620
1956:Q3,3843,-52,246,3399,3129,163,22,85,-80,330,4317,4227,313,278,35,43,-1877,1285,192,1070,1036,30,6,-2,-25,-2,24,0,5,0,12,-2,0,11,0,0,326,-474
1956:Q4,8720,-32,1356,6616,6345,73,26,172,24,756,6053,3886,1812,1732,80,-1221,518,1038,29,745,604,25,6,110,-40,197,29,0,7,0,44,2,0,25,0,0,20,2667
1957:Q1,-1600,-28,-1937,70,0,-56,31,95,-14,309,1492,2116,-2408,-2528,120,3444,114,-1456,-262,-996,-1055,-9,7,61,-27,-207,38,0,10,0,-47,14,0,21,0,0,-318,-3092
1957:Q2,3726,-79,934,2443,2181,116,36,110,27,401,3331,1285,815,676,139,-1423,1142,1015,451,424,400,24,8,-8,-11,68,45,0,14,0,7,8,0,9,0,0,497,395
1957:Q3,4139,-83,-111,4167,4056,-11,37,85,-147,313,4626,4424,766,589,177,1886,-2123,-169,-82,-157,-126,-14,8,-25,7,8,46,0,14,0,-11,10,0,-4,0,0,-158,-487
1957:Q4,5532,-57,1119,4348,4069,68,34,177,104,18,3173,2886,1520,1290,230,-2839,640,953,-293,1008,847,20,5,136,23,142,44,0,9,0,32,5,0,-17,0,0,13,2359
1958:Q1,-7,11,-1947,1453,1333,-13,34,99,321,155,2687,3361,-2089,-2473,384,1879,276,-1367,-662,-631,-780,-9,6,152,26,-122,43,0,5,0,-29,13,0,-10,0,0,627,-2694
1958:Q2,10572,-79,534,9629,9365,116,36,112,144,344,10077,499,2326,1768,558,3939,1867,859,94,626,551,22,6,47,23,40,42,0,3,0,25,6,0,0,0,0,587,495
