1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,112207,467,0,0,0,11259,0,5363,0,1712,4184,7678,7453,225,316,0,92487,0,0,92046,441,112261,110413,18367,92046,ND,110413,1848,ND,ND
1952:Q1,116269,473,367,0,83,11743,0,5557,5,1751,4430,7791,7552,239,1489,0,94323,0,139,93581,603,116325,114143,20562,93581,ND,114143,2182,ND,ND
1952:Q2,120195,469,381,0,86,12163,0,5631,10,1794,4728,8193,7938,255,1609,0,97294,0,145,96518,631,120255,117978,21460,96518,ND,117978,2277,ND,ND
1952:Q3,124029,465,396,0,90,12780,0,5781,15,1838,5146,8635,8363,272,1651,0,100012,0,151,99204,657,124085,121723,22519,99204,ND,121723,2362,ND,ND
1952:Q4,127863,468,411,0,93,13314,0,5853,20,1883,5558,8701,8411,290,1899,0,102977,0,160,102145,672,127927,125432,23287,102145,ND,125432,2495,ND,ND
1953:Q1,131861,483,427,0,94,13936,0,5978,22,1933,6003,8782,8471,311,1975,0,106164,0,167,105315,682,131927,129334,24019,105315,ND,129334,2593,ND,ND
1953:Q2,135940,510,444,0,96,14649,0,6222,23,1986,6418,9137,8804,333,2105,0,108999,0,175,108141,683,136012,133313,25172,108141,ND,133313,2699,ND,ND
1953:Q3,139948,538,461,0,96,15320,0,6450,24,2042,6804,9258,8902,356,2237,0,112038,0,182,111171,685,140027,137228,26057,111171,ND,137228,2799,ND,ND
1953:Q4,143951,555,478,0,97,15815,0,6496,43,2103,7173,9321,8941,380,2467,0,115218,0,191,114342,685,144028,141122,26780,114342,ND,141122,2906,ND,ND
1954:Q1,147899,561,497,0,99,16476,0,6695,44,2166,7571,9366,8961,405,2687,0,118213,0,199,117322,692,147979,144961,27639,117322,ND,144961,3018,ND,ND
1954:Q2,151913,558,516,0,101,17175,0,6878,47,2232,8018,9703,9273,430,2769,0,121091,0,205,120186,700,151995,148889,28703,120186,ND,148889,3106,ND,ND
1954:Q3,155816,553,536,0,103,17809,0,6957,43,2302,8507,9738,9281,457,2910,0,124167,0,213,123244,710,155902,152687,29443,123244,ND,152687,3215,ND,ND
1954:Q4,159836,551,556,0,106,18501,0,7058,45,2376,9022,9846,9359,487,3253,0,127023,0,224,126069,730,159935,156554,30485,126069,ND,156554,3381,ND,ND
1955:Q1,163987,558,577,0,111,19152,0,7173,52,2456,9471,9868,9347,521,3664,0,130057,0,237,129058,762,164084,160516,31458,129058,ND,160516,3568,ND,ND
1955:Q2,168358,570,600,0,118,19785,0,7317,59,2542,9867,10259,9702,557,4667,0,132359,0,259,131302,798,168463,164591,33289,131302,ND,164591,3872,ND,ND
1955:Q3,172614,583,623,0,125,20416,0,7502,66,2632,10216,10572,9975,597,5626,0,134669,0,280,133546,843,172734,168573,35027,133546,ND,168573,4161,ND,ND
1955:Q4,176795,589,647,0,132,20983,0,7638,77,2723,10545,10687,10048,639,6285,0,137472,0,295,136281,896,176930,172553,36272,136281,ND,172553,4377,ND,ND
1956:Q1,181429,594,671,0,140,21682,0,7828,95,2816,10943,10746,10061,685,7034,0,140562,0,311,139299,952,181569,176955,37656,139299,ND,176955,4614,ND,ND
1956:Q2,186025,595,697,0,150,22228,0,7798,98,2911,11421,11110,10377,733,6940,0,144305,0,317,142961,1027,186169,181454,38493,142961,ND,181454,4715,ND,ND
1956:Q3,190536,597,724,0,158,22854,0,7746,107,3009,11992,11704,10918,786,6901,0,147598,0,324,146173,1101,190686,185846,39673,146173,ND,185846,4840,ND,ND
1956:Q4,195118,605,752,0,166,23559,0,7695,114,3110,12640,11755,10911,844,7265,0,151016,0,339,149524,1153,195275,190224,40700,149524,ND,190224,5051,ND,ND
1957:Q1,202334,624,781,0,172,24395,0,7738,139,3214,13304,11831,10924,907,7229,0,157302,0,348,155754,1200,202496,197319,41565,155754,ND,197319,5177,ND,ND
1957:Q2,209810,653,811,0,177,25174,0,7718,154,3322,13980,12198,11224,974,8225,0,162572,0,370,160979,1223,209974,204497,43518,160979,ND,204497,5477,ND,ND
1957:Q3,216941,682,842,0,182,25959,0,7682,171,3431,14675,12316,11270,1046,7932,0,169028,0,373,167395,1260,217109,211585,44190,167395,ND,211585,5524,ND,ND
1957:Q4,224088,703,874,0,186,26629,0,7519,210,3539,15361,12469,11346,1123,7789,0,175438,0,378,173762,1298,224262,218667,44905,173762,ND,218667,5595,ND,ND
1958:Q1,229490,717,908,0,191,27452,0,7515,244,3648,16045,12714,11511,1203,8380,0,179128,0,393,177413,1322,229644,223838,46425,177413,ND,223838,5806,ND,ND
1958:Q2,235002,727,943,0,194,28054,0,7382,218,3760,16694,13145,11859,1286,9321,0,182618,0,414,180869,1335,235162,229076,48207,180869,ND,229076,6086,ND,ND
1958:Q3,240591,733,979,0,198,28818,0,7391,228,3868,17331,13546,12170,1376,10549,0,185768,0,440,183983,1345,240774,234346,50363,183983,ND,234346,6428,ND,ND
1958:Q4,246105,740,1017,0,204,29636,0,7472,233,3963,17968,13758,12280,1478,11961,0,188789,0,469,186954,1366,246309,239493,52539,186954,ND,239493,6816,ND,ND
1959:Q1,250741,746,1056,0,211,30303,0,7578,261,4048,18416,14001,12413,1588,12552,0,191872,0,484,189978,1410,250925,243896,53918,189978,ND,243896,7029,ND,ND
1959:Q2,255562,750,1096,0,218,31015,0,7649,304,4124,18938,14501,12798,1703,13731,0,194251,0,510,192286,1455,255774,248388,56102,192286,ND,248388,7386,ND,ND
1959:Q3,260315,754,1138,0,227,31878,0,7937,327,4192,19422,14953,13121,1832,13882,0,197483,0,520,195445,1518,260560,253013,57568,195445,ND,253013,7547,ND,ND
1959:Q4,265012,756,1182,0,235,32741,0,8081,338,4251,20071,15145,13164,1981,15025,0,199928,0,547,197811,1570,265279,257362,59551,197811,ND,257362,7917,ND,ND
1960:Q1,270589,761,1227,0,245,33566,0,8200,428,4305,20633,15405,13251,2154,14619,0,204766,0,549,202565,1652,270888,262917,60352,202565,ND,262917,7971,ND,ND
1960:Q2,276868,765,1275,0,255,34224,0,8181,476,4356,21211,16290,13936,2354,15650,0,208409,0,572,206112,1725,277170,268882,62770,206112,ND,268882,8288,ND,ND
1960:Q3,282458,772,1324,0,266,34858,0,8061,487,4393,21917,16598,14038,2560,15124,0,213516,0,573,211125,1818,282763,274431,63306,211125,ND,274431,8332,ND,ND
1960:Q4,288517,789,1374,0,275,35818,0,8115,474,4406,22823,16841,14090,2751,17145,0,216275,0,613,213799,1863,288824,279949,66150,213799,ND,279949,8875,ND,ND
1961:Q1,294417,819,1427,0,284,36503,0,8262,484,4399,23358,17074,14141,2933,19786,0,218524,0,657,215972,1895,294687,285235,69263,215972,ND,285235,9452,ND,ND
1961:Q2,300349,861,1482,0,291,37344,0,8301,483,4374,24186,18037,14927,3110,20331,0,222003,0,674,219387,1942,300659,290970,71583,219387,ND,290970,9689,ND,ND
1961:Q3,305957,904,1539,0,298,38034,0,8296,513,4330,24895,18280,14996,3284,21452,0,225450,0,697,222768,1985,306299,296290,73522,222768,ND,296290,10009,ND,ND
1961:Q4,311771,937,1598,0,307,38782,0,8225,560,4263,25734,18462,15006,3456,23756,0,227929,0,740,225168,2021,312143,301563,76395,225168,ND,301563,10580,ND,ND
1962:Q1,315005,962,1660,0,321,39700,0,8446,658,4175,26421,18678,15054,3624,23797,32,229855,0,749,226971,2135,315379,304644,77673,226971,ND,304644,10735,ND,ND
1962:Q2,317811,981,1723,0,338,40570,0,8534,697,4058,27281,19695,15908,3787,18598,86,235820,0,686,232783,2351,318191,308206,75423,232783,ND,308206,9985,ND,ND
1962:Q3,321308,997,1790,0,355,41193,0,8649,731,3930,27883,19872,15923,3949,20096,140,236865,0,716,233669,2480,321692,311276,77607,233669,ND,311276,10416,ND,ND
1962:Q4,325120,1014,1858,0,369,41994,0,8700,719,3804,28771,20117,15999,4118,22885,172,236711,0,768,233388,2555,325504,314380,80992,233388,ND,314380,11124,ND,ND
1963:Q1,330876,1032,1930,0,380,42791,0,8828,720,3682,29561,20336,16048,4288,24631,184,239592,0,803,236178,2611,331291,319696,83518,236178,ND,319696,11595,ND,ND
1963:Q2,337149,1048,2004,0,385,43854,0,9130,716,3553,30455,21455,17000,4455,26198,177,242028,0,834,238562,2632,337557,325540,86978,238562,ND,325540,12017,ND,ND
1963:Q3,342864,1066,2081,0,393,44776,0,9190,728,3426,31432,21704,17073,4631,27645,169,245030,0,864,241496,2670,343291,330861,89365,241496,ND,330861,12430,ND,ND
1963:Q4,348652,1086,2161,0,409,45553,0,9189,717,3304,32343,21992,17160,4832,29170,176,248105,0,895,244425,2785,349099,336215,91790,244425,ND,336215,12884,ND,ND
1964:Q1,355459,1115,2244,0,435,46716,0,9597,727,3194,33198,22341,17268,5073,31347,201,251060,0,940,247148,2972,355918,342379,95231,247148,ND,342379,13539,ND,ND
1964:Q2,362663,1163,2330,0,471,47814,0,9640,748,3089,34337,23507,18179,5328,32918,241,254219,0,978,249986,3255,363150,349049,99063,249986,ND,349049,14101,ND,ND
1964:Q3,369422,1170,2419,0,507,48599,0,9727,731,2991,35150,23925,18348,5577,34544,283,257975,0,1014,253410,3551,369923,355244,101834,253410,ND,355244,14679,ND,ND
1964:Q4,376101,1203,2512,0,537,49653,0,9745,858,2900,36150,24257,18409,5848,35705,312,261922,0,1049,257092,3781,376626,361410,104318,257092,ND,361410,15216,ND,ND
1965:Q1,383873,1063,2609,0,560,50992,0,10326,779,2820,37067,24620,18480,6140,37047,331,266651,0,1081,261615,3955,384441,368711,107096,261615,ND,368711,15730,ND,ND
1965:Q2,391833,1039,2709,0,577,51886,0,10299,785,2748,38054,26114,19550,6564,36644,341,272523,0,1087,267331,4105,392419,376586,109255,267331,ND,376586,15833,ND,ND
1965:Q3,400056,1072,2813,0,594,52430,0,9808,916,2684,39022,26593,19728,6865,40934,349,275271,0,1157,269928,4186,400663,383909,113981,269928,ND,383909,16754,ND,ND
1965:Q4,407931,1258,2921,0,616,53211,0,9692,946,2625,39948,26855,19724,7131,43254,360,279456,0,1203,273913,4340,408601,391197,117284,273913,ND,391197,17404,ND,ND
1966:Q1,417295,1282,3034,0,642,55041,0,9791,967,2579,41704,27191,19747,7444,43345,372,286388,0,1226,280611,4551,417971,400191,119580,280611,ND,400191,17780,ND,ND
1966:Q2,426992,1126,3151,0,671,55955,0,9423,1097,2543,42892,28569,20835,7734,42501,384,294635,0,1223,288592,4820,427672,409795,121203,288592,ND,409795,17877,ND,ND
1966:Q3,435676,1068,3271,0,702,57248,0,9517,1113,2513,44105,28989,20935,8054,39238,397,304763,0,1189,298442,5132,436365,418798,120356,298442,ND,418798,17567,ND,ND
1966:Q4,445573,1126,3418,0,734,58413,0,9419,1098,2481,45415,29404,20977,8427,42268,414,309796,0,1249,303192,5355,446270,427837,124645,303192,ND,427837,18433,ND,ND
1967:Q1,456502,1231,3539,0,767,59147,0,8948,1101,2461,46637,29597,20925,8672,48789,435,312997,0,1353,306094,5550,457215,437362,131268,306094,ND,437362,19853,ND,ND
1967:Q2,467150,1254,3699,0,803,59790,0,8645,1134,2442,47569,30866,22043,8823,50240,459,320039,0,1380,312817,5842,467888,447541,134724,312817,ND,447541,20347,ND,ND
1967:Q3,477635,1263,3898,0,838,60881,0,8275,1121,2424,49061,31058,22074,8984,54259,485,324953,0,1451,317412,6090,478396,457022,139610,317412,ND,457022,21374,ND,ND
1967:Q4,487523,1197,4175,0,870,61956,0,8152,1122,2406,50276,31378,22292,9086,55004,510,332433,0,1470,324603,6360,488313,466547,141944,324603,ND,466547,21766,ND,ND
1968:Q1,499704,1236,4244,0,900,63121,0,8426,1116,2437,51142,31573,22334,9239,52127,535,345968,0,1443,337870,6655,500540,478969,141099,337870,ND,478969,21571,ND,ND
1968:Q2,514479,1353,4378,0,928,63916,0,8301,1407,2372,51836,32922,23603,9319,60670,561,349751,0,1566,341404,6781,515354,492089,150685,341404,ND,492089,23265,ND,ND
1968:Q3,527648,1412,4631,0,954,64863,0,8143,1539,2384,52797,32940,23594,9346,64101,587,358160,0,1621,349574,6965,528576,504500,154926,349574,ND,504500,24076,ND,ND
1968:Q4,540864,1392,4910,0,980,66034,0,8280,1807,2382,53565,33057,23628,9429,67256,614,366621,0,1671,357799,7151,541846,516987,159188,357799,ND,516987,24859,ND,ND
1969:Q1,555400,1502,4851,0,1006,66803,0,8310,1870,2386,54237,33260,23755,9505,66904,639,380435,0,1667,371386,7382,556389,531464,160078,371386,ND,531464,24925,ND,ND
1969:Q2,570677,1324,5183,0,1030,67593,0,8006,1933,2368,55286,34415,24871,9544,67383,664,393085,0,1674,383821,7590,571668,546527,162706,383821,ND,546527,25141,ND,ND
1969:Q3,585327,1333,5431,0,1053,69282,0,7855,2102,2348,56977,34860,25176,9684,66455,689,406224,0,1672,396745,7807,586327,561088,164343,396745,ND,561088,25239,ND,ND
1969:Q4,600318,1333,5599,0,1079,70297,0,7620,2174,2331,58172,34938,25147,9791,68725,715,417632,0,1710,407924,7998,601325,575487,167563,407924,ND,575487,25838,ND,ND
1970:Q1,620537,1265,5784,0,1105,71510,0,7416,2170,2308,59616,35065,25185,9880,69089,737,435982,0,1720,426035,8227,621560,592388,166353,426035,ND,592388,29172,ND,ND
1970:Q2,635667,1224,6075,0,1133,72458,0,7163,2269,2159,60867,36931,26910,10021,56873,752,460221,0,1560,450030,8631,636722,609989,159959,450030,ND,609989,26733,ND,ND
1970:Q3,655260,1302,6266,0,1161,74713,0,7426,2492,2133,62662,37028,27046,9982,68490,774,465526,0,1730,455081,8715,656352,626813,171732,455081,ND,626813,29539,ND,ND
1970:Q4,674201,1494,6528,0,1190,76153,0,7228,2395,2032,64498,37619,27528,10091,77187,817,473213,0,1858,462502,8853,675319,643648,181146,462502,ND,643648,31671,ND,ND
1971:Q1,695909,1551,6800,0,1221,76379,0,7139,2173,2040,65027,37825,27726,10099,88918,882,482333,0,2004,471347,8982,697105,662932,191585,471347,ND,662932,34173,ND,ND
1971:Q2,716374,1625,6945,0,1252,76315,0,6427,1993,2042,65853,39667,29583,10084,91735,968,497867,0,2029,486597,9241,717654,682894,196297,486597,ND,682894,34760,ND,ND
1971:Q3,736693,1692,7207,0,1286,76530,0,6415,2038,2050,66027,39760,29814,9946,97241,1062,511915,0,2097,500346,9472,738056,702023,201677,500346,ND,702023,36033,ND,ND
1971:Q4,757632,1853,7418,0,1321,77933,0,6021,2150,2152,67610,40317,30371,9946,104051,1150,523589,0,2199,511697,9693,759088,721305,209608,511697,ND,721305,37783,ND,ND
1972:Q1,782440,2116,7552,0,1474,79845,308,6173,2526,2229,68609,39930,30289,9641,113687,1237,536599,0,2350,523334,10915,784052,743270,219936,523334,ND,743270,40782,ND,ND
1972:Q2,807166,2218,7854,0,1707,82536,794,6174,3007,2466,70095,41813,32423,9390,115596,1330,554112,0,2426,538750,12936,808878,766098,227348,538750,ND,766098,42780,ND,ND
1972:Q3,831592,2300,8220,0,1948,86080,1322,6266,3685,2123,72684,41898,32693,9205,119193,1419,570534,0,2537,552999,14998,833406,788043,235044,552999,ND,788043,45363,ND,ND
1972:Q4,857081,2557,8702,0,2130,88776,1755,6978,4183,2029,73831,42562,33364,9198,130017,1494,580843,0,2722,561676,16445,858974,810028,248352,561676,ND,810028,48946,ND,ND
1973:Q1,870133,2501,9195,0,2260,92171,2104,7412,4882,1622,76151,42328,33182,9146,123746,1555,596377,0,2695,576037,17645,872128,823141,247104,576037,ND,823141,48987,ND,ND
1973:Q2,883322,2680,9661,0,2348,94695,2382,7471,5268,1536,78038,44757,35497,9260,115925,1603,611653,0,2634,590518,18501,885457,837139,246621,590518,ND,837139,48318,ND,ND
1973:Q3,899522,2940,10340,0,2427,98279,2677,7739,5808,1650,80405,44442,35193,9249,127230,1647,612217,0,2826,590371,19020,901814,850159,259788,590371,ND,850159,51655,ND,ND
1973:Q4,910861,2999,10827,0,2530,100353,3079,7887,6526,1691,81170,45016,35499,9517,113757,1695,633684,0,2697,610920,20067,913312,863344,252424,610920,ND,863344,49968,ND,ND
1974:Q1,933728,2963,11331,0,2645,102844,3554,7949,7069,1845,82427,44783,35113,9670,117902,1734,649526,0,2791,625720,21015,936407,884470,258750,625720,ND,884470,51937,ND,ND
1974:Q2,954933,3145,12056,0,2765,106050,4069,8798,7409,1444,84330,48619,38912,9707,107860,1751,672687,0,2718,647808,22161,957786,906585,258777,647808,ND,906585,51201,ND,ND
1974:Q3,971935,3363,12704,0,2894,112420,4670,11251,7912,1248,87339,46416,36625,9791,80756,1790,711592,0,2459,685543,23590,975016,927518,241975,685543,ND,927518,47498,ND,ND
1974:Q4,996674,3620,13500,0,3041,116461,5403,11645,8888,983,89542,46811,36737,10074,91155,1895,720191,0,2670,692824,24697,999984,948607,255783,692824,ND,948607,51377,ND,ND
1975:Q1,1027003,3943,14306,0,3211,121230,6329,11182,9392,789,93538,48061,37947,10114,112160,2065,722027,0,3035,693131,25861,1030621,970111,276980,693131,ND,970111,60510,ND,ND
1975:Q2,1057354,4247,14839,0,3575,127439,7508,12731,9736,728,96736,53231,43043,10188,134377,2301,717345,0,3436,685169,28740,1061217,992551,307382,685169,ND,992551,68666,ND,ND
1975:Q3,1079413,4479,15174,0,4042,133200,8447,14444,10026,906,99377,52203,41962,10241,122159,2559,745597,0,3431,709221,32945,1083474,1013761,304540,709221,ND,1013761,69713,ND,ND
1975:Q4,1105502,4675,15625,0,4346,139591,9066,14974,10720,1940,102891,51948,42023,9925,132299,2795,754223,0,3665,715108,35450,1109789,1035177,320069,715108,ND,1035177,74612,ND,ND
1976:Q1,1125974,4882,16160,0,4385,145030,9892,16745,11487,2193,104713,51175,41249,9926,151868,2795,749679,0,3965,710217,35497,1130346,1050169,339952,710217,ND,1050169,80177,ND,ND
1976:Q2,1141649,4989,16779,0,4140,151682,10440,18939,12181,3150,106972,57591,47585,10006,152274,3033,751161,0,3984,713899,33278,1146110,1066239,352340,713899,ND,1066239,79871,ND,ND
1976:Q3,1157808,4873,17151,0,4386,154151,10756,20395,12792,3383,106825,56186,46188,9998,152777,3297,764987,0,4032,725510,35445,1162362,1080833,355323,725510,ND,1080833,81529,ND,ND
1976:Q4,1175589,4776,17787,0,4736,155447,10952,22274,12911,3360,105950,56661,46515,10146,155601,3534,777047,0,4130,734424,38493,1180240,1095899,361475,734424,ND,1095899,84341,ND,ND
1977:Q1,1199467,4735,18398,0,5319,157828,11138,22737,15501,2872,105580,55418,45314,10104,147405,3692,806672,0,4140,758807,43725,1204260,1118151,359344,758807,ND,1118151,86109,ND,ND
1977:Q2,1225394,4867,19435,23,5335,164649,11272,26531,16249,3628,106969,57325,46922,10403,153119,3771,816870,0,4284,768853,43733,1230337,1141682,372829,768853,ND,1141682,88655,ND,ND
1977:Q3,1249908,5014,20304,53,5803,169399,11309,26875,17449,3556,110210,63172,53064,10108,149797,3771,832595,0,4348,780366,47881,1255006,1163894,383528,780366,ND,1163894,91112,ND,ND
1977:Q4,1273826,5115,21060,94,5717,176905,11314,28123,18086,3544,115838,63715,53177,10538,153610,3746,843864,0,4459,792413,46992,1279085,1186319,393906,792413,ND,1186319,92766,ND,ND
1978:Q1,1302295,5276,22350,150,6268,181184,11350,29167,19440,3386,117841,62541,51900,10641,151277,3750,869499,0,4551,813086,51862,1307770,1211800,398714,813086,ND,1211800,95970,ND,ND
1978:Q2,1333666,5418,23633,212,6136,190441,11335,31364,19774,3732,124236,64234,53341,10893,169069,3750,870773,0,4845,815550,50378,1339363,1238584,423034,815550,ND,1238584,100779,ND,ND
1978:Q3,1366100,5538,24945,272,6488,196516,11173,30749,21895,3668,129031,70649,59536,11113,189552,3708,868432,0,5214,810041,53177,1372045,1263770,453729,810041,ND,1263770,108275,ND,ND
1978:Q4,1393948,5569,26014,359,6935,203558,11162,32773,22646,3951,133026,71426,60119,11307,183608,3715,892764,0,5270,830348,57146,1400148,1289528,459180,830348,ND,1289528,110620,ND,ND
1979:Q1,1430451,5666,27474,500,7253,208776,11593,34560,24327,4073,134223,69990,58395,11595,198044,3862,908886,0,5571,843610,59705,1437202,1316942,473332,843610,ND,1316942,120260,ND,ND
1979:Q2,1462974,5668,28521,688,7490,219380,12498,38441,25230,3867,139344,71627,59860,11767,201877,4152,923571,0,5772,856159,61640,1470303,1345724,489565,856159,ND,1345724,124579,ND,ND
1979:Q3,1495967,5626,29769,913,7532,227129,13894,39282,26069,3880,144004,79671,67381,12290,216832,4585,923910,0,6095,856127,61688,1503912,1373132,517005,856127,ND,1373132,130780,ND,ND
1979:Q4,1532185,5621,31352,1182,7768,234601,15396,40706,27919,3910,146670,80997,68254,12743,212537,11476,946651,0,6196,876745,63710,1540773,1401056,524311,876745,ND,1401056,139717,ND,ND
1980:Q1,1564851,5535,32399,1500,7979,247146,16621,43389,29324,4101,153711,79379,66134,13245,202192,12220,976501,0,6240,904671,65590,1574198,1437630,532959,904671,ND,1437630,136568,ND,ND
1980:Q2,1612396,5385,33255,1845,8189,262994,17671,47025,32810,4025,161463,80860,67302,13558,228738,13033,978097,0,6761,904365,66971,1622503,1475421,571056,904365,ND,1475421,147082,ND,ND
1980:Q3,1658086,5036,34079,2195,8485,274323,18650,50646,34499,3921,166607,90914,76846,14068,251630,14520,976904,0,7241,900489,69174,1668984,1511893,611404,900489,ND,1511893,157091,ND,ND
1980:Q4,1700425,4765,35511,2633,8378,284203,19531,53246,37428,4059,169939,91533,77079,14454,267768,15735,989899,0,7566,914426,67907,1712163,1548800,634374,914426,ND,1548800,163363,ND,ND
1981:Q1,1742135,4715,37030,3244,8237,293238,20286,55922,40506,3920,172604,89215,74301,14914,271821,16159,1018476,0,7697,944251,66528,1754823,1588831,644580,944251,ND,1588831,165992,ND,ND
1981:Q2,1784586,4456,37488,4134,8355,306523,21787,59285,43874,3995,177582,90915,75442,15473,267720,15647,1049348,0,7753,974045,67550,1798338,1630229,656184,974045,ND,1630229,168109,ND,ND
1981:Q3,1821954,4314,39256,5413,8525,315838,23227,59970,47834,3859,180948,102973,86895,16078,246013,13588,1086034,0,7600,1009184,69250,1836734,1670140,660956,1009184,ND,1670140,166594,ND,ND
1981:Q4,1868547,4050,40289,6564,8258,331165,24505,74248,44449,3856,184107,103611,87179,16432,266279,13063,1095268,0,7953,1020806,66509,1884584,1710221,689415,1020806,2119056,1710221,174363,38000,196472
1982:Q1,1912251,3576,43557,7030,7728,350897,21975,85580,51139,3651,188552,101216,84313,16903,269505,12435,1116307,0,8215,1046588,61504,1930087,1752407,705819,1046588,2181010,1752407,177680,45500,205423
1982:Q2,1959995,3578,47644,6030,7840,367741,20607,94457,55473,3848,193356,104957,86345,18612,273502,13021,1135682,0,8534,1064921,62227,1978500,1796042,731121,1064921,2247296,1796042,182458,53000,215796
1982:Q3,2018808,3405,51230,5071,8648,382229,17800,103753,61035,3550,196091,118544,98516,20028,317149,14979,1117553,0,9410,1039492,68651,2038108,1838181,798689,1039492,2326768,1838181,199927,60500,228160
1982:Q4,2068631,3240,55408,4688,8705,394515,15203,112069,66307,3131,197805,120788,99245,21543,343116,17336,1120835,0,9871,1042229,68735,2088484,1880187,837958,1042229,2393584,1880187,208297,68000,237100
1983:Q1,2134006,3315,60841,4877,9455,406489,14407,119541,68568,2363,201610,119413,96374,23039,388286,19237,1122093,0,10730,1038176,73187,2155886,1929480,891304,1038176,2479352,1929480,226406,77750,245716
1983:Q2,2204811,3472,66806,5228,10789,417978,15708,126723,70597,2483,202467,122543,98735,23808,443462,21272,1113261,0,11738,1019464,82059,2229291,1979713,960249,1019464,2574600,1979713,249578,87500,257809
1983:Q3,2255211,3746,66527,5602,11067,430868,17692,135382,73378,2423,201993,136218,111500,24718,441621,21478,1138084,0,11868,1044319,81897,2279812,2028525,984206,1044319,2641166,2028525,251287,97250,264104
1983:Q4,2307748,4129,69658,5929,11596,441584,18247,142242,78142,2000,200953,138562,113787,24775,439907,21761,1174622,0,12011,1078752,83859,2332969,2078314,999562,1078752,2712624,2078314,254655,107000,272655
1984:Q1,2365125,4699,70272,6191,11487,453890,20902,149584,79494,2151,201759,136258,111640,24618,412462,21708,1248158,0,11629,1156189,80340,2388959,2129056,972867,1156189,2787021,2129056,259903,120000,278062
1984:Q2,2410050,5269,71113,6388,11551,458618,23770,151300,77215,2264,204069,139851,115547,24304,395648,20894,1300718,0,11259,1211235,78224,2432928,2180521,969286,1211235,2851003,2180521,252407,133000,285075
1984:Q3,2479975,5469,77602,6770,12633,484290,24211,163094,80894,2068,214023,152966,128964,24002,435771,23015,1281459,0,12189,1185705,83565,2503922,2230532,1044827,1185705,2948752,2230532,273390,146000,298830
1984:Q4,2543702,5296,79985,6938,13409,513940,22109,176317,87926,1534,226054,157252,132262,24990,455492,24107,1287283,0,12913,1188735,85635,2567913,2280438,1091703,1188735,3042706,2280438,287475,159000,315793
1985:Q1,2631292,5875,87280,7429,14687,512246,22369,185975,89810,1550,212542,167223,140863,26360,514153,26240,1296159,0,13761,1190937,91461,2656596,2334086,1143149,1190937,3162194,2334086,322510,179500,326098
