1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q1,1601779,-296,211128,68768,58176,219344,16888,-6178,2528,11392,17504,34380,207244,70392,149003,9212,459865,22456,59632,-9660,1612132,53100,172436,193544,11964,-448,-138409,-6220,1400,-32684,-44272,86884,12474,36072,229940,16571,201083,0,-20300,29880,3087,6212,764822,32496,0,2500,-10353
2004:Q2,990914,3096,448580,68768,54125,-217536,5675,-66601,-50272,9292,-3027,51340,35616,-93620,46476,-10452,552161,55564,96560,5168,724165,49562,322112,193804,-21352,-1042,394146,18756,-3048,50788,-5612,-6267,139007,29844,-173444,-49886,-266078,0,-6252,18976,-20658,-9580,24862,-3196,0,48724,266749
2004:Q3,1281854,1340,177444,68768,51261,553318,-6796,-96230,40668,12628,-2782,149360,-10508,44708,29053,5844,130165,16808,125423,-8620,1924694,86720,329279,193956,28292,-606,176511,-2056,10024,7301,7652,-21339,53194,34393,532498,28009,49101,0,26680,14384,29491,7380,325751,6592,0,1488,-642840
2004:Q4,1354251,1880,383282,68768,71950,-361738,-10724,498185,-1564,9792,-4083,37832,24364,-49804,-23237,3188,388348,30640,286169,1004,1330565,29066,51800,194120,-37500,3478,516620,-5556,-4580,-17029,59248,28586,151081,61679,-308310,47630,10686,5412,17832,11756,19380,3776,438577,26372,164,26276,23685
2005:Q1,1546040,1056,508473,142696,49623,72476,1192,136060,56824,1404,8417,45228,105860,41840,-123118,-7612,370684,40048,34093,60796,1395339,77687,530446,211024,-10500,-4110,-131073,-2220,1176,-10378,39420,25557,90780,25593,76116,-94588,-23450,4960,85384,27252,-1680,-1732,500460,-46680,176,25720,150701
2005:Q2,1259740,2840,667220,142700,42727,398831,-15555,-71902,-6456,-3220,7899,94156,-4344,-1236,40337,5676,-28839,50104,-87757,26560,1970682,54893,811149,212080,18460,1388,213074,12848,-1532,26944,38596,-11439,95776,22490,425411,-193624,8940,116,-42364,10148,26557,7524,166778,57204,-144,9408,-710942
2005:Q3,1485125,-2956,311376,142696,55857,527813,-3668,-361353,91424,-776,-5134,209644,92252,-6180,134807,776,113881,4040,154419,26208,2020705,125996,662391,211196,29208,-2296,-235702,9032,900,-7085,35784,16508,93271,33717,539121,87102,-8800,2012,-194484,11648,156299,748,362190,85596,108,6244,-535579
2005:Q4,579889,2560,263320,142696,137637,65881,22360,256139,-99388,1308,-1078,43052,-93028,-45128,95602,15188,-328375,30460,39927,30756,1551627,81524,400540,211588,-4060,3284,320469,-5964,-192,506,49404,2682,81140,91793,83309,156102,27266,4348,167376,10700,43856,11908,-256965,54256,-148,16904,-971738
2006:Q1,1971872,796,47212,144608,31226,-182008,13177,437884,60340,-2400,-1413,-18080,95340,40932,-67619,-13668,1181949,14940,189490,-832,2484634,31971,687022,316588,-27692,-2638,262045,16116,3268,-40657,-96412,690,66306,24399,-7612,-37593,-34948,9372,-33596,16936,-113814,-12900,1437327,22300,212,-2056,-512762
2006:Q2,294384,724,281915,144608,56304,246032,-48579,-114880,100524,724,-3519,-11296,60620,48628,3639,2560,-193952,-15424,-253991,-10252,1711956,26638,1156042,316660,5648,692,72588,8964,9352,39439,-7908,32368,57535,26513,231584,-158526,-78992,9620,18468,45576,-53696,-1704,-52321,63856,-304,-56136,-1417571
