1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q3,360566,-382,76125,8162,5778,90271,-198,-10988,7303,5911,-150,4585,48500,19957,-22659,-3667,65955,24236,35283,6545,23775,8905,-110792,-15468,3066,13370,-14050,-7734,-1053,-2347,-29779,3754,40704,3225,102652,527,-41853,1839,-22564,-8230,4859,934,128375,-52440,17,17858,336792
2009:Q4,78835,-2355,39088,8162,-20108,46134,-6160,138710,-26609,-1753,-1416,-15791,-15736,9018,-47668,-416,13035,-24398,-14277,1375,156779,17278,112279,-15449,-2117,8217,54048,2734,-1481,-10275,-20350,-25453,35423,-44000,60544,13514,8506,6961,-4345,-6883,-7600,-648,-26007,1474,32,377,-77944
2010:Q1,143185,2502,71915,-17547,31302,83563,-961,-102167,13608,-2792,-7896,12913,16895,-55590,-12783,3579,67519,-12177,54419,-3117,59576,-13089,-14025,24880,127,3040,-40665,-306,933,-14062,33791,14439,4307,36575,90804,-14286,-44748,-2163,10140,-2095,-16456,1203,65378,-56510,27,-7663,83609
2010:Q2,22712,896,95952,-12261,22766,-2556,-586,-48664,12860,3912,587,-16484,21743,-8895,-5792,-2099,-67749,25218,9677,-5813,-13607,-3460,96500,24866,-3997,-848,-19781,-631,5815,4804,10786,11136,-5910,16432,-8790,2651,-25036,7694,-9361,-6776,10076,591,-131581,-8229,-10,19453,36319
2010:Q3,316165,-2900,69032,-12261,6521,139825,-2416,6961,11257,-4553,409,10309,-1226,717,-2356,8555,51383,14356,28822,-6269,202947,-161,8587,24693,2425,-960,-25136,-681,-1186,215,-14992,-14753,6203,3955,151922,8417,-28990,-69,26349,-2182,-17709,3955,66728,21635,-4,-15313,113219
2010:Q4,-95298,2153,-77494,-12261,-19316,87642,30039,-19250,-36716,-1564,-1255,-6715,5966,25836,-59325,-5446,3539,-33512,15605,6776,53945,5195,100842,24968,-661,15684,-5186,-13701,-1076,34109,25435,-20191,4214,-40565,103833,-18948,3950,2189,2191,-3076,-64814,-4621,-51131,-43918,41,-818,-149242
2011:Q1,220915,374,80453,-5262,33617,72872,-28515,-42748,561,-1226,492,9144,16673,-40306,-5217,3331,97101,19762,-5141,14950,299519,4576,-13659,12562,-3824,9644,25710,13505,-140,-675,-4804,15191,17527,35970,86794,-8491,39227,1041,-39810,-125,-7243,942,78094,15872,14,21621,-78604
2011:Q2,229506,481,-6075,-5262,108538,47026,-4445,10450,12690,-1603,528,17894,12155,2539,-12239,206,27106,-35505,21173,33849,206300,4551,-104412,12383,-3388,12091,-10084,5225,1073,-4772,17820,11683,15792,108697,50091,40967,59441,-1022,368,-2336,-8527,3872,37364,2988,-8,-43557,23206
2011:Q3,-73387,-1250,7614,-5263,-75413,39359,10725,-11063,29395,2998,-732,10707,39819,1640,18244,1957,-138457,-7388,-3851,7572,374475,21310,214397,12309,2146,-1005,-47841,-2984,4739,-5913,35902,60228,15003,-84555,34240,-35828,214609,2284,44794,-5096,25737,5391,-116160,-22767,6,3529,-447862
2011:Q4,182251,-70,182651,-5262,-16273,145084,2657,-28912,1257,-5341,1120,10452,-4798,-5266,-2269,-2961,-14034,-45318,-7114,-23351,-317267,27889,-208249,12402,6342,21818,-24208,-720,-4879,-2717,-20222,-7015,15959,-41766,148564,32569,-175782,321,-5492,356,-5010,-2663,-77622,5598,38,-12777,499518
2012:Q1,271435,1836,131566,12941,33719,40239,2956,-21261,-9393,19978,730,-7108,-20935,-1787,-1679,14627,118529,-65883,27071,-4711,83973,-5304,635,40761,1317,-822,-6988,5691,20594,456,-5620,-6059,11756,38474,34712,-39427,-93822,2867,1567,-1253,-3164,4027,127496,1882,-11,-45791,187462
2012:Q2,145635,1871,132984,12940,22175,28649,-3417,30014,-5147,1014,-115,9257,5907,1235,-12480,-4008,-72096,-10415,4618,2649,278449,-1422,219249,40876,2271,1020,1156,-4322,6396,1893,12212,12357,9687,15605,29604,920,18880,-564,-14110,2456,-14435,5069,-2633,-67216,12,3488,-132814
2012:Q3,372036,410,44574,12941,-3376,110846,6354,-1631,13502,-109,1188,26202,24571,-2920,-4381,19724,55282,54781,18534,-4456,26483,2190,-83268,40635,6608,-924,-28261,8700,-3553,2541,-12579,3095,8237,2026,114372,-1203,-32800,3559,3680,1113,-6202,7675,20567,-31654,1,1928,345552
2012:Q4,44912,-3451,37458,12941,-1097,26105,195,-41326,-22446,-577,-1615,151,16415,-1915,18501,-9476,-35706,44342,7563,-1150,-81807,15150,-182062,40601,530,-33,-5737,-10369,-1206,-618,7215,11919,6612,-9728,22632,22278,23776,2594,12946,-2987,-7054,5387,-118362,80784,124,3801,126719
2013:Q1,433881,997,128573,10451,13292,109575,2123,12368,-1033,583,2607,7529,656,-2946,1511,-5135,119394,56634,-25398,2101,361379,5916,-48594,47263,6536,1541,-15277,8919,1501,3722,-10199,13674,41367,10408,111491,-20549,-23734,-5726,15322,1010,-10225,425,181825,44094,0,670,72502
2013:Q2,75899,1902,10935,10451,108308,44019,-3156,58725,-7080,120,277,4493,6950,3055,-916,1846,-138506,-2306,-10004,-13214,60740,10049,-105221,46919,422,1678,27583,14474,1355,2046,-2244,11129,38443,108936,41598,10099,-22887,-13310,-189,-6899,-2181,-9799,-81407,-4681,-67,-5106,15159
2013:Q3,224188,-1005,101305,10452,30088,94730,3791,-15675,-11523,-1414,-234,4527,-6593,-571,6588,-15879,104,9150,2274,14073,142888,14218,68944,46854,2808,-591,-23939,-3727,2645,-767,-11308,-4795,36149,38348,94028,-19577,-18953,-1881,-874,-1200,-3642,-14427,-31025,-22634,10,-1776,81300
2013:Q4,78477,1109,62619,10451,-149931,97094,-3106,-18483,-11441,-826,-1321,-1553,615,-6286,-6873,-3356,56885,-12952,5652,60180,124917,24299,49658,47026,5849,1933,-3471,1436,-926,511,-6854,570,33623,-169354,99009,15921,12287,-6712,-1207,-1933,-2044,412,19327,3805,-110,1863,-46440
2014:Q1,270227,980,22504,19477,30608,84432,330,19229,-1228,1797,-241,31679,14364,-2161,16822,3867,35675,-3170,831,-5569,536316,2759,42998,65635,4106,626,-607,5779,-1010,4924,25611,30252,15346,34487,81805,6227,82395,-32,-13518,-3065,2053,6791,148234,-8807,0,3327,-266089
2014:Q2,230604,1374,60941,19477,25875,35772,569,23352,-2416,-4771,2318,-8035,2956,-306,-2057,1207,45595,5515,16781,6457,94093,8245,-68249,65811,1238,1424,-1463,795,174,1663,-23240,4328,15668,19127,34278,3516,-14114,-929,-679,3922,-1565,2935,5880,35534,0,-205,136511
2014:Q3,92996,-659,60290,19477,-870,17972,1899,52223,9881,-2385,663,16718,4850,1094,2337,-1895,-51887,-27262,15223,-24673,165625,2201,112553,65802,-1816,-309,3768,2163,-1647,-528,13637,13811,15915,2414,13325,-3919,12714,174,-2156,2971,20521,123,-61115,-43254,0,-1723,-72629
2014:Q4,390951,-470,352422,19477,-24124,72620,-2223,34015,-2240,118,-1424,-10398,14549,-1984,2961,-1202,-19062,-3871,-33873,-4340,155893,4740,13464,65919,8146,1141,-11334,-3080,11845,-266,-14637,41515,16391,-37930,73518,-14257,37985,-353,5386,3821,1062,169,-27291,-20546,9,476,235058
