1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2458,1004,1447,7,2458,29,0,0,334,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2242,382,1828,32,2242,121,0,0,234,0,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2343,245,2055,43,2343,79,0,5,434,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,2194,208,1941,45,2194,123,0,14,354,0,1698,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1952:Q2,2138,53,2038,47,2138,0,0,4,559,0,1565,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1952:Q3,2579,401,2128,50,2579,0,0,2,624,0,1938,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
1952:Q4,2781,626,2102,53,2781,-1,0,2,600,0,2159,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1953:Q1,2779,728,1996,55,2779,52,0,54,538,0,2112,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0
1953:Q2,2349,283,2010,56,2349,135,0,20,495,0,1675,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0
1953:Q3,2610,425,2127,58,2610,209,0,1,493,0,1882,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0
1953:Q4,4412,2253,2099,60,4412,154,0,0,516,0,3698,0,0,1,0,0,18,0,25,0,0,0,0,0,0,0,0,0
1954:Q1,4843,2911,1871,61,4843,140,0,18,547,0,4093,0,0,1,0,0,16,0,28,0,0,0,0,0,0,0,0,0
1954:Q2,4031,2002,1967,62,4031,140,0,8,568,0,3267,0,0,1,0,0,16,0,31,0,0,0,0,0,0,0,0,0
1954:Q3,2699,537,2092,70,2699,152,0,6,600,0,1897,0,0,1,0,0,9,0,34,0,0,0,0,0,0,0,0,0
1954:Q4,4480,2338,2064,78,4480,147,0,1,659,0,3627,0,0,1,0,0,7,0,38,0,0,0,0,0,0,0,0,0
1955:Q1,4726,2595,2045,86,4726,39,150,7,732,0,3745,0,0,1,0,0,9,0,43,0,0,0,0,0,0,0,0,0
1955:Q2,4006,1550,2361,95,4006,117,200,8,764,0,2857,0,0,1,0,0,11,0,48,0,0,0,0,0,0,0,0,0
1955:Q3,3615,908,2602,105,3615,232,250,4,747,0,2315,0,0,1,0,0,13,0,53,0,0,0,0,0,0,0,0,0
1955:Q4,4732,1611,3005,116,4732,605,300,20,676,0,3053,0,0,1,0,0,19,0,58,0,0,0,0,0,0,0,0,0
1956:Q1,4855,1617,3111,127,4855,721,325,15,615,0,3083,0,0,1,0,0,35,0,60,0,0,0,0,0,0,0,0,0
1956:Q2,4605,1151,3316,138,4605,958,350,14,628,0,2556,0,0,1,0,0,36,0,62,0,0,0,0,0,0,0,0,0
1956:Q3,4619,917,3559,143,4619,1115,375,6,685,0,2330,0,0,1,0,0,43,0,64,0,0,0,0,0,0,0,0,0
1956:Q4,4953,1356,3448,149,4953,959,400,9,758,0,2712,0,0,1,0,0,47,0,67,0,0,0,0,0,0,0,0,0
1957:Q1,5380,1378,3845,157,5380,933,500,20,815,0,2972,0,0,1,0,0,65,0,74,0,0,0,0,0,0,0,0,0
1957:Q2,5538,926,4446,166,5538,1154,600,18,829,0,2782,0,0,1,0,0,72,0,82,0,0,0,0,0,0,0,0,0
1957:Q3,5509,704,4635,170,5509,1100,700,19,788,0,2730,0,0,1,0,0,82,0,89,0,0,0,0,0,0,0,0,0
1957:Q4,6700,1679,4848,173,6700,1463,800,13,739,0,3474,0,0,1,0,0,113,0,97,0,0,0,0,0,0,0,0,0
1958:Q1,7178,2275,4728,175,7178,1208,700,55,695,0,4275,0,0,1,0,0,142,0,102,0,0,0,0,0,0,0,0,0
1958:Q2,6024,1222,4625,177,6024,824,500,26,670,0,3785,0,0,1,0,0,111,0,107,0,0,0,0,0,0,0,0,0
1958:Q3,6314,1291,4840,183,6314,798,550,7,641,0,4089,0,0,1,0,0,116,0,112,0,0,0,0,0,0,0,0,0
1958:Q4,6713,1598,4925,190,6713,833,600,3,597,0,4396,0,0,1,0,50,116,0,117,0,0,0,0,0,0,0,0,0
1959:Q1,6550,1314,5041,195,6550,917,700,2,562,0,4046,0,0,1,0,61,137,0,124,0,0,0,0,0,0,0,0,0
1959:Q2,7137,1026,5910,201,7137,1523,900,6,573,0,3756,0,0,1,0,74,172,0,132,0,0,0,0,0,0,0,0,0
1959:Q3,7863,939,6722,202,7863,2011,1000,15,578,0,3849,0,0,1,0,82,188,0,139,0,0,0,0,0,0,0,0,0
1959:Q4,8272,949,7120,203,8272,2267,1200,2,546,0,3846,0,0,1,0,72,192,0,146,0,0,0,0,0,0,0,0,0
1960:Q1,8138,978,6956,204,8138,1630,1200,47,536,0,4109,0,0,1,114,73,269,0,159,0,0,0,0,0,0,0,0,0
1960:Q2,8769,953,7610,206,8769,1909,1343,16,622,0,4112,0,0,1,190,100,305,0,171,0,0,0,0,0,0,0,0,0
1960:Q3,8322,392,7726,204,8322,1294,1190,4,793,0,4285,0,0,1,163,105,303,0,184,0,0,0,0,0,0,0,0,0
1960:Q4,8749,688,7860,201,8749,1033,1116,37,1050,0,4797,0,0,1,140,101,278,0,196,0,0,0,0,0,0,0,0,0
1961:Q1,8513,934,7378,201,8513,359,936,36,1287,0,4979,0,0,1,340,91,270,0,214,0,0,0,0,0,0,0,0,0
1961:Q2,8571,656,7715,200,8571,224,1233,13,1116,0,4968,0,0,1,452,81,250,0,233,0,0,0,0,0,0,0,0,0
1961:Q3,8893,436,8213,244,8893,244,1248,37,1474,0,4909,0,0,1,364,103,261,0,252,0,0,0,0,0,0,0,0,0
