date,FA893150005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA263150005.Q,FA893150005.Q,FA153050005.Q,FA543050005.Q,FA543151905.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6705,400,1380,4047,878,0,6705,6705,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7057,500,1517,3946,1094,0,7057,7057,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,30072,1856,8844,13408,5964,0,30072,30072,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q2,31072,1944,9516,13532,6080,0,31072,31072,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q3,32216,1992,10132,13892,6200,0,32216,32216,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q4,33044,2008,10848,13868,6320,0,33044,33044,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q1,35008,2348,11732,14364,6564,0,35008,35008,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q2,35316,2016,11912,14652,6736,0,35316,35316,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q3,36576,1908,12876,14888,6904,0,36576,36576,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q4,38168,2028,14232,14832,7076,0,38168,38168,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q1,40792,2084,16012,15492,7204,0,40792,40792,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q2,41588,2084,16288,15856,7360,0,41588,41588,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q3,42548,2100,16780,16156,7512,0,42548,42548,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q4,44188,2132,18004,16384,7668,0,44188,44188,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q1,44196,1264,18072,16872,7988,0,44196,44196,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q2,45536,1424,18632,17272,8208,0,45536,45536,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q3,47032,1496,19744,17360,8432,0,47032,47032,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q4,48056,1800,20080,17524,8652,0,48056,48056,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q1,50368,2236,20892,17868,9372,0,50368,50368,0,0,ND,ND,ND,ND,ND,ND,ND
