1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1002,303,517,182,1002,110,3,0,0,0,404,0,3,0,14,464,4,3,0,0,-3,0
1952:Q1,225,50,139,36,225,45,1,0,0,0,60,0,1,0,2,110,2,1,0,0,3,0
1952:Q2,214,76,-145,283,214,40,1,0,0,0,87,0,1,0,1,81,2,0,0,0,1,0
1952:Q3,234,76,-25,183,234,49,1,0,0,0,93,0,1,0,1,85,1,1,0,0,2,0
1952:Q4,236,65,205,-34,236,46,1,0,1,0,104,0,1,0,1,79,2,1,0,0,0,0
1953:Q1,263,77,276,-90,263,67,1,0,0,0,102,0,1,0,2,89,3,1,0,0,-3,0
1953:Q2,279,74,-75,280,279,65,1,0,1,0,112,0,1,0,4,89,3,1,0,0,2,0
1953:Q3,273,63,57,153,273,63,0,0,3,0,108,0,0,0,5,87,2,2,0,0,3,0
1953:Q4,352,82,372,-102,352,96,0,0,7,0,129,0,0,0,5,112,3,1,0,0,-1,0
1954:Q1,316,92,265,-41,316,105,0,0,-5,0,121,0,0,0,4,85,3,2,0,0,1,0
1954:Q2,444,98,-148,494,444,133,0,0,4,0,191,0,0,0,2,109,3,1,0,0,1,0
1954:Q3,458,75,-80,463,458,146,0,0,-7,0,190,0,0,0,0,122,3,2,0,0,2,0
1954:Q4,531,15,407,109,531,170,1,0,0,0,178,0,1,0,-2,177,3,1,0,0,2,0
1955:Q1,452,29,279,144,452,98,3,0,5,0,197,0,3,0,1,136,4,2,0,0,3,0
1955:Q2,498,-146,169,475,498,134,4,0,10,0,209,0,4,0,2,124,5,2,0,0,4,0
1955:Q3,556,-33,211,379,556,159,4,0,2,0,227,0,4,0,3,143,6,1,0,0,7,0
1955:Q4,556,-96,828,-176,556,182,3,0,4,0,168,0,3,0,3,185,6,2,0,0,0,0
1956:Q1,579,271,205,103,579,149,2,0,2,0,242,0,2,0,4,171,7,2,0,0,-2,0
1956:Q2,628,131,82,416,628,178,1,0,5,0,230,0,1,0,3,199,9,2,0,0,0,0
1956:Q3,617,218,73,326,617,177,1,0,-2,0,228,0,1,0,2,197,9,2,0,0,2,0
1956:Q4,604,74,508,22,604,169,3,0,2,0,180,0,3,0,0,237,9,3,0,0,-2,0
1957:Q1,518,17,499,2,518,165,4,0,1,0,115,0,4,0,0,222,9,4,0,0,-6,0
1957:Q2,473,45,65,363,473,131,5,0,14,0,121,0,5,0,0,187,9,3,0,0,-2,0
1957:Q3,684,200,96,388,684,224,5,0,0,0,233,0,5,0,0,204,8,5,0,0,0,0
1957:Q4,781,133,599,49,781,240,4,0,4,0,229,0,4,0,0,284,11,5,0,0,0,0
1958:Q1,553,322,272,-41,553,159,4,0,-1,0,173,0,4,0,0,196,9,6,0,0,3,0
1958:Q2,684,279,198,207,684,209,4,0,1,0,313,0,4,0,0,134,10,5,0,0,4,0
1958:Q3,708,73,236,399,708,205,4,0,-1,0,278,0,4,0,0,199,10,6,0,0,3,0
1958:Q4,1018,-58,928,148,1018,290,3,0,-1,0,415,0,3,0,-1,285,13,7,0,0,4,0
1959:Q1,553,244,-5,314,553,169,1,0,-3,0,284,0,1,0,0,77,14,6,0,0,4,0
1959:Q2,804,162,-7,649,804,248,0,0,-1,0,454,0,0,0,-2,85,16,6,0,0,-2,0
1959:Q3,771,102,-23,692,771,238,0,0,-2,0,298,0,0,0,-3,213,17,7,0,0,3,0
1959:Q4,945,-9,780,174,945,286,0,0,-1,0,364,0,0,0,-9,272,19,11,0,0,3,0
1960:Q1,671,439,-79,311,671,191,1,0,-1,0,251,0,1,0,-1,198,19,11,0,0,1,0
1960:Q2,769,133,74,562,769,208,1,0,-1,0,306,0,1,0,0,220,22,14,0,0,-2,0
1960:Q3,863,138,195,531,863,239,1,0,0,0,355,0,1,0,2,226,22,15,0,0,2,0
1960:Q4,876,128,489,259,876,244,0,0,0,0,315,0,0,0,2,280,21,15,0,0,-1,0
1961:Q1,714,121,-118,711,714,165,2,0,5,0,310,0,2,0,4,193,18,14,1,0,0,0
1961:Q2,1052,125,246,681,1052,275,2,0,3,0,442,0,2,0,3,288,17,15,2,0,3,0
1961:Q3,912,146,176,591,912,243,2,0,1,0,390,0,2,0,1,235,16,13,1,0,8,0
1961:Q4,1318,143,921,254,1318,436,3,0,2,0,587,0,3,0,-2,246,19,14,0,0,10,0
1962:Q1,971,141,298,532,971,-32,5,0,1,0,704,0,5,0,-1,256,21,13,1,0,-2,0
1962:Q2,1210,166,369,675,1210,87,6,0,1,0,841,0,6,0,-4,228,23,12,1,0,9,0
1962:Q3,1149,161,440,548,1149,36,6,0,2,0,752,0,6,0,-6,312,22,10,1,0,8,0
1962:Q4,1473,128,998,347,1473,58,4,0,2,0,799,0,4,0,-10,577,23,13,1,0,2,0
1963:Q1,942,203,344,395,942,-82,2,0,3,0,671,0,2,0,-3,313,23,12,1,0,0,0
1963:Q2,1344,107,501,736,1344,-10,0,0,2,0,958,0,0,0,-3,355,21,11,1,0,9,0
1963:Q3,1343,126,563,654,1343,-51,0,0,4,0,920,0,0,0,-2,419,24,13,3,0,13,0
1963:Q4,1469,160,1011,298,1469,-43,4,0,4,0,845,0,4,0,-5,611,27,14,2,0,6,0
1964:Q1,527,146,500,-119,527,-266,5,0,4,0,602,0,5,0,-1,133,36,10,3,0,-4,0
1964:Q2,841,156,424,261,841,-220,7,0,4,0,788,0,7,0,0,194,39,10,3,0,9,0
1964:Q3,1176,151,744,281,1176,-169,7,0,10,0,1031,0,7,0,0,228,34,14,9,0,5,0
1964:Q4,1331,152,1197,-18,1331,-154,5,0,8,0,946,0,5,0,0,454,38,17,11,0,1,0
1965:Q1,803,178,663,-38,803,-241,2,0,6,0,615,0,2,0,4,345,38,17,13,0,2,0
1965:Q2,1215,187,341,688,1215,-217,0,0,4,0,975,0,0,0,6,336,71,20,14,0,6,0
1965:Q3,1216,181,452,583,1216,-216,0,0,8,0,920,0,0,0,7,412,33,22,18,0,12,0
1965:Q4,1248,172,896,180,1248,-214,2,0,8,0,773,0,2,0,5,610,24,22,18,0,-2,0
1966:Q1,1346,178,494,674,1346,25,5,0,-22,0,794,0,5,0,-2,461,35,26,21,0,-2,0
1966:Q2,1779,180,1060,539,1779,185,7,0,15,0,960,0,7,0,0,526,28,30,22,0,-1,0
1966:Q3,1521,184,907,430,1521,126,8,0,10,0,719,0,8,0,0,560,37,30,23,0,0,0
1966:Q4,1151,156,846,149,1151,27,6,0,10,0,492,0,6,0,3,510,58,26,24,0,-11,0
1967:Q1,750,193,514,43,750,-101,1,0,8,0,315,0,1,0,5,451,24,22,25,0,-1,0
1967:Q2,1344,48,279,1017,1344,32,-2,0,7,0,847,0,-2,0,5,396,-1,23,26,0,13,0
1967:Q3,1347,198,204,945,1347,15,-2,0,22,0,898,0,-2,0,5,342,24,11,29,0,5,0
1967:Q4,1325,2547,-1765,543,1325,20,1,0,19,0,808,0,1,0,4,431,7,10,27,0,-3,0
1968:Q1,1294,-2133,3341,86,1294,-133,89,0,26,0,846,0,-6,0,3,367,5,20,26,0,-5,56
1968:Q2,1606,162,191,1253,1606,-161,119,0,26,0,1181,0,-2,0,2,326,-8,17,25,0,10,71
1968:Q3,1813,181,514,1118,1813,33,79,0,17,0,1151,0,-1,0,2,449,8,5,16,0,7,47
1968:Q4,2092,149,961,982,2092,-263,155,0,18,0,1265,0,-3,0,1,779,2,18,15,0,13,92
1969:Q1,1348,185,846,317,1348,172,69,0,19,0,692,0,23,0,2,319,4,8,14,0,-1,27
1969:Q2,1425,198,-521,1748,1425,-142,152,100,20,0,796,0,37,0,1,358,-3,9,14,0,15,68
1969:Q3,1479,182,-286,1583,1479,-57,97,100,21,0,787,0,41,0,1,423,17,4,17,0,-5,33
1969:Q4,1933,149,782,1002,1933,-115,184,100,22,0,694,0,35,0,3,882,22,-17,16,0,20,87
1970:Q1,-101,314,10360,-10775,-101,-737,-91,100,24,92,306,0,-42,0,8,292,6,18,15,0,-64,-28
1970:Q2,2303,186,640,1477,2303,762,135,100,22,25,416,0,8,0,12,483,-2,50,15,0,202,75
1970:Q3,2804,218,539,2047,2804,1088,141,100,14,48,782,0,6,0,13,350,27,42,12,0,103,78
1970:Q4,2446,168,797,1481,2446,-31,252,100,14,22,1214,0,6,0,12,523,-27,105,10,0,101,145
1971:Q1,1197,278,920,-1,1197,-649,142,100,14,64,907,0,5,0,0,404,2,-3,11,0,120,80
1971:Q2,2390,-70,723,1737,2390,-542,193,100,12,49,1876,0,-20,0,-5,425,-30,13,11,0,183,125
1971:Q3,3237,235,649,2353,3237,-490,218,100,36,97,2339,0,21,0,-7,650,-12,-8,36,0,140,117
1971:Q4,3656,131,1571,1955,3656,-553,234,100,38,16,2344,0,19,0,-10,1006,133,11,35,0,157,126
1972:Q1,3051,214,2792,45,3051,-37,134,100,11,91,2027,0,-2,0,-8,350,7,25,-83,0,357,79
1972:Q2,4272,186,1040,3046,4272,159,250,100,-6,89,2817,0,-38,0,-11,500,-66,-1,36,0,273,170
1972:Q3,4018,214,1430,2374,4018,115,308,100,-7,6,2788,0,72,0,-11,707,-55,40,40,0,-224,139
1972:Q4,5838,153,2475,3210,5838,466,383,100,-217,65,3003,0,-45,0,-12,1548,-59,82,285,0,-12,251
1973:Q1,4085,276,2160,1649,4085,-376,348,67,-6,88,2762,20,38,0,-5,699,-4,108,0,0,164,182
1973:Q2,5755,33,6027,-305,5755,219,484,59,-51,31,3404,-6,36,0,-3,1056,-37,157,103,0,40,263
1973:Q3,5027,237,10356,-5566,5027,-692,611,39,68,33,3150,16,12,0,-2,1288,-35,58,-20,0,150,351
1973:Q4,4671,66,10853,-6248,4671,-205,236,23,-113,41,2291,22,12,0,-5,1845,51,151,174,0,16,132
1974:Q1,3749,291,1768,1690,3749,-25,233,76,54,68,2074,8,73,0,-2,901,10,78,-6,0,113,94
1974:Q2,4922,31,351,4540,4922,-38,54,66,147,52,3139,6,74,0,-2,1182,-13,111,-53,0,208,-11
1974:Q3,2668,247,-2780,5201,2668,-1012,253,39,40,5,1784,16,146,0,-1,1160,-11,51,0,0,136,62
1974:Q4,3334,42,-628,3920,3334,-26,5,19,105,216,956,18,129,0,-4,1517,7,229,0,0,235,-72
1975:Q1,2132,212,-516,2436,2132,864,-480,-28,71,56,694,115,61,0,-6,1012,43,107,0,0,-55,-322
1975:Q2,3027,17,810,2200,3027,691,-542,-24,163,0,1905,133,15,0,21,997,2,116,0,0,-104,-346
1975:Q3,3600,282,1451,1867,3600,894,-674,-16,83,-3,2763,-62,52,0,19,777,28,83,0,0,101,-445
1975:Q4,3922,11,1443,2468,3922,420,-451,-9,192,-9,2774,-101,54,0,30,1154,55,-6,0,0,138,-319
1976:Q1,2228,188,-631,2671,2228,-263,126,1,80,2,1572,-20,-26,0,0,691,26,33,0,0,118,-112
1976:Q2,3124,171,2054,899,3124,-54,-197,30,37,-1,2372,-3,-27,0,24,592,-8,75,-10,0,408,-114
1976:Q3,3772,141,2416,1215,3772,0,-223,98,169,21,2739,-34,-20,0,-1,857,0,85,10,0,188,-117
1976:Q4,4037,61,2033,1943,4037,-318,-201,156,88,-19,2521,-39,-17,0,29,1528,70,53,0,0,306,-120
1977:Q1,3211,150,675,2386,3211,-111,-102,70,122,43,1983,2,-34,0,54,693,-11,20,0,0,546,-64
1977:Q2,2895,235,1931,729,2895,-507,-93,105,172,-7,2006,11,-34,0,41,890,89,135,0,0,150,-63
1977:Q3,5447,150,3687,1611,5447,4,31,190,160,0,3416,-21,90,0,27,1350,-23,58,0,0,229,-64
1977:Q4,7166,225,5102,1839,7166,76,11,261,128,1,3734,-26,70,0,-11,2638,-2,153,0,0,197,-64
1978:Q1,4646,264,2729,1654,4646,-103,-157,188,652,14,3093,12,-160,0,-9,1217,-6,-6,0,0,-77,-12
1978:Q2,5385,326,3801,1258,5385,-11,-147,228,-341,-3,4365,19,-176,0,-10,1593,49,-68,0,0,-101,-12
1978:Q3,5533,-18,2561,2990,5533,-19,18,328,215,-4,3080,10,0,0,1,1908,-1,51,0,0,-36,-18
1978:Q4,5589,260,1194,4135,5589,-342,16,409,41,34,2456,7,0,0,25,3079,3,122,0,0,-255,-6
1979:Q1,4507,78,2846,1583,4507,-350,43,469,282,4,2128,16,1,0,57,1623,22,35,0,0,182,-5
1979:Q2,6536,36,-576,7076,6536,-433,46,445,168,45,4047,17,5,0,-20,2109,-26,18,0,0,120,-5
1979:Q3,7642,237,27,7378,7642,-155,47,386,205,83,4080,329,6,0,30,2394,47,-1,0,0,196,-5
1979:Q4,6065,108,-1863,7820,6065,-244,34,341,186,66,2524,391,9,0,192,2562,15,106,0,0,-112,-5
1980:Q1,4434,-49,-2678,7161,4434,128,-61,-50,402,18,802,392,-65,0,124,2634,74,89,0,0,-44,-9
1980:Q2,4952,312,-5188,9828,4952,88,60,26,261,105,1596,391,25,0,47,2171,30,69,0,0,92,-9
1980:Q3,4919,455,-3237,7701,4919,-168,41,216,264,-17,1548,290,31,0,44,2191,224,48,0,0,216,-9
1980:Q4,6079,-76,1,6155,6079,-246,47,371,253,54,2051,249,29,0,129,2750,71,141,0,0,189,-9
1981:Q1,7608,193,379,7036,7608,-628,2375,794,179,17,1786,380,91,0,61,1950,127,39,0,0,440,-3
1981:Q2,10958,273,5509,5176,10958,-711,3849,831,246,133,3313,496,143,0,92,1955,100,168,0,0,346,-3
1981:Q3,10426,283,5332,4811,10426,-980,4421,922,258,201,3265,373,131,0,102,1499,3,125,0,0,109,-3
1981:Q4,10700,46,-148,10802,10700,-1149,5040,993,302,131,2325,489,55,0,92,2093,49,67,0,0,215,-2
1982:Q1,7766,873,-879,7772,7766,-2599,5073,540,183,161,2138,339,40,0,65,1410,0,90,0,0,321,5
1982:Q2,9028,382,-3723,12369,9028,-136,486,472,168,265,4176,396,8,0,42,1627,1217,174,0,0,127,6
1982:Q3,10639,166,-4362,14835,10639,-125,1634,299,202,191,6559,225,-10,0,53,487,593,242,0,0,284,5
1982:Q4,9308,440,-1542,10410,9308,-102,2227,161,168,282,3403,118,-18,0,99,1860,1034,40,0,0,30,6
1983:Q1,12708,1536,-3821,14993,12708,1324,540,162,64,158,6780,31,-57,0,149,1809,1787,20,0,0,-49,-10
1983:Q2,13885,1281,4285,8319,13885,251,975,279,99,68,9330,-51,-104,0,205,2060,375,48,0,0,360,-10
1983:Q3,13760,2243,4167,7350,13760,347,-898,569,104,145,9309,-141,-100,0,206,2793,1005,5,0,0,426,-10
1983:Q4,15449,2435,4302,8712,15449,-18,1187,804,105,-3,9035,357,-74,0,151,3622,-371,239,0,0,425,-10
1984:Q1,15065,3413,-1799,13451,15065,6,3741,940,15,64,10594,-768,-35,0,103,939,-1117,55,0,0,487,41
1984:Q2,21279,2013,5804,13462,21279,-148,3681,1003,70,37,13502,-158,-17,0,76,2778,-379,212,0,0,579,43
1984:Q3,22091,1096,4187,16808,22091,-449,4926,1162,112,80,13708,143,13,0,90,2253,-631,39,0,0,604,41
1984:Q4,20119,390,1046,18684,20119,-679,3204,1287,99,83,12485,1209,-5,0,84,1374,481,286,0,0,182,29
1985:Q1,15152,1709,-3149,16592,15152,789,18,947,46,57,9764,-163,-1,0,205,2246,631,94,0,0,499,20
1985:Q2,18903,126,1752,17025,18903,-522,1600,907,75,141,11368,-73,25,0,178,3874,841,33,0,85,342,29
1985:Q3,16173,578,-1831,17426,16173,380,584,809,87,237,10742,91,32,0,150,2888,-255,26,0,-2,373,31
1985:Q4,19535,799,9048,9688,19535,283,1050,732,85,294,6434,272,21,0,142,7487,701,21,0,481,899,633
1986:Q1,12570,1549,1442,9579,12570,-1255,-2827,195,18,664,11033,431,22,0,284,3048,437,147,0,-16,333,56
1986:Q2,11592,3111,3294,5187,11592,-402,-1264,190,91,-10,7125,413,15,0,220,5607,-1463,-52,0,536,511,75
1986:Q3,13307,2366,4087,6854,13307,107,-2246,177,66,-60,9198,406,17,0,232,4516,-394,326,0,60,877,25
1986:Q4,22712,-2367,6222,18857,22712,445,-5153,-1083,-78,84,18519,1682,6,0,273,8270,-1190,369,132,-28,618,-154
1987:Q1,14828,2816,3619,8394,14828,978,-5032,-824,17,56,14472,-314,15,0,96,2309,1540,-147,-5,485,1125,57
1987:Q2,16062,894,11135,4033,16062,-1500,-1374,-1074,90,52,12325,1416,0,0,306,4191,-190,2,-1,794,1031,-6
1987:Q3,12556,-239,8919,3876,12556,799,-2445,-1024,-1961,189,11190,1458,11,0,118,3853,-496,64,-2,33,687,82
1987:Q4,30167,2814,22280,5073,30167,0,4717,-678,11,256,11658,2686,26,0,126,10160,-234,-65,-61,697,750,118
1988:Q1,14896,2039,5518,7339,14896,-19,5591,175,37,192,-2333,2038,58,0,145,6971,921,68,-5,46,938,73
1988:Q2,22354,1312,935,20107,22354,-22,5882,525,-352,296,7967,1904,86,0,130,4051,938,195,-17,288,474,9
1988:Q3,24112,1312,8293,14507,24112,-18,6276,575,-988,40,8069,2092,103,0,137,4367,2077,162,-3,422,671,130
1988:Q4,26251,-92,12537,13806,26251,-7,4207,325,43,-149,9315,2108,109,0,168,6706,2004,91,0,741,389,201
1989:Q1,11245,2220,4611,4414,11245,3,-4577,-875,-242,56,10028,1550,117,0,205,3413,105,26,-4,475,1029,-64
1989:Q2,6694,1715,1932,3047,6694,10,-6802,-1024,-1216,126,6871,1941,128,0,248,4225,637,-118,-8,786,906,-16
1989:Q3,9575,1550,767,7258,9575,19,-6454,-1074,481,45,6272,2363,139,0,243,4491,730,122,-0,1123,1112,-37
1989:Q4,2149,1724,-6720,7144,2149,27,-6996,-1027,77,184,-1479,2272,147,0,190,6010,1226,-116,-0,1363,231,40
1990:Q1,12553,1729,15185,-4361,12553,38,-4176,-438,2056,271,-1543,5572,157,0,155,5155,3174,-39,-1,964,1226,-18
1990:Q2,3926,1556,2839,-468,3926,52,891,-582,2312,218,-8200,2784,161,0,137,3761,634,9,-1,-79,1836,-7
1990:Q3,3790,1738,4124,-2072,3790,55,-1235,-599,4221,52,-4148,2781,179,0,97,670,317,172,-0,236,998,-6
1990:Q4,1898,2262,1963,-2327,1898,46,-1313,-605,394,126,-3922,4208,209,0,36,710,210,724,-0,659,551,-135
1991:Q1,7621,2176,7103,-1658,7621,30,880,-893,3977,74,-850,3595,159,0,-26,1759,-1102,375,-0,518,-836,-39
1991:Q2,4367,2191,1531,644,4367,8,-1,-659,3207,211,-3481,2569,232,0,-93,2532,-1468,-100,-2,936,496,-20
1991:Q3,-11847,2193,-6339,-7701,-11847,24,1832,-1517,-126,-40,-11380,848,207,0,-126,-949,-1013,167,-1,195,80,-48
1991:Q4,-13035,2180,-7891,-7324,-13035,78,1157,-651,691,306,-7072,1753,93,0,-129,-8691,-1289,389,-1,788,-370,-87
1992:Q1,-9177,1664,-5129,-5712,-9177,20,124,-332,1407,66,-8831,-91,1,0,-123,-1771,-718,-162,-1,1049,221,-36
1992:Q2,-5702,1665,-4725,-2642,-5702,20,423,-327,-1309,222,-4132,183,-90,0,-121,-3047,-854,779,-0,1829,596,126
1992:Q3,-11767,1664,-8705,-4726,-11767,20,369,-321,-2846,-438,-6186,-874,-92,0,-154,-4533,-476,-419,-0,3664,592,-73
1992:Q4,-17922,1664,-19076,-510,-17922,20,807,-381,-3806,18,-6131,-1912,6,0,-224,-5870,-639,354,-1,-54,-200,90
1993:Q1,-7161,2516,-8093,-1584,-7161,28,-661,-448,-1548,13,-3166,-1370,-47,0,-301,-962,78,-641,-2,2068,-152,-50
1993:Q2,-9120,2514,-8085,-3549,-9120,28,-697,-142,-1548,302,-3449,-1236,-2,0,-396,-1938,-237,-1261,-1,2077,-601,-19
1993:Q3,-5824,2516,-2755,-5585,-5824,29,-730,-99,-636,-381,289,-1198,35,0,-400,-3824,361,592,-1,365,-213,-13
1993:Q4,-14239,3237,-10610,-6866,-14239,28,-726,-212,-730,276,-2625,-2741,109,0,-320,-9541,-1747,-604,-1,4471,145,-21
1994:Q1,-8693,-201,-4103,-4389,-8693,-26,938,-279,-1035,169,-3073,-1524,86,0,-169,-3218,-589,-2,-1,-162,-88,280
1994:Q2,-401,-201,2309,-2509,-401,-25,871,493,34,97,176,-1022,445,0,-169,-2659,-259,138,-2,898,361,223
1994:Q3,-7,-200,2081,-1888,-7,-26,758,70,286,200,-1515,-1090,222,0,-170,-1657,-271,-99,-1,2330,807,149
1994:Q4,-6068,-202,-2108,-3758,-6068,-25,424,249,-1404,120,894,-1163,177,0,-169,-1220,-4899,13,0,515,461,-41
1995:Q1,5327,-33,2506,2853,5327,18,264,-212,-150,-124,7032,-1435,62,0,-245,-235,31,18,-2,-274,605,-26
1995:Q2,2421,-33,800,1654,2421,18,339,-97,-295,75,3003,-1168,-244,0,-244,102,32,-22,-1,185,718,20
1995:Q3,2740,-33,-137,2910,2740,17,255,-155,-328,-401,1143,-829,54,0,-256,1490,32,4,-1,965,787,-37
1995:Q4,315,-33,-1683,2032,315,18,66,-97,-493,-56,4581,-1706,96,0,-234,-4813,31,1,-0,3119,-61,-136
1996:Q1,7102,831,3440,2831,7102,7,2165,-109,-408,65,5185,-1919,235,0,-245,-553,30,-5,0,2169,666,-181
1996:Q2,9398,832,4700,3866,9398,7,492,-153,187,-85,6420,-894,-160,0,-4,-325,30,1,0,1894,2113,-125
1996:Q3,243,832,-1562,973,243,6,683,-51,129,-204,3608,-82,-180,0,-28,-3086,33,0,-1,683,-1139,-128
1996:Q4,11782,832,6589,4361,11782,3,1111,-59,160,45,7544,-5,51,0,-145,-2103,49,0,-4,5976,-906,65
1997:Q1,7118,876,3210,3032,7118,9,5286,-190,128,140,2549,-1458,164,0,78,-909,56,-1,0,1545,-447,168
1997:Q2,16807,876,7931,8000,16807,9,5341,-74,166,182,9766,-2488,55,231,-117,-201,55,-3,0,3357,327,201
1997:Q3,16709,876,13117,2716,16709,8,5227,-104,111,-102,10165,-666,115,285,-8,-2400,65,-1,0,3913,-32,133
1997:Q4,21786,876,11976,8934,21786,9,5535,-80,124,-47,6204,-1514,147,120,-138,1429,-126,-3,0,10935,-1123,314
1998:Q1,13120,2536,-6788,17372,13120,8,-1758,510,-1,10,5570,-2140,82,120,-27,-338,-2,470,0,10772,-570,414
1998:Q2,19303,2536,-2061,18828,19303,7,-2147,511,128,-36,4988,-931,43,307,-43,1139,3,802,0,14924,-589,197
1998:Q3,21936,2536,2590,16810,21936,8,-2015,510,69,2252,12564,-186,177,191,-257,-198,3,327,0,5625,2568,298
1998:Q4,35760,2536,21858,11366,35760,7,-2483,509,139,586,16847,-2444,121,161,51,5015,-204,365,0,15767,1300,23
1999:Q1,23588,832,8841,13915,23588,40,-4325,-7,64,92,13968,-2034,380,133,-48,3743,215,153,0,9537,1427,250
1999:Q2,23357,832,11626,10899,23357,41,-4785,-159,174,37,15583,-1215,369,370,27,4921,216,470,0,5730,1598,-20
1999:Q3,24895,832,11061,13002,24895,40,-4827,-161,200,28,17989,-276,261,349,52,1127,215,-45,0,8404,1585,-46
1999:Q4,31717,832,16488,14397,31717,40,-4465,-160,287,218,22702,-931,140,183,-70,4777,214,733,0,6501,1730,-182
2000:Q1,26689,2812,5793,18084,26689,156,248,-43,-846,32,22892,712,105,206,632,-1085,-58,-534,0,4838,-349,-217
2000:Q2,30450,2812,9343,18295,30450,157,-52,-45,45,-62,19174,552,325,361,-696,2703,-175,96,0,6665,1169,233
2000:Q3,22003,2812,2814,16377,22003,156,-583,-43,111,12,14926,-200,282,261,-168,1779,-267,-1208,0,5738,1153,54
2000:Q4,27982,2812,4973,20197,27982,156,123,-45,405,-83,14078,124,107,135,-38,1075,-399,128,0,11733,1116,-633
2001:Q1,-18618,2588,-30682,9476,-18618,-70,260,228,177,-51,13632,-17,2646,136,10,-746,-547,-167,0,-34050,171,-230
2001:Q2,22569,2588,11769,8212,22569,-70,-262,226,15,93,15339,-372,630,331,33,1557,486,-564,0,5565,-439,1
2001:Q3,37684,2588,23213,11883,37684,-70,142,227,-792,-177,19820,1150,219,558,44,1573,391,138,0,14400,-105,166
2001:Q4,44378,2588,31327,10463,44378,-70,993,228,495,67,14860,-22,705,156,168,1945,236,-48,0,25997,-1658,326
2002:Q1,14676,2381,-1613,13908,14676,14,-180,-44,169,-125,15570,385,180,350,2,509,1012,-38,0,1020,-3977,-171
2002:Q2,28106,2381,16072,9653,28106,14,175,-42,54,-132,17104,341,-86,364,23,1307,354,-1012,0,7676,1595,371
2002:Q3,27861,2381,15196,10284,27861,14,329,-41,251,-186,15838,423,417,268,3,530,336,230,0,9404,-131,176
2002:Q4,35951,2381,32820,750,35951,14,141,-44,662,0,16743,-27,-323,244,84,4554,259,137,0,12902,277,328
2003:Q1,22940,1478,9194,12268,22940,-61,-16,7,-2008,-6,16939,11,119,114,6,1457,230,-555,0,6433,120,150
2003:Q2,32944,1478,11923,19544,32944,-61,213,8,259,-393,14285,543,280,385,-57,3510,117,872,0,12262,408,313
2003:Q3,36502,1478,18561,16463,36502,-61,570,9,-191,180,15861,4646,776,557,-7,2572,203,718,0,8874,1399,396
2003:Q4,27715,1478,4456,21781,27715,-61,678,7,368,184,19848,-6687,413,423,171,2006,229,-2463,0,8778,3143,678
2004:Q1,45157,1189,36211,7757,45157,-33,187,308,1947,187,24011,280,402,241,60,816,95,-1026,0,16382,-380,1680
2004:Q2,39668,1189,18985,19494,39668,-33,329,307,-1304,189,25331,-2719,689,768,76,1497,-28,1057,0,13912,-1095,692
2004:Q3,47403,1189,21860,24354,47403,-34,386,307,348,193,25587,543,973,468,115,3111,50,-1011,0,14643,1666,58
2004:Q4,58408,1189,26776,30444,58408,-33,709,308,850,196,26580,1260,1032,466,81,4814,-112,-184,0,18077,3944,420
