1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q2,9467962,5991517,3199843,1590911,399212,801551,3476445,135592,74680,25398,17533,3075,64426,15348,26880,6107,16091,0,116456,63626,52830,28138,266069,543200,216,11478,877010,1313174,7127654,4343445,1047566,77847,116168,853551,1138667,545422,336235,257010,66278,534527,46307,1510100,2784209,2516095,268114,5124517,54.331148053324085,78.522606711289,42.66223370763982,7227530,3751085,1360231,1226992,342869,820993,2884085,22621,1196920
1988:Q3,9591774,6070402,3241813,1605944,406121,816524,3521372,133955,78949,26273,16336,3695,62416,13725,26761,5918,16012,0,121849,68062,53787,27990,245024,550938,226,10912,890081,1352728,7168393,4427536,1074802,80303,115932,878567,1143547,546270,344464,252813,70320,531229,45149,1562489,2740857,2460529,280328,5164238,53.073791935737404,80.93633602433778,42.9559825819663,7320176,3798804,1381207,1243171,349468,824958,2892640,22877,1212812
1988:Q4,9978107,6180699,3297032,1637331,413067,833268,3797408,145405,82273,21554,15649,4981,64397,13648,27933,6022,16794,0,133407,72650,60757,30781,230344,615657,231,10627,895916,1546186,7519897,4651409,1102799,85676,116409,900714,1186962,568300,353269,265393,76451,576096,44371,1664730,2868488,2559333,309155,5326698,53.85115228036541,79.82465885138004,42.98649859533885,7650916,3853508,1401762,1260066,356735,834945,2999507,23146,1228696
1989:Q1,10384608,6445632,3510165,1657681,422672,855114,3938976,138197,74379,18622,16461,3744,82449,14686,37140,7692,22931,0,121774,69121,52653,35128,243434,623683,202,10876,927042,1642985,7802429,4818609,1127636,96147,115626,915863,1222755,571690,373997,277069,88918,577312,49134,1752854,2983820,2670653,313167,5565999,53.60798658683977,78.77122079118597,42.22766547602891,7879996,3941020,1430355,1276959,364384,869322,3061387,23419,1244831
1989:Q2,10449612,6467900,3496299,1674283,431350,865968,3981712,139884,80721,17113,16718,3524,88980,17526,39716,7090,24648,0,120052,65660,54392,35023,261289,627617,169,11643,955263,1623716,8015885,4856290,1162621,110059,115090,937472,1250365,580685,390399,279281,92560,581921,43378,1725445,3159595,2837245,322350,5593322,56.488705463978384,76.37011128009742,43.14048722352676,7972226,3990514,1446556,1294549,372372,877037,3115936,23688,1260763
1989:Q3,10495978,6484504,3476758,1698815,440845,868086,4011474,141324,73203,13992,17033,2449,93651,14351,44739,6564,27997,0,117893,62117,55776,35450,285558,633029,165,12045,964676,1621006,8267088,4872922,1181428,113273,114688,953467,1252171,584252,387529,280390,92871,577571,42076,1726805,3394166,3057566,336600,5623056,60.36159448010948,71.69946224731454,43.2789386461432,8046789,4035315,1464328,1313426,380719,876842,3173867,23956,1278267
1989:Q4,10591417,6493857,3446477,1721471,449106,876803,4097560,153925,80610,14705,16224,2783,107244,14291,51432,9170,32351,0,122567,58738,63829,42055,287674,699734,166,11709,937992,1620172,8495847,4939667,1197917,107112,115490,975315,1284119,608345,402431,273343,96187,597901,38289,1725254,3556180,3140008,416172,5651750,62.92175101801709,69.79499560375733,43.91623335683216,8165072,4067512,1483259,1330990,389373,863890,3225405,24210,1296944
1990:Q1,10619364,6517113,3432410,1744658,458829,881215,4102251,144236,69847,15669,19781,2036,87382,11574,44125,7046,24637,0,116808,58296,58512,42874,278230,711776,162,11097,943706,1658647,8462649,5027314,1222979,126034,114943,982002,1316096,602120,424819,289157,98824,588308,42256,1758851,3435335,3006907,428428,5592050,61.432481553796784,73.91053691704964,45.405076957878684,8328917,4226666,1591105,1349594,398230,887737,3301603,24464,1317862
1990:Q2,10652478,6539433,3421035,1760119,469837,888442,4113045,144172,70925,15551,21192,1800,87450,12555,45692,5292,23911,0,117459,57874,59585,41723,294621,719576,159,11261,979042,1608114,8589240,5014230,1242767,128659,115278,998830,1336469,604890,438658,292922,101537,593497,37130,1702830,3575010,3136251,438759,5638248,63.406394239014965,72.14626908970881,45.74534780776136,8382533,4269488,1614407,1366425,407257,881399,3368303,24695,1339992
1990:Q3,10765304,6612047,3436970,1785750,480322,909005,4153257,138790,72369,14509,24301,2792,77320,12016,36616,2886,25802,0,117528,57453,60075,46304,253215,730834,157,9296,1012945,1652897,8306150,5194365,1252441,131811,115026,1005604,1346388,596324,453159,296905,102448,616321,40934,1835833,3111785,2654774,457011,5570939,55.8574584468184,83.51570447405253,46.64974992316154,8487184,4333927,1649541,1384562,416067,883757,3292819,24912,1362706
1990:Q4,10734098,6649558,3436638,1816047,487059,909813,4084540,159167,74564,14717,26329,2137,79441,13836,37649,3285,24671,0,123893,56752,67141,37491,274682,620444,158,9723,967178,1694616,8617822,5221704,1254454,116852,115153,1022449,1359440,598122,463042,298276,104730,626310,38302,1838468,3396118,2956992,439126,5512394,61.60877288008572,76.96711865278651,47.41849732314133,8456629,4372089,1669880,1402118,424727,875364,3234925,25126,1383765
1991:Q1,10779421,6662787,3424829,1841074,500114,896770,4116634,126388,77964,15349,30192,1324,76700,13845,34502,2873,25480,0,117349,58163,59186,41684,313678,627532,156,11775,950905,1725638,9036419,5188632,1276700,119851,114860,1041989,1330702,585511,440808,304384,99439,587704,34609,1859478,3847787,3397923,449864,5590789,68.82368491710817,67.76368298226306,46.63746366394077,8565611,4448977,1697044,1417540,433751,900642,3376979,25338,1404061
1991:Q2,10798012,6651136,3407079,1846533,511096,886428,4146876,133193,81294,12599,30081,1430,81002,15866,34726,4955,25455,0,117062,59677,57385,36958,311831,639468,161,12357,980610,1708830,9019301,5218619,1300855,119437,115537,1065881,1309833,569526,434803,305503,105700,600650,27402,1874179,3800682,3355984,444698,5579393,68.1199869186049,68.68998173175116,46.79160657006097,8620083,4473207,1716626,1432241,443209,881131,3401464,25584,1423246
