1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q2,512313,109444,40223,1544,3372,22470,0,0,0,257209,156019,101190,0,0,21633,40363,16055,4029073,6441,20749,0,2229787,2204987,24800,698142,10,698132,698132,24227,88837,960890,11062,10018,932135,0,7675
1991:Q3,497695,106007,27232,1527,6475,21927,0,0,0,256317,152611,103706,0,0,21974,39797,16440,4141229,6703,20886,0,2325891,2308289,17602,711985,10,711975,711975,24118,89161,962485,11062,10018,934700,0,6705
1991:Q4,513254,103801,50916,1551,6538,22967,0,0,0,250433,152145,98288,0,0,22429,37508,17111,4244938,7008,21014,0,2409237,2390681,18556,738126,10,738116,738116,24790,85478,959285,11059,10018,931249,0,6959
1992:Q1,504237,103561,23391,1901,6545,21830,0,0,0,254660,152173,102487,0,0,22743,38176,31431,4344741,6721,21135,0,2489586,2473821,15765,734845,10,734835,734835,24674,84605,983175,11057,10018,955431,0,6669
1992:Q2,509509,104047,48971,2201,9345,22528,0,0,0,249752,152001,97751,0,0,23049,35602,14015,4429027,7012,21253,0,2548379,2532517,15862,749312,8,749304,749304,25287,86007,991777,11060,10018,963775,0,6924
1992:Q3,515382,105844,59309,2175,9832,22790,0,0,0,242672,152111,90561,0,0,23430,32351,16980,4521978,7216,21338,0,2624199,2606080,18119,764553,8,764545,764545,25454,85310,993908,11058,10018,966201,0,6631
1992:Q4,473117,95671,31741,874,12012,20003,0,0,0,238467,152120,86347,0,0,23856,30831,19663,4617084,6737,21447,0,2701796,2683010,18786,789335,8,789327,789327,26229,82677,988863,11056,8018,962905,0,6884
1993:Q1,478935,99585,22661,936,13127,21177,0,0,0,232705,150788,81917,0,0,24079,30550,34116,4695149,6848,21573,0,2756966,2737390,19576,786040,8,786032,786032,26232,83807,1013683,11054,8018,987820,0,6791
1993:Q2,500083,110926,61834,835,13119,20999,0,0,0,226439,150030,76409,0,0,24359,28921,12651,4775468,6877,21705,0,2807263,2786667,20596,806359,8,806351,806351,26872,85357,1021035,11057,8018,995172,0,6788
1993:Q3,489805,104780,53892,826,13650,21737,0,0,0,222099,148908,73191,0,0,24606,29103,19112,4840421,6949,21866,0,2853951,2829297,24654,820563,7,820556,820556,26941,87373,1022778,11057,8018,997155,0,6548
1993:Q4,488916,111595,52188,811,12293,20766,0,0,0,212905,141624,70928,353,0,24999,28443,24916,4945377,6730,22095,0,2938496,2911911,26585,845837,6,845831,845831,27622,85628,1018969,11053,8018,993098,0,6800
1994:Q1,490779,114866,45982,723,12968,22120,0,0,0,202282,135117,66815,350,0,25221,27736,38882,5014184,6921,22318,0,2990888,2964629,26259,836758,6,836752,836752,27628,86141,1043530,11052,8018,1017957,0,6503
1994:Q2,467155,113576,51684,689,13334,21383,0,0,0,200803,133982,66467,354,0,25583,26966,13138,5040836,7096,22528,0,2999180,2971742,27438,845618,6,845612,845612,28307,87192,1050915,11052,8018,1025290,0,6555
1994:Q3,462855,116109,36394,722,13098,21720,0,0,0,202692,134600,67534,558,0,25979,26560,19581,5094959,7189,22779,0,3039653,3011491,28162,856521,6,856515,856515,28405,86684,1053728,11054,8018,1028016,0,6640
