1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2007,2375,-605,-232,-184,-48,-536,22,37,199,-794,163,163,0,315,4,311,311,0,0,-78,48,-177,51,0,0,2801,-232,-184,-48,0,0,2238,2375,4,-141,0,-180,39,85,0,22,63,48,3,12,37,0,37,199,0,199,474,474,0,-794
1952:Q1,50,220,-321,-336,-474,138,2,15,2,6,-21,13,13,0,172,3,169,169,0,0,-21,26,-6,-41,0,0,71,-336,-474,138,0,0,166,220,3,-57,0,-7,-50,51,0,15,36,26,1,9,2,0,2,6,0,6,182,182,0,-21
1952:Q2,-1193,-895,-417,-242,-129,-113,-169,13,-1,21,-202,-6,-6,0,139,1,138,138,0,0,-20,23,-1,-42,0,0,-991,-242,-129,-113,0,0,-941,-895,1,-47,0,-2,-45,40,0,13,27,23,1,3,-1,0,-1,21,0,21,132,132,0,-202
1952:Q3,2042,1200,1068,468,157,311,667,-10,-2,5,674,-67,-67,0,-185,-4,-181,-181,0,0,-41,-23,-3,-15,0,0,1368,468,157,311,0,0,1196,1200,-4,0,0,-2,2,-51,0,-10,-41,-23,-1,-17,-2,0,-2,5,0,5,-248,-248,0,674
1952:Q4,-1018,-631,-500,1,229,-228,-507,6,-3,50,-560,6,6,0,74,2,72,72,0,0,39,12,34,-7,0,0,-458,1,229,-228,0,0,-615,-631,2,14,0,34,-20,31,0,6,25,12,0,13,-3,0,-3,50,0,50,78,78,0,-560
1953:Q1,622,198,465,406,-157,563,14,-2,0,-17,33,45,45,0,-60,-2,-58,-58,0,0,19,30,-27,16,0,0,589,406,-157,563,0,0,190,198,-2,-6,0,-28,22,23,0,-2,25,30,1,-6,0,0,0,-17,0,-17,-13,-13,0,33
1953:Q2,-1437,-587,-817,-845,-209,-636,35,4,1,47,-17,-7,-7,0,32,0,32,32,0,0,-65,-28,12,-49,0,0,-1420,-845,-209,-636,0,0,-622,-587,0,-35,0,12,-47,-26,0,4,-30,-28,0,-2,1,0,1,47,0,47,25,25,0,-17
1953:Q3,450,-252,756,359,84,275,358,-1,1,0,358,39,39,0,-25,0,-25,-25,0,0,-29,-1,0,-28,0,0,92,359,84,275,0,0,-270,-252,0,-18,0,0,-18,-12,0,-1,-11,-1,0,-10,1,0,1,0,0,0,14,14,0,358
1953:Q4,341,851,-673,-66,250,-316,-439,8,1,60,-508,-168,-168,0,76,2,74,74,0,0,87,14,8,65,0,0,849,-66,250,-316,0,0,910,851,2,57,0,6,51,38,0,8,30,14,2,14,1,0,1,60,0,60,-94,-94,0,-508
1954:Q1,-1635,-966,-644,-281,-400,119,-282,0,0,29,-311,-81,-81,0,-8,0,-8,-8,0,0,-17,1,-10,-8,0,0,-1324,-281,-400,119,0,0,-979,-966,0,-13,0,-9,-4,-4,0,0,-4,1,-1,-4,0,0,0,29,0,29,-89,-89,0,-311
1954:Q2,104,-183,208,-78,32,-110,295,4,-1,38,254,-9,-9,0,40,0,40,40,0,0,39,9,18,12,0,0,-150,-78,32,-110,0,0,-153,-183,0,30,0,16,14,13,0,4,9,9,2,-2,-1,0,-1,38,0,38,31,31,0,254
1954:Q3,-187,-680,428,96,-56,152,302,3,-1,42,258,30,30,0,26,2,24,24,0,0,39,6,27,6,0,0,-445,96,-56,152,0,0,-638,-680,2,40,0,27,13,2,0,3,-1,6,0,-7,-1,0,-1,42,0,42,54,54,0,258
1954:Q4,308,545,-504,133,297,-164,-636,12,-4,92,-736,-1,-1,0,159,4,155,155,0,0,108,25,27,56,0,0,1044,133,297,-164,0,0,616,545,4,67,0,26,41,53,0,12,41,25,1,15,-4,0,-4,92,0,92,154,154,0,-736
1955:Q1,-325,-488,284,332,-256,588,-50,-5,1,-1,-45,2,2,0,-56,-2,-54,-54,0,0,-65,-8,-34,-23,0,0,-280,332,-256,588,0,0,-538,-488,-2,-48,0,-33,-15,-22,0,-5,-17,-8,-1,-8,1,0,1,-1,0,-1,-52,-52,0,-45
1955:Q2,-75,-322,55,-225,298,-523,253,8,1,30,214,27,27,0,112,2,110,110,0,0,80,15,21,44,0,0,-289,-225,298,-523,0,0,-255,-322,2,65,0,20,45,23,0,8,15,15,1,-1,1,0,1,30,0,30,137,137,0,214
1955:Q3,1213,409,860,512,-62,574,316,-3,2,28,289,32,32,0,-49,0,-49,-49,0,0,-7,-8,-21,22,0,0,924,512,-62,574,0,0,422,409,0,13,0,-21,34,-23,0,-3,-20,-8,0,-12,2,0,2,28,0,28,-17,-17,0,289
1955:Q4,575,530,-116,255,797,-542,-354,2,3,85,-444,-17,-17,0,47,0,47,47,0,0,114,7,9,98,0,0,1019,255,797,-542,0,0,629,530,0,99,0,10,89,17,0,2,15,7,-1,9,3,0,3,85,0,85,30,30,0,-444
1956:Q1,-588,-423,-157,-193,-792,599,-26,3,4,69,-102,62,62,0,33,0,33,33,0,0,-41,8,-11,-38,0,0,-486,-193,-792,599,0,0,-470,-423,0,-47,0,-12,-35,9,0,3,6,8,1,-3,4,0,4,69,0,69,95,95,0,-102
1956:Q2,-306,-139,-331,-61,413,-474,-101,11,5,16,-133,-169,-169,0,126,5,121,121,0,0,38,22,-16,32,0,0,-173,-61,413,-474,0,0,-120,-139,5,14,0,-18,32,35,0,11,24,22,2,0,5,0,5,16,0,16,-48,-48,0,-133
1956:Q3,1483,213,1058,195,-146,341,632,10,6,-2,618,231,231,0,118,2,116,116,0,0,94,21,57,16,0,0,865,195,-146,341,0,0,289,213,2,74,0,55,19,30,0,10,20,21,2,-3,6,0,6,-2,0,-2,347,347,0,618
1956:Q4,65,403,-421,57,605,-548,-415,5,6,110,-536,-63,-63,0,49,2,47,47,0,0,34,9,-62,87,0,0,601,57,605,-548,0,0,419,403,2,14,0,-63,77,25,0,5,20,9,1,10,6,0,6,110,0,110,-16,-16,0,-536
1957:Q1,-1385,-709,-656,-291,-858,567,-304,-2,7,61,-370,-61,-61,0,-32,0,-32,-32,0,0,12,-4,10,6,0,0,-1015,-291,-858,567,0,0,-690,-709,0,19,0,6,13,-9,0,-2,-7,-4,4,-7,7,0,7,61,0,61,-93,-93,0,-370
1957:Q2,806,278,344,454,222,232,-1,6,8,-8,-7,-109,-109,0,117,6,111,111,0,0,67,15,10,42,0,0,813,454,222,232,0,0,333,278,6,49,0,6,43,24,0,6,18,15,4,-1,8,0,8,-8,0,-8,2,2,0,-7
1957:Q3,299,-34,401,-92,-44,-48,546,-3,8,-25,566,-53,-53,0,-22,0,-22,-22,0,0,-46,-5,-3,-38,0,0,-267,-92,-44,-48,0,0,-69,-34,0,-35,0,-8,-27,-14,0,-3,-11,-5,5,-11,8,0,8,-25,0,-25,-75,-75,0,566
1957:Q4,-444,440,-947,-287,439,-726,-600,0,5,136,-741,-60,-60,0,39,4,35,35,0,0,24,4,19,1,0,0,297,-287,439,-726,0,0,448,440,4,4,0,11,-7,20,0,0,20,4,8,8,5,0,5,136,0,136,-25,-25,0,-741
1958:Q1,-2042,-608,-1423,-652,-720,68,-841,4,6,152,-1003,70,70,0,51,1,50,50,0,0,-62,7,-27,-42,0,0,-1039,-652,-720,68,0,0,-656,-608,1,-49,0,-14,-35,-9,0,4,-13,7,-13,-7,6,0,6,152,0,152,120,120,0,-1003
1958:Q2,290,142,-147,102,92,10,-363,11,6,47,-427,114,114,0,151,5,146,146,0,0,144,20,35,89,0,0,717,102,92,10,0,0,280,142,5,133,0,49,84,22,0,11,11,20,-14,5,6,0,6,47,0,47,260,260,0,-427
1958:Q3,897,-467,1292,362,153,209,980,3,4,39,934,-50,-50,0,43,3,40,40,0,0,29,6,12,11,0,0,-37,362,153,209,0,0,-431,-467,3,33,0,11,22,-1,0,3,-4,6,1,-11,4,0,4,39,0,39,-10,-10,0,934
1958:Q4,338,403,-81,56,347,-291,36,-1,1,146,-110,-173,-173,0,4,0,4,4,0,0,12,0,-4,16,0,0,448,56,347,-291,0,0,396,403,0,-7,0,-5,-2,18,0,-1,19,0,1,18,1,0,1,146,0,146,-169,-169,0,-110
1959:Q1,-34,-310,320,-24,-550,526,178,0,-3,91,90,166,166,0,-25,-3,-22,-22,0,0,-19,22,-37,-4,0,0,-124,-24,-550,526,0,0,-351,-310,-3,-38,0,-36,-2,19,0,0,19,22,-1,-2,-3,0,-3,91,0,91,144,144,0,90
1959:Q2,730,-6,703,420,100,320,291,0,-9,-35,335,-8,-8,0,-27,-3,-24,-24,0,0,60,33,-2,29,0,0,395,420,100,320,0,0,18,-6,-3,27,0,-2,29,33,0,0,33,33,0,0,-9,0,-9,-35,0,-35,-32,-32,0,335
1959:Q3,-339,-428,53,-458,105,-563,570,1,-9,-80,658,-59,-59,0,-18,-3,-15,-15,0,0,54,28,19,7,0,0,-997,-458,105,-563,0,0,-395,-428,-3,36,0,20,16,19,0,1,18,28,-1,-9,-9,0,-9,-80,0,-80,-74,-74,0,658
1959:Q4,624,414,351,763,639,124,-546,2,-8,104,-644,134,134,0,-140,-4,-136,-136,0,0,-1,-60,12,47,0,0,1268,763,639,124,0,0,451,414,-4,41,0,12,29,-40,0,2,-42,-60,0,18,-8,0,-8,104,0,104,-2,-2,0,-644
1960:Q1,-779,-458,-385,-405,-767,362,-98,11,1,38,-148,118,118,0,112,-10,122,122,0,0,-48,17,-19,-46,0,0,-631,-405,-767,362,0,0,-515,-458,-10,-47,0,-19,-28,10,0,11,-1,17,0,-18,1,0,1,38,0,38,240,240,0,-148
1960:Q2,-329,-188,-302,-503,45,-548,-79,13,4,-90,-6,280,280,0,114,-9,123,123,0,0,47,29,10,8,0,0,-323,-503,45,-548,0,0,-185,-188,-9,12,0,8,4,48,0,13,35,29,2,4,4,0,4,-90,0,-90,403,403,0,-6
1960:Q3,1704,530,1016,445,119,326,437,13,6,-60,478,134,134,0,125,-8,133,133,0,0,33,9,18,6,0,0,1226,445,119,326,0,0,548,530,-8,26,0,17,9,20,0,13,7,9,1,-3,6,0,6,-60,0,-60,267,267,0,478
1960:Q4,-859,-977,-122,313,881,-568,-326,14,6,143,-489,-109,-109,0,125,-9,134,134,0,0,115,18,25,72,0,0,-370,313,881,-568,0,0,-917,-977,-9,69,0,24,45,60,0,14,46,18,1,27,6,0,6,143,0,143,25,25,0,-489
1961:Q1,-2081,-1089,-1284,-1011,-1092,81,-329,-2,8,169,-504,56,56,0,233,9,224,224,0,0,59,31,-14,42,0,0,-1577,-1011,-1092,81,0,0,-1102,-1089,9,-22,0,-13,-9,79,0,-2,81,31,-1,51,8,0,8,169,0,169,280,280,0,-504
1961:Q2,1333,724,262,345,416,-71,-241,-2,10,-2,-247,158,158,0,233,10,223,223,0,0,114,35,16,63,0,0,1580,345,416,-71,0,0,823,724,10,89,0,17,72,23,0,-2,25,35,-1,-9,10,0,10,-2,0,-2,381,381,0,-247
1961:Q3,360,-406,729,176,129,47,545,6,10,24,505,8,8,0,7,-3,10,10,0,0,30,-8,17,21,0,0,-145,176,129,47,0,0,-368,-406,-3,41,0,16,25,-5,0,6,-11,-8,1,-4,10,0,10,24,0,24,18,18,0,505
1961:Q4,2260,1077,1221,1033,1000,33,325,65,8,189,63,-137,-137,0,-224,43,-267,-267,0,0,186,-24,95,115,0,0,2197,1033,1000,33,0,0,1331,1077,43,211,0,90,121,40,0,65,-25,-24,5,-6,8,0,8,189,0,189,-404,-404,0,63
1962:Q1,-2784,-601,-2197,-1327,-1382,55,-1028,-38,5,194,-1189,158,158,0,-4,-26,22,22,0,0,18,-1,-81,100,0,0,-1595,-1327,-1382,55,0,0,-590,-601,-26,37,0,-77,114,-57,0,-38,-19,-1,-4,-14,5,0,5,194,0,194,180,180,0,-1189
1962:Q2,744,420,279,417,544,-127,-137,-39,3,-110,9,-1,-1,0,-4,-26,22,22,0,0,49,6,2,41,0,0,735,417,544,-127,0,0,430,420,-26,36,0,5,31,-26,0,-39,13,6,-3,10,3,0,3,-110,0,-110,21,21,0,9
1962:Q3,1492,-101,1654,898,179,719,820,10,2,-61,869,-64,-64,0,5,-11,16,16,0,0,-66,-3,-21,-42,0,0,623,898,179,719,0,0,-172,-101,-11,-60,0,-21,-39,4,0,10,-6,-3,0,-3,2,0,2,-61,0,-61,-48,-48,0,869
1962:Q4,13,349,-692,537,1262,-725,-954,40,2,150,-1146,-275,-275,0,109,92,17,17,0,0,247,14,85,148,0,0,1159,537,1262,-725,0,0,665,349,92,224,0,81,143,63,0,40,23,14,4,5,2,0,2,150,0,150,-258,-258,0,-1146
1963:Q1,-2698,-1044,-1566,-1523,-1680,157,-483,-13,3,175,-648,440,440,0,64,-32,96,96,0,0,-152,3,-49,-106,0,0,-2050,-1523,-1680,157,0,0,-1240,-1044,-32,-164,0,-48,-116,-1,0,-13,12,3,-1,10,3,0,3,175,0,175,536,536,0,-648
1963:Q2,999,555,278,317,415,-98,122,-11,2,-140,271,-161,-161,0,62,-33,95,95,0,0,104,13,57,34,0,0,728,317,415,-98,0,0,613,555,-33,91,0,58,33,2,0,-11,13,13,-1,1,2,0,2,-140,0,-140,-66,-66,0,271
1963:Q3,491,-344,779,166,-203,369,643,30,2,-55,666,-30,-30,0,70,13,57,57,0,0,-14,3,-15,-2,0,0,-175,166,-203,369,0,0,-344,-344,13,-13,0,-16,3,29,0,30,-1,3,1,-5,2,0,2,-55,0,-55,27,27,0,666
1963:Q4,1039,428,254,731,1165,-434,-377,23,3,184,-587,-100,-100,0,30,45,-15,-15,0,0,327,12,106,209,0,0,1626,731,1165,-434,0,0,785,428,45,312,0,104,208,38,0,23,15,12,2,1,3,0,3,184,0,184,-115,-115,0,-587
1964:Q1,-1445,-438,-1258,-1079,-1103,24,-329,-8,3,148,-472,150,150,0,65,7,58,58,0,0,186,13,-44,217,0,0,-973,-1079,-1103,24,0,0,-270,-438,7,161,0,-43,204,17,0,-8,25,13,-1,13,3,0,3,148,0,148,208,208,0,-472
1964:Q2,479,362,-125,160,136,24,-135,-9,3,-56,-73,-150,-150,0,63,7,56,56,0,0,179,20,67,92,0,0,552,160,136,24,0,0,530,362,7,161,0,67,94,9,0,-9,18,20,0,-2,3,0,3,-56,0,-56,-94,-94,0,-73
1964:Q3,1375,148,962,-52,-66,14,955,14,3,-62,1000,59,59,0,136,-46,182,182,0,0,129,31,-78,176,0,0,375,-52,-66,14,0,0,192,148,-46,90,0,-79,169,53,0,14,39,31,1,7,3,0,3,-62,0,-62,241,241,0,1000
1964:Q4,1123,729,50,1102,1039,63,-1111,58,1,228,-1398,59,59,0,183,16,167,167,0,0,161,30,58,73,0,0,2521,1102,1039,63,0,0,887,729,16,142,0,56,86,77,0,58,19,30,2,-13,1,0,1,228,0,228,226,226,0,-1398
1965:Q1,-964,-767,-752,-1539,-1492,-47,402,-35,0,83,354,385,385,0,267,6,261,261,0,0,288,36,-60,312,0,0,-1318,-1539,-1492,-47,0,0,-542,-767,6,219,0,-60,279,34,0,-35,69,36,0,33,0,0,0,83,0,83,646,646,0,354
1965:Q2,2125,952,1023,772,235,537,280,8,-3,-191,466,-29,-29,0,270,9,261,261,0,0,-120,32,27,-179,0,0,1659,772,235,537,0,0,824,952,9,-137,0,27,-164,25,0,8,17,32,0,-15,-3,0,-3,-191,0,-191,232,232,0,466
1965:Q3,-1243,-432,-308,-467,56,-523,51,62,-2,-81,72,108,108,0,-390,-44,-346,-346,0,0,-113,-32,-50,-31,0,0,-1315,-467,56,-523,0,0,-562,-432,-44,-86,0,-53,-33,35,0,62,-27,-32,3,2,-2,0,-2,-81,0,-81,-238,-238,0,72
1965:Q4,457,650,108,816,843,-27,-509,14,-2,235,-756,-199,-199,0,-335,43,-378,-378,0,0,34,-31,28,37,0,0,1213,816,843,-27,0,0,767,650,43,74,0,27,47,-26,0,14,-40,-31,1,-10,-2,0,-2,235,0,235,-577,-577,0,-756
1966:Q1,-722,-506,-2,-377,-860,483,47,-19,5,98,-37,328,328,0,-145,-15,-130,-130,0,0,-69,4,-12,-61,0,0,-685,-377,-860,483,0,0,-609,-506,-15,-88,0,-14,-74,0,0,-19,19,4,2,13,5,0,5,98,0,98,198,198,0,-37
1966:Q2,1967,623,1255,277,569,-292,896,6,9,-177,1058,82,82,0,65,-14,79,79,0,0,24,55,-15,-16,0,0,909,277,569,-292,0,0,579,623,-14,-30,0,-16,-14,60,0,6,54,55,1,-2,9,0,9,-177,0,-177,161,161,0,1058
1966:Q3,2592,-494,2691,382,-310,692,1075,21,10,-208,1252,1234,1234,0,252,54,198,198,0,0,143,26,-1,118,0,0,1340,382,-310,692,0,0,-341,-494,54,99,0,-2,101,65,0,21,44,26,1,17,10,0,10,-208,0,-208,1432,1432,0,1252
1966:Q4,2576,1724,483,57,863,-806,-583,11,8,142,-744,1009,1009,0,202,46,156,156,0,0,167,7,29,131,0,0,3320,57,863,-806,0,0,1923,1724,46,153,0,29,124,25,0,11,14,7,0,7,8,0,8,142,0,142,1165,1165,0,-744
1967:Q1,-4326,-1175,-3086,-1394,-1250,-144,-1068,196,11,206,-1481,-624,-624,0,-16,47,-63,-63,0,0,-49,-26,31,-54,0,0,-2845,-1394,-1250,-144,0,0,-1175,-1175,47,-47,0,30,-77,194,0,196,-2,-26,1,23,11,0,11,206,0,206,-687,-687,0,-1481
1967:Q2,1489,886,752,109,85,24,889,25,13,-49,900,-246,-246,0,-17,45,-62,-62,0,0,-132,66,-28,-170,0,0,589,109,85,24,0,0,738,886,45,-193,0,-29,-164,86,0,25,61,66,1,-6,13,0,13,-49,0,-49,-308,-308,0,900
1967:Q3,2961,534,2088,8,-110,118,1187,198,14,-74,1049,893,893,0,285,-59,344,344,0,0,54,32,15,7,0,0,1912,8,-110,118,0,0,490,534,-59,15,0,12,3,237,0,198,39,32,3,4,14,0,14,-74,0,-74,1237,1237,0,1049
1967:Q4,2399,1053,1224,1218,1248,-30,-176,105,12,199,-492,182,182,0,237,-65,302,302,0,0,-115,31,39,-185,0,0,2891,1218,1248,-30,0,0,847,1053,-65,-141,0,36,-177,131,0,105,26,31,3,-8,12,0,12,199,0,199,484,484,0,-492
1968:Q1,-39,140,-342,110,-1139,1249,-1131,193,5,198,-1527,679,679,0,195,24,171,171,0,0,-32,76,-67,-41,0,0,1488,110,-1139,1249,0,0,38,140,24,-126,0,-69,-57,287,0,193,94,76,2,16,5,0,5,198,0,198,850,850,0,-1527
1968:Q2,3317,230,2736,-504,594,-1098,1958,205,6,-129,1876,1282,1282,0,181,27,154,154,0,0,170,88,9,73,0,0,1441,-504,594,-1098,0,0,328,230,27,71,0,8,63,304,0,205,99,88,1,10,6,0,6,-129,0,-129,1436,1436,0,1876
1968:Q3,3400,951,2273,1105,-168,1273,266,143,6,-308,425,902,902,0,132,32,100,100,0,0,44,-99,16,127,0,0,2975,1105,-168,1273,0,0,1114,951,32,131,0,17,114,56,0,143,-87,-99,-1,13,6,0,6,-308,0,-308,1002,1002,0,425
1968:Q4,-747,-554,-394,335,1712,-1377,336,-134,6,71,393,-1065,-1065,0,125,5,120,120,0,0,76,122,53,-99,0,0,-1140,335,1712,-1377,0,0,-591,-554,5,-42,0,53,-95,-16,0,-134,118,122,0,-4,6,0,6,71,0,71,-945,-945,0,393
1969:Q1,3120,207,2390,-639,-1448,809,-553,221,8,110,-892,3582,3582,0,373,52,321,321,0,0,150,120,-12,42,0,0,4012,-639,-1448,809,0,0,260,207,52,1,0,-15,16,370,0,221,149,120,3,26,8,0,8,110,0,110,3903,3903,0,-892
1969:Q2,5236,-1258,6028,-510,-562,52,2890,233,9,-400,3048,3648,3648,0,322,42,280,280,0,0,144,54,-27,117,0,0,2188,-510,-562,52,0,0,-1149,-1258,42,67,0,-31,98,310,0,233,77,54,4,19,9,0,9,-400,0,-400,3928,3928,0,3048
1969:Q3,3258,1700,1108,1318,841,477,-1290,86,9,-341,-1044,1080,1080,0,341,38,303,303,0,0,109,79,58,-28,0,0,4302,1318,841,477,0,0,1725,1700,38,-13,0,53,-66,208,0,86,122,79,5,38,9,0,9,-341,0,-341,1383,1383,0,-1044
1969:Q4,2425,-423,2422,-216,1127,-1343,-405,-25,9,151,-540,3043,3043,0,348,45,303,303,0,0,78,-5,23,60,0,0,2965,-216,1127,-1343,0,0,-297,-423,45,81,33,19,29,-28,0,-25,-3,-38,4,31,9,0,9,151,0,151,3346,3346,0,-540
1970:Q1,-182,483,-946,168,-1203,1371,83,317,21,388,-643,-1197,-1197,0,146,79,67,67,0,0,135,239,-67,-37,0,0,461,168,-1203,1371,0,0,337,483,79,-225,-23,-78,-124,677,0,317,360,262,11,87,21,0,21,388,0,388,-1130,-1130,0,-643
1970:Q2,-626,-577,-75,-899,325,-1224,1465,495,29,-90,1031,-641,-641,0,96,42,54,54,0,0,-70,-26,120,-164,0,0,-1657,-899,325,-1224,0,0,-651,-577,42,-116,-61,105,-160,541,0,495,46,35,15,-4,29,0,29,-90,0,-90,-587,-587,0,1031
1970:Q3,1776,1947,-618,274,-249,523,317,22,30,-230,495,-1209,-1209,0,-15,-69,54,54,0,0,462,143,25,294,0,0,1281,274,-249,523,0,0,2101,1947,-69,223,25,9,189,261,0,22,239,118,16,105,30,0,30,-230,0,-230,-1155,-1155,0,495
1970:Q4,-1561,212,-2071,1430,1948,-518,-542,-28,23,512,-1049,-2959,-2959,0,268,204,64,64,0,0,30,124,63,-157,0,0,-512,1430,1948,-518,0,0,328,212,204,-88,59,51,-198,90,0,-28,118,65,12,41,23,0,23,512,0,512,-2895,-2895,0,-1049
1971:Q1,-1574,1782,-2846,-1655,-1711,56,2000,425,21,739,815,-3191,-3191,0,-205,-237,32,32,0,0,-305,-82,74,-297,0,0,-2389,-1655,-1711,56,0,0,1178,1782,-237,-367,-154,64,-277,487,0,425,62,72,10,-20,21,0,21,739,0,739,-3159,-3159,0,815
