1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q1,1665649,0,15000,15000,0,0,0,536537,0,1114112,1665649
1997:Q2,1683092,0,15000,15000,0,0,0,546040,0,1122052,1683092
1997:Q3,1700397,0,15000,15000,0,0,0,561602,0,1123795,1700397
1997:Q4,1717187,0,15000,15000,0,0,0,586693,0,1115494,1717187
1998:Q1,1734921,0,15000,15000,0,0,0,575469,0,1144452,1734921
1998:Q2,1754011,0,15000,15000,0,0,0,586532,0,1152479,1754011
1998:Q3,1771922,0,15000,15000,0,0,0,601276,0,1155646,1771922
1998:Q4,1789725,0,15000,15000,0,0,0,627911,0,1146814,1789725
1999:Q1,1808098,0,15000,15000,0,0,0,617554,0,1175544,1808098
1999:Q2,1826615,0,15000,15000,0,0,0,627736,0,1183879,1826615
1999:Q3,1845057,0,15000,15000,0,0,0,642468,0,1187589,1845057
1999:Q4,1863147,0,15000,15000,0,0,0,669033,0,1179114,1863147
2000:Q1,1880874,0,15000,15000,0,0,0,657950,0,1207924,1880874
2000:Q2,1899244,0,15000,15000,0,0,0,668329,0,1215915,1899244
2000:Q3,1917626,0,15000,15000,0,0,0,682363,0,1220263,1917626
2000:Q4,1935918,0,15000,15000,0,0,0,689935,0,1230983,1935918
2001:Q1,1954903,0,15000,15000,0,0,0,698274,0,1241629,1954903
2001:Q2,1974929,0,15000,15000,0,0,0,709915,0,1250014,1974929
2001:Q3,1993718,0,15000,15000,0,0,0,723233,0,1255485,1993718
2001:Q4,2012372,0,15000,15000,0,0,0,750770,0,1246602,2012372
2002:Q1,2030891,0,15000,15000,0,0,0,738737,0,1277154,2030891
2002:Q2,2049140,0,15000,15000,0,0,0,747571,0,1286569,2049140
2002:Q3,2067524,0,15000,15000,0,0,0,758685,1420,1292419,2067524
2002:Q4,2082990,0,15000,15000,0,0,0,775299,9800,1282891,2082990
2003:Q1,2100746,0,15000,15000,0,0,0,752803,18800,1314143,2100746
2003:Q2,2122711,1,15000,15000,0,0,0,763644,21100,1322966,2122711
2003:Q3,2143224,1,22289,16138,0,0,6151,773146,15727,1332061,2143224
2003:Q4,2165624,37,22826,16222,0,0,6604,799966,16884,1325911,2165624
2004:Q1,2186109,72,23019,16252,0,0,6767,786183,17301,1359534,2186109
2004:Q2,2206550,108,22991,16248,0,0,6743,794232,17240,1371979,2206550
2004:Q3,2227517,144,23071,15562,910,0,6599,809347,17003,1377952,2227517
2004:Q4,2249879,212,22732,14608,984,0,7140,841900,18396,1366639,2249879
2005:Q1,2271003,281,22569,14597,966,0,7006,830345,18049,1399759,2271003
2005:Q2,2293203,349,22694,14606,980,0,7108,826123,18312,1425725,2293203
2005:Q3,2315128,417,22691,14929,2248,0,5514,840157,19368,1432495,2315128
2005:Q4,2336449,445,22807,14942,2278,0,5587,868907,19622,1424668,2336449
2006:Q1,2357714,473,23034,14966,2337,0,5731,854760,20129,1459318,2357714
2006:Q2,2377536,501,22858,14947,2291,0,5620,859308,19739,1475130,2377536
2006:Q3,2398629,528,22904,14799,2316,0,5789,874247,20601,1480349,2398629
2006:Q4,2420268,515,23395,14843,2444,0,6108,904667,21736,1469955,2420268
2007:Q1,2441466,501,23545,14856,2483,0,6206,889380,22085,1505955,2441466
2007:Q2,2463090,488,23907,14889,2577,0,6441,878812,22922,1536961,2463090
2007:Q3,2483971,474,23637,15906,2380,0,5351,895027,23555,1541278,2483971
2007:Q4,2503517,507,23430,15865,2329,0,5236,937977,23049,1518554,2503517
2008:Q1,2521788,540,22749,15730,2161,0,4858,922888,21382,1554229,2521788
2008:Q2,2541899,573,22589,15699,2121,0,4769,929460,20992,1568285,2541899
2008:Q3,2558651,605,22792,16169,2313,0,4310,948291,16875,1570088,2558651
2008:Q4,2574120,808,21074,15745,1861,0,3468,1001287,13576,1537375,2574120
