1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,7305,7040,-12730,80570,1136,5468,-676,-9287,3225,2548,-8071,17584,-7121,-1715,64650,13933,2031,37434,11252,249,298,-374,557,-144,0,15468,93300,86335,5041,26511,44354,-12586,2387,2164,223,11183,284,999,8162,1190,6972,6965,664,1122,3911,1268,12995,0,ND
1989:Q1,7938,6264,12085,40622,19301,-5358,-1356,9123,5059,-2441,4389,8895,-3916,-1868,13879,1254,-5106,25315,-7584,163,1172,542,576,-99,0,-2381,28537,18824,6849,-53888,37104,23036,-5947,-5354,-593,11069,693,-405,313,-848,1161,9713,242,302,5282,3887,-10412,0,ND
1989:Q2,8279,7180,-4350,34021,-18163,572,3781,5602,-19723,483,-20760,8957,-4727,-3676,57689,14750,1591,32218,9130,69,-285,97,80,-193,0,4495,38371,34930,-24294,24026,20653,9549,2333,1584,749,-2174,64,745,4027,1240,2787,3441,416,11,4414,-1400,5449,0,ND
1989:Q3,8426,6970,23946,42794,20403,347,1878,-3042,-24556,-1206,-12724,-6311,-3071,-1244,38321,6283,684,21594,9760,78,-365,85,80,-32,0,9597,18848,21250,22568,-11869,29767,-23455,-248,-117,-131,-10547,-12,456,14589,-281,14870,-2402,416,580,-1192,-2206,-22490,0,ND
1989:Q4,7875,5865,-8230,53254,28772,5549,2564,16581,-12761,2492,-1383,-5888,-6263,-1719,20509,8896,693,641,10279,450,-259,-1278,-398,-117,0,-6358,61485,58216,7964,38531,41490,-8828,-990,-344,-646,-8799,39,-345,-10846,580,-11426,3269,416,653,-130,2330,10241,0,ND
1990:Q1,8695,6938,14926,-19409,-41913,-5420,-1519,4481,30027,-355,14576,16282,-3486,3010,-24645,-17397,-5598,12671,-14321,79,-664,779,-1102,-101,0,20588,-34335,-37706,-28149,-38680,2090,15473,-4958,-3712,-1246,-8796,119,310,24884,1330,23554,3371,663,555,4985,-2832,-13169,0,ND
1990:Q2,9741,6379,-8265,-11724,-244,1043,-443,568,-8067,923,-4462,5260,-5913,-3875,-186,7062,-2491,-1351,-3406,-29,-705,87,-410,56,0,-3394,-3460,-5790,-672,24457,-14590,10121,-4774,-2220,-2554,-6057,174,127,-14575,-2870,-11705,2330,140,635,3955,-2400,11626,0,ND
1990:Q3,10877,6402,-3021,-3728,-46,458,2730,-2815,701,-87,605,6179,-1260,-4736,-13773,-10232,-1889,-6056,4404,168,-831,-581,-351,152,0,10460,-707,-7823,19672,-3990,-3136,-16492,-2033,-353,-1680,-8091,-31,2500,3778,10018,-6240,7116,13,188,1082,5833,7496,0,ND
1990:Q4,11157,5859,5635,31109,47576,7838,4002,-5416,1766,3474,-8250,11638,-5331,235,-18729,2457,144,-20384,-946,-190,-2860,-118,-239,-119,0,-2402,25474,26276,26529,36640,18188,-38444,5114,987,4127,-985,-404,-1081,-19281,-737,-18544,-802,1333,-310,618,-2443,-337,0,ND
1991:Q1,12863,5904,-5802,-58309,-26969,-7883,475,576,11634,982,16002,3385,-4331,-4404,-45809,-11779,-7173,-12339,-14518,97,1414,649,-171,767,0,6911,-52507,-56244,-3795,-37765,19558,-13267,-9299,-8301,-998,-10492,-142,-533,-510,4577,-5087,3737,897,590,3236,-986,12761,0,ND
1991:Q2,13042,5680,6677,-30516,2046,920,-107,6690,-4140,-1339,8908,-1222,-4694,-5793,-23923,-12928,-1474,-4263,-5258,-240,-741,-509,-111,454,0,-10854,-37193,-35220,223,22990,-43311,8909,-2643,-2410,-233,-12100,188,-1518,-7958,1812,-9770,-1973,162,-350,2313,-4098,686,0,ND
1991:Q3,13452,5912,-2432,3039,9476,3130,2444,13063,25471,-1412,19435,380,-3320,10388,-49602,-10622,228,-34723,-4485,-20,-232,223,-46,1075,0,-1943,5471,712,18109,18891,-15963,-2057,-3656,-1450,-2206,-10810,-145,1844,-5501,-923,-4578,4759,-759,393,3289,1836,9972,0,ND
1991:Q4,12686,5277,8224,50771,40463,4846,-1788,-17271,35652,568,20319,11965,-2472,5272,-11412,-4476,-1788,-8823,3675,5,123,-1173,-347,638,0,1035,42547,35607,31378,53012,-27998,-17439,-1828,-2114,286,-3865,1096,-1865,3116,4099,-983,6940,620,979,2578,2763,-815,0,ND
1992:Q1,15429,6447,-6423,-44469,-37169,-4265,3618,12324,27993,-649,26130,8512,-2633,-3367,-52641,-13137,-3611,-19220,-16673,323,-269,320,9,1293,0,3994,-38046,-44770,-7509,-16120,-30511,12671,-3616,-2176,-1440,-2858,2,822,2349,-19307,21656,6724,543,610,5116,455,15405,0,ND
1992:Q2,14692,6938,-5783,-3274,611,355,-448,-10878,25620,-126,14653,16317,-1851,-3373,-22383,-3410,-294,-15133,-3546,59,79,430,-155,57,0,3380,2509,-12778,-4566,27529,-42550,805,281,-1637,1918,641,165,497,4419,1475,2944,15287,1153,332,9942,3860,13537,0,ND
1992:Q3,14611,6629,13124,16410,-26246,501,997,11330,35646,-855,20338,10497,144,5522,-9117,-5992,-711,-5474,3060,-8,-552,532,366,593,0,2369,3286,-4769,-5713,20737,-32535,1359,973,-1062,2035,2638,-77,1454,6395,1096,5299,8055,719,254,6924,158,-5142,0,ND
1992:Q4,13532,7206,1321,44775,27272,1676,-5085,8831,27447,-145,10562,14336,-1720,4414,-9503,-1531,971,-15415,6472,293,689,80,61,-967,0,-6018,43455,32968,-369,63784,-22101,-2027,3693,993,2700,-997,-945,-1119,-6950,3965,-10915,10487,1924,2328,6837,-602,5006,0,ND
1993:Q1,11490,4766,16853,-59222,-46178,-1309,-2037,-12821,40872,-365,14942,21900,-1599,5994,-38787,-19469,-2813,-11651,-4854,146,507,292,327,554,0,-787,-76076,-76417,-11570,-44075,-42219,14582,-3013,-3252,239,5033,133,2,4711,-1689,6400,341,616,-30,8860,-9105,-10129,0,ND
1993:Q2,12351,5889,-1318,39805,-14018,1649,-3865,94,8842,-2162,-2006,12869,728,-587,37133,11041,-1352,15147,12297,326,441,55,435,-161,0,8874,41123,35064,-14332,47673,-17109,-3477,66,-1763,1829,6705,434,-2235,17339,246,17093,6059,369,794,8836,-3940,7780,0,ND
1993:Q3,12316,4954,9559,48102,3494,-475,-2116,-519,23644,-1146,5461,11200,2506,5623,19636,-4110,-1203,8893,16056,-127,1095,920,553,87,0,1910,38542,26171,10536,16963,-26505,13460,-1893,-1784,-109,6472,166,3172,3801,1102,2699,12371,33,-146,6473,6011,-2198,0,ND
1993:Q4,12506,5345,5854,77547,10880,936,990,10485,18327,746,7117,9064,76,1324,37428,11410,-1050,7326,19742,780,506,-396,367,-153,0,-2603,71693,59896,4019,59601,-298,-9445,-732,-859,127,3903,569,695,1583,-1458,3041,11797,892,238,10196,471,1307,0,ND
1994:Q1,11900,5663,-25282,69556,-11135,-1232,-1829,-8437,35505,-2043,23932,7329,501,5786,-12230,3613,-1002,-16174,1333,659,-1299,122,224,-1364,0,70572,94838,92924,17247,-27624,1760,17398,-1439,-1224,-215,-2574,3,1705,86448,1154,85294,1914,634,424,1767,-911,31519,0,ND
1994:Q2,10982,5308,-4432,65958,-9400,2987,-3711,-966,-7910,179,-12567,5155,-271,-406,52913,10028,-363,20035,23213,36,-863,877,714,-962,0,32243,70390,61735,9811,-4640,-14836,18375,-579,-463,-116,7454,26,-3394,49517,-901,50418,8655,15,170,5540,2930,10106,0,ND
1994:Q3,12095,5101,31928,34155,8227,-3271,-2795,-5344,-13050,-541,-19851,9990,-672,-1976,66444,12154,823,25883,27584,106,-408,738,455,-762,0,-16186,2227,-834,14263,-27715,8946,9042,1799,886,913,8201,163,2479,-18013,512,-18525,3061,564,718,6943,-5164,-24934,0,ND
1994:Q4,11978,5238,-3386,81787,-125,6974,584,14723,-30389,630,-24164,-1826,-1230,-3799,87382,27852,-1833,31847,29516,-172,-578,213,485,-360,0,3049,85173,78657,33261,22429,3095,17024,-50,-2055,2005,9201,245,-1401,-5147,1831,-6978,6516,554,1693,1593,2676,10126,0,ND
1995:Q1,12287,5493,-11593,32317,-1454,-6838,-1198,-9436,15091,-1722,13953,9225,-2237,-4128,59127,29707,1087,27333,1000,13,-52,223,505,91,0,-23756,43909,24500,-7529,-50226,50645,6492,1171,1100,71,-6128,67,4470,25538,1166,24372,19409,143,1523,11589,6154,18387,0,ND
1995:Q2,13291,5078,34499,126448,29550,2305,3131,15382,3230,922,-14653,13956,-960,3965,85891,41705,361,25893,17932,28,750,626,511,326,0,-15282,91949,79318,26242,25573,51095,16846,1439,34,1405,290,53,-1090,-41130,708,-41838,12631,1228,179,9199,2025,-26286,0,ND
1995:Q3,13563,5220,6470,38589,-30380,-524,-1005,-2927,11508,-897,-6565,17173,-1049,2846,60404,17078,-651,24956,19021,32,1625,637,782,3,0,-1565,32119,20093,-19722,-38199,47568,11496,1141,-394,1535,1235,444,4930,11201,1457,9744,12026,538,2416,9994,-922,1873,0,ND
1995:Q4,12973,5318,-13761,28616,-25929,7490,2332,29348,-13439,63,-15757,6033,4,-3782,39521,21260,-1353,33,19581,-30,441,115,534,-289,0,-11478,42376,37443,-25015,17091,30293,-9484,-1855,-1498,-357,8109,248,2240,15816,4374,11442,4933,696,1691,3141,-595,21415,0,ND
1996:Q1,13074,6065,7602,-9830,-27820,-6176,-1749,-13440,11968,214,7308,4997,-404,-147,23814,18780,268,16149,-11383,-95,932,1068,190,72,0,1405,-17432,-24822,-31574,-51707,82142,-8614,1933,238,1695,-2011,245,278,-15513,-911,-14602,7390,802,-181,4810,1959,-593,0,ND
1996:Q2,12998,6762,-1909,78159,2629,1291,-2649,-17000,-1494,-1243,-3344,5519,-321,-2105,66822,24459,-526,23969,18920,0,164,356,622,-181,0,27598,80068,69007,-14300,15290,24053,12122,1995,-649,2644,13094,-227,1466,15514,1597,13917,11061,806,-1747,11844,158,8146,0,ND
