1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,1,2,36,8,-20,-24,0,0,4,44,0,28,16,4,40,36,0,4,3,ND
1955:Q4,1,2,52,12,-12,-16,0,0,4,36,0,24,12,16,52,52,0,0,-1,ND
1956:Q1,1,2,64,16,12,4,0,4,4,24,0,16,8,12,60,64,0,-4,-5,ND
1956:Q2,1,2,76,20,28,20,0,4,4,16,0,12,4,12,80,76,0,4,3,ND
1956:Q3,1,2,88,24,32,20,0,8,4,12,0,8,4,20,84,88,0,-4,-5,ND
1956:Q4,1,2,104,24,28,16,0,8,4,20,0,8,12,32,104,104,0,0,-1,ND
1957:Q1,1,2,124,28,20,12,0,8,0,20,0,4,16,56,124,124,0,0,-1,ND
1957:Q2,1,2,144,32,12,8,0,8,-4,20,0,0,20,80,144,144,0,0,-1,ND
1957:Q3,1,2,148,32,12,8,0,8,-4,20,0,0,20,84,148,148,0,0,-1,ND
1957:Q4,1,2,136,20,4,12,0,8,-16,20,0,4,16,92,132,136,0,-4,-5,ND
1958:Q1,1,2,136,24,32,20,0,8,4,40,0,24,16,40,132,136,0,-4,-5,ND
1958:Q2,1,2,144,24,48,28,0,8,12,52,0,36,16,20,144,144,0,0,-1,ND
1958:Q3,1,2,124,16,44,24,0,8,12,52,0,36,16,12,124,124,0,0,-1,ND
1958:Q4,1,2,72,4,16,4,0,8,4,28,0,16,12,24,68,72,0,-4,-5,ND
1959:Q1,1,2,12,-12,-4,-4,0,0,0,8,0,4,4,20,12,12,0,0,-1,ND
1959:Q2,1,2,-56,-36,-28,-24,0,0,-4,-8,0,-8,0,16,-52,-56,0,4,3,ND
1959:Q3,1,2,-60,-36,-28,-24,0,0,-4,-12,0,-12,0,16,-60,-60,0,0,-1,ND
1959:Q4,1,2,-12,-32,-44,-24,0,-8,-12,-12,0,-12,0,76,-16,-12,0,-4,-5,ND
1960:Q1,1,2,44,4,12,8,0,4,0,4,0,0,4,24,36,44,0,-8,-9,ND
1960:Q2,1,2,76,16,28,24,0,4,0,8,0,4,4,24,68,76,0,-8,-9,ND
1960:Q3,1,2,96,24,32,28,0,4,0,12,0,8,4,28,92,96,0,-4,-5,ND
1960:Q4,1,2,92,24,4,20,0,0,-16,8,0,8,0,56,84,92,0,-8,-9,ND
1961:Q1,1,2,112,32,16,12,0,4,0,20,0,12,8,44,104,112,0,-8,-9,ND
1961:Q2,1,2,132,40,8,8,0,4,-4,20,0,12,8,64,128,132,0,-4,-5,ND
1961:Q3,1,2,136,40,4,4,0,4,-4,28,0,20,8,64,132,136,0,-4,-5,ND
1961:Q4,1,2,128,32,-16,0,0,0,-16,40,0,28,12,72,128,128,0,0,-1,ND
1962:Q1,1,2,120,20,8,8,0,0,0,60,0,40,20,32,112,120,0,-8,-9,ND
1962:Q2,1,2,112,12,8,8,0,0,0,76,0,52,24,16,104,112,0,-8,-9,ND
1962:Q3,1,2,120,8,12,12,0,0,0,76,0,52,24,24,116,120,0,-4,-5,ND
1962:Q4,1,2,140,8,16,20,0,-4,0,60,0,44,16,56,140,140,0,0,-1,ND
1963:Q1,1,2,160,12,56,32,0,16,8,48,0,40,8,44,152,160,0,-8,-9,ND
1963:Q2,1,2,180,8,92,48,0,28,16,36,0,36,0,44,176,180,0,-4,-5,ND
1963:Q3,1,2,184,8,84,44,0,28,12,32,0,32,0,60,184,184,0,0,-1,ND
1963:Q4,1,2,164,12,36,20,0,12,4,52,0,36,16,64,164,164,0,0,-1,ND
1964:Q1,1,2,160,12,-4,0,0,4,-8,60,0,40,20,92,140,160,0,-20,-21,ND
1964:Q2,1,2,156,12,-36,-16,0,0,-20,72,0,44,28,108,132,156,0,-24,-25,ND
1964:Q3,1,2,148,12,-40,-20,0,0,-20,76,0,48,28,100,144,148,0,-4,-5,ND
1964:Q4,1,2,124,4,-44,-16,0,-4,-24,72,0,52,20,92,112,124,0,-12,-13,ND
1965:Q1,1,3,92,0,4,-4,0,8,0,72,0,64,8,16,80,92,0,-12,-14,ND
1965:Q2,1,3,48,-12,16,0,0,8,8,76,0,76,0,-32,36,48,0,-12,-14,ND
1965:Q3,1,3,64,-8,24,0,0,12,12,76,0,76,0,-28,56,64,0,-8,-10,ND
1965:Q4,1,3,144,-8,28,0,0,20,8,68,0,60,8,56,128,144,0,-16,-18,ND
1966:Q1,1,3,220,20,60,16,0,28,16,64,0,44,20,76,216,220,0,-4,-6,ND
1966:Q2,1,3,292,36,84,24,0,40,20,56,0,28,28,116,292,292,0,0,-2,ND
1966:Q3,1,3,312,40,88,28,0,40,20,56,0,24,32,128,308,312,0,-4,-6,ND
1966:Q4,1,3,280,32,60,20,0,28,12,60,0,36,24,128,272,280,0,-8,-10,ND
1967:Q1,1,3,292,44,88,36,0,20,32,60,0,56,4,100,288,292,0,-4,-6,ND
1967:Q2,1,4,312,52,88,44,0,12,32,64,0,72,-8,108,308,312,0,-4,-7,ND
1967:Q3,2,4,304,56,88,44,0,8,36,64,0,72,-8,96,304,304,0,0,-2,ND
1967:Q4,2,4,268,48,84,40,0,4,40,56,0,52,4,80,268,268,0,0,-2,ND
1968:Q1,3,5,220,20,52,24,0,8,20,20,0,44,-24,128,224,220,0,4,2,ND
1968:Q2,3,5,84,24,32,12,0,8,12,24,0,32,-8,4,88,84,0,4,2,ND
1968:Q3,3,5,184,24,28,12,0,8,8,24,0,28,-4,108,184,184,0,0,-2,ND
1968:Q4,3,5,520,24,136,16,0,116,4,24,0,36,-12,336,516,520,0,-4,-6,ND
1969:Q1,3,6,944,32,60,24,0,32,4,124,0,32,92,728,828,100,844,-116,-119,ND
1969:Q2,3,6,1472,36,56,24,0,32,0,180,0,32,148,1200,1312,160,1312,-160,-163,ND
1969:Q3,4,7,1380,36,60,28,0,32,0,196,0,32,164,1088,1368,160,1220,-12,-15,ND
1969:Q4,4,7,664,36,72,36,0,28,8,172,0,32,140,384,652,104,560,-12,-15,ND
1970:Q1,3,5,700,84,44,28,0,24,-8,120,0,288,-168,452,684,488,212,-16,-18,ND
1970:Q2,4,5,488,116,20,24,0,12,-16,92,0,60,32,260,472,344,144,-16,-17,ND
1970:Q3,4,6,388,120,32,28,0,20,-16,84,0,60,24,152,368,268,120,-20,-22,ND
1970:Q4,4,6,400,92,52,36,0,36,-20,96,0,72,24,160,384,280,120,-16,-18,ND
1971:Q1,4,7,-172,84,344,120,0,224,0,104,0,84,20,-704,-208,-120,-52,-36,-39,ND
1971:Q2,4,7,-144,140,152,100,0,52,0,216,0,296,-80,-652,-176,-100,-44,-32,-35,ND
1971:Q3,4,7,1476,256,180,276,0,-100,4,108,0,24,84,932,1436,1032,444,-40,-43,ND
1971:Q4,4,8,876,28,40,148,0,-108,0,100,0,24,76,708,832,616,260,-44,-48,ND
1972:Q1,4,6,-440,188,64,-156,0,216,4,8,0,16,-8,-700,-468,-308,-132,-28,-30,ND
1972:Q2,4,6,-428,248,-12,-124,0,108,4,-92,0,60,-152,-572,-460,-300,-128,-32,-34,ND
1972:Q3,4,6,1364,212,548,560,0,-16,4,308,0,20,288,296,1340,956,408,-24,-26,ND
1972:Q4,4,7,1368,28,512,540,0,-32,4,-188,0,-8,-180,1016,1344,956,412,-24,-27,ND
1973:Q1,4,9,168,20,-308,-340,0,12,20,-16,0,-168,152,472,160,116,52,-8,-13,ND
1973:Q2,4,9,-504,24,-308,-340,0,12,20,-20,0,-164,144,-200,-516,-352,-152,-12,-17,ND
1973:Q3,4,10,1236,552,300,192,0,108,0,240,0,192,48,144,1180,864,372,-56,-62,ND
1973:Q4,5,10,992,548,304,196,0,108,0,244,0,196,48,-104,940,696,296,-52,-57,ND
1974:Q1,5,14,-164,-476,-136,-500,0,360,4,224,0,-68,292,224,-168,-116,-48,-4,-13,ND
1974:Q2,5,14,-176,-480,268,-96,0,364,0,224,0,-72,296,-188,-184,-120,-56,-8,-17,ND
1974:Q3,6,14,328,-220,180,-84,0,264,0,936,0,352,584,-568,332,228,100,4,-4,ND
1974:Q4,6,14,280,448,-356,-216,0,-140,0,520,0,4,516,-332,288,196,84,8,0,ND
1975:Q1,8,19,1000,32,204,116,0,100,-12,100,0,-144,244,664,980,700,300,-20,-31,ND
1975:Q2,9,19,1016,32,140,80,0,48,12,120,0,60,60,724,988,712,304,-28,-38,ND
1975:Q3,9,19,1100,188,216,52,0,152,12,240,0,32,208,456,1172,768,332,72,62,ND
1975:Q4,10,20,1124,196,196,36,0,148,12,244,0,28,216,488,1192,788,336,68,58,ND
1976:Q1,9,19,-100,-96,480,-168,0,572,76,96,0,200,-104,-580,148,-72,-28,248,238,ND
1976:Q2,9,19,-124,-44,320,-116,0,328,108,88,0,196,-108,-488,84,-84,-40,208,198,ND
1976:Q3,10,21,864,-256,692,256,0,392,44,-16,0,64,-80,444,872,604,260,8,-3,ND
1976:Q4,10,21,876,-224,868,336,0,484,48,-12,0,56,-68,244,880,612,264,4,-7,ND
1977:Q1,10,19,940,624,180,224,0,-244,200,8,0,144,-136,128,1028,-48,988,88,79,ND
1977:Q2,10,20,960,772,296,284,0,-232,244,8,0,144,-136,-116,1032,-240,1200,72,62,ND
1977:Q3,10,20,716,316,224,156,0,72,-4,156,0,-204,360,20,516,-264,980,-200,-210,ND
1977:Q4,11,21,716,320,232,168,0,76,-12,148,0,-132,280,16,436,-140,856,-280,-290,ND
1978:Q1,10,23,1480,320,472,-8,0,400,80,-428,0,212,-640,1116,1472,-76,1556,-8,-21,ND
1978:Q2,11,25,1932,328,452,0,0,368,84,-440,0,264,-704,1592,1924,-120,2052,-8,-22,ND
1978:Q3,11,26,1600,300,396,-140,0,256,280,56,0,56,0,848,1536,32,1568,-64,-79,ND
1978:Q4,12,27,1472,356,396,-144,0,256,284,60,0,60,0,660,1404,380,1092,-68,-83,ND
1979:Q1,13,28,1268,380,-736,-116,0,-636,16,64,0,60,4,1560,1240,812,456,-28,-43,ND
1979:Q2,13,29,1268,328,-588,-148,0,-464,24,80,0,60,20,1448,1240,1308,-40,-28,-44,ND
1979:Q3,14,30,2932,1340,488,220,0,64,204,84,0,60,24,1020,2900,1320,1612,-32,-48,ND
1979:Q4,14,30,3100,1404,468,216,0,60,192,96,0,60,36,1132,3068,844,2256,-32,-48,ND
1980:Q1,14,35,2364,360,344,84,0,-132,392,84,264,80,-260,1576,2332,432,728,1172,-53,ND
1980:Q2,15,34,3172,360,688,116,0,-48,620,568,388,80,100,1556,3136,84,392,2660,-55,ND
1980:Q3,16,34,3340,360,604,112,0,-68,560,668,464,80,124,1708,3304,-32,564,2772,-54,ND
1980:Q4,16,36,3324,356,88,80,0,-212,220,680,484,80,116,2200,3296,68,1264,1964,-48,ND
1981:Q1,16,37,3624,-184,-400,64,0,-320,-144,1000,556,80,364,3208,3584,128,2092,1364,-61,ND
1981:Q2,17,38,4216,84,-868,68,0,-452,-484,1120,468,80,572,3880,4176,128,3036,1012,-61,ND
1981:Q3,17,39,3784,232,-996,32,0,-460,-568,1360,756,80,524,3188,3740,124,2960,656,-66,ND
1981:Q4,18,40,2324,268,-800,-44,0,-368,-388,1720,1420,80,220,1136,2284,112,1848,324,-62,ND
1982:Q1,18,40,584,396,-320,76,0,-124,-272,2188,2156,-128,160,-1680,540,164,772,-396,-66,ND
1982:Q2,18,39,-1472,584,-92,88,0,28,-208,2764,2984,-252,32,-4728,-1516,276,-316,-1476,-65,ND
1982:Q3,19,38,-1288,596,16,112,0,76,-172,2788,3108,-280,-40,-4688,-1332,148,-400,-1080,-63,ND
1982:Q4,19,38,1120,424,-4,124,0,20,-148,2260,2552,-220,-72,-1560,1072,-224,496,800,-67,ND
1983:Q1,18,32,2200,280,40,184,0,4,-148,1816,2104,-60,-228,64,2148,-624,1396,1376,-66,ND
1983:Q2,19,33,5072,132,120,248,0,4,-132,1456,1832,40,-416,3364,5016,-1060,2248,3828,-70,ND
1983:Q3,19,34,4812,132,144,236,0,4,-96,1316,1656,60,-400,3220,4760,-1128,2232,3656,-67,ND
1983:Q4,21,36,1832,256,96,132,0,-12,-24,1412,1608,100,-296,68,1776,-844,1348,1272,-71,ND
1984:Q1,18,34,892,396,68,60,0,4,4,1388,1428,100,-140,-960,832,-640,532,940,-76,ND
1984:Q2,19,35,-2020,504,16,-28,0,4,40,1248,1156,160,-68,-3788,-2080,-560,-228,-1292,-76,ND
1984:Q3,20,37,-2352,532,60,-40,0,4,96,1340,1188,100,52,-4284,-2412,-412,-364,-1636,-77,ND
1984:Q4,21,37,288,468,188,8,0,0,180,1652,1532,140,-20,-2020,224,-204,108,320,-80,ND
1985:Q1,20,39,1116,476,344,68,0,64,212,2088,1948,144,-4,-1792,1052,52,464,536,-83,ND
1985:Q2,20,39,3304,524,472,84,0,-8,396,2628,2456,72,100,-320,3236,316,684,2236,-87,ND
1985:Q3,21,39,3440,452,536,116,0,-32,452,2496,2320,48,128,-44,3372,428,800,2144,-86,ND
1985:Q4,21,40,1528,248,532,168,0,-24,388,1676,1536,56,84,-928,1460,380,808,272,-87,ND
1986:Q1,22,43,-72,116,608,396,0,0,212,932,804,40,88,-1728,-200,408,956,-1564,-149,ND
1986:Q2,23,42,-1440,16,740,596,0,0,144,248,148,40,60,-2444,-1536,508,1212,-3256,-115,ND
1986:Q3,24,42,-1892,-140,684,584,0,0,100,-24,-132,40,68,-2412,-1988,468,1104,-3560,-114,ND
1986:Q4,24,43,-1492,-368,444,364,0,0,80,100,-24,100,24,-1668,-1588,292,632,-2512,-115,ND
1987:Q1,31,54,-1460,-632,216,120,0,0,96,116,-36,92,60,-1160,-1440,108,112,-1660,-3,ND
1987:Q2,32,55,-1848,-984,-20,-128,0,-8,116,-32,-172,140,0,-812,-1808,-84,-444,-1280,17,ND
1987:Q3,33,57,-1504,-1004,-76,-112,0,0,36,-16,-212,152,44,-408,-1468,-104,-476,-888,12,ND
1987:Q4,35,56,-444,-720,16,164,0,8,-156,140,-148,184,104,120,-424,44,12,-480,-1,ND
1988:Q1,38,67,632,-664,-220,-732,1156,44,-688,692,260,200,232,824,584,176,296,112,-77,ND
1988:Q2,39,70,1640,-592,-452,496,140,76,-1164,1048,504,200,344,1636,1588,264,520,804,-83,ND
1988:Q3,40,70,2068,-536,-360,556,168,72,-1156,1152,540,200,412,1812,2004,320,684,1000,-94,ND
1988:Q4,42,71,1908,-504,240,452,228,28,-468,996,360,200,436,1176,1832,352,784,696,-105,ND
1989:Q1,38,65,1784,-436,668,384,316,-4,-28,696,28,200,468,856,2340,468,740,1132,529,ND
1989:Q2,39,66,1684,-388,700,356,416,-40,-32,240,-472,200,512,1132,1592,676,552,364,-119,ND
1989:Q3,40,68,2056,-332,772,336,404,-44,76,644,-112,200,556,972,1960,556,1000,404,-124,ND
1989:Q4,42,67,2900,-284,692,324,280,-36,124,1896,1108,200,588,596,2796,104,2084,608,-129,ND
1990:Q1,31,48,4248,-156,3668,300,160,0,3208,3548,2696,224,628,-2812,4188,-368,3592,964,-77,ND
1990:Q2,32,47,6112,4,-2900,272,52,20,-3244,5600,4660,296,644,3408,6060,-864,5516,1408,-67,ND
1990:Q3,33,48,5452,-40,256,264,24,12,-44,5204,4272,216,716,32,5408,-940,5128,1220,-59,ND
1990:Q4,34,47,2256,-320,336,276,76,-28,12,2364,1540,-12,836,-124,1832,-620,2428,24,-437,ND
1991:Q1,42,53,-1024,-600,412,212,44,-68,224,-468,-1228,124,636,-368,-888,-384,-244,-260,125,ND
1991:Q2,42,52,-4388,-932,484,68,-64,-120,600,-3288,-4036,-180,928,-652,-4224,-288,-2908,-1028,154,ND
1991:Q3,43,52,-4880,-912,444,220,60,-116,280,-3712,-4352,-188,828,-700,-4724,-124,-3332,-1268,147,ND
1991:Q4,43,51,-2388,-556,296,664,424,-76,-716,-1756,-2200,72,372,-372,-2384,84,-1528,-940,-4,ND
1992:Q1,48,65,2456,-328,2044,1108,852,-32,116,820,196,620,4,-80,2336,384,-4,1956,-137,ND
1992:Q2,48,67,2792,-400,3348,1552,1332,0,464,976,264,1072,-360,-1132,2672,720,1196,756,-139,ND
1992:Q3,48,69,2736,-452,3080,1700,1348,-40,72,1064,224,1208,-368,-956,2612,780,1388,444,-145,ND
1992:Q4,49,72,2432,-668,2636,1552,892,-124,316,1004,-44,1024,24,-540,2300,568,576,1156,-155,ND
1993:Q1,71,65,1952,-524,2228,1580,504,-208,352,820,-348,1356,-188,-572,1476,436,-100,1140,-470,ND
1993:Q2,71,68,1584,-600,1676,1788,184,-368,72,688,-712,1408,-8,-180,1104,388,-652,1368,-477,ND
1993:Q3,74,68,1440,-328,1528,1580,64,-308,192,648,-700,1208,140,-408,1040,284,-716,1472,-394,ND
1993:Q4,75,71,1740,264,1328,964,152,-100,312,748,-336,648,436,-600,1400,128,-300,1572,-336,ND
1994:Q1,94,88,1340,-352,-532,-1492,388,348,224,1260,416,500,344,964,988,40,1068,-120,-346,ND
1994:Q2,96,90,2732,120,400,-800,400,300,500,1708,-148,76,1780,504,2780,272,1712,796,54,ND
1994:Q3,97,91,2720,520,-800,-800,400,400,-800,3024,1824,312,888,-24,2396,-144,1312,1228,-318,ND
1994:Q4,99,95,7888,1508,1364,580,684,488,-388,6940,4588,1644,708,-1924,7812,264,2112,5436,-72,ND
1995:Q1,96,88,-124,-872,736,832,-8,-80,-8,1636,1116,272,248,-1624,-340,-1524,1768,-584,-208,ND
1995:Q2,97,90,7668,1024,1936,2004,72,-168,28,3252,2216,2012,-976,1456,7404,1452,1792,4160,-257,ND
1995:Q3,98,90,1076,-1256,-228,312,168,440,-1148,2032,1772,44,216,528,884,-896,1888,-108,-184,ND
1995:Q4,99,91,15144,1704,3484,-2172,4784,68,804,3948,2092,1472,384,6008,14172,1700,4260,8212,-964,ND
1996:Q1,105,120,548,-776,-1428,-1348,-112,132,-100,3524,2064,520,940,-772,448,-764,1760,-548,-115,ND
1996:Q2,105,123,2564,360,-624,832,-1156,-48,-252,2364,2064,940,-640,464,2336,996,2484,-1144,-246,ND
1996:Q3,106,128,2112,-264,-1164,-2412,1904,-356,-300,1832,1316,1236,-720,1708,1828,284,-1784,3328,-306,ND
1996:Q4,108,130,0,-64,-1920,-2108,296,-284,176,288,300,-216,204,1696,852,1436,-1192,608,830,ND
1997:Q1,112,150,6536,-120,5688,2440,3496,-248,0,380,340,-616,656,588,6340,-340,-2152,8832,-234,ND
1997:Q2,113,154,3484,208,288,400,-288,20,156,1524,1548,-244,220,1464,3080,696,-1944,4328,-445,ND
1997:Q3,115,161,5644,-132,3740,1984,1600,-204,360,2088,1228,400,460,-52,5264,-1152,2352,4064,-426,ND
1997:Q4,117,162,6252,-164,-692,-4476,3384,344,56,1744,420,736,588,5364,5764,2488,1736,1540,-533,ND
1998:Q1,123,186,5596,-132,4216,1392,2740,264,-180,1276,-192,1140,328,236,5652,504,2184,2964,-7,ND
1998:Q2,127,191,7140,752,1192,-900,2232,-532,392,3868,2160,1536,172,1328,6080,868,1988,3224,-1124,ND
1998:Q3,129,193,4632,-536,300,-2384,1980,40,664,2604,976,920,708,2264,4616,324,2452,1840,-80,ND
1998:Q4,132,199,21700,2444,9092,-756,8660,24,1164,1628,508,636,484,8536,21356,3116,1136,17104,-411,ND
1999:Q1,125,179,-5924,-1536,-1772,-2272,1564,444,-1508,-2588,-2032,-2076,1520,-28,-4716,-2632,-4860,2776,1154,ND
1999:Q2,129,183,9496,-1396,3764,72,4312,84,-704,5484,1644,2364,1476,1644,9412,2080,2216,5116,-138,ND
1999:Q3,133,189,8908,1568,4156,-1456,6036,-196,-228,2460,348,1068,1044,724,8516,-1192,2760,6948,-448,ND
1999:Q4,137,189,2232,2384,2496,668,1400,4,424,3780,2180,1040,560,-6428,2088,1744,6408,-6064,-196,ND
2000:Q1,135,171,2676,-1324,-296,-1240,840,484,-380,5648,3788,1440,420,-1352,2196,-1376,796,2776,-516,ND
2000:Q2,138,177,7644,648,1112,-528,1640,-40,40,4256,752,2204,1300,1628,7244,20,4968,2256,-439,ND
2000:Q3,141,179,11388,-2648,8052,-560,7260,40,1312,4240,1564,1548,1128,1744,10824,-264,4544,6544,-602,ND
2000:Q4,141,180,-5516,1164,6052,-1680,7428,52,252,-2272,-1664,-1036,428,-10460,-6576,1224,968,-8768,-1099,ND
2001:Q1,146,192,-1124,628,-6608,-2592,-5680,-1356,3020,2964,508,-8128,10584,1892,-2272,-64,-1208,-1000,-1194,ND
2001:Q2,148,188,6468,-576,-1384,-484,332,-16,-1216,5564,1272,1772,2520,2864,5976,1404,8824,-4252,-532,ND
2001:Q3,148,186,10428,3196,3616,1512,1348,-100,856,2036,628,532,876,1580,9120,0,4928,4192,-1346,ND
2001:Q4,150,178,52076,1004,13264,-992,13892,568,-204,20628,15708,2100,2820,17180,52964,11048,23896,18020,860,ND
2002:Q1,152,185,6212,-4348,6836,3328,4152,-72,-572,-272,-1084,92,720,3996,6260,-1204,4484,2980,15,2616
2002:Q2,154,182,11360,4172,2948,-3540,5812,-20,696,1944,560,1728,-344,2296,10852,8172,6648,-3968,-536,1056
2002:Q3,156,181,2824,-80,-8,-228,1132,136,-1048,3976,184,2124,1668,-1064,1424,-4384,-416,6224,-1425,-780
2002:Q4,158,177,-40448,-892,6184,1732,4668,-12,-204,-16360,-17044,1976,-1292,-29380,-41384,-7092,-26216,-8076,-955,2492
2003:Q1,156,184,7416,2260,-4052,524,-3500,152,-1228,3368,-748,3640,476,5840,6564,1764,-1372,6172,-880,-1412
2003:Q2,159,188,10820,-216,11364,1404,6384,24,3552,4108,824,2164,1120,-4436,9908,4688,184,5036,-941,-1128
2003:Q3,160,193,14924,-2392,14776,1460,13276,380,-340,4652,-160,1708,3104,-2112,14188,-2688,4964,11912,-769,1304
2003:Q4,162,196,456,284,2484,572,2660,-192,-556,5664,1432,2580,1652,-7976,-780,2292,6376,-9448,-1270,1612
2004:Q1,163,201,16156,2864,6088,1264,3896,184,744,5804,1960,2236,1608,1400,14512,2640,480,11392,-1682,3112
2004:Q2,164,209,13632,-1816,9144,3616,6432,100,-1004,9352,2216,4380,2756,-3048,14340,1512,3536,9292,663,940
2004:Q3,168,215,21936,1412,2980,-1932,7152,-1528,-712,7520,112,3516,3892,10024,20164,536,7000,12628,-1819,1408
2004:Q4,170,221,11876,1688,4340,2476,1160,344,360,10428,2876,3424,4128,-4580,12924,1640,1492,9792,997,728
2005:Q1,177,204,13656,460,2364,792,2364,52,-844,9656,940,19112,-10396,1176,13248,28,11816,1404,-435,2092
2005:Q2,179,208,13532,712,5020,-2148,6264,16,888,9332,6792,-292,2832,-1532,11952,3272,11900,-3220,-1609,1876
