1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q1,0,2624,0,0,0,2624,2624,0,0,0,0,0,0,0,2624,2624,0,0,0,0,0,0,0,2624,0,2624,0,0,0,0,0
1966:Q2,0,92,0,0,0,92,92,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,92,0,92,0,0,0,0,0
1966:Q3,0,2736,0,0,0,2736,2736,0,0,0,0,0,0,0,2736,2736,0,0,0,0,0,0,0,2736,0,2736,0,0,0,0,0
1966:Q4,0,4632,0,0,0,4632,4632,0,0,0,0,0,0,0,4632,4632,0,0,0,0,0,0,0,4632,0,4632,0,0,0,0,0
1967:Q1,0,5632,0,0,0,5632,5632,0,0,0,0,0,0,0,5632,5632,0,0,0,0,0,0,0,5632,0,5632,0,0,0,0,0
1967:Q2,0,120,0,0,0,120,120,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,120,0,120,0,0,0,0,0
1967:Q3,0,-4216,0,0,0,-4216,-4216,0,0,0,0,0,0,0,-4216,-4216,0,0,0,0,0,0,0,-4216,0,-4216,0,0,0,0,0
1967:Q4,0,6048,0,0,0,6048,6048,0,0,0,0,0,0,0,6048,6048,0,0,0,0,0,0,0,6048,0,6048,0,0,0,0,0
1968:Q1,-26,3280,0,0,0,3280,3280,0,0,0,0,0,0,0,3306,3306,0,0,0,0,0,0,0,3306,0,3306,0,0,0,0,0
1968:Q2,-35,164,0,0,0,164,164,0,0,0,0,0,0,0,199,199,0,0,0,0,0,0,0,199,0,199,0,0,0,0,0
1968:Q3,-32,720,0,0,0,720,720,0,0,0,0,0,0,0,752,752,0,0,0,0,0,0,0,752,0,752,0,0,0,0,0
1968:Q4,-18,4768,0,0,0,4768,4768,0,0,0,0,0,0,0,4786,4786,0,0,0,0,0,0,0,4786,0,4786,0,0,0,0,0
1969:Q1,-25,3472,0,0,0,3472,3472,0,0,0,0,0,0,0,3497,3497,0,0,0,0,0,0,0,3497,0,3497,0,0,0,0,0
1969:Q2,-20,6564,0,0,0,6564,6564,0,0,0,0,0,0,0,6584,6584,0,0,0,0,0,0,0,6584,0,6584,0,0,0,0,0
1969:Q3,-23,9092,0,0,0,9092,9092,0,0,0,0,0,0,0,9115,9115,0,0,0,0,0,0,0,9115,0,9115,0,0,0,0,0
1969:Q4,-23,8588,0,0,0,8588,8588,0,0,0,0,0,0,0,8611,8611,0,0,0,0,0,0,0,8611,0,8611,0,0,0,0,0
1970:Q1,-23,16144,0,0,0,16144,16144,0,0,0,0,0,0,0,16167,16167,0,0,0,0,0,0,0,16167,0,16167,0,0,0,0,0
1970:Q2,-34,5176,0,0,0,5176,5176,0,0,0,0,0,0,0,5210,5210,0,0,0,0,0,0,0,5210,0,5210,0,0,0,0,0
1970:Q3,-55,-25284,0,0,0,-25284,-25284,0,0,0,0,0,0,0,-25229,-25229,0,0,0,0,0,0,0,-25229,0,-25229,0,0,0,0,0
1970:Q4,-72,-4640,0,0,0,-4640,-4640,0,0,0,0,0,0,0,-4568,-4568,0,0,0,0,0,0,0,-4568,0,-4568,0,0,0,0,0
1971:Q1,-103,-8660,0,0,0,-8660,-8660,0,0,0,0,0,0,0,-8557,-8557,0,0,0,0,0,0,0,-8557,0,-8557,0,0,0,0,0
1971:Q2,-91,-4772,0,0,0,-4772,-4772,0,0,0,0,0,0,0,-4681,-4681,0,0,0,0,0,0,0,-4681,0,-4681,0,0,0,0,0
1971:Q3,-119,-708,0,0,0,-708,-708,0,0,0,0,0,0,0,-589,-589,0,0,0,0,0,0,0,-589,0,-589,0,0,0,0,0
1971:Q4,-95,2548,0,0,0,2548,2548,0,0,0,0,0,0,0,2643,2643,0,0,0,0,0,0,0,2643,0,2643,0,0,0,0,0
1972:Q1,-160,2260,0,0,0,2260,2260,0,0,0,0,0,0,0,2420,2420,0,0,0,0,0,0,0,2420,0,2420,0,0,0,0,0
1972:Q2,-182,-9028,0,0,0,-9028,-9028,0,0,0,0,0,0,0,-8846,-8846,0,0,0,0,0,0,0,-8846,0,-8846,0,0,0,0,0
1972:Q3,-188,-10160,0,0,0,-10160,-10160,0,0,0,0,0,0,0,-9972,-9972,0,0,0,0,0,0,0,-9972,0,-9972,0,0,0,0,0
1972:Q4,-168,-1328,0,0,0,-1328,-1328,0,0,0,0,0,0,0,-1160,-1160,0,0,0,0,0,0,0,-1160,0,-1160,0,0,0,0,0
1973:Q1,-256,-2928,0,0,0,-2928,-2928,0,0,0,0,0,0,0,-2672,-2672,0,0,0,0,0,0,0,-2672,0,-2672,0,0,0,0,0
1973:Q2,-300,3584,0,0,0,3584,3584,0,0,0,0,0,0,0,3884,3884,0,0,0,0,0,0,0,3884,0,3884,0,0,0,0,0
1973:Q3,-305,3816,0,0,0,3816,3816,0,0,0,0,0,0,0,4121,4121,0,0,0,0,0,0,0,4121,0,4121,0,0,0,0,0
1973:Q4,-282,16632,0,0,0,16632,16632,0,0,0,0,0,0,0,16914,16914,0,0,0,0,0,0,0,16914,0,16914,0,0,0,0,0
1974:Q1,-207,6048,0,0,0,6048,6048,0,0,0,0,0,0,0,6255,6255,0,0,0,0,0,0,0,6255,0,6255,0,0,0,0,0
1974:Q2,-229,8360,0,0,0,8360,8360,0,0,0,0,0,0,0,8589,8589,0,0,0,0,0,0,0,8589,0,8589,0,0,0,0,0
1974:Q3,-175,17132,0,0,0,17132,17132,0,0,0,0,0,0,0,17307,17307,0,0,0,0,0,0,0,17307,0,17307,0,0,0,0,0
1974:Q4,-153,-8992,0,0,0,-8992,-8992,0,0,0,0,0,0,0,-8839,-8839,0,0,0,0,0,0,0,-8839,0,-8839,0,0,0,0,0
1975:Q1,-155,-11596,0,0,0,-11596,-11596,0,0,0,0,0,0,0,-11441,-11441,0,0,0,0,0,0,0,-11441,0,-11441,0,0,0,0,0
1975:Q2,-179,-20508,0,0,0,-20508,-20508,0,0,0,0,0,0,0,-20329,-20329,0,0,0,0,0,0,0,-20329,0,-20329,0,0,0,0,0
1975:Q3,-197,-18572,0,0,0,-18572,-18572,0,0,0,0,0,0,0,-18375,-18375,0,0,0,0,0,0,0,-18375,0,-18375,0,0,0,0,0
1975:Q4,-221,-8312,0,0,0,-8312,-8312,0,0,0,0,0,0,0,-8091,-8091,0,0,0,0,0,0,0,-8091,0,-8091,0,0,0,0,0
1976:Q1,-195,5244,0,0,0,5244,5244,0,0,0,0,0,0,0,5439,5439,0,0,0,0,0,0,0,5439,1240,4199,0,0,0,0,0
1976:Q2,-247,-2152,0,0,0,-2152,-2152,0,0,0,0,0,0,0,-1905,-1905,0,0,0,0,0,0,0,-1905,-528,-1377,0,0,0,0,0
1976:Q3,-273,-8460,0,0,0,-8460,-8460,0,0,0,0,0,0,0,-8187,-8187,0,0,0,0,0,0,0,-8187,80,-8267,0,0,0,0,0
1976:Q4,-286,-6664,0,0,0,-6664,-6664,0,0,0,0,0,0,0,-6378,-6378,0,0,0,0,0,0,0,-6378,1648,-8026,0,0,0,0,0
1977:Q1,-218,31348,0,0,0,31348,31348,0,0,0,0,0,0,0,31566,31566,0,0,0,0,0,0,0,31566,1284,30282,0,0,0,0,0
1977:Q2,-182,12728,0,0,0,12728,12728,0,0,0,0,0,0,0,12910,12910,0,0,0,0,0,0,0,12910,-1564,14474,0,0,0,0,0
1977:Q3,-157,3896,0,0,0,3896,3896,0,0,0,0,0,0,0,4053,4053,0,0,0,0,0,0,0,4053,-388,4441,0,0,0,0,0
1977:Q4,-169,12184,0,0,0,12184,12184,0,0,0,0,0,0,0,12353,12353,0,0,0,0,0,0,0,12353,192,12161,0,0,0,0,0
1978:Q1,-188,3592,0,0,0,3592,3592,0,0,0,0,0,0,0,3780,3780,0,0,0,0,0,0,0,3780,280,3500,0,0,0,0,0
1978:Q2,-196,21628,0,0,0,21628,21628,0,0,0,0,0,0,0,21824,21824,0,0,0,0,0,0,0,21824,-804,22628,0,0,0,0,0
1978:Q3,-191,-84,0,0,0,-84,-84,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,0,107,628,-521,0,0,0,0,0
1978:Q4,-182,36872,0,0,0,36872,36872,0,0,0,0,0,0,0,37054,37054,0,0,0,0,0,0,0,37054,1996,35058,0,0,0,0,0
1979:Q1,-149,17128,0,0,0,17128,17128,0,0,0,0,0,0,0,17277,17277,0,0,0,0,0,0,0,17277,-1844,19121,0,0,0,0,0
1979:Q2,-128,5652,0,0,0,5652,5652,0,0,0,0,0,0,0,5780,5780,0,0,0,0,0,0,0,5780,196,5584,0,0,0,0,0
1979:Q3,-112,16340,0,0,0,16340,16340,0,0,0,0,0,0,0,16452,16452,0,0,0,0,0,0,0,16452,692,15760,0,0,0,0,0
1979:Q4,-128,-64,0,0,0,-64,-64,0,0,0,0,0,0,0,64,64,0,0,0,0,0,0,0,64,1476,-1412,0,0,0,0,0
1980:Q1,-157,9173,0,0,0,9173,9173,0,0,0,0,0,0,0,9330,9330,0,0,0,0,0,0,0,9330,-1704,11034,0,0,0,0,0
1980:Q2,-226,-4660,0,0,0,-41360,-41360,0,0,0,0,0,36700,0,-4434,-4434,2400,2400,0,0,0,0,0,-6834,212,-7046,0,0,0,0,0
1980:Q3,-192,-4473,0,0,0,-7349,-7349,0,0,0,0,0,2876,0,-4281,-4281,2876,2876,0,0,0,0,0,-7157,4080,-11237,0,0,0,0,0
1980:Q4,-202,24808,0,0,0,28388,28388,0,0,0,0,0,-3580,0,25010,25010,-3580,-3580,0,0,0,0,0,28590,-2652,31242,0,0,0,0,0
1981:Q1,-221,-18450,0,0,0,-24710,-24710,0,0,0,0,0,6260,0,-18229,-18229,6260,6260,0,0,0,0,0,-24489,-1332,-23157,0,0,0,0,0
1981:Q2,-209,-4047,0,0,0,-5163,-5163,0,0,0,0,0,1116,0,-3838,-3838,1116,1116,0,0,0,0,0,-4954,972,-5926,0,0,0,0,0
1981:Q3,-204,16227,0,0,0,4619,4619,0,0,0,0,0,11608,0,16431,16431,11608,11608,0,0,0,0,0,4823,-1856,6679,0,0,0,0,0
1981:Q4,-213,-36221,0,0,0,5603,5603,0,0,0,0,0,-41824,0,-36008,-36008,-1824,-1824,0,0,0,0,0,-34184,6032,-40216,0,0,0,0,0
1982:Q1,-258,22663,0,0,0,18203,18203,0,0,0,0,0,4460,0,22921,22921,4460,4460,0,0,0,0,0,18461,-428,18889,0,0,0,0,0
1982:Q2,-214,35954,0,0,0,27434,27434,0,0,0,0,0,8520,0,36168,36168,8520,8520,0,0,0,0,0,27648,4364,23284,0,0,0,0,0
1982:Q3,-242,-18491,0,0,0,-27679,-27679,0,0,0,0,0,9188,0,-18249,-18249,9188,9188,0,0,0,0,0,-27437,2464,-29901,0,0,0,0,0
1982:Q4,-273,-4355,0,0,0,4293,4293,0,0,0,0,0,-8648,0,-4082,-4082,-8648,-8648,0,0,0,0,0,4566,-5616,10182,0,0,0,0,0
1983:Q1,-255,46134,0,0,0,49714,49714,0,0,0,0,0,-3580,0,46389,46389,-3580,-4236,656,0,0,0,0,49969,6892,43077,0,0,0,0,0
1983:Q2,-197,-9936,0,0,0,-13908,-13908,0,0,0,0,0,3972,0,-9739,-9739,3972,3164,808,0,0,0,0,-13711,-2688,-11023,0,0,0,0,0
