1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,3460,3895,1485,1485,2410,43218,-1040,-236,124,-120,0,-1808,-8436,144,-8556,-3524,376,3124,37136,10568,2804,15756,8008,8,1356,172,0,0,0,88,15974,40808,41392,-184,956,9348,-16,0,-2452,1256,264,1300,-308,3224,2404,820,8,464,3044,16920,0,-1320,10144,-584,-744,160,-435
1955:Q3,3443,4808,1580,1580,3228,46540,4552,896,140,-612,0,1936,-5468,-48,-6708,-2140,1568,1860,31900,6464,3716,15620,6100,4,1212,120,0,0,0,96,11764,43312,43496,6508,4204,6152,-744,0,1668,1556,-124,1004,676,1892,508,1384,12,728,3028,17028,0,744,720,-184,-288,104,-1365
1955:Q4,3475,3987,1655,1655,2332,45728,1004,72,160,-12,0,-808,1004,-836,-6708,2996,756,4796,32464,10448,2804,13840,5372,0,3376,160,0,0,0,104,8204,43396,43256,-1556,-1616,9564,116,0,-1736,1464,-1040,1656,848,3320,2896,424,16,588,3084,17236,40,160,12576,140,12,128,-512
1956:Q1,3560,1525,1600,1600,-75,41837,-820,60,100,416,0,2460,5040,2512,-3348,192,2196,3488,20232,4188,116,12272,3656,4,1368,316,0,0,0,116,12545,41912,42012,-1052,10960,8900,292,0,3156,5048,2308,468,2272,-3076,-2092,-984,8,1204,3168,18016,40,-364,-4288,-100,-408,308,2035
1956:Q2,3713,4582,1641,1641,2941,33909,-160,-2468,104,-120,0,-2464,-11656,-808,-12792,-2096,828,3212,27364,8236,556,14024,4548,8,3480,192,0,0,0,128,19501,30968,30056,-1144,-5056,11516,-128,0,-2940,1712,-72,864,920,520,656,-136,8,108,3276,18236,40,-936,4844,912,764,148,-869
1956:Q3,3839,4139,1698,1698,2441,40453,2532,2672,104,-332,0,1864,3536,-268,-1516,-868,1420,4768,20524,2128,3168,13532,1696,0,2848,132,0,0,0,140,6433,38012,37252,6200,1164,6360,-320,0,2772,2176,232,992,952,-564,-584,20,12,1364,3220,18656,0,1380,-5168,760,668,92,-300
1956:Q4,3844,4359,1714,1714,2645,45405,164,1952,116,-16,0,-1972,8088,-804,2444,1556,816,4076,21624,5404,2104,11824,2292,0,2748,168,0,0,0,156,12377,42760,42348,-1888,2704,10936,96,0,-2988,28,-620,-420,1068,2376,920,1456,-44,468,3004,19348,0,688,7620,412,240,172,-515
1957:Q1,3666,167,1677,1677,-1510,45194,-2228,-1896,128,60,0,2812,15320,1892,5448,1140,1456,5384,12688,164,964,9368,2192,4,3448,284,0,0,0,156,14418,46704,45008,-4436,9144,14812,-56,0,3568,5724,2368,1620,1736,-5192,-3256,-1936,12,892,2792,21256,40,-400,-3148,1696,1132,564,3499
1957:Q2,3553,3921,1683,1683,2238,42830,3128,452,128,96,0,-692,-10880,-848,-18328,-700,2572,6424,24008,8956,2056,9304,3692,8,2252,172,0,0,0,160,23998,40592,40884,2544,-7468,12900,108,0,-1112,2376,-920,2440,856,520,884,-364,8,860,2580,22028,0,-764,6304,-292,-408,116,-368
1957:Q3,3615,3937,1723,1723,2214,46890,140,-8,136,-548,0,-248,19540,12,11144,-140,1980,6544,15808,-572,3316,10492,2572,0,5384,148,0,0,0,160,6378,44676,42872,3140,2800,7960,-588,0,148,3584,1112,772,1700,916,220,696,8,860,2548,23192,0,996,-2692,1804,1716,88,-322
