1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,8997,8997,8997,12171,11627,544,-3174,1176,556,0,0,0,0,0,-200,0,-200,8,556,256,256,0,0,4350,7489,4085,1084,349,2652,4,3400,0,0,-3139,4,-3143
1954:Q4,9059,9059,9059,11565,12077,-512,-2506,-1148,412,0,0,0,0,0,1148,0,1148,8,-2968,252,252,0,0,1358,-2092,1220,-972,720,1472,-4,-3308,0,0,3450,12,3438
1955:Q1,9121,9121,9121,12450,12374,76,-3329,2504,320,0,0,0,0,0,-1192,0,-1192,8,3124,244,244,0,0,5833,6448,2688,284,536,1868,4,3756,0,0,-615,4,-619
1955:Q2,9221,9221,9221,12666,13470,-804,-3445,-916,276,0,0,0,0,0,472,0,472,8,-1916,244,244,0,0,2529,7221,5505,1616,317,3572,0,1716,0,0,-4692,8,-4700
1955:Q3,9356,9356,9356,13007,14015,-1008,-3651,676,264,0,0,0,0,0,-24,0,-24,16,180,240,240,0,0,4327,7007,4843,1388,611,2844,4,2160,0,0,-2680,4,-2684
1955:Q4,9529,9529,9529,14415,13768,647,-4886,-760,272,0,0,0,0,0,1168,0,1168,16,-2456,240,240,0,0,4126,717,2645,1016,513,1116,-4,-1924,0,0,3409,16,3393
1956:Q1,9743,9743,9743,13686,13383,303,-3943,3280,148,0,0,0,0,0,-1096,0,-1096,12,4020,196,196,0,0,7223,6570,2378,380,-42,2040,4,4188,0,0,653,4,649
1956:Q2,9930,9930,9930,11790,12957,-1167,-1860,1000,76,0,0,0,0,0,404,0,404,16,324,180,180,0,0,2860,5386,4394,780,166,3448,0,992,0,0,-2526,8,-2534
1956:Q3,10095,10095,10095,12311,12825,-514,-2216,2420,140,0,0,0,0,0,160,0,160,12,1924,184,184,0,0,4636,6118,4110,1268,318,2524,4,2004,0,0,-1482,4,-1486
1956:Q4,10237,10237,10237,11305,12698,-1393,-1068,4,320,0,0,0,0,0,1156,0,1156,12,-1692,208,208,0,0,1072,-2013,1483,-256,995,744,-4,-3492,0,0,3085,12,3073
1957:Q1,10358,10358,10358,13411,13066,345,-3053,2968,480,0,0,0,0,0,-1252,0,-1252,16,3504,220,220,0,0,6021,5005,1169,-12,309,872,4,3832,0,0,1017,0,1017
1957:Q2,10480,10480,10480,13605,12865,740,-3125,-1768,556,0,0,0,0,0,484,0,484,28,-3072,236,236,0,0,1357,1483,2795,344,-165,2616,0,-1312,0,0,-126,4,-130
1957:Q3,10608,10608,10608,13901,13301,600,-3293,196,708,0,0,0,0,0,-104,0,-104,8,-648,232,232,0,0,3489,3501,3177,216,393,2568,0,324,0,0,-12,4,-16
1957:Q4,10744,10744,10744,12341,13529,-1188,-1597,-316,920,0,0,0,0,0,1036,0,1036,12,-2476,192,192,0,0,1281,967,2667,1272,395,1000,0,-1700,0,0,314,4,310
1958:Q1,10882,10882,10882,15428,13552,1876,-4546,5092,1536,0,0,0,0,0,-1600,0,-1600,8,4956,192,192,0,0,9638,6739,1683,-312,511,1484,4,5052,0,0,2899,4,2895
1958:Q2,10998,10998,10998,14964,13702,1262,-3966,2268,2232,0,0,0,0,0,288,0,288,0,-404,152,152,0,0,6234,4435,3935,812,11,3112,0,500,0,0,1799,8,1791
1958:Q3,11101,11101,11101,16301,14176,2125,-5200,3680,1920,0,0,0,0,0,136,0,136,40,1432,152,152,0,0,8880,5753,4593,248,453,3892,4,1156,0,0,3127,4,3123
1958:Q4,11181,11181,11181,17111,15181,1930,-5930,-12,600,0,0,0,0,0,1180,0,1180,16,-1988,180,180,0,0,5918,2571,4987,1472,691,2824,-4,-2412,0,0,3347,12,3335
1959:Q1,11178,11178,11178,15240,15304,-64,-4062,1332,-660,0,0,0,0,0,-1068,0,-1068,20,2808,232,232,0,0,5394,8350,5654,492,1006,4156,0,2696,0,0,-2955,8,-2963
1959:Q2,11229,11229,11229,14556,15959,-1403,-3327,-3248,-1968,0,0,0,0,0,532,0,532,8,-2092,272,272,0,0,79,7840,7812,1288,588,5936,4,24,0,0,-7761,8,-7769
1959:Q3,11272,11272,11272,14049,16097,-2048,-2777,-1660,-2248,0,0,0,0,0,-100,0,-100,48,368,272,272,0,0,1117,7981,6709,1216,349,5144,4,1268,0,0,-6864,8,-6872
1959:Q4,11308,11308,11308,14149,15588,-1439,-2841,-4988,-1520,0,0,0,0,0,1924,0,1924,20,-5656,244,244,0,0,-2147,-1534,4098,1224,134,2740,-4,-5628,0,0,-613,16,-629
1960:Q1,11331,11331,11331,18616,15466,3150,-7285,3020,-1036,0,0,0,0,0,-2244,0,-2244,24,6084,192,192,0,0,10305,10629,4413,548,513,3352,4,6212,0,0,-324,0,-324
1960:Q2,11405,11405,11405,16353,14942,1411,-4948,-2948,-772,0,0,0,0,0,644,0,644,-4,-2980,164,164,0,0,2000,3927,5363,396,99,4868,0,-1436,0,0,-1927,4,-1931
1960:Q3,11463,11463,11463,16336,14585,1751,-4873,204,-556,0,0,0,0,0,-392,0,-392,48,944,160,160,0,0,5077,6103,5091,212,367,4512,0,1012,0,0,-1026,4,-1030
1960:Q4,11507,11507,11507,13258,14843,-1585,-1751,-1872,-408,0,0,0,0,0,1100,0,1100,16,-2768,188,188,0,0,-121,780,4236,904,296,3036,4,-3460,0,0,-900,4,-904
1961:Q1,11543,11543,11543,14947,15121,-174,-3404,2404,-108,0,0,0,0,0,-2432,0,-2432,20,4708,216,216,0,0,5808,11132,7160,440,788,5932,0,3972,0,0,-5324,8,-5332
1961:Q2,11595,11595,11595,16484,15626,858,-4889,-124,192,0,0,0,0,0,676,0,676,4,-1240,244,244,0,0,4765,3968,5408,-164,-344,5916,4,-1444,0,0,797,8,789
1961:Q3,11663,11663,11663,18444,16212,2232,-6781,1640,272,0,0,0,0,0,140,0,140,60,936,232,232,0,0,8421,7956,8116,872,760,6484,0,-160,0,0,465,12,453
1961:Q4,11750,11750,11750,19271,16847,2424,-7521,-1356,116,0,0,0,0,0,1328,0,1328,16,-3004,188,188,0,0,6165,1824,6092,1256,220,4616,4,-4272,0,0,4342,8,4334
1962:Q1,11853,11853,11853,20687,17449,3238,-8834,2100,60,0,0,0,0,0,-1412,0,-1412,20,3280,152,152,0,0,10934,9549,6749,548,933,5268,0,2800,0,0,1385,4,1381
1962:Q2,11948,11948,11948,19518,18139,1379,-7570,-1520,36,0,0,0,0,0,972,0,972,4,-2624,92,92,0,0,6050,6833,7921,1004,45,6872,0,-1088,0,0,-782,4,-786
1962:Q3,12039,12039,12039,20050,18483,1567,-8011,496,-8,0,0,0,0,0,-4,0,-4,64,340,104,104,0,0,8507,8264,7560,948,428,6184,4,700,0,0,243,0,243
1962:Q4,12121,12121,12121,19593,18574,1019,-7472,-1468,-84,0,0,0,0,0,1184,0,1184,16,-2764,180,180,0,0,6004,5245,8109,1956,425,5728,0,-2864,0,0,759,4,755
