1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q2,799475,349785,854,255610,93321,0,42582,88345,2045,31673,17988,0,36639,281766,215759,17008,48999,157,36840,810228,748592,345434,234882,110552,8534,267978,74609,18173,5090,28774,61636,23577,38059,ND
1993:Q3,801208,356104,1482,256096,98526,0,43141,90370,1537,31927,19021,0,37885,273842,210228,15813,47801,18,37733,811249,743748,355545,248809,106736,9192,261287,66256,16490,5256,29722,67501,23431,44070,ND
1993:Q4,809232,354136,981,257796,95359,0,50826,98316,2405,36113,21481,0,38317,273239,213064,15115,45060,3,32712,821873,752060,359242,245194,114048,8347,275853,60443,16027,5825,26323,69813,25272,44541,ND
1994:Q1,804086,351907,614,252596,98697,0,39929,103486,1772,39220,25089,0,37405,270273,213056,13681,43536,2,38489,825237,755911,368481,255010,113471,8805,267119,60259,14372,5828,31047,69326,25696,43630,ND
1994:Q2,816085,347462,760,252673,94029,0,50942,105346,1915,39562,24794,0,39075,266382,210326,13542,42514,2,45951,832840,760414,356310,244882,111428,8605,270272,68095,14163,5854,37115,72426,25866,46560,ND
1994:Q3,829627,359463,645,259178,99640,0,49476,103863,1830,37341,23970,0,40722,269821,214455,13942,41424,2,47002,846378,778398,362993,247622,115371,8701,284903,61573,14652,6017,39559,67980,26584,41396,ND
1994:Q4,847446,362953,952,258643,103358,0,60313,99102,2170,32656,23030,0,41246,279211,225963,12987,40261,2,45865,865149,794590,370003,252013,117990,8768,289205,66547,13439,5688,40940,70559,26487,44072,ND
1995:Q1,860828,364434,419,267054,96961,0,40269,128014,1190,53242,31240,0,42342,284505,233148,12531,38826,4,43602,894976,816740,361276,249758,111518,8135,293400,63913,13041,5755,71220,78236,28010,50226,ND
1995:Q2,918628,396561,760,292969,102832,0,44068,140900,1817,59959,36110,0,43014,296922,246624,12640,37658,8,40169,955578,875138,389023,271625,117398,7933,304170,74265,12876,5808,81063,80440,28189,52251,ND
1995:Q3,915624,381822,473,286692,94657,0,50261,141031,1519,58937,36165,0,44410,300348,252352,11167,36829,2,42160,950704,868770,386964,273916,113048,8138,307777,70726,11643,6252,77270,81934,30605,51329,ND
1995:Q4,910757,371065,848,288624,81593,0,53436,145062,1745,62276,37288,0,43753,304602,259423,10056,35123,7,36585,955878,863377,389167,294196,94971,8659,297532,75547,10356,6500,75616,92501,41767,50734,ND
1996:Q1,882431,345629,454,273647,71528,0,47137,151060,1975,67778,39111,0,42196,307181,264190,9787,33204,7,31417,931426,837147,373795,280754,93041,8564,296740,72989,10033,6745,68281,94279,41586,52693,ND
1996:Q2,893343,345684,586,272775,72323,0,48445,156342,1484,72038,40505,0,42315,314950,274028,8612,32310,7,27915,938480,845790,366399,275965,90434,8727,301740,88380,8780,6518,65246,92690,39839,52851,ND
1996:Q3,899678,347195,649,274734,71812,0,38734,160566,1399,71857,43387,0,43923,325546,284707,8611,32228,5,27632,947778,847882,355275,267255,88020,7988,323196,81197,8898,6534,64794,99896,40465,59431,ND
