date,FL162000005.A,FL162010005.A,FL165035005.A,FL165015205.A,FL165013765.A,FL164090005.A,FL163020005.A,FL163030205.A,FL163034003.A,LM164022005.A,LM163061005.A,LM163063005.A,FL164023005.A,FL163065013.A,FL163066223.A,FL163069005.A,LM163064005.A,FL163070005.A,FL163090005.A,FL163072003.A,FL163093005.A,FL164190005.A,FL163162003.A,FL164123005.A,FL163165505.A,FL163168005.A,FL163169005.A,FL163170005.A,FL163193005.A,FL162090005.A,FL164090015.A,FL164090025.A
1959,ND,62157,57897,3550,710,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,4370,ND,0,2199,ND,ND,ND,ND
1960,ND,65236,60692,3760,784,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,5208,ND,0,2309,ND,ND,ND,ND
1961,ND,70185,65314,3989,882,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,5743,ND,0,2499,ND,ND,ND,ND
1962,ND,75698,70442,4245,1011,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,6339,ND,0,2629,ND,ND,ND,ND
1963,ND,81071,75374,4529,1168,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,6935,ND,0,2939,ND,ND,ND,ND
1964,ND,88876,82669,4873,1334,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,7540,ND,0,3198,ND,ND,ND,ND
1965,ND,97472,90693,5257,1522,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,8258,ND,0,3617,ND,ND,ND,ND
1966,ND,107489,99956,5795,1738,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,8956,ND,0,3967,ND,ND,ND,ND
1967,ND,116833,108532,6317,1984,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,11942,ND,0,4594,ND,ND,ND,ND
1968,ND,130591,121441,6876,2274,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,10301,ND,0,5141,ND,ND,ND,ND
1969,ND,146406,136233,7605,2568,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,11015,ND,0,5807,ND,ND,ND,ND
1970,ND,161951,150735,8354,2862,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,11901,ND,0,6443,ND,ND,ND,ND
1971,ND,182710,170504,9063,3143,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,12475,ND,0,7319,ND,ND,ND,ND
1972,ND,206067,192051,10558,3458,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,13242,ND,0,8155,ND,ND,ND,ND
1973,ND,237706,221222,12517,3967,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,400,ND,13854,ND,0,8882,ND,ND,ND,ND
1974,ND,277605,256555,16435,4615,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,1300,ND,14465,ND,0,10027,ND,ND,ND,ND
1975,ND,294864,270548,19180,5136,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,2700,ND,14987,ND,0,10520,ND,ND,ND,ND
1976,ND,317621,290048,21838,5735,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,4700,ND,15548,ND,0,10681,ND,ND,ND,ND
1977,ND,355412,324498,24480,6434,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,8100,ND,16308,ND,0,11055,ND,ND,ND,ND
1978,ND,402009,366634,27912,7463,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,10700,ND,17140,ND,0,11838,ND,ND,ND,ND
1979,ND,463101,422726,31525,8850,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,13600,ND,17599,ND,0,12583,ND,ND,ND,ND
1980,ND,517100,470561,36150,10389,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,16700,ND,18241,ND,0,13757,ND,ND,ND,ND
1981,ND,563029,510891,40085,12053,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,21100,ND,19036,ND,0,14723,ND,ND,ND,ND
1982,ND,598342,542267,42670,13405,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,29600,ND,20897,ND,0,15550,ND,ND,ND,ND
1983,ND,629853,569947,45262,14644,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,41000,ND,28392,ND,133,17981,ND,ND,ND,ND
1984,ND,671331,607533,48100,15698,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,51171,ND,35304,ND,170,21111,ND,ND,ND,ND
1985,ND,708192,641067,50419,16706,ND,ND,ND,1504,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,81334,ND,38516,ND,221,24224,ND,ND,ND,ND
1986,ND,750857,678499,54289,18069,ND,ND,ND,1642,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,78372,ND,43175,ND,263,26486,ND,ND,ND,ND
1987,1339942,791322,712566,58601,20155,548620,16434,87560,1470,54098,36223,17875,22589,482,0,22107,165758,51818,148893,0,148893,305842,78073,76252,53665,22253,334,43105,108412,1034100,101207,447413
1988,1435206,845957,759640,63306,23011,589249,16937,74570,1718,62685,41697,20988,24067,416,0,23651,186281,54690,168301,0,168301,322239,79564,82429,58236,23868,325,45709,114537,1112967,112901,476348
1989,1584947,897781,803204,68558,26019,687166,15928,78707,1362,83698,55460,28238,26982,475,0,26507,230305,60666,189518,0,189518,366645,82715,92410,65445,26687,278,61944,129576,1218302,143552,543614
1990,1631713,898332,795082,74319,28931,733381,17224,81817,2787,90102,58116,31986,28425,666,0,27759,233425,66526,213075,0,213075,399170,85694,102493,72730,29218,545,73241,137742,1232543,146838,586543
1991,1720463,860626,749788,78767,32071,859837,21252,91220,3596,103466,65110,38356,29589,806,0,28783,280762,70666,259286,0,259286,448450,89511,114552,81470,32161,921,82286,162101,1272013,185442,674395
1992,1747249,819380,700974,82840,35566,927869,22363,92135,4689,111049,68704,42345,31297,886,0,30411,312820,73138,280378,0,280378,483006,91891,123721,88127,34862,733,86950,180444,1264243,190201,737668
1993,1847968,827606,704797,85114,37695,1020362,24082,98747,5003,121233,73164,48069,34226,999,0,33227,349454,77410,310207,0,310207,524381,92952,123666,98910,23960,796,94704,213059,1323587,209663,810699
1994,1962927,876777,748899,87566,40312,1086150,26765,102005,4905,123183,74928,48255,38900,897,0,38003,390979,81996,317417,0,317417,557420,96138,122657,98106,23613,938,99312,239313,1405507,216117,870033
1995,2219801,911032,778489,90118,42425,1308769,29601,102294,7240,150848,91634,59214,43623,968,0,42655,503269,85906,385988,0,385988,610696,96359,122488,97974,23690,824,109227,282622,1609105,258213,1050556
1996,2451920,969830,834039,91444,44347,1482090,31251,119016,11008,160409,96779,63630,50126,991,0,49135,604068,93198,413014,0,413014,671702,102440,126327,101031,24444,853,118300,324635,1780218,279190,1202900
1997,2875431,1152685,1010377,94611,47697,1722746,34195,131936,12676,196320,111370,84950,55593,1026,0,54567,701698,100702,489626,0,489626,736186,109571,130707,104535,25484,689,127924,367984,2139245,332888,1389858
1998,2966200,1267652,1112528,103614,51510,1698548,36815,132141,20755,162914,83663,79251,59287,1056,0,58231,714104,110562,461970,0,461970,570934,121329,143387,114679,28118,590,135448,170770,2395266,386429,1312119
1999,3221958,1352890,1182791,114288,55811,1869068,39255,141724,20872,185217,97566,87651,68012,1217,0,66795,793988,113446,506554,0,506554,603862,131742,147543,118007,28824,712,141348,183229,2618096,451792,1417276
2000,3432900,1514964,1327695,127343,59926,1917936,43863,149734,24210,214802,107698,107104,76401,1842,0,74559,742554,123558,542814,0,542814,670622,137501,161603,129255,31923,426,147396,224122,2762278,456319,1461617
2001,3421607,1522313,1320719,140201,61393,1899294,51183,151808,29152,223774,106481,117293,82889,1562,0,81327,676388,124458,559642,0,559642,762290,151328,174543,139607,34570,366,146796,289623,2659317,438084,1461210
2002,3570252,1668499,1449430,154827,64242,1901753,53671,161041,29611,213577,94155,119422,100445,1618,0,98827,638396,129198,575814,0,575814,845630,163897,186451,149131,36872,448,164120,331162,2724622,395267,1506486
2003,3934079,1759174,1522796,167565,68813,2174905,59799,168904,33560,225491,103665,121826,108181,1374,0,106807,805518,133538,639914,0,639914,885866,177703,193843,155043,38455,346,170664,343656,3048213,455912,1718993
2004,4440962,2073677,1817071,183824,72782,2367285,62711,183405,30763,228357,105222,123135,116476,1241,0,115235,896089,143170,706314,0,706314,940286,201269,199787,159799,39988,0,187044,352186,3500676,488631,1878654
2005,4929549,2373958,2099157,197724,77077,2555591,66399,194906,35342,225568,106655,118913,114362,1191,0,113171,956942,153042,809030,0,809030,995782,215981,209711,167739,41972,0,202748,367342,3933767,521240,2034351
2006,5624655,2674392,2378739,215065,80588,2950263,74095,221447,39901,240428,118316,122112,208944,1141,74840,132963,1131204,161146,873098,0,873098,1099650,232252,231779,185395,46384,0,219076,416543,4525005,617604,2332659
2007,5864953,2870872,2553242,231681,85949,2994081,79887,222074,60482,238351,110462,127889,226003,1128,82536,142339,1088392,171042,907850,0,907850,1186002,254959,247963,198343,49620,0,235940,447140,4678951,615636,2378445
2008,5127204,2646772,2297763,255136,93873,2480432,77623,222052,76820,232804,107695,125109,229506,1009,88922,139575,672229,178546,790852,0,790852,1262466,264595,245923,207075,38848,0,261168,490780,3864738,507557,1972875
2009,4862992,2068405,1697823,268585,101997,2794587,87103,228517,69963,269515,115189,154326,219506,879,82528,136099,835591,177738,906654,0,906654,1344166,272071,246967,197283,49684,0,301068,524060,3518826,560274,2234313
2010,5419825,2294835,1898901,284802,111132,3124990,97127,230678,66574,256869,97207,159662,206076,902,71327,133847,1004509,183802,1079355,0,1079355,1349882,270303,247035,198295,48740,0,273288,559256,4069943,606856,2518134
2011,5607886,2450775,2020763,307356,122656,3157111,104511,232154,60058,259358,95757,163601,191387,950,67074,123363,990853,198346,1120444,0,1120444,1427378,263172,254231,204095,50136,0,293128,616847,4180508,609254,2547857
2012,6037120,2577740,2116890,326848,134002,3459380,110683,250642,55074,253456,87687,165769,182117,1135,58023,122959,1159791,207382,1240235,0,1240235,1487530,248771,269519,212843,56676,0,296580,672660,4549590,658086,2801294
2013,6763378,2907772,2405766,354638,147368,3855606,121463,255774,58530,241205,81668,159537,186093,791,51839,133463,1412500,213042,1366999,0,1366999,1502842,235394,275807,221139,54668,0,294220,697421,5260536,743105,3112501
2014,7215501,3157875,2621393,380723,155759,4057626,134539,255088,69220,267706,105284,162422,179005,1123,47595,130287,1469595,240522,1441951,0,1441951,1609414,228949,291747,228319,63428,0,320752,767966,5606087,784909,3272717
2015,7464942,3387329,2816571,407721,163037,4077613,145847,248374,74614,267435,103327,164108,182136,841,44912,136383,1431419,240734,1487054,0,1487054,1690050,221053,302239,238731,63508,0,339420,827338,5774892,786175,3291438
2016,8003007,3631651,3024125,434808,172718,4371356,157515,250365,85835,280174,102025,178149,177181,1217,41309,134655,1573635,243918,1602733,0,1602733,1707538,217947,320171,252211,67960,0,348720,820700,6295469,840702,3530654
2017,8738429,3866399,3226406,457951,182042,4872030,166875,275771,87029,305201,114496,190705,178504,827,35150,142527,1811984,259930,1786736,0,1786736,1791706,219238,332795,259251,73544,0,354060,885613,6946723,947968,3924062
2018,8645449,3991791,3312319,485525,193947,4653658,163111,275606,96594,332092,139740,192352,170466,920,31275,138271,1630556,265466,1719767,0,1719767,1778746,217588,324415,255711,68704,0,362276,874467,6866703,929994,3723664
2019,9649873,4285169,3565533,514573,205063,5364704,218799,334777,113935,352214,140380,211834,172841,1354,27272,144215,1946618,264306,1961214,0,1961214,2050338,215713,451367,355403,95964,0,410824,972434,7599535,1037678,4327026
2020,10947268,4527533,3762127,543599,221807,6419735,271635,359424,140976,354509,129361,225148,175044,1319,24062,149663,2444467,302706,2370974,35330,2335644,2207182,206356,488715,389659,99007,49,438956,1073155,8740086,1182941,5201464
2021,12197264,5236472,4421158,581378,233936,6960792,295759,374664,148176,354213,128659,225554,172371,1351,22037,148983,2611827,341610,2662172,13211,2648961,2309462,205388,529887,419311,110576,0,466728,1107459,9887802,1289169,5658412
2022,12719614,5279032,4409607,624023,245402,7440582,334715,389850,174190,346246,123548,222698,171780,1458,18875,151447,2677916,373670,2972215,1132,2971083,2458150,204464,572660,450748,121912,0,498080,1182946,10261464,1346218,6093232
2023,13250914,5078025,4163018,656963,258044,8172889,371043,418929,181803,352426,119767,232659,173814,1506,18945,153363,2969675,409070,3296129,0,3296129,2592730,206669,598073,466137,131936,0,527700,1260288,10658184,1467423,6705466
2024,13926851,5046304,4077630,690510,278164,8880547,406211,419408,217144,355192,116348,238844,174429,1529,17869,155031,3246256,443942,3617965,0,3617965,2726626,214815,616710,474062,142648,0,557592,1337509,11200225,1585863,7294684
