1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,28267,28267,0,0,28267,6757,0,0,625,50,16872,0,28,225,3497,16,11,0,0,0,186,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33422,33422,0,0,33422,7274,0,0,710,100,19821,0,54,302,4943,25,16,0,0,0,177,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,103039,103039,0,0,103039,9336,0,0,2923,684,65758,0,156,686,20914,239,249,1249,0,0,845,0,ND,ND,ND,ND,ND,ND
1957:Q3,105397,105397,0,0,105397,9431,0,0,2974,739,67424,0,156,651,21203,255,271,1445,0,0,848,0,ND,ND,ND,ND,ND,ND
1957:Q4,107374,107374,0,0,107374,9490,0,0,3051,789,68831,0,157,592,21441,271,293,1636,0,0,823,0,ND,ND,ND,ND,ND,ND
1958:Q1,108975,108975,0,0,108975,9503,0,0,3103,837,69770,0,163,666,21688,288,316,1718,0,0,923,0,ND,ND,ND,ND,ND,ND
1958:Q2,111142,111142,0,0,111142,9686,0,0,3130,883,71720,0,172,631,21859,304,341,1394,0,0,1022,0,ND,ND,ND,ND,ND,ND
1958:Q3,114035,114035,0,0,114035,9761,0,0,3157,931,74149,0,181,665,22045,323,368,1333,0,0,1122,0,ND,ND,ND,ND,ND,ND
1958:Q4,117177,117177,0,0,117177,9889,0,0,3281,983,76501,0,185,619,22374,344,398,1381,0,0,1222,0,ND,ND,ND,ND,ND,ND
1959:Q1,119935,119935,0,0,119935,9865,0,0,3598,1040,78365,0,156,723,22607,369,428,1464,0,0,1320,0,ND,ND,ND,ND,ND,ND
1959:Q2,123346,123346,0,0,123346,9825,0,0,3931,1104,81129,0,126,730,22801,397,458,1574,0,0,1271,0,ND,ND,ND,ND,ND,ND
1959:Q3,127007,127007,0,0,127007,9616,0,0,4139,1167,84055,0,68,780,23120,428,493,1777,0,0,1364,0,ND,ND,ND,ND,ND,ND
1959:Q4,130099,130099,0,0,130099,9501,0,0,4206,1222,86298,0,65,752,23583,459,536,2040,0,0,1437,0,ND,ND,ND,ND,ND,ND
1960:Q1,132580,132580,0,0,132580,9558,0,0,4083,1269,87772,0,65,930,23986,493,589,2370,0,0,1465,0,ND,ND,ND,ND,ND,ND
1960:Q2,135366,135366,0,0,135366,9800,0,0,4093,1309,89739,0,66,906,24283,531,653,2600,0,0,1386,0,ND,ND,ND,ND,ND,ND
1960:Q3,138582,138582,0,0,138582,10000,0,0,4148,1347,92065,0,68,875,24525,569,720,2806,0,0,1459,0,ND,ND,ND,ND,ND,ND
1960:Q4,141378,141378,0,0,141378,10263,0,0,4235,1388,94001,0,70,853,24879,602,782,2901,0,0,1404,0,ND,ND,ND,ND,ND,ND
1961:Q1,143645,143645,0,0,143645,10661,0,0,4290,1433,95443,0,73,993,25110,632,842,2768,0,0,1400,0,ND,ND,ND,ND,ND,ND
1961:Q2,146603,146603,0,0,146603,10899,0,0,4336,1481,97998,0,76,926,25337,660,903,2520,0,0,1467,0,ND,ND,ND,ND,ND,ND
1961:Q3,150179,150179,0,0,150179,11114,0,0,4378,1527,100700,0,81,1015,25413,687,962,2604,0,0,1698,0,ND,ND,ND,ND,ND,ND
1961:Q4,154027,154027,0,0,154027,11242,0,0,4448,1564,103273,0,88,1083,25776,717,1015,2870,0,0,1951,0,ND,ND,ND,ND,ND,ND
1962:Q1,156488,156488,0,0,156488,11677,0,0,4506,1595,104939,0,98,1134,25825,749,1062,3020,0,0,1883,0,ND,ND,ND,ND,ND,ND
1962:Q2,160237,160237,0,0,160237,11920,0,0,4476,1620,108193,0,111,1095,25966,784,1106,2863,0,0,2103,0,ND,ND,ND,ND,ND,ND
1962:Q3,164345,164345,0,0,164345,12176,0,0,4463,1640,111588,0,124,1158,26059,820,1148,2840,0,0,2329,0,ND,ND,ND,ND,ND,ND
1962:Q4,168307,168307,0,0,168307,12568,0,0,4496,1656,114637,0,135,1227,26374,855,1190,2835,0,0,2334,0,ND,ND,ND,ND,ND,ND
