1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,76102,27469,21224,35031,29489,2427,27062,5658,-116,-13807,5421,-43,0,-41,0,0,715,51,562,0,102,0,921,14,907,10,0,685,2,0,2116,1057,19228,13402,4294,-6,0,4300,3113,697,416,2000,-37,2719,775,2538,5826,1000,66,4760,6245
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,64531,28321,22675,24384,27275,2390,24885,-2692,-199,-1709,4073,914,0,0,0,0,1962,85,1844,0,33,0,630,-6,636,14,0,617,3,0,-899,833,5783,3160,2899,-4,0,2903,66,-2026,210,1882,-17,-2,-2302,2516,2623,1212,63,1348,5646
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,81298,27758,21982,36064,30563,3052,27511,5770,-269,-14082,18412,1548,0,47,0,0,3218,-122,3173,0,167,0,1294,-1,1295,6,0,579,3,0,11039,678,32494,29029,1669,45,0,1624,7485,4598,602,2285,-69,9231,7255,3459,3464,1288,149,2027,5776
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,87374,31071,9485,43534,33896,2543,31353,9910,-272,-34049,8734,2143,0,34,0,0,922,-53,783,0,192,0,736,3,733,-2,0,467,5,0,3264,1165,42782,38953,3356,62,0,3294,8366,5023,723,2620,-22,-53,4476,22831,3829,2107,105,1617,21586
1952:Q1,20536,8449,5453,9854,8733,621,8112,1183,-61,-4401,-187,-1335,0,-7,0,0,-762,48,-791,0,-19,0,-783,1,-784,15,0,363,1,0,2198,123,4214,2242,1140,59,0,1081,286,-227,-3,516,12,-1306,-1725,3834,1973,573,44,1356,2996
1952:Q2,20336,8157,3468,8463,8905,642,8263,-381,-61,-4995,-99,1180,0,18,0,0,-1270,294,-1227,0,-337,0,742,1,741,23,0,561,2,0,-1343,-12,4896,4483,1446,-24,0,1470,695,-89,222,562,15,-2049,-2202,6578,414,664,55,-305,4689
1952:Q3,20799,8225,8733,9541,8211,632,7579,1394,-63,-808,5633,346,0,-4,0,0,452,-21,383,0,90,0,169,1,168,11,0,287,1,0,4153,218,6441,5544,1169,42,0,1127,1149,488,152,509,9,2719,628,-130,898,390,38,470,-508
1952:Q4,21325,8855,16113,10191,8939,674,8265,1319,-67,5922,2168,122,0,-23,0,0,648,-216,629,0,235,0,1126,1,1125,-18,0,-432,1,0,-242,986,-3754,-5323,1012,-15,0,1027,1834,1003,352,479,-12,1978,143,-10278,1569,693,-59,935,-7258
1953:Q1,21794,9020,12654,10283,9388,697,8691,973,-77,2371,-815,-3136,0,27,0,0,586,17,517,0,52,0,-891,1,-892,15,0,359,2,0,2015,208,-3186,-4129,799,39,0,760,770,-22,340,452,18,-826,-1374,-3516,943,518,68,357,-3634
1953:Q2,21689,8702,18168,10355,9542,699,8843,894,-82,7813,577,2048,0,-28,0,0,-1660,-18,-1710,0,68,0,477,1,476,16,0,407,0,0,-850,167,-7236,-7373,940,-73,0,1013,461,-197,83,575,6,417,-806,-8391,137,545,20,-428,-9466
1953:Q3,21182,8620,12760,10284,9785,675,9110,583,-84,2476,4121,114,0,11,0,0,1886,20,1778,0,88,0,-88,0,-88,14,0,352,3,0,1542,287,1645,1049,580,50,0,530,938,426,54,458,17,1117,2198,-3801,596,315,65,216,-4140
1953:Q4,18934,8070,-9771,9084,9672,665,9007,-502,-86,-18855,-255,687,0,29,0,0,982,-10,1008,0,-16,0,890,0,890,-19,0,-466,2,0,-3157,797,18600,15599,1267,55,0,1212,-984,-1279,-232,527,-8,-619,587,15356,3000,388,-74,2686,17841
1954:Q1,19722,8698,-3489,8810,9381,659,8722,-492,-79,-12299,-3596,-2785,50,1,0,0,-1287,108,-1353,0,-42,0,-1197,0,-1197,12,0,284,1,0,1122,203,8703,8383,900,123,0,777,460,-236,240,456,14,-1286,-3646,11941,320,737,56,-473,12186
1954:Q2,19861,9097,-6939,8458,9387,705,8682,-845,-84,-15397,-588,1772,50,13,0,0,-3028,26,-3013,0,-41,0,482,0,482,16,0,393,1,0,-326,39,14809,15300,894,-41,0,935,196,-406,-82,684,20,398,-3016,16808,-490,522,73,-1085,16036
1954:Q3,20473,9318,-10833,8994,9611,758,8853,-523,-94,-19827,5838,1545,50,22,0,0,1529,-38,1492,0,75,0,-122,0,-122,9,0,200,2,0,2458,145,25665,26106,1375,100,0,1275,617,93,-70,594,17,2172,1839,20086,-441,228,72,-741,20151
1954:Q4,21085,9894,3807,9473,9660,802,8858,-79,-109,-5666,4475,1672,50,8,0,0,1123,-9,1157,0,-25,0,1184,1,1183,-13,0,-302,2,0,72,679,10141,9042,495,-53,0,548,1212,120,304,788,-42,2486,1604,3287,1099,96,-131,1134,6087
1955:Q1,22726,10540,4446,10620,9804,844,8959,951,-135,-6173,1343,-1435,-25,-11,0,0,253,-10,20,150,93,0,-1151,3,-1154,12,0,283,2,0,3181,234,7516,7076,477,-31,0,508,1087,348,-27,766,19,200,-1831,7124,440,531,78,-169,6094
1955:Q2,23057,10866,-13319,11431,10426,869,9557,1155,-150,-24750,2809,1011,-25,-20,0,0,-640,71,-755,50,-6,0,682,4,678,18,0,488,2,0,1098,195,27559,28816,604,-120,0,724,2766,1388,292,1086,24,2039,-910,24293,-1257,160,86,-1503,24185
1955:Q3,23430,10750,-6567,11959,11047,855,10192,1074,-162,-18526,7514,614,-25,-4,0,0,1924,-107,1831,50,150,0,73,4,69,14,0,349,4,0,4416,149,26040,26341,465,-9,0,474,2210,1321,-49,938,18,4510,3222,15916,-301,278,69,-648,17317
