1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1221,409,0,100,0,100,0,0,0,712,0,405,405,0,0,0,307,0,0,0,1158,0,0,1075,0,0,83,0
1952:Q1,1252,415,0,102,0,102,0,0,0,735,0,357,357,0,0,0,378,0,0,0,1185,0,0,1095,0,0,90,0
1952:Q2,1362,436,0,103,0,103,0,0,0,823,0,404,404,0,0,0,419,0,0,0,1292,0,0,1193,0,0,99,0
1952:Q3,1440,441,0,104,0,104,0,0,0,895,0,360,360,0,0,0,535,0,0,0,1367,0,0,1258,0,0,109,0
1952:Q4,1547,491,0,107,0,106,1,0,0,949,0,390,390,0,0,0,559,0,0,0,1470,0,0,1351,0,0,119,0
1953:Q1,1597,474,0,108,0,107,1,0,0,1015,0,395,395,0,0,0,620,0,0,0,1513,0,0,1387,0,0,126,0
1953:Q2,1749,521,0,109,0,108,1,0,0,1119,0,428,428,0,0,0,691,0,0,0,1660,0,0,1523,0,0,137,0
1953:Q3,1839,521,0,110,0,109,1,0,0,1208,0,386,386,0,0,0,822,0,0,0,1743,0,0,1595,0,0,148,0
1953:Q4,1954,581,0,113,0,112,1,0,0,1260,0,383,383,0,0,0,877,0,0,0,1851,0,0,1688,0,0,163,0
1954:Q1,2012,610,0,115,0,114,1,0,0,1287,0,361,361,0,0,0,926,0,0,0,1905,0,0,1724,0,0,181,0
1954:Q2,2140,648,0,117,0,116,1,0,0,1375,0,456,456,0,0,0,919,0,0,0,2030,0,0,1830,0,0,200,0
1954:Q3,2258,690,0,119,0,118,1,0,0,1449,0,416,416,0,0,0,1033,0,0,0,2144,0,0,1926,0,0,218,0
1954:Q4,2393,782,0,121,0,120,1,0,0,1490,0,407,407,0,0,0,1083,0,0,0,2276,0,0,2037,0,0,239,0
1955:Q1,2446,781,0,124,0,123,1,0,0,1541,0,505,505,0,0,0,1036,0,0,0,2319,0,0,2066,0,0,253,0
1955:Q2,2604,811,0,128,0,127,1,0,0,1665,0,543,543,0,0,0,1122,0,0,0,2469,0,0,2198,0,0,271,0
1955:Q3,2753,839,0,132,0,131,1,0,0,1782,0,526,526,0,0,0,1256,0,0,0,2608,0,0,2318,0,0,290,0
1955:Q4,2912,924,0,136,0,135,1,0,0,1852,0,524,524,0,0,0,1328,0,0,0,2757,0,0,2446,0,0,311,0
1956:Q1,3041,993,0,140,0,139,1,0,0,1908,0,522,522,0,0,0,1386,0,0,0,2878,0,0,2544,0,0,334,0
1956:Q2,3186,1009,0,144,0,143,1,0,0,2033,0,649,649,0,0,0,1384,0,0,0,3014,0,0,2657,0,0,357,0
1956:Q3,3305,1007,0,148,0,147,1,0,0,2150,0,596,596,0,0,0,1554,0,0,0,3123,0,0,2742,0,0,381,0
1956:Q4,3512,1117,0,151,0,150,1,0,0,2244,0,593,593,0,0,0,1651,0,0,0,3321,0,0,2914,0,0,407,0
1957:Q1,3643,1178,0,155,0,154,1,0,0,2310,0,678,678,0,0,0,1632,0,0,0,3442,0,0,3009,0,0,433,0
1957:Q2,3791,1170,0,159,0,158,1,0,0,2462,0,686,686,0,0,0,1776,0,0,0,3580,0,0,3119,0,0,461,0
1957:Q3,3918,1145,0,163,0,162,1,0,0,2610,0,651,651,0,0,0,1959,0,0,0,3695,0,0,3204,0,0,491,0
1957:Q4,4141,1281,0,166,0,165,1,0,0,2694,0,592,592,0,0,0,2102,0,0,0,3908,0,0,3381,0,0,527,0
1958:Q1,4285,1433,0,170,0,169,1,0,0,2682,0,666,666,0,0,0,2016,0,0,0,4045,0,0,3480,0,0,565,0
1958:Q2,4441,1480,0,174,0,173,1,0,0,2787,0,631,631,0,0,0,2156,0,0,0,4193,0,0,3592,0,0,601,0
1958:Q3,4572,1519,0,178,0,177,1,0,0,2875,0,665,665,0,0,0,2210,0,0,0,4315,0,0,3679,0,0,636,0
1958:Q4,4807,1665,0,181,0,180,1,0,0,2961,0,619,619,0,0,0,2342,0,0,0,4543,0,0,3869,0,0,674,0
1959:Q1,4967,1756,0,184,0,183,1,0,0,3027,0,723,723,0,0,0,2304,0,0,0,4689,0,9,3976,0,0,704,0
1959:Q2,5142,1721,0,186,0,185,1,0,0,3235,0,730,730,0,0,0,2505,0,0,0,4850,0,10,4106,0,0,734,0
1959:Q3,5291,1641,0,188,0,187,1,0,0,3462,0,780,780,0,0,0,2682,0,0,0,4984,0,10,4210,0,0,764,0
1959:Q4,5561,1745,0,191,0,190,1,0,0,3625,0,752,752,0,0,0,2873,0,0,0,5239,0,10,4431,0,0,798,0
1960:Q1,5716,1783,0,193,0,192,1,0,0,3740,0,930,930,0,0,0,2810,0,0,0,5382,0,11,4537,0,0,834,0
1960:Q2,5887,1693,0,195,0,194,1,0,0,3999,0,906,906,0,0,0,3093,0,0,0,5541,0,11,4661,0,0,869,0
1960:Q3,6010,1633,0,197,0,196,1,0,0,4180,0,875,875,0,0,0,3305,0,0,0,5650,0,11,4742,0,0,897,0
1960:Q4,6277,1776,0,201,0,200,1,0,0,4300,0,853,853,0,0,0,3447,0,0,0,5906,0,12,4969,0,0,925,0
1961:Q1,6442,1945,0,205,0,204,1,0,0,4292,0,993,993,0,0,0,3299,0,0,0,6060,0,12,5094,0,0,954,0
1961:Q2,6627,1943,0,210,0,209,1,0,0,4474,0,926,926,0,0,0,3548,0,0,0,6234,0,12,5239,0,0,983,0
1961:Q3,6778,1967,0,215,0,214,1,0,0,4596,0,1015,1015,0,0,0,3581,0,0,0,6373,0,12,5352,0,0,1009,0
1961:Q4,7087,2156,0,221,0,220,1,0,0,4710,0,1083,1083,0,0,0,3627,0,0,0,6672,0,13,5626,0,0,1033,0
1962:Q1,7284,2350,0,226,0,225,1,0,0,4708,0,1134,1134,0,0,0,3574,0,0,0,6852,0,13,5789,0,0,1050,0
1962:Q2,7454,2240,0,230,0,229,1,0,0,4984,0,1095,1095,0,0,0,3889,0,0,0,7004,0,14,5925,0,0,1065,0
1962:Q3,7592,2179,0,235,0,234,1,0,0,5178,0,1158,1158,0,0,0,4020,0,0,0,7122,0,14,6034,0,0,1074,0
1962:Q4,7900,2329,0,241,0,240,1,0,0,5330,0,1227,1227,0,0,0,4103,0,0,0,7413,0,15,6316,0,0,1082,0
1963:Q1,8109,2504,0,251,0,249,2,0,0,5354,0,1327,1327,0,0,0,4027,0,0,0,7605,0,15,6503,0,0,1087,0
1963:Q2,8300,2364,0,263,0,260,3,0,0,5673,0,1321,1321,0,0,0,4352,0,0,0,7777,0,16,6675,0,0,1086,0
1963:Q3,8457,2309,0,275,0,271,4,0,0,5873,0,1395,1395,0,0,0,4478,0,0,0,7915,0,16,6815,0,0,1084,0
1963:Q4,8807,2493,0,286,0,280,6,0,0,6028,0,1482,1482,0,0,0,4546,0,0,0,8248,0,17,7148,0,0,1083,0
1964:Q1,9017,2641,0,294,0,286,8,0,0,6082,0,1486,1486,0,0,0,4596,0,0,0,8429,0,17,7340,0,0,1072,0
1964:Q2,9314,2585,0,300,0,290,10,0,0,6429,0,1428,1428,0,0,0,5001,0,0,0,8698,0,18,7617,0,0,1063,0
1964:Q3,9529,2523,0,306,0,293,13,0,0,6700,0,1485,1485,0,0,0,5215,0,0,0,8882,0,18,7810,0,0,1054,0
1964:Q4,9949,2751,0,311,0,295,16,0,0,6887,0,1450,1450,0,0,0,5437,0,0,0,9272,0,19,8206,0,0,1047,0
1965:Q1,10144,2834,0,316,0,297,19,0,0,6994,0,1589,1589,0,0,0,5405,0,0,0,9437,0,19,8379,0,0,1039,0
1965:Q2,10414,2643,0,318,0,298,20,0,0,7453,0,1586,1586,0,0,0,5867,0,0,0,9676,0,20,8624,0,0,1032,0
1965:Q3,10590,2562,0,323,0,299,24,0,0,7705,0,1505,1505,0,0,0,6200,0,0,0,9819,0,20,8776,0,0,1023,0
1965:Q4,11039,2797,0,338,0,303,35,0,0,7904,0,1426,1426,0,0,0,6478,0,0,0,10238,0,21,9199,0,0,1018,0
1966:Q1,11237,2895,0,363,0,308,55,0,0,7979,0,1672,1672,0,0,0,6307,0,0,0,10404,0,22,9369,0,0,1013,0
1966:Q2,11502,2718,0,399,0,315,84,0,0,8385,0,1623,1623,0,0,0,6762,0,0,0,10637,0,22,9604,0,0,1011,0
1966:Q3,11626,2510,0,437,0,322,115,0,0,8679,0,1502,1502,0,0,0,7177,0,0,0,10724,0,23,9697,0,0,1004,0
1966:Q4,12007,2652,0,467,0,327,140,0,0,8888,0,1434,1434,0,0,0,7454,0,0,0,11073,0,23,10048,0,0,1002,0
1967:Q1,12214,2858,0,490,0,329,161,0,0,8866,0,1435,1435,0,0,0,7431,0,0,0,11253,0,24,10225,0,0,1004,0
1967:Q2,12567,2809,0,507,0,328,179,0,0,9251,0,1428,1428,0,0,0,7823,0,0,0,11582,0,24,10549,0,0,1009,0
1967:Q3,12749,2735,0,525,0,328,197,0,0,9489,0,1425,1425,0,0,0,8064,0,0,0,11736,0,25,10702,0,0,1009,0
1967:Q4,13154,2934,0,549,0,331,218,0,0,9671,0,1384,1384,0,0,0,8287,0,0,0,12116,0,26,11077,0,0,1013,0
1968:Q1,13428,3132,0,582,0,334,248,0,0,9714,0,1319,1319,0,0,0,8395,0,0,0,12360,0,26,11322,0,0,1012,0
1968:Q2,13851,3003,0,617,0,334,283,0,0,10231,0,1311,1311,0,0,0,8920,0,0,0,12754,0,27,11715,0,0,1012,0
1968:Q3,13992,2695,0,659,0,339,320,0,0,10638,0,1279,1279,0,0,0,9359,0,0,0,12860,0,27,11825,0,0,1008,0
1968:Q4,14485,2766,0,712,0,357,355,0,0,11007,0,1276,1276,0,0,0,9731,0,0,0,13324,0,29,12283,0,0,1012,0
1969:Q1,14879,2876,0,778,0,390,388,0,0,11225,0,1259,1259,0,0,0,9966,0,0,0,13683,0,29,12642,0,0,1012,0
1969:Q2,15292,2476,0,858,0,441,417,0,0,11958,0,1182,1182,0,0,0,10776,0,0,0,14061,0,30,13016,0,0,1015,0
1969:Q3,15526,2135,0,943,0,492,451,0,0,12448,0,1087,1087,0,0,0,11361,0,0,0,14253,0,31,13207,0,0,1015,0
1969:Q4,16073,2286,0,1028,0,527,501,0,0,12759,0,1055,1055,0,0,0,11704,0,0,0,14765,0,32,13708,0,0,1025,0
1970:Q1,16494,2674,0,1114,0,546,568,0,0,12706,0,745,745,0,0,0,11961,0,0,0,15151,0,33,14081,0,0,1037,0
1970:Q2,17038,2584,0,1206,0,553,653,0,0,13248,0,764,764,0,0,0,12484,0,0,0,15660,0,34,14573,0,0,1053,0
1970:Q3,17321,2354,0,1295,0,555,740,0,0,13672,0,784,784,0,0,0,12888,0,0,0,15902,0,34,14804,0,0,1064,0
1970:Q4,18023,2866,0,1371,0,558,813,0,0,13786,0,800,800,0,0,0,12986,0,0,0,16570,0,36,15450,0,0,1084,0
1971:Q1,18848,3605,0,1430,0,562,868,0,0,13813,0,813,813,0,0,0,13000,0,0,0,17349,0,38,16223,0,0,1088,0
1971:Q2,19735,3754,0,1468,0,566,902,0,0,14513,0,824,824,0,0,0,13689,0,0,0,18188,0,40,17059,0,0,1089,0
1971:Q3,20273,3617,0,1511,0,567,944,0,0,15145,0,835,835,0,0,0,14310,0,0,0,18668,0,41,17545,0,0,1082,0
1971:Q4,21099,3895,0,1587,0,564,1023,0,0,15617,0,847,847,0,0,0,14770,0,0,0,19441,0,43,18315,0,0,1083,0
1972:Q1,22132,4647,0,1694,0,554,1140,0,0,15791,0,881,881,0,0,0,14910,0,0,0,20419,0,45,19288,0,0,1086,0
1972:Q2,23081,4313,0,1831,0,533,1298,0,0,16937,0,927,927,0,0,0,16010,0,0,0,21308,0,47,20173,0,0,1088,0
1972:Q3,23622,4200,0,1977,0,517,1460,0,0,17445,0,972,972,0,0,0,16473,0,0,0,21777,0,48,20648,0,0,1081,0
1972:Q4,24620,4548,0,2108,0,518,1590,0,0,17964,0,1000,1000,0,0,0,16964,0,0,0,22710,0,50,21576,0,0,1084,0
1973:Q1,25831,5137,0,2229,0,641,1588,0,0,18465,0,1155,1155,0,0,0,17310,0,0,0,23891,0,53,22716,0,0,1122,0
1973:Q2,27092,5086,0,2353,0,690,1663,0,0,19653,0,1264,1264,0,0,0,18389,0,0,0,25120,0,56,23902,0,0,1162,0
1973:Q3,27202,4124,0,2473,0,740,1733,0,0,20605,0,1369,1369,0,0,0,19236,0,0,0,25174,0,56,23937,0,0,1181,0
1973:Q4,27799,4140,0,2585,0,777,1808,0,0,21074,0,1441,1441,0,0,0,19633,0,0,0,25724,0,57,24455,0,0,1212,0
1974:Q1,28937,5257,0,2677,0,798,1879,0,0,21003,0,1476,1476,0,0,0,19527,0,0,0,26884,0,59,25510,0,0,1315,0
1974:Q2,30114,5456,0,2738,0,802,1936,0,0,21920,0,1471,1471,0,0,0,20449,0,0,0,28084,0,62,26599,0,0,1423,0
1974:Q3,30234,4314,0,2819,0,811,2008,0,0,23101,0,1470,1470,0,0,0,21631,0,0,0,28206,0,62,26634,0,0,1510,0
1974:Q4,31136,4755,0,2973,0,848,2125,0,0,23408,0,1513,1513,0,0,0,21895,0,0,0,29125,0,64,27454,0,0,1607,0
1975:Q1,32990,6225,0,3201,0,912,2289,0,0,23564,0,1605,1605,0,0,0,21959,0,0,0,30934,0,68,29237,0,0,1629,0
1975:Q2,34845,6715,0,3508,0,1004,2504,0,0,24622,0,1744,1744,0,0,0,22878,0,0,0,32741,0,72,31027,0,0,1642,0
1975:Q3,35585,5185,0,3826,0,1100,2726,0,0,26574,0,1887,1887,0,0,0,24687,0,0,0,33409,0,74,31704,0,0,1631,0
1975:Q4,36887,5140,0,4088,0,1177,2911,0,0,27659,0,1993,1993,0,0,0,25666,0,0,0,34647,0,76,32937,0,0,1634,0
1976:Q1,38926,6153,0,4287,0,1232,3055,0,0,28486,0,2119,2119,0,0,0,26367,0,0,0,36627,0,133,34831,0,0,1663,0
1976:Q2,40754,5741,0,4448,0,1275,3173,0,0,30565,0,2251,2251,0,0,0,28314,0,0,0,38389,0,180,36513,0,0,1696,0
1976:Q3,41635,4484,0,4588,0,1310,3278,0,0,32563,0,2381,2381,0,0,0,30182,0,0,0,39182,0,231,37233,0,0,1718,0
1976:Q4,43293,4898,0,4726,0,1343,3383,0,0,33669,0,2500,2500,0,0,0,31169,0,0,0,40764,0,283,38722,0,0,1759,0
1977:Q1,45756,6254,0,4862,0,1378,3484,0,0,34640,0,2590,2590,0,0,0,32050,0,0,0,43296,0,362,40992,0,0,1942,0
1977:Q2,47933,5932,0,4993,0,1419,3574,0,0,37008,0,2656,2656,0,0,0,34352,0,0,0,45537,0,458,42956,0,0,2123,0
1977:Q3,49545,5345,0,5106,0,1443,3663,0,0,39094,0,2721,2721,0,0,0,36373,0,0,0,47200,0,553,44351,0,0,2296,0
1977:Q4,51465,5876,0,5184,0,1424,3760,0,0,40405,0,2800,2800,0,0,0,37605,0,0,0,49178,0,638,46058,0,0,2482,0
1978:Q1,54424,7422,0,5131,0,1254,3877,0,0,41639,0,2915,2915,0,0,0,38724,0,0,232,52080,0,747,48771,0,0,2562,24
1978:Q2,56709,6099,0,4839,0,1023,3816,0,0,44988,0,3052,3052,0,0,0,41936,0,0,783,54291,0,902,50756,0,0,2633,60
1978:Q3,57586,5137,0,4640,0,895,3745,0,0,46569,0,2702,2702,0,0,0,43867,0,0,1240,55062,0,980,51414,0,0,2668,92
1978:Q4,58369,4537,0,4353,0,727,3626,0,0,47684,0,2512,2512,0,0,0,45172,0,0,1795,55731,0,1079,51969,0,0,2683,128
1979:Q1,60451,5922,0,4229,0,772,3457,0,0,48154,0,2641,2641,0,0,0,45513,0,0,2146,57783,0,1168,53849,0,0,2766,164
1979:Q2,62590,6803,0,4099,0,863,3236,0,0,49166,0,2632,2632,0,0,0,46534,0,0,2522,59892,0,1337,55724,0,0,2831,200
1979:Q3,63797,6412,0,3909,0,887,3022,0,0,50499,0,2499,2499,0,0,0,48000,0,0,2977,61049,0,1441,56751,0,0,2857,236
1979:Q4,63125,5760,0,3283,0,625,2658,0,0,50490,0,3102,3102,0,0,0,47388,0,0,3592,60287,0,1456,56003,0,0,2828,272
1980:Q1,63300,5445,158,2724,0,599,2125,0,0,50200,0,4477,4477,0,0,0,45723,0,0,4773,60441,0,1714,54086,0,0,4641,308
1980:Q2,65300,7985,332,3640,0,801,2839,0,0,47700,0,4732,4732,0,0,0,42968,0,0,5643,62456,0,1921,55879,0,0,4656,344
1980:Q3,67600,8808,488,4243,0,933,3310,0,0,48000,0,4432,4432,0,0,0,43568,0,0,6061,64777,0,2316,58684,0,0,3777,380
1980:Q4,69000,8270,732,4267,0,939,3328,0,0,48700,0,4645,4645,0,0,0,44055,0,0,7031,66180,0,3288,58412,0,0,4480,471
1981:Q1,70200,9164,1273,4424,0,973,3451,0,0,48900,0,4505,4505,0,0,0,44395,0,0,6439,67331,0,3424,59576,0,0,4331,493
1981:Q2,70800,8522,1805,4353,0,957,3396,0,0,50200,0,4136,4136,0,0,0,46064,0,0,5920,67869,0,3653,60347,0,0,3869,516
1981:Q3,71400,7456,2007,3932,0,865,3067,0,0,51200,0,3828,3828,0,0,0,47372,0,0,6805,68405,0,3716,59984,0,0,4705,515
1981:Q4,72300,8709,2397,4611,0,1014,3597,0,0,50400,0,3686,3686,0,0,0,46714,0,0,6183,69246,0,3881,60719,0,0,4646,552
1982:Q1,75100,12577,2532,5124,0,1127,3997,0,0,49700,0,3125,3125,0,0,0,46575,0,0,5167,71849,0,4165,63435,0,0,4249,688
1982:Q2,77700,12903,2805,5471,0,1203,4268,0,0,50100,0,3082,3082,0,0,0,47018,0,0,6421,74234,0,4579,65321,0,0,4334,757
1982:Q3,79600,14066,3032,4938,0,1086,3852,0,0,51300,0,3099,3099,0,0,0,48201,0,0,6264,75890,0,4915,66685,0,0,4290,796
1982:Q4,82700,16330,3186,5802,0,1276,4526,0,0,51500,0,2686,2686,0,0,0,48814,0,0,5882,78754,0,5719,69081,0,0,3954,714
1983:Q1,88200,21954,2883,5934,0,1543,4391,0,0,51600,0,2765,2765,0,0,0,48835,0,0,5829,84197,0,6425,73575,0,0,4197,646
1983:Q2,93200,21717,3309,9398,0,2913,6485,0,0,54200,0,3535,3535,0,0,0,50665,0,0,4576,89124,0,7190,77610,0,0,4324,628
1983:Q3,95800,17933,3813,10710,0,3213,7497,0,0,57500,0,4051,4051,0,0,0,53449,0,0,5844,91599,0,7627,79573,0,0,4399,677
1983:Q4,98300,18376,4270,8947,0,2684,6263,0,0,60500,0,4381,4381,0,0,0,56119,0,0,6207,93966,0,7996,81704,0,0,4266,693
1984:Q1,104800,19544,5549,9794,119,3294,6381,0,0,64000,0,5538,5538,0,0,0,58462,0,0,5913,100315,0,8243,87757,0,0,4315,742
1984:Q2,110500,20232,5075,10791,181,3813,6797,0,0,68400,0,6398,6398,0,0,0,62002,0,0,6002,105776,0,8784,92416,0,0,4576,626
1984:Q3,112000,18857,4420,11021,153,4105,6763,0,0,72000,0,7020,7020,0,0,0,64980,0,0,5702,106995,0,9281,93219,0,0,4495,710
1984:Q4,113000,17584,4614,9633,62,3711,5860,0,0,75400,0,7534,7534,0,0,0,67866,0,0,5769,107725,0,9495,93105,0,0,5125,814
1985:Q1,120100,19676,6017,11213,153,4925,6135,0,0,76700,0,7788,7788,0,0,0,68912,0,0,6494,114547,0,10135,99365,0,0,5047,894
1985:Q2,127500,21244,7614,12295,126,5642,6527,0,0,79800,0,8821,8821,0,0,0,70979,0,0,6547,121655,0,11182,105918,0,0,4555,967
1985:Q3,133300,21611,7927,13242,192,5950,7100,0,0,82900,0,10041,10041,0,0,0,72859,0,0,7620,127148,0,11791,110909,0,0,4448,1034
1985:Q4,137200,23256,8356,13321,176,6153,6992,0,0,85100,0,11086,11086,0,0,0,74014,0,0,7167,130700,0,12641,112859,0,0,5200,1158
1986:Q1,145000,26519,10910,13876,151,6336,7389,0,0,85700,0,13622,13622,0,0,0,72078,0,0,7995,138172,0,12400,120700,0,0,5072,1223
1986:Q2,153600,29021,12044,15019,148,7198,7673,0,0,88500,0,15128,15128,0,0,0,73372,0,0,9016,146446,0,12219,129481,0,0,4746,1249
1986:Q3,160700,30794,11500,16249,100,7757,8392,0,0,92800,0,17255,17255,0,0,0,75545,0,0,9357,153247,0,12600,135100,0,0,5547,1416
1986:Q4,166100,31007,10867,17486,744,7959,8783,0,0,96400,0,19325,19325,0,0,0,77075,0,0,10340,158365,0,13036,139664,0,0,5665,1820
1987:Q1,175300,33386,14002,19025,157,9208,9660,0,0,96700,0,22046,22046,0,0,0,74654,0,0,12187,167244,0,13500,147900,0,0,5844,1584
1987:Q2,181300,35303,11848,20766,198,10014,10554,0,0,101300,0,24928,24928,0,0,0,76372,0,0,12083,172954,0,14194,153006,0,0,5754,1989
1987:Q3,181800,31721,9967,20633,204,10970,9459,0,0,107400,0,27623,27623,0,0,0,79777,0,0,12079,173144,0,14400,152100,0,0,6644,1747
1987:Q4,181800,31408,9234,20448,459,11186,8803,0,0,110900,0,29872,29872,0,0,0,81028,0,1752,8058,172943,0,14721,151279,0,0,6943,2082
1988:Q1,187900,34457,8587,20398,470,12458,7470,0,0,112600,0,31520,31520,0,0,0,81080,0,1700,10158,178719,0,14800,157000,0,0,6919,1966
1988:Q2,192700,32892,10549,21154,599,13487,7068,0,0,117200,0,34063,34063,0,0,0,83137,0,1642,9263,183228,0,14861,161639,0,0,6728,2761
1988:Q3,195500,29644,8883,21856,724,13874,7258,0,0,122900,0,36377,36377,0,0,0,86523,0,1500,10717,185719,0,15280,162420,0,0,8019,2192
1988:Q4,196200,28151,9369,22450,868,14440,7142,0,0,126400,0,38060,38060,0,0,0,88340,0,1366,8464,186104,0,15486,162914,0,0,7704,2454
1989:Q1,199600,28177,10342,22230,1270,13994,6966,0,0,127500,0,40753,40753,0,0,0,86747,0,1300,10051,188150,0,15800,165700,0,0,6650,2559
1989:Q2,199400,26534,9964,21648,1476,13327,6845,0,0,131200,0,42912,42912,0,0,0,88288,0,1210,8844,187733,0,16121,164979,0,0,6633,2462
1989:Q3,203100,25667,10921,20444,1046,12822,6576,0,0,135300,0,44352,44352,0,0,0,90948,0,1215,9553,191050,0,16470,167530,0,0,7050,4000
1989:Q4,205800,26047,12494,19499,1125,12115,6259,0,0,136500,17882,26964,26964,0,0,0,91654,0,1218,10042,194581,0,16812,170188,0,0,7581,5536
1990:Q1,213700,27346,16805,22006,1198,11243,9565,0,0,135300,17653,27613,27613,0,0,0,90034,0,1300,10943,201950,0,17575,177025,0,0,7350,4300
1990:Q2,218300,27966,16007,23241,1426,10289,11401,0,125,136900,17423,29117,29117,0,0,0,90360,0,1383,12803,206502,0,18345,180455,0,0,7702,3171
1990:Q3,220200,26693,14637,24137,1580,9337,12970,0,250,140000,17189,31183,31183,0,0,0,91628,1,1400,13332,207825,0,18330,181570,0,0,7925,3300
1990:Q4,221400,26476,14596,25278,2300,8546,14057,0,375,141300,16956,32747,32747,0,0,0,91597,2,1413,12335,208862,0,18321,182479,0,0,8062,3415
1991:Q1,228400,29889,16551,27978,2498,9191,15814,0,475,137900,16692,32733,32733,0,0,0,88475,3,1675,14404,215450,0,19450,187950,0,0,8050,3600
1991:Q2,235000,31045,14174,30491,2980,9575,17327,0,609,139400,16424,34456,34456,0,0,0,88520,4,1939,17947,221936,0,20562,193138,0,0,8236,3820
1991:Q3,239600,30821,11946,32725,2906,10127,18950,0,742,142000,16154,36624,36624,0,0,0,89222,6,2250,19852,226000,0,20550,196250,0,0,9200,4000
1991:Q4,244400,32078,13195,36264,2596,14075,18773,0,820,143100,15884,36914,36914,0,0,0,90302,8,2569,17186,230227,0,20547,200753,0,0,8927,4232
1992:Q1,255300,34997,13818,41451,2590,16400,21543,0,918,140500,15408,35619,35619,0,0,0,89473,10,3150,21374,240750,0,21600,210700,0,0,8450,4600
1992:Q2,260000,33975,12920,46183,3183,18431,23515,0,1054,142000,14931,38762,38762,0,0,0,88307,12,3721,21189,244532,0,22644,212956,0,0,8932,4963
1992:Q3,264000,32878,11603,49964,3263,19850,25681,0,1170,143500,14450,38344,38344,0,0,0,90706,15,3890,22150,247550,0,23800,214200,0,11,9539,5400
1992:Q4,269300,33551,13547,51552,2962,19938,27469,0,1183,145500,13968,39838,39838,0,0,0,91694,20,4060,21070,252105,0,25065,217835,0,46,9159,5803
