1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,1594,15,16,0,5,351,0,-55,5,401,32,220,0,955,0,22,924,9,1594
1957:Q3,1735,15,16,0,5,307,0,-52,8,351,33,231,0,1128,0,3,1111,14,1735
1957:Q4,1876,12,17,0,4,269,0,-55,24,300,36,245,0,1293,0,5,1273,15,1876
1958:Q1,1364,9,18,0,5,277,0,-38,23,292,36,256,0,763,0,15,739,9,1364
1958:Q2,1243,7,19,0,3,288,0,16,-24,296,36,266,0,624,0,21,598,5,1243
1958:Q3,1123,6,19,0,4,307,0,-1,4,304,40,281,0,466,0,26,436,4,1123
1958:Q4,1003,8,20,0,6,327,0,15,0,312,47,302,0,293,0,29,256,8,1003
1959:Q1,1361,9,21,0,7,206,0,19,16,171,54,340,0,724,0,15,692,17,1361
1959:Q2,1433,11,21,0,7,311,0,35,27,249,60,388,0,635,0,26,592,17,1433
1959:Q3,1504,11,22,0,9,282,0,48,13,221,65,304,0,811,0,10,776,25,1504
1959:Q4,1575,8,23,0,8,380,0,24,3,353,68,362,0,726,0,27,679,20,1575
1960:Q1,1232,3,24,0,10,269,0,-61,60,270,74,377,0,475,0,2,441,32,1232
1960:Q2,1138,-2,26,0,10,226,0,-60,28,258,82,392,0,404,0,23,352,29,1138
1960:Q3,1044,0,26,0,11,285,0,-37,-1,323,82,369,0,271,0,1,233,37,1044
1960:Q4,949,10,26,0,9,417,0,-3,-20,440,74,419,0,-7,0,40,-65,18,949
1961:Q1,805,22,28,0,9,104,0,2,-6,108,68,435,0,139,0,44,83,12,805
1961:Q2,691,33,29,0,7,318,0,17,-16,317,61,438,0,-196,0,17,-232,19,691
1961:Q3,577,34,31,0,7,217,0,1,9,207,61,457,0,-231,0,23,-271,17,577
1961:Q4,463,25,31,0,9,333,0,-4,22,315,69,477,0,-482,0,43,-539,14,463
1962:Q1,408,17,33,0,14,218,0,-3,34,187,74,371,32,-352,0,9,-406,45,408
1962:Q2,318,10,33,0,17,358,0,28,16,314,79,568,78,-826,0,-63,-849,86,318
1962:Q3,227,8,36,0,17,158,0,49,-2,111,81,371,51,-496,0,30,-577,51,227
1962:Q4,136,12,36,0,14,399,0,57,-21,363,82,448,18,-874,0,52,-956,30,136
1963:Q1,444,14,38,0,11,302,0,21,7,274,81,274,4,-280,0,35,-337,22,445
1963:Q2,513,14,39,0,5,345,0,20,2,323,78,502,-15,-455,0,31,-494,8,514
1963:Q3,582,17,41,0,8,357,0,-11,32,336,84,436,-11,-350,0,30,-395,15,583
1963:Q4,651,21,42,0,16,258,0,29,-5,234,101,524,7,-318,0,31,-395,46,652
1964:Q1,771,29,44,0,26,347,0,145,12,190,137,450,14,-276,0,45,-395,74,772
1964:Q2,861,48,46,0,36,308,0,-155,-10,473,149,454,37,-217,0,38,-368,113,862
1964:Q3,951,7,47,0,36,234,0,-3,-8,245,134,422,33,38,0,36,-117,118,951
1964:Q4,1040,35,49,0,30,538,0,40,89,409,138,445,38,-234,0,35,-361,92,1040
1965:Q1,1270,-140,52,0,23,425,0,146,-57,336,141,610,12,147,0,32,46,69,1271
1965:Q2,1415,-24,53,0,17,216,0,-150,0,366,256,602,19,276,0,6,211,59,1416
1965:Q3,1561,32,55,0,17,122,0,-189,21,290,123,657,-12,567,0,70,465,32,1562
1965:Q4,1707,181,57,0,22,284,0,61,18,205,87,630,-1,447,0,46,340,61,1708
1966:Q1,1996,16,60,0,26,794,0,-45,9,830,123,554,17,406,0,23,299,84,1998
1966:Q2,2200,-166,62,0,29,270,0,-76,8,338,83,787,27,1108,0,-3,1004,107,2202
1966:Q3,2403,-72,64,0,31,318,0,-20,-26,364,119,684,57,1202,0,-34,1111,125,2405
1966:Q4,2607,39,78,0,32,459,0,-35,3,491,201,758,0,1040,0,60,891,89,2609
1967:Q1,2482,66,64,0,33,205,0,-117,-11,333,80,862,-20,1192,0,104,1011,77,2484
1967:Q2,2554,15,75,0,36,-18,0,-112,-33,127,-15,1002,14,1445,0,27,1301,117,2556
1967:Q3,2628,43,78,0,35,289,0,-24,-21,334,83,874,0,1226,0,71,1056,99,2629
1967:Q4,2699,12,98,0,32,100,0,15,-20,105,24,912,25,1496,0,19,1369,108,2701
1968:Q1,2919,-23,65,0,30,488,0,165,17,306,8,795,78,1478,0,-27,1387,118,2922
1968:Q2,3051,79,89,0,28,13,0,-19,16,16,-41,918,-33,1998,0,123,1825,50,3054
1968:Q3,3184,33,96,0,26,152,0,-46,17,181,21,1007,8,1841,0,55,1713,73,3186
1968:Q4,3316,32,103,0,26,189,0,179,-3,13,-4,1137,30,1803,0,50,1679,74,3318
1969:Q1,3944,-10,63,0,26,-27,0,76,28,-131,12,1169,67,2644,0,-4,2556,92,3947
1969:Q2,4275,4,128,0,24,-114,0,-202,27,61,-10,954,69,3220,0,7,3130,83,4278
1969:Q3,4606,-5,96,0,23,471,0,-24,64,431,65,893,43,3020,0,-2,2936,86,4609
1969:Q4,4937,20,110,0,26,193,0,18,46,129,82,1290,50,3166,0,38,3052,76,4940
1970:Q1,4142,5,115,0,26,208,0,-76,-24,308,14,853,27,2894,0,10,2793,91,4145
1970:Q2,4022,-111,117,0,28,98,0,-73,64,107,-17,694,201,3012,0,-160,3011,161,4025
1970:Q3,3903,110,123,0,28,724,0,126,200,398,-20,776,-54,2216,0,170,2013,33,3906
1970:Q4,3783,78,115,0,29,620,0,-21,-10,651,-22,1102,2,1859,0,128,1676,55,3786
1971:Q1,3653,93,134,0,31,-564,0,101,-113,-552,-91,1433,-26,2643,0,146,2446,51,3656
1971:Q2,3530,6,104,0,31,-640,0,-193,-129,-318,-166,1770,82,2343,0,25,2215,103,3533
1971:Q3,3405,37,142,0,34,-342,0,32,-3,-371,-146,1841,105,1734,0,68,1574,92,3409
1971:Q4,3282,63,126,0,35,652,0,61,13,578,-110,1643,35,838,0,102,648,88,3286
1972:Q1,3912,108,129,0,153,595,185,311,197,-98,-326,2173,50,1030,0,151,391,488,3916
1972:Q2,4090,58,163,0,233,1204,291,-67,272,708,-199,2582,102,-53,0,76,-937,808,4094
1972:Q3,4267,106,177,0,241,1848,317,129,416,986,-268,2469,98,-404,0,111,-1339,824,4271
1972:Q4,4445,213,189,0,182,1088,260,569,263,-4,-137,1832,10,1068,0,185,305,578,4449
1973:Q1,4237,99,201,0,130,1637,209,258,406,764,-214,1259,244,881,0,-27,428,480,4241
1973:Q2,4260,127,181,0,88,916,167,214,148,387,-75,750,207,2066,0,-61,1785,342,4264
1973:Q3,4283,324,237,0,79,1590,177,525,140,748,-78,509,-79,1701,0,192,1302,207,4287
1973:Q4,4306,115,184,0,103,721,241,501,175,-196,15,534,238,2396,0,-129,2107,418,4310
1974:Q1,4830,149,221,0,115,849,285,548,47,-31,17,378,134,2967,0,94,2495,378,4832
1974:Q2,5052,236,228,0,120,1083,309,602,9,163,-16,35,187,3179,0,-73,2794,458,5054
1974:Q3,5275,253,242,0,129,2224,361,992,193,678,-9,163,501,1772,0,-259,1460,571,5277
1974:Q4,5498,273,332,0,147,2313,440,243,619,1011,4,760,-31,1700,0,211,1046,443,5500
1975:Q1,4641,260,285,0,170,3323,555,798,287,1683,37,1326,-107,-653,0,365,-1483,465,4642
1975:Q2,4432,289,348,0,364,2779,708,670,177,1224,-31,1398,-24,-691,0,401,-2243,1151,4433
1975:Q3,4223,268,361,0,467,2849,563,1035,63,1188,-12,1305,569,-1584,0,-5,-3261,1682,4224
1975:Q4,4014,217,330,0,304,2553,372,375,379,1427,17,1405,90,-902,0,234,-2138,1002,4015
1976:Q1,5174,217,339,0,39,2212,495,913,378,426,0,1585,90,692,0,300,373,19,5175
1976:Q2,5513,87,292,0,-245,2203,329,1198,293,383,0,1205,-57,2028,0,19,2896,-887,5514
1976:Q3,5853,-85,239,0,246,3,190,870,149,-1206,-10,883,193,4384,0,48,3470,866,5853
1976:Q4,6191,-109,288,0,350,113,117,1278,-345,-937,41,852,282,4374,0,98,3057,1219,6191
1977:Q1,5683,-11,350,0,583,651,112,-151,791,-101,6,1110,122,2872,0,10,770,2092,5683
1977:Q2,5683,68,389,0,16,2966,80,1563,422,901,119,1390,345,390,0,144,243,3,5683
1977:Q3,5683,127,417,0,468,1137,22,92,764,259,-53,1681,-200,2106,0,64,383,1659,5683
1977:Q4,5683,141,436,0,-86,3227,3,921,-85,2388,11,1622,55,277,0,111,521,-355,5683
1978:Q1,5682,109,503,0,551,768,22,127,-23,642,62,1788,40,1861,0,92,-179,1948,5683
1978:Q2,5682,87,529,0,-132,3771,-9,531,-38,3287,88,1717,272,-650,0,294,-351,-593,5683
1978:Q3,5683,88,487,0,352,2126,-97,-822,1210,1835,59,1698,-454,1327,0,369,-162,1119,5684
1978:Q4,5683,65,610,0,447,1535,-7,1567,-1009,984,15,1822,-351,1540,0,56,-103,1587,5684
1979:Q1,5680,23,565,0,318,2454,259,411,947,837,77,1893,600,-250,0,301,-1574,1023,5683
1979:Q2,5680,-18,504,0,237,4697,543,901,655,2598,-48,1943,48,-1683,0,201,-2658,774,5683
1979:Q3,5680,-47,549,0,42,5042,837,631,990,2584,218,2622,235,-2981,0,323,-3323,19,5683
1979:Q4,5680,-87,626,0,236,4048,902,169,433,2544,171,2885,11,-2210,0,101,-3119,808,5683
1980:Q1,14906,-136,496,0,211,5344,735,906,612,3091,52,3039,322,5578,0,44,4790,744,14910
1980:Q2,18598,-198,460,0,210,6322,630,1638,1313,2741,72,2547,996,8189,0,521,7123,545,18601
1980:Q3,22288,-274,436,0,296,5747,587,887,1108,3165,208,3336,183,12356,0,480,11002,874,22291
1980:Q4,25978,-285,692,0,-107,5472,529,1234,1480,2229,93,3168,-99,17044,0,325,17232,-513,25982
1981:Q1,15367,-231,581,0,-141,4400,453,853,1529,1565,184,3004,-297,7867,0,131,8295,-559,15371
1981:Q2,13337,-191,426,0,118,4731,900,893,2044,894,123,3047,-452,5535,0,56,5077,402,13341
1981:Q3,11305,-169,654,0,170,4317,864,159,2174,1120,7,3569,-1206,3963,0,-153,3444,672,11310
1981:Q4,9275,-145,803,0,-267,6317,767,8947,-4301,904,35,3222,-875,185,0,353,935,-1103,9280
1982:Q1,13415,-502,1648,0,-530,10962,-1518,7013,2889,2578,0,805,-143,1175,0,262,2927,-2014,13422
1982:Q2,13855,-106,1828,0,112,8463,-821,4504,2868,1912,1473,1550,536,-1,0,319,-596,276,13861
1982:Q3,14294,-249,1650,0,808,7250,-1684,4398,1651,2885,975,2346,914,600,0,876,-2834,2557,14299
1982:Q4,14733,-310,1732,0,57,7830,-1558,5450,1795,2143,1409,11317,1602,-8904,0,461,-9386,21,14738
1983:Q1,20724,-146,2160,0,586,7002,-576,3419,961,3198,1286,1896,-127,8067,0,859,5442,1766,20732
1983:Q2,23387,133,2946,0,1092,5216,635,2491,945,1145,653,1730,-100,11717,0,1008,7181,3528,23394
1983:Q3,26046,339,92,0,-11,10990,1017,4540,1974,3459,860,1570,332,11874,0,130,11837,-93,26054
1983:Q4,28708,144,875,0,224,7191,150,3171,1496,2374,-445,314,341,20064,0,143,19171,750,28716
1984:Q1,15461,347,-374,0,-430,4039,1401,1268,322,1048,-232,-2068,-7,14186,0,-382,15961,-1393,15473
1984:Q2,11759,403,-78,0,-272,-5060,1519,-2175,-693,-3711,-523,-3333,-120,20742,0,-370,21944,-832,11773
1984:Q3,8059,-13,2573,0,699,13881,35,4980,2331,6535,-328,2600,586,-11939,0,930,-15012,2143,8073
1984:Q4,4359,-169,1669,0,316,16690,-1538,7230,2508,8490,694,260,678,-15780,0,724,-17353,849,4373
1985:Q1,9877,239,2740,0,739,-1177,-167,2813,1324,-5147,1306,2474,334,3222,0,848,51,2323,9896
1985:Q2,9866,245,3392,0,800,5680,-57,5464,2851,-2578,763,3168,331,-4513,0,957,-7967,2497,9885
1985:Q3,9855,40,-408,0,-405,784,365,2651,1620,-3852,-443,1746,204,8337,0,-173,9898,-1388,9874
1985:Q4,9844,-540,-814,0,1854,9017,2466,4183,11746,-9378,2655,94,1162,-3584,0,4162,-21693,13947,9863
1986:Q1,8619,-160,1064,0,-50,11318,487,2211,1201,7419,188,-3727,321,-335,992,-10,5912,-7229,8642
1986:Q2,8126,-150,2527,0,413,-265,1018,-3487,-1879,4083,-435,-979,240,6775,465,-15,7020,-695,8147
1986:Q3,7631,-135,1570,0,85,6703,695,-1259,-583,7850,16,-8394,188,7598,155,-15,7801,-343,7651
1986:Q4,7136,-128,3497,0,654,-23138,1408,-4663,-3043,-16840,-939,3610,135,23445,1744,-24,10058,11667,7156
1987:Q1,9166,-90,475,0,2,-7884,1214,-3477,-1873,-3748,-1388,13981,342,3728,3320,-100,-12429,12937,9188
1987:Q2,9682,-60,2076,0,491,2780,1965,-6073,6944,-56,-758,-9412,350,14215,531,-300,9504,4480,9704
1987:Q3,10196,-40,655,0,81,4732,1543,1427,951,811,-638,-8480,297,13589,1348,-450,6577,6114,10219
1987:Q4,10711,-8,-2112,0,-714,6144,420,2394,1597,1733,-518,-3781,-123,11823,-303,-647,34122,-21349,10735
1988:Q1,11773,50,-3297,0,-183,1497,-1884,-5779,7921,1239,1100,6257,-233,6582,-6836,-700,16914,-2796,11795
1988:Q2,12506,250,1533,0,1346,881,324,157,128,272,1051,-6,-117,7568,-3098,-400,2130,8936,12528
1988:Q3,13239,800,-3473,0,-264,16258,-1840,9293,2148,6657,2011,-7358,-169,5434,-5691,-350,4057,7418,13261
1988:Q4,13971,828,1777,0,720,3846,-476,-2011,3317,3016,1703,697,-125,4525,-697,1106,-445,4561,13994
1989:Q1,12087,400,3814,0,575,6432,-37,-4976,10164,1281,1065,-9533,-61,9395,1423,1100,6445,427,12111
1989:Q2,11774,-200,1723,0,-185,8883,-913,3949,3532,2315,1353,-4086,-30,4316,115,1125,4932,-1856,11798
1989:Q3,11459,-500,4526,0,863,7933,185,3317,2900,1531,1330,-3083,18,372,2008,1150,6521,-9307,11484
1989:Q4,11146,-669,-460,0,-976,12702,-1726,5600,5183,3645,1861,-5717,98,4307,-2692,1066,1947,3986,11171
1990:Q1,12477,-400,-1601,0,-466,2750,-466,-8500,10425,1291,76,3425,106,8587,-2511,950,16302,-6154,12498
1990:Q2,12819,-200,-667,0,-117,10493,-117,3277,3681,3652,531,-3183,223,5739,-165,450,4511,943,12840
1990:Q3,13163,100,-945,0,-240,9830,-240,3137,3510,3423,490,-5193,-19,9140,-1221,550,15971,-6160,13183
1990:Q4,13507,-19,-2333,0,-906,7432,-906,2644,2907,2787,373,5188,84,3688,-650,853,16731,-13246,13526
1991:Q1,13020,-10,-399,0,-478,8378,-478,-9078,13216,4718,-1647,1866,294,5016,-911,1750,5849,-1672,13035
1991:Q2,13030,-15,1231,0,327,-802,327,-1002,-1713,1586,-1959,3869,308,10071,-2216,2500,4061,5726,13044
1991:Q3,13040,-15,1288,0,404,12505,404,2533,3591,5977,-1287,-3843,370,3618,1045,2250,656,-333,13053
1991:Q4,13050,-10,3338,0,1584,-545,1584,-1365,-2256,1492,-1858,78,441,10022,776,1663,13204,-5621,13063
1992:Q1,12411,-3,-2716,0,-410,6244,-410,-10831,12005,5480,-782,-18852,1084,27846,-1858,1407,38196,-9899,12423
1992:Q2,12161,10,-2034,0,-71,3320,-71,-381,-765,4537,-879,6930,1260,3625,-581,1342,-1904,4768,12173
1992:Q3,11910,12,-2414,0,-411,6481,-411,395,673,5824,-713,-10271,-515,19741,-3444,1367,23338,-1520,11922
1992:Q4,11660,5,-1968,0,-172,4168,-172,-207,-445,4992,-733,3179,970,6211,-2949,1451,7761,-52,11672
1993:Q1,12616,-6,1710,0,193,9647,193,-10138,14935,4657,-130,15733,672,-15203,537,1567,-19126,1819,12629
1993:Q2,12850,-12,1302,0,-157,4236,-157,404,1082,2907,-275,-6380,1313,12823,-2211,1767,13927,-660,12862
1993:Q3,13082,-17,1183,0,-260,10652,-260,9677,-3947,5182,-91,-7992,1191,8416,-330,1967,7885,-1106,13094
1993:Q4,13313,30,2254,0,207,-204,207,-5540,3877,1252,-904,9073,1447,1410,-131,2067,-1034,508,13327
1994:Q1,13121,123,1666,0,-1354,-404,-1354,-2775,3666,59,-529,-9143,1400,21362,-1493,1800,27435,-6380,13133
1994:Q2,13182,172,1966,0,-1083,13603,-1083,3942,9337,1407,-423,4609,1152,-6814,314,1600,-14259,5531,13195
1994:Q3,13245,173,2129,0,-939,15610,-939,6319,11546,-1316,-648,9477,1130,-13687,-530,1400,-16600,2043,13258
1994:Q4,13306,319,7301,0,-812,10497,-812,2630,6137,2542,-2149,-8749,12558,-5659,11794,1375,-16640,-2188,13320
1995:Q1,13288,66,2022,0,-107,6123,-107,539,1149,4542,29,-6586,4808,6933,-809,410,7650,-318,13303
1995:Q2,13318,69,2073,0,-108,4103,-108,154,252,3805,29,-8872,3962,12062,-2192,411,14161,-318,13333
1995:Q3,13348,69,2100,0,-107,5186,-107,338,678,4277,29,-24999,2453,28617,-2052,410,30577,-318,13364
1995:Q4,13378,69,2077,0,-108,6309,-108,524,1115,4778,29,-19731,2940,21793,-2051,411,23751,-318,13394
1996:Q1,12361,73,3454,0,843,1526,843,-515,-1309,2507,29,-20021,1752,24705,1053,410,20710,2532,12375
1996:Q2,11971,71,3420,0,843,5140,843,117,163,4017,28,-21465,1683,22251,1191,410,18118,2532,11985
1996:Q3,11581,71,3444,0,842,-10085,842,-3011,-4632,-3284,30,-13493,1574,29198,3183,410,23073,2532,11596
1996:Q4,11191,-65,3947,0,479,-7833,479,-1671,-6510,-131,-44,-8107,2621,20193,-1688,409,20034,1438,11207
1997:Q1,12641,214,5002,0,-425,7524,-424,720,1573,5655,32,-24433,4285,20442,-2664,2137,22237,-1268,12657
1997:Q2,12987,106,4171,0,328,8442,328,744,1626,5744,33,-24008,-2205,26120,-2038,1156,26013,989,13003
1997:Q3,13332,334,4578,0,-177,9489,-176,1005,2238,6422,51,-23362,1002,21417,-3364,1152,24155,-526,13349
1997:Q4,13679,-231,3005,0,341,11366,344,750,1642,8630,384,-33502,4171,28145,1409,927,24777,1032,13696
1998:Q1,12902,118,4451,0,70,-8694,77,-5623,-4750,1602,-20,-12465,-518,29960,-1364,2713,28386,225,12922
1998:Q2,12800,114,4259,0,48,-10902,63,-4786,-3302,-2877,-7,-16886,5341,30833,-3032,2688,31007,170,12821
1998:Q3,12698,113,3961,0,5,-7849,36,-5185,-4943,2243,-3,-20679,10829,26321,565,2559,23133,64,12719
1998:Q4,12596,212,3772,0,-82,4121,-29,-5030,-5246,14426,-346,-2506,-7841,15266,-1340,76,16690,-160,12618
1999:Q1,12819,-557,-3236,0,177,15026,266,4011,6095,4654,1,-43382,5045,39745,-1559,-402,39788,1918,12837
1999:Q2,12846,200,-3790,0,30,26579,168,7809,8399,10203,2,-36134,-1416,27375,-3526,-1255,29354,2802,12864
1999:Q3,12873,151,-4725,0,-153,19221,46,6977,5901,6297,1,-33196,11202,20372,-2437,-2325,22790,2344,12891
1999:Q4,12900,428,-7953,0,-362,28207,-94,-151,10054,18398,1,-16197,-8919,17695,-6778,-3542,26193,1822,12918
2000:Q1,12292,122,-2648,0,-1276,-16105,-937,-2480,-4822,-7866,-96,37049,1835,-6589,-981,-1942,495,-4161,12306
2000:Q2,12062,205,-8825,0,-1976,-25964,-1576,-1976,-8312,-14100,-264,2629,14488,31769,-1239,-6472,44005,-4525,12077
2000:Q3,11833,455,-6472,0,-2620,-32263,-2177,-4255,-7967,-17864,-350,13928,15767,23388,-688,-4747,36052,-7229,11848
2000:Q4,11604,452,-5765,0,-3166,-48101,-2715,-2962,-16175,-26249,-551,31520,9653,27562,-525,-4229,40773,-8457,11620
2001:Q1,13610,109,-11179,0,1566,13819,1990,4465,14909,-7545,854,-19901,-15782,44124,-1756,-8199,49038,5041,13625
2001:Q2,14275,140,-7060,0,-1152,-9713,-794,-1065,-2903,-4951,-84,29798,-14550,16896,-2366,-5178,27936,-3496,14290
2001:Q3,14940,168,-8237,0,-1027,-9256,-770,-1341,-3544,-3601,-101,18742,11294,3357,-6729,-6041,19026,-2899,14955
2001:Q4,15608,190,-8648,0,-853,-15068,-720,-2412,-6704,-5232,-44,10921,1462,27648,2250,-6343,33175,-1434,15620
2002:Q1,14421,-321,-2622,0,-708,-1614,-931,-1537,-5800,6654,174,-12600,18598,13514,2844,-1523,17313,-5120,14425
2002:Q2,14344,35,-1854,0,-46,11204,-326,-2619,3891,10258,-38,-12177,-1139,18359,9152,-2486,7306,4387,14347
2002:Q3,14266,50,-1536,0,202,-19674,-145,-2776,-7722,-9031,104,11086,3318,20716,1818,4702,12540,1656,14268
2002:Q4,14187,30,488,0,-76,-26596,-18,-5766,-8262,-12550,-25,-2259,-549,43174,6189,-5198,45661,-3478,14189
2003:Q1,15192,15,-4265,0,269,18503,196,6285,6249,5773,-133,25383,-18765,-5815,-1101,2972,-10666,2980,15195
2003:Q2,15547,17,3357,0,286,16227,-2709,6147,7709,5080,-103,-11556,-7536,14855,5671,-2951,11942,193,15550
2003:Q3,15902,16,-2402,0,209,14298,-217,-2890,11030,6375,31,-17095,-7776,28621,-2578,-1354,36979,-4426,15905
2003:Q4,16257,20,5603,0,330,24347,1866,4804,10580,7097,132,-31678,-7570,25073,6518,1307,18595,-1347,16260
2004:Q1,14708,10,-2173,0,241,1855,-161,-3089,1029,4076,56,6175,4401,4143,-10358,-1162,13930,1733,14736
2004:Q2,14311,19,-8587,0,515,-949,30,306,3236,-4521,-40,-16787,5409,34731,3718,3443,21587,5983,14340
2004:Q3,13914,18,1835,0,207,-7112,157,-3325,2672,-6616,-30,9901,-2382,11477,-11786,-3862,31318,-4193,13944
2004:Q4,13515,21,4141,0,-526,-4184,-328,-833,765,-3788,-80,-11920,3812,22251,2169,-406,18463,2025,13547
2005:Q1,15519,24,-1644,0,818,5365,571,897,2192,1705,-74,-11921,-1455,24406,-372,-1030,26890,-1082,15540
2005:Q2,16077,29,3589,0,-62,6356,-10,826,-401,5941,-67,-13444,-1295,20971,-4274,-2004,28353,-1104,16099
2005:Q3,16636,43,3426,0,-97,6985,-19,417,2527,4060,-55,-9682,-2817,18833,-2504,2075,20478,-1216,16658
2005:Q4,17193,43,247,0,37,15333,71,-713,11762,4213,-24,-13906,-1416,16879,-2175,-946,18096,1904,17217
2006:Q1,15409,198,-145,293,-396,8606,498,1483,1749,4876,5187,-11009,2294,10381,-8380,1038,14380,3343,15417
