date,FU796902505.A,FU796330081.A,FU796902605.A,FU796025005.A,FU796020001.A,FU796401001.A,FU796240101.A,FU796402101.A,FU796140005.A,FU796402101.A,FU796150105.A,FU796130101.A,FU796121101.A,FU793092281.A,FU796150005.A,FU796130001.A,FU796120005.A,FU796121001.A,FU796122001.A,FU793192281.A,FU796112001.A,FU796140005.A,FU796220001.A,FU796403005.A,FU796012095.A,FU796012095.A,FU796006385.A,FU796012095.A,FU795440005.A,FU795015085.A,FU795013005.A,FU796330081.A,FU795000995.A,FU795000995.A,FU794090005.A,FU794000005.A,FU794022005.A,FU793069175.A,FU793061105.A,FU793061705.A,FU793062005.A,FU793063005.A,FU794035005.A,FU794041005.A,FU794042005.A,FU793081005.A,FU793064105.A,FU793064205.A,FU793034005.A,FU793092405.A,FU793092105.A,FU713164003.A,FU793094605.A,FU793052005.A,FU793096005.A,FU794194005.A,FU794100005.A,FU794122005.A,FU423161705.A,FU793163005.A,FU793169175.A,FU794135005.A,FU794141005.A,FU793192305.A,FU793181005.A,FU634090005.A,FU793164105.A,FU653164205.A,FU403192405.A,FU793192105.A,FU662090003.A,FU793194605.A,FU713164005.A,FU503194205.A,FU583152005.A,FU793196005.A,FU795000005.A,FV798090185.A,FV795013865.A,FV798090085.A,FU797005045.A,FR795013865.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090005.A,FR794000005.A,FR794022005.A,FR794035005.A,FR793064105.A,FR793064205.A,FR793092105.A,FR793052005.A,FR793096005.A,FR794194005.A,FR793192305.A,FR793164105.A,FR653164205.A,FR793192105.A,FR662090003.A,FR793194605.A,FR583152005.A,FR793196005.A,FR792090095.A,FC792090095.A,FL792000095.A,LM795013865.A,LM795013665.A,LM795013265.A,LM795013765.A,FL794090005.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL794042005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,LM793092105.A,FL713164003.A,FL793094605.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL793192305.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,LM793192105.A,LM662090003.A,FL793194605.A,FL713164005.A,FL503194205.A,FL583152005.A,FL793196005.A,FL792090095.A
2014,1242978,184120,1058858,681085,582076,99009,60728,317046,268314,317046,2089803,1588116,450241,51446,2138534,1381931,741041,722143,18898,15562,0,268314,116261,15121,136933,136933,126943,136933,9990,23394,207514,184120,103548,103548,2575914,136317,864716,-63604,578498,62149,33005,254668,888133,678534,209599,120961,4269,25945,6946,330,20269,1065,62137,268041,297746,2458511,867648,106329,150271,11025,-54967,193180,182883,10297,648513,25688,228662,311028,1210,14396,4327,62137,1065,0,437419,205422,117402,47053,0,33199,-13854,20305,21220,291,-1206,1408099,-873,615424,-1317,972211,223282,-41824,-287948,-70855,1428951,-1675,527060,506588,49700,0,0,398788,-51510,-547,173449,92815644,1604327,902830,539114,162383,91211317,5512957,22338165,579324,5614289,6694415,1993477,7456660,24365207,11369085,12996122,25578258,16429941,5115068,631548,33705,987280,28572,2352144,7568973,5847758,92815644,92346601,18031195,12565894,7924009,4106749,535136,4806203,4712415,93788,25768559,3072970,6273015,13150628,42933,803176,45121,2352144,28572,0,27228151,3946599,469043
2015,1317241,192443,1124798,715705,611170,104535,64970,344124,239290,344124,2107536,1593962,462935,50639,2212369,1443837,754833,745204,9629,13699,0,239290,112177,21634,105486,105486,105486,105486,0,36224,228669,192443,69263,69263,1073794,-719970,494477,-31643,234119,32241,61493,198267,910192,533911,376281,252274,232428,-13809,-65190,674,22652,879,74640,288300,-151479,1032372,119373,176238,220439,-65322,21121,18267,1148,17119,436954,5234,201724,98726,1269,49199,5283,74640,879,0,501253,-219713,41422,311788,0,339629,27841,11044,16749,-3939,-1766,-1013691,-811,-511994,652,-459355,-120859,-88036,132747,33965,-724196,360,-124089,-352139,-38717,0,0,-162151,-47460,-278452,138822,92440871,1651594,913386,567324,170884,90789277,4776940,22296342,549052,5764908,6638742,2038864,7304776,25092659,11729234,13363425,24884037,16203014,4980400,566358,34379,842676,29451,2227759,8074784,5664515,92440871,91833005,18150568,12508811,8144448,3808106,556257,4827732,4716465,111267,25344823,3078204,6200170,12897215,44202,817418,50404,2227759,29451,0,27637276,3363795,607866
2016,1412174,203219,1208955,734148,625472,108676,72692,402115,342519,402115,2193942,1680538,467414,45990,2253538,1506495,733827,691619,42208,13216,0,342519,113975,64384,164167,164167,162367,164167,1800,40864,244084,203219,121502,121502,2035424,-520596,1020088,-112271,647114,308167,21317,155761,990200,489047,501153,59170,-161477,-82148,139264,1907,52361,992,108271,401572,84990,1834020,466991,283917,351677,-37534,-30226,175481,68365,107116,234013,-122980,239952,28417,2746,-40722,17337,108271,992,0,507144,166474,201404,146117,0,66215,-79902,10173,14381,-2751,-1457,1287211,211,-37343,-2474,1170497,341669,7671,-313410,120390,1981795,-8903,840596,689947,38275,0,0,474695,-52815,-684412,-375928,95883049,1702631,925092,591938,185601,94180418,4267476,23285435,437207,6347232,6883652,2027507,7589837,26048898,12218280,13830618,26419070,17212034,5239921,705622,36286,917728,30443,2277036,8291421,5868119,95883049,95651111,18617559,12664910,8496125,3642754,526031,4994310,4784830,209480,27049079,2955224,7261709,13615579,46948,794399,67741,2277036,30443,0,28735270,3589983,231938
2017,1456487,214438,1242048,787648,668515,119133,66492,387908,250196,387908,2413624,1830870,526407,56347,2551337,1684645,852530,800321,52209,14162,0,250196,83341,19586,147269,147269,70664,147269,76605,33074,247513,214438,37590,37590,2881931,307903,949727,70293,211792,280989,46680,339973,1235588,669179,566409,97325,83846,-32453,14270,1371,49059,946,-19714,267630,23759,2878739,822590,338937,346600,5456,-13119,54843,54160,683,881499,165309,380220,317399,4200,32187,952,-19714,946,0,637362,143508,3192,18517,-1847,54762,34398,22824,24353,-665,-864,3734103,3882,211681,1544,3380475,766884,160784,-730330,-60816,4392740,6004,1271206,1966007,123533,0,0,1073792,-47802,-635813,-546632,102698174,1756682,945368,609436,201878,100941492,4610158,24440472,506490,6572904,7179258,2102735,8079085,27339856,12968275,14371581,30791599,20676355,5974352,719892,37657,1119463,31389,2232491,7965972,5793436,102698174,103012869,19440149,12967408,8842725,3611771,512912,5055157,4838990,216167,31276576,3120533,8936102,15898985,51148,937235,68693,2232491,31389,0,30558129,3715450,-314695
2018,1516412,226122,1290290,819121,693117,126004,79315,391854,302064,391854,2714006,2071815,681009,-38818,2803797,1938914,847844,817558,30286,17039,0,302064,84479,30064,187520,187520,170625,187520,16895,40579,266701,226122,130046,130046,1539694,-551908,695722,-16002,415218,-75,-48567,345148,1509215,916201,593014,-79074,-138281,-101599,27766,841,-3061,946,134314,293408,-327669,1470423,351382,254841,246898,42054,-34111,-15790,18509,-34299,512183,169154,183710,-64626,1084,78064,9537,134314,946,0,443303,-75496,69270,-14259,-2395,48912,60776,50654,49149,4495,-2990,-2584584,833,-643055,-129,-1814546,-401838,-199463,341661,131953,-2815998,4187,-998348,-1164528,-119624,0,0,-533111,-4574,282069,438435,101841935,1845520,992164,635445,217911,99996415,4059082,24493138,490975,6942081,7105112,2015449,7939521,28825502,13888079,14937423,28316118,18723528,5470915,747658,38498,924435,32335,2378749,8713775,5588800,101841935,101718195,19791531,13206957,9089623,3638533,478801,5043554,4857499,186055,29475177,3289687,8121410,14669831,52232,852703,78230,2378749,32335,0,30565597,3635379,123740
2019,1600580,242836,1357744,851646,727179,124467,69290,436809,325974,436809,2816597,2227435,559955,29206,2927432,2047300,862378,829936,32442,17754,0,325974,100407,47275,178293,178293,178293,178293,0,58501,301336,242836,119792,119792,3548668,174403,1020683,-29000,599354,185576,74419,190334,1474648,900763,573885,-77598,-287504,-53372,141180,-4003,64544,-637,62194,323776,632757,3489201,961560,465989,318635,73559,73795,148894,162043,-13149,1183146,712779,157635,207279,-3667,42318,5245,62194,-637,0,530196,199416,59467,-179790,0,-119465,60325,32742,36779,-685,-3353,6092191,970,1307459,-4369,4612565,1054004,197579,-982836,-93181,6394716,-4059,1813277,2782407,265760,0,0,1604741,-67410,-269783,-271280,111823962,1936763,1033227,658737,244799,109887199,4221735,26926044,465459,7767644,7527209,2152823,9012909,30276284,14787845,15488439,33690683,22737088,6324515,888838,34495,1271366,31698,2402683,8273750,6498703,111823962,111971502,20753091,13665985,9408258,3705131,552596,5188389,5019542,168847,35510292,4002466,10097211,17659517,48565,1184677,83475,2402683,31698,0,32987935,3865810,-147540
2020,1658211,257510,1400702,912341,787383,124958,71597,416765,187936,416765,2343114,1759481,547853,35779,2571942,1611863,947585,887023,60562,12494,0,187936,99276,35616,53045,53045,53045,53045,0,27756,285266,257510,25289,25289,9764450,1783986,6288463,-20910,4303398,1131342,122789,751844,1074450,347633,726817,-181986,-387026,-81287,163837,-7097,50462,678,78447,353258,446280,9742723,6670498,909421,658208,228232,22981,-198029,-203831,5802,1211304,763454,476534,-230443,-6793,8568,6859,78447,2178,112500,631497,518032,21727,-7445,0,-3883,3562,21243,17413,5069,-1239,4639475,430,845957,-1245,3589810,810240,80164,-815386,129506,3994140,-2746,458119,2133482,220921,0,0,1284867,-100503,666578,712178,126302510,1985762,1052517,662200,271045,124316748,6006151,34005764,387557,12367066,8717773,2322608,10210760,31345543,15140180,16205363,37983671,25914872,7053468,1052675,27398,1444008,32376,2458874,7902836,7072784,126302510,125737872,27423589,14569344,10066466,3927301,575577,4987614,4815711,171903,39543950,4765920,11031852,19562556,41772,1446266,90334,2458874,33876,112500,34984736,4228639,564638
2021,1825913,274590,1551323,990594,860093,130501,65677,495051,319375,495051,2341244,1670689,620774,49781,2516920,1484529,1000029,936162,63867,32362,0,319375,124171,29984,165221,165221,127761,165221,37461,27998,302588,274590,99763,99763,7286956,544724,3190949,-7435,1358443,601373,166050,1072518,2955015,1740466,1214549,-211342,-177385,-382146,184739,-2333,65420,1501,98862,433247,374364,6878462,1712650,721619,612910,192472,-83763,1875880,1877856,-1976,1515077,439535,811615,215071,-903,26368,15770,98862,1,-91242,398113,655122,408495,360608,-430,52306,-308732,218122,175080,47169,-4127,4410712,-790,-1003342,-4730,5073995,948393,200078,-933880,130988,6806614,-3583,2635465,2431134,297063,0,0,1520743,-74209,-2177779,-1689410,139173315,2231452,1222503,709552,299397,136941863,6582903,36174411,429043,13377641,9101200,2476610,10789917,34859272,17192439,17666833,44017543,30843482,7619715,1237414,25065,1694886,33877,2563104,7564199,7743535,139173315,140298087,29136239,15604626,10679376,4433436,491814,6964479,6798135,166344,46403489,5205455,14478916,22208761,40869,1745145,106104,2563104,33877,21258,37075669,5113585,-1124772
2022,1896185,302533,1593652,1021455,885595,135860,84326,487871,353272,487871,2896236,2183402,666432,46402,3030835,1999770,1003173,942483,60690,27892,0,353272,117234,67971,168069,168069,147393,168069,20676,19563,322097,302533,127830,127830,2307890,-904599,-184297,104514,-718432,62038,-97528,465112,3450836,2136442,1314394,-348128,31204,-214352,-223747,18941,80319,1137,-41630,399472,-105395,1830629,-990998,1251318,979382,89461,182475,1033781,1068673,-34892,-240937,17606,488865,-800508,19957,75837,3657,-41630,1137,-5858,613251,164214,477261,365269,-1518,17356,-349431,267502,226316,40465,722,-10993301,63,-4664994,6943,-5998559,-1394445,-384567,1049978,392278,-8981051,-10267,-2156051,-4074900,-494640,0,0,-2247734,2541,-1744748,-1232086,129266831,2516999,1445612,734998,336389,126749832,5688368,31325121,534391,11193903,8106395,2101986,9388446,38169539,19184882,18984657,35826208,24876127,6010918,1013667,44006,1283898,35014,2562578,7506531,8234066,129266831,131623690,28145241,16854889,11658758,4521842,674289,7987993,7866808,121185,39379913,5223061,12811714,17333353,60826,1228206,109761,2562578,35014,15400,33975314,5280340,-2356859
2023,1941305,323955,1617350,1062183,911933,150250,88506,466661,380539,466661,4034140,3291084,683862,59195,4120262,3090495,1006541,950969,55572,23226,0,380539,126259,90907,163374,163374,209285,163374,-45911,26769,350725,323955,182517,182517,3161319,696553,743629,-5773,707924,50770,-81509,72217,1031659,415511,616148,59070,-25267,-100564,47466,680,87154,1051,48550,373566,256844,3101014,722726,506569,297041,195754,13774,-997337,-997270,-67,1397399,1134490,491828,-309672,4072,21012,14068,48550,1051,-8000,584057,887600,60306,-35232,0,86979,122211,16824,7717,10520,-1413,5676328,-470,638818,-2274,4768988,936874,176127,-825431,-16305,5900632,-1164,1591366,2575985,258730,0,0,1626536,-150822,-207480,-33427,138398927,2560591,1449849,745339,365403,135838336,6377081,32824587,626659,12087649,8324651,2061787,9723841,39192660,19598316,19594344,41719274,29554848,6837228,1061133,44686,1592427,36065,2592887,7251978,8472757,138398927,140789212,28867967,17355231,11955799,4711369,688063,6989492,6869538,119954,45161395,6357551,14870511,19599666,64898,1508588,123829,2592887,36065,7400,36316086,6099041,-2390285
2024,2162757,342792,1819965,1121527,ND,ND,93594,604845,540791,604845,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,540791,125807,101965,313020,313020,289903,313020,23117,34749,377540,342792,255154,255154,3192325,-451807,1857120,-17834,1055226,115032,10672,694024,1319589,778157,541432,-57883,40682,-274340,64374,-1762,40165,1117,71881,358669,166637,2955315,138855,541388,298324,208705,34359,-354497,-336302,-18195,1856355,885629,994319,-168126,-754,59457,16771,71881,1117,-3939,643902,129312,237010,-9930,0,8214,18144,24260,-2209,15546,10923,4823086,-1197,-262429,768,5051853,820704,41020,-795421,-32213,6925593,3668,2803291,2253170,308216,0,0,1553695,3553,-2078247,-1798274,146468954,2619600,1443558,761703,414339,143849354,5921208,34420090,606908,13032947,8379226,2040693,10360316,40508593,20376427,20132166,47583572,34647383,7383592,1125507,42924,1682252,37182,2664732,6813436,8602456,146468954,150657514,29006822,17895322,12254123,4918777,722422,6638663,6533236,105427,52373599,7243180,18668121,21684710,64144,1867469,140600,2664732,37182,3461,38513681,6229427,-4188559
