date,FL892150005.Q,FL712151003.Q,FL762150005.Q,FL762152005.Q,FL762151005.Q,FL752150005.Q,FL752152005.Q,FL752151005.Q,FL472150053.Q,FL512151003.Q,FL542151073.Q,FL402150005.Q,FL642151073.Q,FL662151003.Q,FL732151003.Q,FL262151005.Q,FL892050005.Q,FL102051003.Q,FL313011545.Q,FL212051003.Q,FL712051005.Q,FL762050005.Q,FL762052005.Q,FL762051005.Q,FL752050005.Q,FL752052005.Q,FL752051005.Q,FL472050053.Q,FL472052053.Q,FL472051055.Q,FL512051005.Q,FL542051075.Q,FL572051005.Q,FL222051043.Q,FL632051000.Q,FL652051003.Q,FL402050005.Q,FL402052033.Q,FL662051003.Q,FL732051003.Q,FL502051005.Q,FL262051005.Q,FL902050005.Q,FL072052006.Q,FL712151103.Q,FL632051103.Q,FL792051115.Q
2002:Q2,2473266,0,544653,ND,ND,161502,ND,ND,366,1350,17755,1704,32191,1516532,6263,190950,2147547,5667,16083,128819,48083,281609,ND,ND,95372,ND,ND,11772,2890,8882,2697,9188,18685,3821,260460,25205,81616,48802,986128,5301,995,166046,325720,1.75,0,0,0
2002:Q3,2542281,0,562862,ND,ND,181134,ND,ND,546,1784,15277,1500,36926,1538119,5314,198819,2271088,5282,16126,123652,37876,299852,ND,ND,103455,ND,ND,8145,2250,5895,2853,11479,18989,3675,257677,23595,90166,51514,1050004,4096,995,213172,271193,1.75,0,0,0
2002:Q4,2528902,21091,587090,ND,ND,208098,ND,ND,623,941,14252,1699,36180,1487519,6629,164780,2252882,6171,1598,120653,41098,284790,ND,ND,116376,ND,ND,6616,2396,4220,2740,4930,19021,4139,285285,25827,98260,46681,1016817,5510,1827,211225,276020,1.24,0,0,0
2003:Q1,2609083,19418,611386,ND,ND,241972,87573,154399,611,3458,20213,1900,33230,1477932,12773,186190,2444717,5717,2077,120591,33827,323880,ND,ND,136369,32711,103658,10645,2775,7870,3446,12613,19439,4405,268065,25825,82001,42781,987076,6657,1827,400257,164366,1.25,0,0,0
2003:Q2,2799774,22080,654343,ND,ND,252927,71130,181797,1002,6309,20295,2200,38302,1575031,16489,210796,2565155,6221,2477,127630,34227,338929,ND,ND,136767,40173,96594,6312,1113,5199,3689,10130,19817,3287,263614,27139,93704,41198,1081287,7770,1827,400329,234619,1.22,0,0,0
2003:Q3,2755224,24983,599795,ND,ND,231458,70196,161262,1782,3112,23446,2700,38326,1575534,8801,245287,2517395,7241,3208,129550,40708,329701,ND,ND,149984,45286,104698,6532,2557,3975,3616,8855,20096,2653,231787,27144,76516,39629,1020545,6676,1827,450757,237829,1.01,0,0,0
2003:Q4,2782665,25652,575710,ND,ND,207868,57479,150389,3139,2134,15078,6373,41634,1653056,8086,243935,2563627,5986,2034,136633,45784,291307,ND,ND,142209,30561,111648,5254,4319,935,3297,2338,20459,3098,257492,31045,78769,36729,1035966,6056,1642,494259,219038,0.98,0,0,0
2004:Q1,2996908,21701,615338,ND,ND,239350,73273,166077,632,1224,15731,2700,51894,1756239,10770,281329,2814478,5183,2103,142327,29603,311066,ND,ND,172312,28694,143618,7214,3079,4135,3517,3996,20693,3720,273174,48156,87245,40954,1125794,9622,1642,567111,182430,1,0,0,0
2004:Q2,3074300,19228,634207,ND,ND,250442,58288,192154,1220,2598,17975,2700,58281,1802454,3248,281947,2943336,4829,1576,134108,35076,308450,ND,ND,168995,19423,149572,4261,1087,3174,3619,3800,21236,2430,261100,30399,90650,40927,1269228,1867,1642,600070,130964,1.03,0,0,0
2004:Q3,3382278,25693,661241,ND,ND,243214,60673,182541,2229,1297,17276,2700,62046,2020283,4064,342235,3150618,5719,1730,146770,30980,330642,ND,ND,173564,20127,153437,5390,1688,3702,4085,3350,21488,2719,262122,31302,92787,60315,1372586,2863,1642,660879,231660,1.61,0,0,0
2004:Q4,3292964,30783,612455,ND,ND,210416,57785,152631,2941,1156,13846,5179,70300,1950572,2930,392386,3043964,6422,2142,131663,35142,327131,ND,ND,130411,23048,107363,5994,1586,4408,2091,3942,21011,2484,238814,36910,96346,54597,1314909,2127,1673,684752,249000,2.16,0,0,0
2005:Q1,3484896,24106,614942,ND,ND,204198,61937,142261,523,1862,20440,4077,72024,2142962,9964,389798,3171576,6190,1375,127924,32375,325144,ND,ND,144472,18569,125903,7718,888,6830,2477,11131,21901,2568,256797,41111,98428,61723,1389900,9583,1673,690810,313320,2.63,0,0,0
2005:Q2,3685556,26183,637427,ND,ND,218277,58679,159598,2307,1768,20385,3333,75141,2248693,12157,439885,3247002,8459,305,136592,34805,277143,ND,ND,162900,23796,139104,5288,2602,2686,3083,8933,21894,2797,299129,40042,93942,60827,1432068,10078,1673,707872,438554,3.04,0,0,0
2005:Q3,3860827,26920,667780,ND,ND,231958,70454,161504,4489,1173,21198,2367,80612,2372700,12609,439021,3451909,11692,87,150020,25837,308776,ND,ND,167998,20103,147895,9195,3271,5924,2621,6201,21905,2541,308696,39407,112749,81739,1515538,11175,1673,755799,408918,3.62,0,0,0
2005:Q4,3764852,30505,654006,ND,ND,252480,71215,181265,3978,1305,21394,3299,83486,2320420,9138,384841,3407084,14560,1927,149175,48677,306251,ND,ND,169201,34132,135069,7840,3664,4176,2763,2922,22079,2983,352601,37653,110294,80557,1441689,8568,1790,726111,357768,4.16,0,0,0
2006:Q1,4057168,26540,689246,ND,ND,239707,76057,163650,1911,1294,24599,2395,84559,2451964,10603,524350,3728675,10103,1988,138007,28738,335246,ND,ND,176567,32006,144561,11258,2899,8359,2216,2171,6180,2915,347000,46132,118708,84619,1475444,10661,1790,1013552,328493,4.59,0,0,0
