1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q3,-106000,34377,-5964,-39052,1036,678,0,358,20950,30262,-90813,-56795,79312,-22516
2019:Q4,-655818,-7987,2697,-153727,-1419,-428,0,-991,-23547,5220,-348537,-128518,134758,-6240
2020:Q1,-215771,181905,-15980,-36798,-335,36,0,-371,-13313,-23727,-441017,133494,-147551,14057
2020:Q2,321383,-165726,20956,31776,504,57,0,447,68580,-17208,447808,-65307,47797,17510
2020:Q3,36561,50361,-1272,23432,-164,6,0,-170,-32686,23620,76223,-102952,130449,-27497
2020:Q4,-300099,37538,6693,-52923,-500,-786,0,285,-40853,10041,-181917,-78177,76937,1240
2021:Q1,321500,-5380,13745,50841,9150,9318,0,-168,-83417,-51796,239291,149066,-152923,3857
2021:Q2,243303,-31125,-3311,188229,-6593,-6740,0,147,-77108,51950,157491,-36230,15896,20334
2021:Q3,-344166,8900,6384,58309,-537,-681,0,144,39059,15398,-465610,-6070,31139,-25069
2021:Q4,-256204,26684,932,-23707,-1658,-847,0,-811,77331,2747,-224392,-114141,107484,6657
2022:Q1,-169544,13095,12679,-40427,1450,515,0,935,-44482,-79658,-228815,196615,-207736,11121
2022:Q2,-172720,53163,-29730,124643,-809,-985,0,176,-22492,47117,-346631,2019,-28618,26599
2022:Q3,239385,31767,9405,-52327,853,1066,0,-213,-30687,6957,264313,9104,10858,-19963
2022:Q4,-174905,-80355,-15290,-70786,-1750,-2527,0,778,-39913,-13266,184512,-138058,149913,-11855
2023:Q1,-97592,50591,21724,-258475,4566,5249,0,-683,-76289,-34307,100806,93793,-118405,24612
2023:Q2,124349,-95132,849,-5336,-939,-1164,0,224,3859,11701,297152,-87805,62637,25167
2023:Q3,129474,12321,-1464,-199335,1300,1186,0,114,30951,-2644,405225,-116880,148820,-31941
2023:Q4,-69171,-11093,-553,-72647,99,-507,0,606,22199,49262,83294,-139731,151565,-11833
2024:Q1,110895,56331,20031,-68462,-927,-252,0,-675,-21911,-64278,62145,127967,-149524,21558
2024:Q2,-59585,1044,-17801,-16910,835,180,0,655,-18939,40139,26652,-74605,49155,25451
2024:Q3,-348876,83105,-329,-345457,1913,2003,0,-90,79787,52623,-129733,-90785,123244,-32459
2024:Q4,-364358,18766,9303,-110035,208,637,0,-429,-12919,-31681,-77045,-160955,169281,-8325
2025:Q1,-415761,17501,3662,-135603,265,-348,0,612,-74072,-62025,-297442,131954,-171722,39769
