1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,2234,2234,2234,2665,2757,-91,-431,-56,124,0,0,0,0,0,73,0,73,1,-320,66,66,0,0,375,1459,1104,243,44,817,0,355,0,0,-1083,2,-1085
1954:Q3,2249,2249,2249,3043,2907,136,-793,294,139,0,0,0,0,0,-50,0,-50,2,139,64,64,0,0,1087,1827,976,265,48,663,1,850,0,0,-740,1,-741
1954:Q4,2265,2265,2265,2891,3019,-128,-626,-287,103,0,0,0,0,0,287,0,287,2,-742,63,63,0,0,339,-798,30,-369,31,368,-1,-827,0,0,1137,3,1134
1955:Q1,2280,2280,2280,3113,3094,19,-832,626,80,0,0,0,0,0,-298,0,-298,2,781,61,61,0,0,1458,1626,686,-12,231,467,1,939,0,0,-168,1,-169
1955:Q2,2305,2305,2305,3167,3368,-201,-861,-229,69,0,0,0,0,0,118,0,118,2,-479,61,61,0,0,632,2133,1704,644,167,893,0,429,0,0,-1501,2,-1503
1955:Q3,2339,2339,2339,3252,3504,-252,-913,169,66,0,0,0,0,0,-6,0,-6,4,45,60,60,0,0,1082,1729,1188,373,104,711,1,540,0,0,-647,1,-648
1955:Q4,2382,2382,2382,3604,3442,162,-1222,-190,68,0,0,0,0,0,292,0,292,4,-614,60,60,0,0,1032,-140,342,71,-8,279,-1,-481,0,0,1171,4,1167
1956:Q1,2436,2436,2436,3422,3346,76,-986,820,37,0,0,0,0,0,-274,0,-274,3,1005,49,49,0,0,1806,1663,615,27,78,510,1,1047,0,0,143,1,142
1956:Q2,2483,2483,2483,2948,3239,-292,-465,250,19,0,0,0,0,0,101,0,101,4,81,45,45,0,0,715,1704,1456,454,140,862,0,248,0,0,-989,2,-991
1956:Q3,2524,2524,2524,3078,3206,-128,-554,605,35,0,0,0,0,0,40,0,40,3,481,46,46,0,0,1159,1502,1000,348,21,631,1,501,0,0,-343,1,-344
1956:Q4,2559,2559,2559,2826,3175,-348,-267,1,80,0,0,0,0,0,289,0,289,3,-423,52,52,0,0,268,-853,21,-286,121,186,-1,-873,0,0,1121,3,1118
1957:Q1,2590,2590,2590,3353,3267,86,-763,742,120,0,0,0,0,0,-313,0,-313,4,876,55,55,0,0,1505,1276,317,-61,160,218,1,958,0,0,230,0,230
1957:Q2,2620,2620,2620,3401,3216,185,-781,-442,139,0,0,0,0,0,121,0,121,7,-768,59,59,0,0,339,764,1092,365,73,654,0,-328,0,0,-424,1,-425
1957:Q3,2652,2652,2652,3475,3325,150,-823,49,177,0,0,0,0,0,-26,0,-26,2,-162,58,58,0,0,872,831,750,76,32,642,0,81,0,0,41,1,40
1957:Q4,2686,2686,2686,3085,3382,-297,-399,-79,230,0,0,0,0,0,259,0,259,3,-619,48,48,0,0,320,-131,294,75,-31,250,0,-425,0,0,452,1,451
1958:Q1,2721,2721,2721,3857,3388,469,-1137,1273,384,0,0,0,0,0,-400,0,-400,2,1239,48,48,0,0,2410,1725,461,-123,213,371,1,1263,0,0,684,1,683
1958:Q2,2750,2750,2750,3741,3426,316,-992,567,558,0,0,0,0,0,72,0,72,0,-101,38,38,0,0,1559,1521,1396,489,129,778,0,125,0,0,38,2,36
1958:Q3,2775,2775,2775,4075,3544,531,-1300,920,480,0,0,0,0,0,34,0,34,10,358,38,38,0,0,2220,1365,1075,60,42,973,1,289,0,0,855,1,854
1958:Q4,2795,2795,2795,4278,3795,483,-1483,-3,150,0,0,0,0,0,295,0,295,4,-497,45,45,0,0,1480,264,868,129,33,706,-1,-603,0,0,1216,3,1213
1959:Q1,2795,2795,2795,3810,3826,-16,-1016,333,-165,0,0,0,0,0,-267,0,-267,5,702,58,58,0,0,1349,2139,1465,87,339,1039,0,674,0,0,-790,2,-792
1959:Q2,2807,2807,2807,3639,3990,-351,-832,-812,-492,0,0,0,0,0,133,0,133,2,-523,68,68,0,0,20,2388,2381,611,286,1484,1,6,0,0,-2368,2,-2370
1959:Q3,2818,2818,2818,3512,4024,-512,-694,-415,-562,0,0,0,0,0,-25,0,-25,12,92,68,68,0,0,279,1907,1589,293,10,1286,1,317,0,0,-1628,2,-1630
