1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q3,209889,3488,92034,47752,13092,12402,12611,4944,4703,30415,-39,-981,514,36706,33731,0,2975,229419,196544,109625,515,38518,17880,20638,516,4727,431,42212,28499,26108,-12395,32875,3953,1652,3821,15664,7785,40969,0,16447,0,0,4048,10092,10382
1984:Q4,255130,3904,109699,77189,17301,22252,17515,11008,9113,31834,-37,-2455,592,34404,32406,0,1998,274746,241150,141650,1071,49589,21692,27897,654,5465,428,42293,27025,26872,-11604,33596,3729,2043,3966,16338,7520,46155,0,18528,0,0,4560,11369,11698
1985:Q1,229399,3937,106799,51977,10499,14845,15111,4511,7011,30614,-38,-1528,594,37044,35609,0,1435,251893,215053,117147,382,43097,19567,23530,594,4199,482,49152,31510,28706,-11064,36840,4503,1848,4284,17401,8804,50682,0,20346,0,0,5007,12485,12844
1985:Q2,253334,3751,108989,61453,12618,15307,16318,5498,11712,36878,-43,-1415,596,43125,42156,0,969,277088,238231,123208,548,56463,24395,32068,598,5280,566,51568,36452,26677,-11561,38857,5025,1819,4552,18040,9421,54618,0,21926,0,0,5396,13454,13842
1985:Q3,265873,4200,116430,68554,13928,17074,18001,6133,13418,38968,-39,-3728,630,40858,40331,0,527,294121,249791,132932,622,55357,25835,29522,602,5699,624,53955,35835,20254,-2134,44330,4540,1825,4724,17952,15289,58225,0,23374,0,0,5753,14343,14755
1985:Q4,356926,6275,143180,96304,14549,22908,23604,19922,15321,50699,-41,-4714,951,64272,64599,0,-327,387736,338390,168182,1342,79230,29462,49768,690,7998,773,80175,57730,24527,-2082,49346,6763,2540,4718,19299,16026,76254,0,30611,0,0,7534,18784,19325
1986:Q1,372604,5531,136776,104438,16125,32687,26056,8541,21029,52848,-29,939,964,71137,63700,0,7437,405667,351818,182329,990,81230,28838,52392,730,6745,654,79140,55975,16084,7081,53849,10424,2610,5285,18191,17339,63574,0,25521,0,0,6281,15660,16112
1986:Q2,391443,5225,155422,104677,18140,32134,27385,7737,19281,52842,-23,-311,947,72664,66190,0,6474,432752,369081,199594,1696,75341,29035,46306,750,7294,643,83763,54290,6615,22858,63671,9921,2644,6157,17847,27102,66327,0,26626,0,0,6553,16338,16810
1986:Q3,405218,6196,180321,105962,15109,33010,29749,10210,17884,55521,-20,-992,988,57242,64859,0,-7617,440873,382094,218387,1322,73090,23580,49510,762,7077,638,80818,53557,6398,20863,58779,9331,2700,6136,18354,22258,71931,0,28876,0,0,7107,17719,18229
1986:Q4,426495,8450,188407,104427,12599,29416,30183,16595,15634,57429,-25,-1094,1576,67325,65514,0,1811,460713,402590,224361,3397,83258,24261,58997,690,7632,932,82320,53503,9246,19571,58123,10953,2540,6398,18845,19387,76381,0,30662,0,0,7546,18815,19358
1987:Q1,432544,6775,197168,92243,10042,24036,29694,12233,16238,53567,-22,-1830,1603,83040,82107,0,933,470128,407023,224187,2952,76068,21884,54184,1005,8787,956,93068,66324,10611,16133,63105,13100,3411,7192,19661,19741,81776,0,32828,0,0,8079,20144,20725
