date,FU893111305.Q,FU313111303.Q,FU313011303.Q,FU893011105.Q,FU313011105.Q,FU313011203.Q,FU313011303.Q,FU263011105.Q,FU263011205.Q,FU313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,0,0,0,0,-96,-96,0,96,96,0
1959:Q2,0,0,0,0,-740,-740,0,740,740,0
1959:Q3,0,0,0,0,-167,-167,0,167,167,0
1959:Q4,0,0,0,0,-72,-72,0,72,72,0
1960:Q1,0,0,0,0,-50,-50,0,50,50,0
1960:Q2,0,0,0,0,-94,-94,0,94,94,0
1960:Q3,0,0,0,0,-638,-638,0,638,638,0
1960:Q4,0,0,0,0,-921,-921,0,921,921,0
1961:Q1,0,0,0,0,-371,-371,0,371,371,0
1961:Q2,0,0,0,0,170,170,0,-170,-170,0
1961:Q3,0,0,0,0,-146,-146,0,146,146,0
1961:Q4,0,0,0,0,-510,-510,0,510,510,0
1962:Q1,0,0,0,0,-304,-304,0,304,304,0
1962:Q2,0,0,0,0,-116,-116,0,116,116,0
1962:Q3,0,0,0,0,-445,-445,0,445,445,0
1962:Q4,0,0,0,0,-25,-25,0,25,25,0
1963:Q1,0,0,0,0,-111,-111,0,111,111,0
1963:Q2,0,0,0,0,-116,-116,0,116,116,0
1963:Q3,0,0,0,0,-196,-196,0,196,196,0
1963:Q4,0,0,0,0,-38,-38,0,38,38,0
1964:Q1,0,0,0,0,-46,-46,0,46,46,0
1964:Q2,0,0,0,0,73,73,0,-73,-73,0
1964:Q3,0,0,0,0,20,20,0,-20,-20,0
1964:Q4,0,0,0,0,-172,-172,0,172,172,0
1965:Q1,0,0,0,0,-833,-833,0,833,833,0
1965:Q2,0,0,0,0,-590,-590,0,590,590,0
1965:Q3,0,0,0,0,-124,-124,0,124,124,0
1965:Q4,0,0,0,0,-119,-119,0,119,119,0
1966:Q1,0,0,0,0,-68,-68,0,68,68,0
1966:Q2,0,0,0,0,-209,-209,0,209,209,0
1966:Q3,0,0,0,0,-173,-173,0,173,173,0
1966:Q4,0,0,0,0,-121,-121,0,121,121,0
1967:Q1,0,0,0,0,-51,-51,0,51,51,0
1967:Q2,0,0,0,0,-15,-15,0,15,15,0
1967:Q3,0,0,0,0,-92,-92,0,92,92,0
1967:Q4,0,0,0,0,-1012,-1012,0,1012,1012,0
1968:Q1,0,0,0,0,-1362,-1362,0,1362,1362,0
1968:Q2,0,0,0,0,-22,-22,0,22,22,0
1968:Q3,0,0,0,0,74,74,0,-74,-74,0
1968:Q4,0,0,0,0,137,137,0,-137,-137,0
1969:Q1,0,0,0,0,-56,-56,0,56,56,0
1969:Q2,0,0,0,0,317,317,0,-317,-317,0
1969:Q3,0,0,0,0,11,11,0,-11,-11,0
1969:Q4,0,0,0,0,695,695,0,-695,-695,0
1970:Q1,1787,867,920,1787,964,44,920,823,-44,867
1970:Q2,37,0,37,37,23,-14,37,14,14,0
1970:Q3,34,0,34,34,-361,-395,34,395,395,0
1970:Q4,-140,0,-140,-140,-562,-422,-140,422,422,0
1971:Q1,1309,717,592,1309,483,-109,592,826,109,717
1971:Q2,-196,0,-196,-196,-652,-456,-196,456,456,0
1971:Q3,-150,0,-150,-150,-450,-300,-150,300,300,0
1971:Q4,3,0,3,3,2,-1,3,1,1,0
1972:Q1,1420,710,710,1420,166,-544,710,1254,544,710
1972:Q2,-7,0,-7,-7,-7,0,-7,0,-0,0
1972:Q3,0,0,0,0,-3,-3,0,3,3,0
