1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q2,4775427,213907,23852,90434,99621,35677,14856,170807,1054421,3632,219597,589746,345286,0,90938,0,153522,93930,147516,27930,0,25445,0,94141,2988689,745386,13456,1683992,545855,2389,11792,57192,19675,2311,0,203711,4798149,4417168,181141,-190,636,52022,128673,735984,2485865,369296,64111,13448,50663,145235,38907,396629,43793,352836,380981,39238,341743,0,ND
1996:Q3,4838884,216681,20243,88020,108418,38227,15357,168392,1037217,3117,212864,583848,339952,0,89801,0,154095,94172,143216,28045,0,22210,0,92961,3050506,764638,14457,1712571,558840,2572,12390,58152,20378,2226,0,216786,4886140,4497039,182026,640,1654,47387,132344,735959,2533115,366656,65458,14449,51009,153592,39652,420580,42665,377915,389101,42830,346271,0,ND
1996:Q4,4888059,232724,23231,88397,121096,45186,18025,175398,1017409,4519,190332,592797,344334,0,89495,0,158968,95778,133983,25167,0,21801,0,87015,3097394,777647,13912,1733661,572174,2933,13551,66632,20799,2610,0,195398,4954752,4551858,195756,4296,85,46352,145023,738569,2563890,369156,67615,13969,53646,160830,42578,413464,46171,367293,402894,52174,350720,0,ND
1997:Q1,4957981,240738,21094,92140,127504,37151,15240,189878,1032862,2693,197146,602059,351105,0,92399,0,158555,95471,135493,23037,0,21347,0,91109,3122974,809777,14491,1747688,551018,2968,9028,67652,21592,11410,0,206488,5025555,4609588,210223,-519,3998,54633,152111,703602,2613247,386112,69252,14507,54745,155659,46071,425422,49265,376157,415967,54022,361945,0,ND
1997:Q2,5028560,234741,22063,90455,122223,38407,13037,177099,1039004,2624,188756,614862,357315,0,93173,0,164374,95868,136894,21762,0,20587,0,94545,3200074,837784,15006,1788784,558500,3027,9606,68893,22336,12610,0,209726,5106796,4675859,214449,461,1894,53360,158734,720858,2642154,371144,71589,15067,56522,171335,45369,438961,49896,389065,430937,57098,373839,0,ND
1997:Q3,5083966,219755,21045,79751,118959,38531,15324,190205,1037619,2704,178518,622562,360258,0,96865,0,165439,97802,136033,18920,0,21701,0,95412,3247545,852700,14745,1821950,558150,3029,9800,69546,22477,12764,0,217371,5186159,4729881,191100,-263,313,33027,158023,684114,2697625,399820,72339,14770,57569,180630,51541,452711,49914,402797,456278,71759,384519,0,ND
1997:Q4,5252016,257351,27785,79128,150438,45004,18025,188971,1077642,2316,181380,652418,371783,0,106997,0,173638,98254,143274,18057,0,22460,0,102757,3304916,888075,13665,1840940,562236,3055,10734,74727,23336,12885,0,235371,5385750,4924314,226739,719,2035,23672,200313,712190,2752527,417882,78145,13684,64461,196065,52634,488132,52966,435166,461436,75863,385573,0,ND
1998:Q1,5244708,224832,23417,71014,130401,37784,22330,216769,1095797,790,186816,662902,380237,0,108135,0,174530,96911,148378,18667,0,28671,0,101040,3339322,912868,11596,1873614,541244,3307,12475,75986,24676,11429,0,180001,5314210,4834267,216587,1502,29,22300,192756,672799,2827705,435553,79712,11568,68144,204115,58278,339518,56084,283434,479943,80882,399061,0,ND
1998:Q2,5310196,230310,21801,66794,141715,38413,21615,205788,1084363,747,166579,654619,362257,0,109989,0,182373,99837,162581,19220,0,32370,0,110991,3390894,958561,10351,1880008,541974,3870,13296,76295,25262,11352,0,208737,5370610,4878539,230985,1416,963,24916,203690,705301,2832603,399419,79756,10348,69408,223205,57063,350207,54882,295325,492071,80697,411374,0,ND
1998:Q3,5404183,211588,24803,60051,126734,39198,22799,230907,1105288,698,139881,686825,386400,0,121373,0,179052,103249,174635,17086,0,35051,0,122498,3441939,985766,10754,1895293,550126,3664,13056,75464,26136,12123,0,222021,5472054,4973205,237500,-1230,1055,25229,212446,662311,2871758,430805,81549,10716,70833,243095,62273,383913,60164,323749,498849,75584,423265,0,ND
1998:Q4,5621831,229881,25146,54314,150421,42057,24873,247279,1168925,817,135008,722568,418724,0,115869,0,187975,106870,203662,17136,0,42769,0,143757,3546750,1024696,9068,1948614,564372,2600,15185,56791,27726,13217,0,246547,5692572,5180833,234364,1636,17,6942,225769,676861,2971401,472419,83857,9131,74726,285017,62696,394218,59653,334565,511739,78719,433020,0,ND
1999:Q1,5646430,220364,21848,60246,138270,38555,21497,219950,1196432,687,145188,735808,406829,0,123662,0,205317,108633,206116,22989,0,44273,0,138854,3564071,1049350,8237,1953416,553068,3311,16259,57295,29210,12496,0,266989,5706002,5177511,241608,-882,246,22676,219568,641153,2984412,479605,83950,8262,75688,294198,63323,389261,58631,330630,528491,86774,441717,0,ND
1999:Q2,5746915,208610,20817,58269,129524,40551,17323,220289,1228486,544,140786,743597,400268,0,121275,0,222054,109881,233678,24292,0,44784,0,164602,3617762,1080837,7377,1987764,541784,3693,16229,57740,30126,12656,0,293450,5792966,5265329,262141,272,220,21963,239686,660373,3004465,491025,84018,7392,76626,322578,59056,381673,59165,322508,527637,90174,437463,0,ND
1999:Q3,5830484,199265,21042,64330,113893,41020,15885,196117,1243484,655,134406,754452,399113,0,124362,0,230977,111794,242177,23145,0,46656,0,172376,3716616,1104910,6514,2064560,540632,3970,15834,58161,31823,12159,0,296151,5879674,5348872,258766,65,480,24580,233641,640392,3055938,478436,84577,6472,78105,358395,64111,408257,57086,351171,530802,89550,441252,0,ND
1999:Q4,6062284,230484,22443,77750,130291,66555,17078,199150,1267267,714,132981,755413,399386,0,120858,0,235169,113205,264954,22827,0,48801,0,193326,3855036,1145303,6605,2133644,569484,4065,17720,67709,33916,13570,0,289734,6085977,5556099,292031,-237,233,28245,263790,677727,3118608,500697,85133,6596,78537,389164,70181,422558,50327,372231,529878,82801,447077,0,ND
