1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,29133,4935,4970,-222,0,-93,-603,-42,275,277,494,1354,266,0,2728,13803,898,60475,18564,10526,29961,0,1424,35256,5608,6911,22720,25219,12956,3615,7241,0,1424,12387,6542,2328,1403,577,1538,940,42904,7241,291,18,35390,25879,9511,237177,18.08952592181229,14.921427834729645,10.911260366730332,4.010167467999312
1952:Q1,9621,-883,1292,-36,0,2469,819,44,1759,-153,726,239,144,0,668,3992,1010,14592,4544,2522,7242,0,285,8957,1473,1800,5679,5635,3071,721,1563,0,285,1835,1274,410,-753,170,734,259,13680,1563,77,287,12327,3288,9039,57300,23.874225159648837,21.512968615146217,5.737347294938918,15.775621320207303
1952:Q2,7839,-1911,2275,-49,0,2164,-270,-123,2336,221,323,143,128,0,708,3920,138,14866,4667,2486,7296,0,417,9146,1491,1820,5830,5721,3176,666,1466,0,417,5412,1732,764,2281,189,446,270,8417,1466,186,100,6865,7945,-1080,63016,13.357627617324944,10.894761043756326,12.60790910245017,-1.7131480586938463
1952:Q3,11618,2609,1529,-48,0,1671,1125,0,771,-225,276,109,125,0,739,3900,708,14415,4665,2233,6934,0,584,9224,1511,1838,5872,5191,3154,395,1062,0,584,3786,1842,595,1087,63,199,276,13299,1062,84,-69,12084,8202,3882,63946,20.797293253782744,18.89724516614596,12.826497460738203,6.070747705407756
1952:Q4,10423,1857,2378,-24,0,414,197,-1,351,-133,668,124,108,0,773,3935,190,15464,4886,2471,7935,0,172,9415,1534,1854,6023,6050,3353,618,1912,0,172,4380,1776,331,2557,88,-372,251,12344,1912,41,-296,10095,8372,1722,66192,18.64867884083171,15.250622421840063,12.648384063088958,2.6022383587511064
1953:Q1,9478,671,1894,-38,0,39,-781,53,918,-151,480,160,137,0,774,4022,1339,16204,4969,2593,8415,0,228,9323,1544,1884,5891,6881,3425,709,2524,0,228,3644,1590,237,379,336,1102,306,13022,2524,51,348,10794,3569,7225,62327,20.892555237234784,17.319063812972427,5.726250260721677,11.592813552250748
1953:Q2,8564,-3310,2632,-51,0,3837,2619,83,868,267,17,295,83,0,760,4167,134,15917,4992,2665,8375,0,-114,9522,1568,1898,6051,6395,3424,766,2324,0,-114,5444,2219,709,1771,295,450,263,9779,2324,137,115,7433,9402,-1969,68649,14.244630353563462,10.827233824129204,13.695078206085325,-2.867844381956122
1953:Q3,9938,2587,1578,-58,0,319,-189,74,799,-365,155,-15,77,0,738,4175,382,16079,4847,2775,8269,0,188,9660,1590,1912,6153,6419,3257,863,2117,0,188,3368,1980,456,682,-9,259,278,13267,2117,82,-63,11006,7524,3482,66979,19.808188065004014,16.431769248728827,11.232956475326313,5.198812773402511
1953:Q4,7801,1140,2131,-44,0,-683,-1198,-55,331,239,664,-69,86,0,710,4226,-360,16070,4788,2759,8056,0,468,9741,1611,1926,6200,6329,3177,833,1856,0,468,1570,1733,229,1260,65,-1717,301,12861,1856,58,-377,10570,8696,1874,68030,18.904373487745637,15.536753936149102,12.782548939626123,2.754204996522982
1954:Q1,6672,-1510,2002,-50,0,339,108,-14,513,-268,26,-41,100,0,692,4019,1095,15572,4813,2630,7958,0,172,10092,1626,1942,6518,5481,3188,688,1439,0,172,1678,1413,271,-1870,269,1595,299,10773,1439,5,400,9729,4214,5515,64052,16.819668213892417,15.189345857360395,6.579055217070572,8.610290640289822
1954:Q2,6824,-860,2941,-60,0,-570,-765,0,292,-97,569,115,53,0,679,4071,-114,15825,5141,2640,8136,0,-91,10290,1645,1958,6681,5535,3496,682,1454,0,-91,5277,2263,915,1262,269,568,286,7368,1454,47,183,6050,9091,-3041,69614,10.584289283702454,8.690639635821451,13.05910786943765,-4.3684682336162
1954:Q3,10265,4367,1611,-51,0,-1081,-1512,12,568,-149,484,-114,114,0,669,3924,342,16431,5518,2742,8036,0,136,10278,1665,1977,6631,6153,3853,765,1405,0,136,5279,2722,738,236,352,1231,286,11424,1405,-123,-82,10061,7008,3053,68206,16.74970563659905,14.75060732010814,10.275160085476664,4.475447234631474
1954:Q4,7860,508,2742,-65,0,-285,-377,-5,718,-621,967,-298,154,0,662,3992,-517,17022,5862,2810,8478,0,-128,10325,1685,1999,6636,6697,4177,812,1842,0,-128,4534,3020,383,1721,463,-1053,293,10316,1842,-81,-475,8080,7833,247,70189,14.697357836099867,11.511662122755494,11.159195740058058,0.3524663826974352
1955:Q1,10028,-233,2092,-39,0,1664,1354,-108,520,-102,277,317,142,0,682,4101,1025,18335,6324,2842,9150,0,19,10634,1719,2009,6900,7702,4605,833,2251,0,19,4850,2881,496,-261,626,1108,311,13191,2251,-109,158,11207,5541,5666,69507,18.9775826366374,16.12354328074751,7.9711682678301035,8.152375012917405
1955:Q2,6617,-2321,2594,-93,0,1486,581,78,1025,-198,320,-280,121,0,709,4296,-215,19078,6469,3118,9691,0,-201,10801,1748,2037,7010,8277,4721,1081,2682,0,-201,9246,3460,747,3053,277,1709,279,5927,2682,50,483,3678,6624,-2946,71917,8.240868587497042,5.114347737072248,9.210617795514274,-4.096270058442025
1955:Q3,12699,3559,1494,-110,0,2042,947,115,851,129,286,-69,169,0,758,4260,310,19522,6376,3300,10099,0,-252,10992,1786,2068,7132,8530,4590,1231,2967,0,-252,7091,3335,678,1788,253,1037,311,14449,2967,10,-103,11369,7466,3903,73864,19.56141809125018,15.391239891524332,10.10746137313635,5.283778518387985
1955:Q4,9359,448,2421,-13,0,1092,-389,373,814,294,667,-50,140,0,756,4271,-373,19430,6111,3298,9859,0,162,11240,1833,2102,7298,8190,4278,1196,2561,0,162,5503,2904,183,2406,4,6,352,12397,2561,-7,-512,9332,8568,764,76011,16.310001763261038,12.277046115248408,11.2720156555773,1.0050304596711084
1956:Q1,10869,-627,2163,-91,0,2166,1463,116,395,192,441,-38,314,0,850,4469,1222,18669,6003,3197,9393,0,76,11851,1834,2194,7816,6818,4169,1003,1577,0,76,3422,2420,781,-698,135,784,368,14633,1577,65,271,13262,7133,6129,75021,19.50462834442671,17.677800433482073,9.508036110009565,8.169764323472508
1956:Q2,8550,-1405,2979,-35,0,1338,-214,237,867,448,362,-555,35,0,909,4648,274,18304,6064,3105,9427,0,-292,12046,1886,2227,7927,6259,4178,879,1501,0,-292,6967,2971,993,2030,226,747,431,8273,1501,194,641,7219,7960,-740,76545,10.808030654301634,9.43170707781998,10.398852954817132,-0.9671458769971535
1956:Q3,12772,2737,1591,-66,0,1730,531,157,872,170,292,-50,323,0,891,4651,673,18331,5958,3106,9395,0,-128,12213,1933,2252,8021,6118,4025,854,1375,0,-128,4890,2847,849,697,70,427,405,14405,1375,84,-224,12722,9072,3650,78482,18.35408634575367,16.209957296643527,11.559693814166987,4.6502634824765385
1956:Q4,10648,1304,2714,-52,0,458,-304,-156,592,326,552,143,114,0,820,4796,-201,18429,5843,3110,9824,0,-348,12462,1978,2271,8205,5967,3864,839,1619,0,-348,3917,2571,260,1602,250,-766,401,13099,1619,52,-658,10770,10488,282,81264,16.11908415021765,13.252799982922884,12.906123579086618,0.3466764038362684
1957:Q1,11599,-949,3232,-47,0,2540,1186,-26,637,743,-369,-157,231,0,744,5268,1106,19015,5744,3182,10002,0,86,12188,1940,2364,7876,6827,3804,818,2126,0,86,2437,2106,235,-1338,132,1302,413,16402,2126,35,373,14614,8372,6242,80297,20.426448074488743,18.19970788886479,10.426013506150621,7.773694382714169
1957:Q2,8631,-1998,3523,-101,0,1010,327,221,275,187,120,73,224,0,667,5633,-520,18866,5621,3158,9902,0,185,12393,1978,2380,8028,6473,3643,779,1875,0,185,5832,2188,699,1981,384,580,478,9750,1875,94,705,8487,8642,-155,81155,12.014205633143813,10.45729874566376,10.648208047612886,-0.19090930194912675
1957:Q3,13041,2816,1887,-102,0,2366,1395,-54,714,311,15,-622,193,0,649,5764,75,18849,5583,3283,9833,0,150,12630,2014,2396,8213,6219,3570,888,1620,0,150,3975,2358,842,748,42,-15,470,15755,1620,-6,-249,13892,9695,4197,83371,18.89709261277317,16.662795812036705,11.628778678373411,5.034017133663294
1957:Q4,10092,-102,3295,-77,0,745,233,363,325,-176,384,-558,187,0,678,5948,-408,18329,5554,3335,9737,0,-297,12746,2047,2414,8276,5584,3507,921,1461,0,-297,2975,1977,383,1246,-198,-433,427,13128,1461,-17,-798,10886,10179,707,84276,15.577265861993913,12.916943466991807,12.078540026460834,0.8384034405309736
1958:Q1,11758,232,3538,-25,0,455,-628,-255,531,807,194,-540,325,0,721,5428,1430,18200,5312,3277,9142,0,469,13207,2029,2484,8686,4993,3284,793,456,0,469,861,1601,693,-2442,603,406,438,16328,456,-29,317,16218,8935,7283,82918,19.691692719769073,19.559030836467812,10.775838351495198,8.783192484972615
1958:Q2,6406,-2973,4130,-100,0,-1738,393,-384,-1065,-682,799,-445,467,0,775,5436,55,17882,5335,3266,8966,0,316,13448,2057,2504,8879,4434,3278,762,87,0,316,5093,2167,1057,929,690,250,423,6171,87,47,758,6795,8668,-1873,83366,7.402368729698107,8.150874753957078,10.3972914637776,-2.2464167098205223
1958:Q3,14865,5971,2873,-1,0,-1467,-2377,-26,477,459,570,-207,339,0,794,5467,526,18684,5711,3301,9142,0,531,13481,2083,2526,8864,5203,3627,775,278,0,531,4942,2893,1046,236,211,556,413,15539,278,85,-230,14946,10007,4939,85959,18.077332119659985,17.387761690627066,11.64191779686465,5.745843893762414
1958:Q4,11847,1070,3558,-67,0,1172,151,35,822,164,896,-930,277,0,783,5391,-303,19695,6291,3478,9443,0,483,13548,2107,2546,8886,6147,4184,932,557,0,483,6057,3142,648,1550,344,373,421,12358,557,-74,-808,11067,11211,-144,88160,14.017652318054552,12.553266263467606,12.716182330809744,-0.16291606734213995
1959:Q1,12207,-467,2175,-34,0,2909,1637,84,845,343,100,-477,428,0,796,5841,936,20592,6991,3463,10155,0,-16,13197,2145,2535,8509,7395,4846,928,1646,0,-16,4665,2788,1283,-499,490,603,423,15360,1646,-35,-289,13460,9680,3781,88517,17.352404233105478,15.206212389142859,10.935156706743602,4.271055682399259
1959:Q2,10110,-1171,3759,-59,0,1019,-87,606,608,-108,196,-662,301,0,802,6185,-260,21085,7218,3641,10577,0,-351,13434,2165,2555,8706,7651,5053,1086,1871,0,-351,9453,3439,1646,2887,529,952,433,8741,1871,45,154,6979,9749,-2770,90149,9.696669998157358,7.741850754460811,10.814595835782983,-3.07274508132217
1959:Q3,14960,3302,2003,-52,0,3048,1535,488,990,35,-190,-1177,355,0,861,6438,372,21089,7073,3748,10780,0,-512,13565,2183,2574,8800,7523,4890,1174,1979,0,-512,8179,3716,1388,2040,9,1026,471,14775,1979,187,26,12634,8603,4031,90370,16.34909527814051,13.98076304215381,9.5198048013987009,4.460958240755109
1959:Q4,9280,-834,2591,-44,0,3347,1719,256,1304,68,-1000,-1172,335,0,962,6259,-1164,20431,6884,3647,10260,0,-360,13664,2199,2591,8865,6767,4685,1056,1395,0,-360,6037,3092,676,3295,106,-1132,479,10488,1395,-133,149,9375,9185,191,91538,11.457393719455391,10.241778346604772,10.03353798422513,0.20824036237964025
1960:Q1,12872,-2045,1997,-56,0,5348,4053,-637,610,1322,-554,-720,311,0,939,5895,1757,22009,7134,3641,10606,-159,787,14037,2267,2553,9208,7972,4868,1087,1399,-159,787,3652,2481,1277,-1456,100,1250,503,17695,1399,-75,-189,16182,9782,6401,93055,19.01539574935222,17.390012911245723,10.511794100263284,6.878218810982438
1960:Q2,8839,-1914,3634,-58,0,798,-1052,279,1100,471,522,-1049,333,0,877,6221,-525,21192,6568,3601,10835,-163,353,14161,2283,2579,9291,7031,4285,1022,1544,-163,353,8283,2786,1350,2865,490,792,562,8149,1544,366,294,6534,9179,-2645,93972,8.6720863579795,6.952957255693713,9.767803175413952,-2.8148459197202396
1960:Q3,13096,3488,3125,-44,0,-647,-540,-615,431,77,928,-1010,268,0,767,5755,466,20848,6362,3501,10715,-168,438,14290,2299,2598,9384,6557,4063,903,1331,-168,438,6007,3216,1266,968,289,268,536,14182,1331,-84,-21,12914,9561,3354,94380,15.026939501428302,13.683434521559686,10.129794447976266,3.5536400735834195
1960:Q4,10809,1755,3180,-29,0,-703,-1471,-261,504,525,1681,-1195,137,0,645,5801,-463,19741,6360,3524,10428,-174,-396,14387,2316,2612,9450,5354,4044,912,978,-174,-396,5268,2796,887,1658,135,-208,642,11537,978,-153,-50,10662,9329,1333,94663,12.187129428246278,11.262795410905772,9.85498519745095,1.4078102134548212
1961:Q1,9563,-2105,5240,-41,0,-1364,-479,-674,-238,27,-33,-442,418,0,688,5776,1426,19499,6358,3529,9839,-183,-43,14440,2357,2599,9475,5059,4001,930,364,-183,-43,3637,2267,1604,-1909,856,819,638,11623,364,-127,-59,11327,10570,757,96046,12.100997255884364,11.792812397027301,11.004594140843604,0.7882182561836976
1961:Q2,12048,-1615,5395,-29,0,114,-1434,-135,841,842,1710,-828,288,0,793,6277,-57,20135,6395,3623,10090,-188,215,14483,2377,2611,9486,5651,4018,1013,604,-188,215,7645,2958,1604,1258,747,1078,598,10652,604,323,343,10068,10649,-581,97358,10.941054404307424,10.340694393727942,10.937696599928614,-0.5970022062006725
1961:Q3,12860,2993,2637,-31,0,467,1332,20,-430,-455,391,-1265,411,0,923,5836,498,21152,6736,3668,10384,-193,558,14586,2399,2627,9551,6566,4337,1042,833,-193,558,6143,3576,1767,485,243,72,643,13926,833,-112,-84,13121,11438,1683,98890,14.082365923071013,13.268332183647763,11.566610459575136,1.7017217240726281
1961:Q4,12499,559,5112,-23,0,1016,-472,348,1326,-186,1134,-2233,554,0,1043,5851,-514,22009,6949,3778,10874,-197,606,14703,2422,2645,9626,7307,4527,1133,1248,-197,606,7167,3848,1297,2353,309,-640,631,13269,1248,-137,-147,12011,11729,283,101031,13.13386945388564,11.8889483656994,11.608870588584635,0.28007777711476567
1962:Q1,11371,-1736,6359,-43,0,-25,904,-25,-1037,133,63,-1559,322,0,1032,5916,1042,22702,7072,3893,11125,-198,810,14772,2455,2659,9649,7930,4616,1235,1477,-198,810,3826,2461,1458,-1397,148,1156,605,16079,1477,-120,-240,14483,12178,2305,102802,15.640862445269835,14.087880871422959,11.846044225685722,2.241836645737237
1962:Q2,10823,-2156,6876,-29,0,-244,17,-157,-85,-19,1501,-2206,284,0,988,6269,-460,22877,7275,4019,11439,-201,345,14896,2481,2680,9727,7981,4794,1340,1713,-201,345,9266,3749,1884,3397,27,209,682,10219,1713,377,281,8411,11959,-3548,104050,9.821573552046246,8.083707141666622,11.493753003363768,-3.410045861697146
1962:Q3,14631,1843,5343,-28,0,1161,1578,-124,468,-761,692,-1366,56,0,912,5720,298,23091,7253,4091,11560,-205,392,15044,2507,2700,9828,8047,4746,1391,1733,-205,392,8136,4108,1707,1191,535,595,662,15204,1733,-138,-37,13573,11531,2041,104654,14.528018982414714,12.969068634242767,11.018477598748252,1.9505910354945144
1962:Q4,13291,1593,7405,-19,0,-1047,-1249,-51,235,18,501,-1625,210,0,835,5904,-466,23373,7223,4083,12022,-209,255,15211,2534,2719,9949,8163,4689,1364,2073,-209,255,8383,3962,1560,2718,355,-212,690,13760,2073,-81,52,11820,11033,787,105777,13.008312967869266,11.174257199338449,10.430483141340467,0.7437740579979802
1963:Q1,11429,1175,6937,-26,0,-3732,-3529,-226,-422,445,-253,-1089,204,0,957,6309,947,24250,7479,4067,12190,-213,729,15366,2548,2749,10060,8884,4931,1318,2130,-213,729,5307,3045,1548,-409,757,366,699,15705,2130,-117,-214,13478,11473,2005,107206,14.64962830938356,12.572319203549934,10.70205958621719,1.8702596173327435
1963:Q2,13421,-1303,7265,-24,0,-859,-560,-9,-23,-267,2094,-1797,141,0,1023,7042,-161,24755,7983,4224,12489,-218,278,15528,2578,2771,10170,9227,5405,1453,2319,-218,278,11878,4449,2150,3282,1151,846,727,11496,2319,429,397,9145,11319,-2174,108144,10.63049680910832,8.456533510343254,10.466648480953548,-2.010114970610294
1963:Q3,15133,2670,4716,-28,0,361,1387,0,-514,-512,211,-1303,371,0,1095,6743,297,25012,8039,4328,12679,-223,190,15732,2610,2796,10317,9280,5429,1532,2362,-223,190,9135,4861,1919,2145,667,-457,760,16038,2362,-110,-13,13773,11340,2433,110007,14.57923848334335,12.520041981318467,10.308027252935053,2.2120147283834135
1963:Q4,17211,1992,7190,-15,0,1653,421,0,966,266,881,-2427,255,0,1162,7010,-490,25836,8345,4414,12920,-229,387,15942,2644,2824,10464,9894,5701,1589,2456,-229,387,9921,4444,1667,3508,444,-142,700,17884,2456,-64,-104,15389,12966,2423,112865,15.845806595314063,13.63453649386543,11.487839454215212,2.146697039650216
1964:Q1,14601,-2704,5809,-17,0,1579,1380,0,381,-182,1025,-517,26,0,1084,7376,940,26599,8772,4482,13429,-236,152,16160,2682,2854,10613,10440,6090,1628,2816,-236,152,6325,3670,1364,171,475,645,738,19454,2816,-111,-41,16708,13553,3155,115880,16.787993935523197,14.418301149882879,11.695719710044875,2.7225814398380037
1964:Q2,15940,568,7243,-18,0,212,27,0,637,-452,-577,-1261,315,0,1087,8150,221,26574,8464,4568,13772,-240,10,16401,2722,2891,10777,10173,5742,1677,2995,-240,10,12447,4592,2220,3771,502,1362,837,14503,2995,407,498,11599,13619,-2021,118016,12.288837082768593,9.828143360333828,11.54022141159424,-1.712078051260411
1964:Q3,21062,4639,5579,-18,0,939,-206,0,1026,119,1485,-1448,256,0,1107,7921,602,26904,8355,4665,14212,-243,-85,16636,2766,2930,10929,10268,5590,1735,3284,-243,-85,8878,4708,2021,2330,98,-279,857,23309,3284,-79,-81,20024,13405,6619,120115,19.40586623432214,16.67056519927024,11.159745160357074,5.510820038913164
1964:Q4,18360,3938,7474,-19,0,490,-1133,245,716,662,297,-3333,347,0,1138,8154,-126,26686,8393,4727,13749,-246,63,16887,2813,2973,11089,9799,5581,1753,2660,-246,63,9462,4259,1708,3210,29,256,873,19570,2660,-90,-300,16700,14705,1995,122113,16.02580816667834,13.675930696880956,12.042149570786014,1.6337811260949413
1965:Q1,15954,-2317,7750,-25,0,1143,2627,-224,-1083,-177,217,-2017,535,0,1098,8600,970,28918,8431,4978,15089,-245,665,17062,2863,3021,11166,11856,5568,1957,3923,-245,665,6188,3556,1380,293,581,378,899,22520,3923,-79,-312,18364,14223,4141,124341,18.11159343349423,14.769165468406356,11.438526790292,3.3306386781143553
1965:Q2,15092,317,6267,-23,0,-261,-435,597,21,-444,574,-2619,247,0,1233,9236,121,29167,8524,5163,15067,-247,660,17381,2918,3069,11381,11786,5606,2094,3686,-247,660,12626,4438,2387,4598,547,656,856,15107,3686,498,275,11199,14089,-2890,126058,11.984352530450803,8.883789494857988,11.176623412681884,-2.2928339178238977
1965:Q3,22806,6043,5564,-17,0,1312,-398,291,1123,296,287,-2108,739,0,1274,8999,713,29756,8572,5300,15504,-249,630,17657,2978,3117,11548,12099,5593,2183,3956,-249,630,9199,4713,2157,2148,60,121,904,26609,3956,-51,-63,22642,15443,7199,129761,20.50644060281259,17.448697795376596,11.900940769839877,5.547757025536718
1965:Q4,18498,2800,7892,-19,0,-631,-1506,223,1616,-964,1112,-3794,552,0,1220,9432,-66,30529,8637,5495,16068,-253,582,17933,3043,3169,11707,12596,5594,2327,4361,-253,582,10411,4407,1762,3098,792,352,951,21634,4361,-91,184,17548,14998,2550,132838,16.28602192184948,13.210277263422185,11.290653447532799,1.9196238158893868
1966:Q1,19815,-1568,5595,-20,0,6587,4013,711,1135,728,-865,-3326,1002,0,1173,10035,1202,31516,8746,5529,16851,-259,649,18191,3081,3253,11842,13325,5666,2276,5009,-259,649,6396,3569,2268,-393,1137,-185,987,27731,5009,-92,-666,22148,14973,7176,135452,20.472933439498263,16.351532052285865,11.053956582245306,5.297575470040561
1966:Q2,17069,-1086,5452,-116,0,1049,-3164,3103,1112,-2,2003,-2930,574,0,1141,10831,151,30052,8363,5576,16247,-263,128,18572,3150,3303,12104,11480,5213,2273,4144,-263,128,12228,3874,2175,3109,857,2213,992,17312,4144,516,405,13058,14985,-1927,136812,12.654108784388557,9.54435558381697,10.953026609605185,-1.4086710257882182
1966:Q3,21507,2925,1993,-52,0,5529,2923,778,280,1548,537,-2384,140,0,1157,10473,1189,30573,8027,5624,16854,-265,333,18974,3220,3351,12387,11599,4807,2273,4467,-265,333,5556,3040,1659,784,328,-255,961,28512,4467,-104,196,24345,15290,9055,139440,20.44722767066575,17.459024859420772,10.965289730349971,6.4937351290708
