1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,-2106,208,-4559,246,1492,507,-2106,-2333,0,477,-4302,1492,321,-54,-13,-19,8,0,399,0,0,0,0,-94,-2106,2174,1664,253,0,6,251,-4279,-1383,-4157,-17,-1,3,79,567,375,0,276,0,6,18,0,133,0,0,0,-485,0,307,-1
1955:Q2,-60,-65,-976,-720,1112,589,-60,-305,0,604,-2021,1112,303,-122,-31,316,9,0,131,0,0,0,0,-58,-60,1148,1486,-640,0,1,301,-1190,-82,-2369,95,-5,4,145,306,362,0,271,0,51,21,0,-113,0,0,0,32,0,92,-18
1955:Q3,3780,-27,2194,-391,1401,603,3780,3418,0,465,1552,1401,402,12,4,241,10,0,135,0,0,0,0,-40,3780,4255,2042,1924,0,-4,293,-675,-2,-1912,27,-5,4,293,489,302,0,329,0,67,21,0,-232,0,0,0,-115,0,59,200
1955:Q4,6395,-271,2998,1117,1029,1522,6395,6032,0,1302,3701,1029,364,-24,-6,403,11,0,-20,0,0,0,0,-1,6395,4133,1092,2694,0,16,331,2197,994,-187,60,-3,4,175,85,216,0,351,0,25,20,0,299,0,0,0,320,0,-162,65
1956:Q1,-1450,577,-4465,123,1235,1080,-1450,-2802,0,422,-4459,1235,1262,16,3,106,11,0,1126,0,0,0,0,90,-1450,229,2166,-2149,0,-5,217,-2118,-1097,-2679,-69,3,4,42,317,244,0,455,0,96,20,0,320,0,0,0,-296,0,522,439
1956:Q2,-3385,-105,-5222,-250,921,1271,-3385,-3880,0,887,-5688,921,414,19,5,205,11,0,174,0,0,0,0,81,-3385,-1502,1338,-3193,0,-1,354,-1968,157,-2667,-6,7,4,42,272,300,0,246,0,-90,19,0,11,0,0,0,-76,0,-187,85
1956:Q3,3732,180,974,14,1185,1379,3732,3104,0,1179,740,1185,554,97,25,243,5,0,184,0,0,0,0,74,3732,1964,1730,-59,0,-8,301,1402,-165,327,-22,8,4,151,522,393,0,233,0,199,19,0,-10,0,0,0,-198,0,-59,366
1956:Q4,5504,-174,3161,334,824,1359,5504,5428,0,1004,3600,824,11,132,32,-111,6,0,-48,0,0,0,0,65,5504,1873,458,1149,0,3,263,3936,1334,1501,-11,7,3,170,255,492,0,213,0,26,22,0,-31,0,0,0,148,0,-193,-305
1957:Q1,3027,566,-1150,427,1063,2121,3027,1380,0,1445,-1128,1063,1430,41,11,397,8,0,973,0,0,0,0,217,3027,2297,2540,-325,0,11,71,643,-1955,941,-24,5,4,53,568,491,0,345,0,43,23,0,116,0,0,0,-395,0,428,87
1957:Q2,-2834,-278,-5430,158,911,1805,-2834,-3539,0,1432,-5882,911,579,-32,-8,601,9,0,9,0,0,0,0,126,-2834,-841,1010,-1861,0,-2,12,-1907,-31,-3193,16,3,4,92,498,436,0,343,0,97,25,0,-73,0,0,0,89,0,-213,-86
