1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,140052,4815,27184,1565,0,0,512,22277,2830,106729,4120,8977,724,92908,416,126,290,908,0,140052,68458,44298,26760,17538,6155,7131,7377,0,2830,0,1344,1111,358,0,195,115,903,0,521,0,1362,1362,0,5271
1954:Q4,145818,4829,27533,1359,0,0,494,23211,2469,112081,4172,9902,1075,96932,457,139,318,918,0,145818,68863,45970,28329,17641,5567,8137,7129,0,2469,0,1323,1240,357,0,194,112,877,0,557,0,1708,1708,0,8444
1955:Q1,141720,4841,26963,1680,0,0,386,22067,2830,108542,4070,9789,840,93843,447,134,313,927,0,141720,68549,44536,26814,17722,5564,8085,7334,0,2830,0,1316,1061,367,0,191,102,888,0,579,0,1360,1360,0,6292
1955:Q2,142822,4846,26958,1192,0,0,383,22702,2681,109610,5078,10278,906,93348,474,143,331,934,0,142822,66159,45547,27756,17791,6987,8539,7255,0,2681,0,1319,1089,385,0,185,104,911,0,581,0,1432,1432,0,6903
1955:Q3,143786,4850,27175,1303,0,0,384,22528,2960,110353,4220,9543,855,95735,465,139,326,943,0,143786,69652,46161,28304,17857,6179,7665,7645,0,2960,0,1331,1160,404,0,179,99,948,0,564,0,1378,1378,0,5106
1955:Q4,148362,4852,27876,1161,0,0,409,23624,2682,114202,3709,10273,981,99239,476,142,334,956,0,148362,70033,47206,29282,17924,5297,8156,7541,0,2682,0,1348,1265,415,0,174,132,995,0,530,0,1532,1532,0,8597
1956:Q1,145134,4859,27027,1299,0,0,349,22489,2890,111789,6170,10635,1087,93897,487,146,341,972,0,145134,69369,44101,26140,17961,7778,8259,7487,0,2890,0,1354,1050,419,0,175,92,999,0,508,0,1582,1582,0,6558
1956:Q2,144767,4876,27435,1290,0,0,306,23566,2273,110949,5232,11453,1161,93103,516,156,360,991,0,144767,67945,44957,26977,17980,7178,8878,6875,0,2273,0,1345,1086,417,0,178,76,998,0,502,0,1623,1623,0,7311
1956:Q3,145544,4890,27468,1363,0,0,334,22671,3100,111629,5110,9884,1063,95572,544,166,378,1013,0,145544,70647,45292,27277,18015,6961,7163,7699,0,3100,0,1320,1084,414,0,183,88,997,0,513,0,1563,1563,0,6219
1956:Q4,150863,4910,28421,1216,0,0,325,23619,3261,115934,3733,10449,1258,100494,559,170,389,1039,0,150863,71871,47085,28990,18095,5009,7628,8095,0,3261,0,1280,1281,415,0,190,132,998,0,538,0,1753,1753,0,9422
1957:Q1,146882,4929,27193,1301,0,0,352,22630,2910,113143,6385,10486,935,95337,547,169,378,1070,0,146882,70801,44618,26402,18216,8235,7558,7514,0,2910,0,1253,1074,424,0,200,85,1009,0,559,0,1456,1456,0,6700
1957:Q2,145993,4951,27849,1256,0,0,462,23181,2950,111522,4490,11656,1443,93933,565,177,388,1106,0,145993,68664,45455,27100,18355,6467,8561,7662,0,2950,0,1242,1142,439,0,214,92,1015,0,568,0,2082,2082,0,7102
1957:Q3,147768,4970,27772,1385,0,0,380,22967,3040,113286,6330,9757,1441,95758,597,177,420,1143,0,147768,71303,46244,27712,18532,7967,6419,7788,0,3040,0,1249,1150,454,0,228,81,1022,0,564,0,1998,1998,0,6049
1957:Q4,150459,4990,28451,1242,0,0,365,23509,3335,115203,3898,10693,1558,99054,638,179,459,1177,0,150459,70971,47786,29024,18762,5145,7018,8288,0,3335,0,1272,1292,466,0,237,113,1026,0,547,0,2102,2102,0,9149
1958:Q1,146297,5026,27112,1353,0,0,262,22607,2890,112363,5560,10629,1224,94950,585,183,402,1211,0,146297,70819,45118,25972,19146,6857,6644,7732,0,2890,0,1298,1170,475,0,242,84,1036,0,537,0,1669,1669,0,7458
1958:Q2,150882,5047,27504,1102,0,0,277,23108,3017,116532,9460,11976,1473,93623,552,195,357,1247,0,150882,67287,46923,27218,19705,10556,7830,7961,0,3017,0,1321,1210,482,0,245,109,1040,0,537,0,1945,1945,0,8380
1958:Q3,148719,5063,27609,1176,0,0,320,22973,3140,114180,4220,10294,1078,98588,589,198,391,1278,0,148719,72779,48395,28211,20184,5516,6112,8101,0,3140,0,1337,1217,488,0,245,79,1046,0,549,0,1596,1596,0,6220
1958:Q4,156218,5078,28435,1041,0,0,279,23866,3249,120791,4250,10928,1529,104084,618,198,420,1296,0,156218,73698,50418,30083,20335,5453,6808,8443,0,3249,0,1345,1366,496,0,244,125,1047,0,571,0,2006,2006,0,9392
1959:Q1,150207,5090,27629,1231,0,0,315,22993,3090,115552,3590,11889,1422,98651,819,213,606,1108,9,150207,73247,47434,27264,20170,4986,7908,8157,0,3090,0,1348,1218,505,0,241,83,1082,0,590,0,1950,1950,0,6525
1959:Q2,151672,5123,28026,929,0,0,306,23531,3260,116495,4420,11868,1586,98621,1099,230,869,919,10,151672,72429,47908,28230,19678,5914,8083,8404,0,3260,0,1348,1206,516,0,234,120,1118,0,602,0,2122,2122,0,6812
1959:Q3,153828,5153,28094,1081,0,0,318,23455,3240,118585,6140,11207,1479,99759,1372,249,1123,614,10,153828,76003,46864,27748,19116,7379,7734,8374,0,3240,0,1345,1158,527,0,227,112,1160,0,605,0,2046,2046,0,5428
1959:Q4,157428,5155,28683,895,0,0,353,24423,3012,121941,5050,11458,1525,103908,1028,262,766,611,10,157428,75548,47933,29196,18737,6111,8479,8376,0,3012,0,1337,1309,535,0,221,157,1205,0,600,0,2140,2140,0,8841
1960:Q1,149835,5184,27554,947,0,0,231,23016,3360,115409,4410,11606,1086,98307,1055,259,796,622,11,149835,73762,45006,26528,18478,5762,9070,8500,0,3360,0,1334,1127,538,0,223,102,1217,0,599,0,1576,1576,0,6159
1960:Q2,152815,5198,28035,899,0,0,264,23382,3490,117845,7030,11418,1354,98043,1085,255,830,641,11,152815,72042,45819,27535,18284,8627,9042,8753,0,3490,0,1333,1188,536,0,229,146,1230,0,601,0,1873,1873,0,6659
1960:Q3,154825,5219,27909,958,0,0,200,23211,3540,119912,7440,11297,1385,99790,1109,251,858,665,11,154825,75669,45882,27737,18145,8918,8692,8791,0,3540,0,1333,1183,536,0,236,104,1249,0,610,0,1836,1836,0,5037
1960:Q4,159668,5242,28716,862,0,0,226,24282,3346,123862,5945,11674,1649,104594,1148,247,901,688,12,159668,77538,46287,28243,18044,7154,8466,8844,0,3346,0,1332,1330,546,0,243,152,1271,0,624,0,2122,2122,0,9257
1961:Q1,152658,5253,27775,926,0,0,282,22937,3630,117734,4160,11703,2106,99765,1168,254,914,716,12,152658,75482,44478,26462,18016,5382,7873,9050,0,3630,0,1337,1232,568,0,251,81,1309,0,642,0,2642,2642,0,7751
1961:Q2,154878,5281,28172,787,0,0,256,24226,2903,119417,6362,11849,2002,99204,1247,260,987,749,12,154878,73819,45833,27769,18064,7457,7732,8497,0,2903,0,1344,1270,601,0,260,115,1344,0,660,0,2518,2518,0,9022
1961:Q3,159286,5406,28524,901,0,0,369,23384,3870,123369,7750,11639,2136,101844,1192,239,953,783,12,159286,76743,46036,27903,18133,9428,7540,9609,0,3870,0,1354,1309,635,0,269,115,1381,0,676,0,2744,2744,0,7186
1961:Q4,166056,5429,29672,887,0,0,294,24802,3689,128898,5946,12242,2586,108124,1229,218,1011,815,13,166056,76926,49835,31673,18162,7055,8438,9696,0,3689,0,1365,1392,660,0,277,207,1418,0,688,0,3098,3098,0,11008
1962:Q1,158400,5432,28689,899,0,0,262,23628,3900,122141,6260,11732,2884,101265,1280,235,1045,845,13,158400,75175,46388,28211,18177,7435,8262,9703,0,3900,0,1388,1219,677,0,285,103,1441,0,690,0,3381,3381,0,8056
1962:Q2,161827,5442,29672,991,0,0,353,25143,3185,124503,9554,11814,2814,100321,1323,253,1070,873,14,161827,73040,47655,29469,18186,10910,8483,9096,0,3185,0,1422,1213,687,0,294,148,1464,0,683,0,3420,3420,0,9223
1962:Q3,161803,5394,29645,916,0,0,273,24186,4270,124605,8090,11509,2364,102642,1242,224,1018,903,14,161803,75396,48433,30249,18184,9864,8143,10300,0,4270,0,1454,1289,695,0,302,134,1488,0,668,0,2861,2861,0,6806
1962:Q4,172258,5411,31198,977,0,0,292,25410,4519,133502,7158,12071,2740,111533,1194,201,993,938,15,172258,77148,52727,34564,18163,8098,8530,10849,0,4519,0,1471,1457,707,0,307,227,1513,0,648,0,3233,3233,0,11673
1963:Q1,163551,5422,30528,1291,0,0,219,24808,4210,125495,7330,12143,2470,103552,1113,225,888,978,15,163551,78347,45910,27771,18139,8646,8408,10182,0,4210,0,1473,1230,721,0,311,107,1478,0,652,0,2914,2914,0,9144
1963:Q2,168587,5431,31433,1175,0,0,219,26556,3483,129557,11060,12396,2804,103297,1127,227,900,1023,16,168587,77211,47273,29185,18088,12595,8576,9529,0,3483,0,1462,1246,735,0,313,193,1442,0,655,0,3250,3250,0,10153
1963:Q3,168246,5432,31916,1328,0,0,180,25858,4550,128758,8850,11765,2786,105357,1055,203,852,1069,16,168246,79930,47860,29821,18039,10100,7950,10635,0,4550,0,1446,1350,752,0,314,147,1405,0,671,0,3169,3169,0,8602
1963:Q4,177184,5422,33727,1241,0,0,216,28011,4259,135811,6548,13195,3064,113004,1097,219,878,1110,17,177184,81977,51445,33427,18018,7671,9466,10481,0,4259,0,1432,1466,773,0,313,201,1365,0,672,0,3499,3499,0,12645
1964:Q1,170128,5423,32982,1516,0,0,174,26792,4500,129423,7870,13951,3159,104443,1133,240,893,1150,17,170128,79273,46864,28846,18018,9058,9816,10514,0,4500,0,1424,1294,802,0,313,126,1361,0,694,0,3573,3573,0,11030
1964:Q2,175286,5422,33838,1330,0,0,196,27773,4539,133485,10257,12582,3484,107162,1334,244,1090,1189,18,175286,79831,48853,30806,18047,11686,8979,10629,0,4539,0,1418,1279,850,0,313,188,1353,0,689,0,3924,3924,0,11384
1964:Q3,177659,5397,34303,1367,0,0,175,27981,4780,135111,9200,12590,3680,109641,1604,297,1307,1226,18,177659,84639,49083,30996,18087,10996,8962,10859,0,4780,0,1411,1314,857,0,313,151,1349,0,684,0,4152,4152,0,8968
1964:Q4,186372,5249,36225,1586,0,0,269,29838,4532,141790,6510,13519,3897,117864,1832,292,1540,1257,19,186372,84785,50857,32738,18119,8165,10728,10832,0,4532,0,1396,1488,892,0,311,187,1345,0,681,0,8253,4458,3795,12752
1965:Q1,178822,5234,35352,1569,0,0,201,28742,4840,134950,8350,13591,3825,109184,1987,303,1684,1280,19,178822,82442,47544,29399,18145,10202,9817,10758,0,4840,0,1380,1286,752,0,311,123,1379,0,687,0,8010,4329,3681,10049
1965:Q2,184404,5256,36097,1419,0,0,214,29486,4978,139887,11796,13385,3740,110966,1852,294,1558,1292,20,184404,82729,48384,30209,18175,13387,9525,10913,0,4978,0,1358,1279,728,0,311,150,1411,0,698,0,7984,4248,3736,11482
1965:Q3,182696,5316,36990,1656,0,0,233,29731,5370,137430,7370,13205,3940,112915,1632,287,1345,1308,20,182696,88745,47468,29266,18202,9080,9243,11372,0,5370,0,1337,1296,760,0,312,140,1448,0,709,0,8254,4460,3794,8534
1965:Q4,193982,5419,38266,1428,0,0,201,31786,4851,147271,5525,14244,4065,123437,1661,317,1344,1344,21,193982,91520,51276,33053,18223,6750,10151,11305,0,4851,0,1321,1503,941,0,317,172,1489,0,711,0,8509,4583,3926,14471
1966:Q1,185740,5580,37676,1486,0,0,341,30379,5470,139414,5120,14692,3950,115652,1649,316,1333,1399,22,185740,89949,46170,27944,18226,6716,10473,11544,0,5470,0,1318,1073,957,0,325,143,1528,0,730,0,8594,4607,3987,12294
1966:Q2,194220,5822,39063,1815,0,0,516,31498,5234,145885,10997,14931,3797,116160,1956,337,1619,1472,22,194220,88870,46966,28747,18219,13162,10625,11287,0,5234,0,1324,1097,791,0,335,201,1559,0,746,0,8713,4650,4063,14597
1966:Q3,188424,5930,39705,2404,0,0,393,31078,5830,139268,6000,13966,4025,115277,1948,333,1615,1550,23,188424,91803,45828,27617,18211,8758,9614,11880,0,5830,0,1331,1159,719,0,349,143,1585,0,764,0,8868,4751,4117,11673
1966:Q4,199039,6161,40499,1592,0,0,405,33052,5450,148892,4992,15047,4251,124602,1844,307,1537,1620,23,199039,93353,50584,32371,18213,6370,10691,12014,0,5450,0,1329,1547,758,0,368,175,1603,0,784,0,9225,4963,4262,16802
1967:Q1,191734,6348,39773,2012,0,0,384,31407,5970,142116,5520,14627,4150,117819,1780,299,1481,1693,24,191734,92714,47501,29265,18236,7334,10771,12435,0,5970,0,1321,1308,824,0,407,140,1619,0,846,0,9130,4833,4297,11849
1967:Q2,196558,6456,41430,2783,0,0,402,33391,4854,144689,5152,15207,4066,120264,2188,315,1873,1771,24,196558,93542,49438,31172,18266,8451,10821,11473,0,4854,0,1305,1384,839,0,415,130,1634,0,912,0,9121,4783,4338,13712
1967:Q3,200715,6604,41167,2234,0,0,428,32253,6252,148972,7022,14283,4300,123367,2100,328,1772,1847,25,200715,97391,50599,32297,18302,8428,10659,12962,0,6252,0,1291,1431,882,0,381,120,1655,0,950,0,9447,5056,4391,11229
1967:Q4,214840,6628,43402,2467,0,0,396,34608,5931,160896,5234,15564,4562,135536,1974,332,1642,1914,26,214840,103731,53161,34817,18344,7525,11427,12834,0,5931,0,1285,1576,894,0,303,178,1677,0,990,0,9787,5290,4497,16375
1968:Q1,203893,6799,42010,2096,0,0,448,33216,6250,150756,5320,15716,4480,125240,2333,372,1961,1969,26,203893,99805,51582,33207,18375,6850,10738,12893,0,6250,0,1297,1164,871,0,365,125,1697,0,1124,0,9801,5300,4501,12224
1968:Q2,210122,6708,43275,1912,0,0,431,35742,5190,155115,4970,16284,4402,129459,3007,435,2572,1990,27,210122,101539,53418,35000,18418,6502,11587,12223,0,5190,0,1324,1225,950,0,403,148,1709,0,1274,0,9824,5268,4556,15029
1968:Q3,214856,6741,43842,1824,0,0,403,34955,6660,160116,9040,14479,4600,131997,2094,546,1548,2036,27,214856,105852,53308,34846,18462,9687,9722,14124,0,6660,0,1351,1434,983,0,429,151,1718,0,1398,0,10175,5549,4626,11988
1968:Q4,231213,6795,46042,1398,0,0,477,36972,7195,173076,5010,16876,4836,146354,3105,538,2567,2166,29,231213,112659,56030,37531,18499,5119,10766,15012,0,7195,0,1362,1682,1015,0,377,181,1735,0,1465,0,10637,5851,4786,20990
1969:Q1,216732,6826,44336,1217,0,0,404,36225,6490,158410,5510,16681,4825,131394,4940,566,4374,2191,29,216732,105257,55280,36754,18526,5837,10527,14130,0,6490,0,1361,1347,1005,0,497,194,1749,0,1487,0,10605,5795,4810,15096
1969:Q2,225875,6736,46491,1891,0,0,419,37923,6258,165339,5639,16930,4814,137956,5048,554,4494,2231,30,225875,106702,59098,40552,18546,7073,10747,13599,0,6258,0,1347,1217,1009,0,315,216,1767,0,1470,0,10717,5787,4930,17939
1969:Q3,223466,6761,46826,1885,0,0,410,37581,6950,162251,7610,16505,5000,133136,5326,590,4736,2271,31,223466,105362,59656,41094,18562,7781,10300,14508,0,6950,0,1331,1279,1004,0,329,394,1794,0,1427,0,11030,6000,5030,14829
1969:Q4,239392,6848,49383,1969,0,0,377,39717,7320,177739,5054,17558,5205,149922,3093,593,2500,2297,32,239392,110925,61700,43122,18578,6915,12645,15046,0,7320,0,1321,1634,1024,0,309,230,1822,0,1386,0,11454,6175,5279,20707
1970:Q1,225628,6900,48169,2060,0,0,456,38713,6940,161062,6140,16445,5225,133252,7045,594,6451,2419,33,225628,106909,59297,40690,18607,8475,11529,14355,0,6940,0,1338,1477,1029,0,236,160,1853,0,1322,0,11601,6275,5326,13462
1970:Q2,233902,6986,49219,1444,0,0,410,40275,7090,168495,8076,17061,5238,138120,6663,598,6065,2505,34,233902,113195,58026,39393,18633,10152,12140,14357,0,7090,0,1372,1381,918,0,306,173,1892,0,1225,0,11692,6246,5446,14340
1970:Q3,235130,7074,49771,1685,0,0,365,40461,7260,167739,8470,16137,5500,137632,7940,609,7331,2572,34,235130,117103,59171,40512,18659,10612,9980,14652,0,7260,0,1408,1430,1028,0,274,180,1941,0,1131,0,12029,6474,5555,11583
1970:Q4,251870,7149,51877,1587,0,0,346,42897,7047,182893,7938,17763,5729,151463,7273,621,6652,2642,36,251870,118500,62746,44059,18687,9809,11678,14994,0,7047,0,1432,1758,1106,0,388,193,1997,0,1073,0,12439,6696,5743,21704
1971:Q1,237888,7270,50779,1341,0,0,404,41804,7230,168336,4520,16697,5425,141694,8853,615,8238,2612,38,237888,118783,58670,39955,18715,6641,11873,15085,0,7230,0,1455,1549,1199,0,352,206,2054,0,1040,0,12260,6444,5816,14576
1971:Q2,252641,7420,53073,1728,0,0,372,43339,7634,179071,8412,17276,5098,148285,10450,699,9751,2587,40,252641,124397,59418,40676,18742,10810,12293,15572,0,7634,0,1476,1482,1205,0,420,188,2108,0,1059,0,12153,6169,5984,17998
1971:Q3,251271,7547,54154,2496,0,0,373,43185,8100,176879,8920,16005,5175,146779,9805,624,9181,2845,41,251271,126293,59510,40734,18776,11915,11630,16420,0,8100,0,1494,1507,1242,0,450,381,2159,0,1087,0,12238,6172,6066,13265
1971:Q4,270412,7627,56384,2484,0,0,465,45894,7541,195933,10169,17665,5233,162866,7426,805,6621,2999,43,270412,131844,61405,42581,18824,13228,12662,16220,0,7541,0,1509,1763,1305,0,548,247,2210,0,1097,0,12725,6503,6222,22328
1972:Q1,258034,7895,54093,1330,0,0,275,44438,8050,189927,8740,17142,5580,158465,3152,846,2306,2922,45,258034,130583,59135,40251,18884,9863,12115,16379,0,8050,0,1521,1164,1413,0,703,167,2260,0,1101,0,12972,6701,6271,16987
1972:Q2,264972,8066,57119,2695,0,0,298,47327,6799,195032,9083,17687,5957,162305,1861,948,913,2847,47,264972,130848,59209,40246,18963,12103,12586,15483,0,6799,0,1531,1328,1471,0,747,192,2309,0,1106,0,13643,7203,6440,21100
