1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q2,3869382,19657,1984,41304,2430,712039,19437,134943,314380,8253,235026,17755,1295749,268289,1510175,1417745,92430,3913170
2004:Q3,3975140,20715,1945,45854,2719,685053,22063,143825,293540,6592,219033,14779,1257819,243741,1702515,1616973,85542,4015614
2004:Q4,4072656,17527,1477,41539,2484,749930,20437,153823,275299,4930,295441,14238,1471030,263902,1510529,1416863,93666,4118059
2005:Q1,4134386,16917,1270,42578,2568,746021,21421,166952,264351,3268,290029,11888,1473782,255006,1584356,1491011,93345,4177982
2005:Q2,4195831,17480,1181,45984,2797,706993,23658,171517,233454,1607,276757,11653,1491598,257687,1660458,1562692,97766,4237905
2005:Q3,4250032,15516,1299,41421,2541,706434,21794,157240,233987,1676,291737,9579,1505127,254233,1713882,1616625,97257,4297828
2005:Q4,4303656,17902,1710,48184,2983,740044,25929,162596,261243,1746,288530,11322,1530000,256168,1695343,1596357,98986,4357751
2006:Q1,4360733,17113,1907,46673,2915,729410,25690,151826,266551,1816,283527,12105,1696388,279731,1574491,1464909,109582,4422954
2006:Q2,4421299,16516,2117,45667,2879,747230,25713,148982,282646,1885,288004,13254,1650253,263921,1679462,1575587,103875,4488157
2006:Q3,4477287,16261,2127,48296,3073,765614,27819,153858,275797,1785,306355,15435,1674690,268945,1682846,1577718,105128,4553360
2006:Q4,4532464,16276,2171,51605,3314,776414,30412,157228,266089,1685,321000,14428,1734141,281727,1652388,1542968,109420,4618563
2007:Q1,4592822,15020,2052,51417,3334,755093,31004,146314,229283,1585,346907,15841,1751049,281126,1717890,1610254,107636,4687348
2007:Q2,4648845,16243,2251,57848,3789,822281,35696,162417,243732,1484,378952,17517,1873530,293801,1561585,1450655,110930,4756132
2007:Q3,4715843,13612,1786,47336,3131,815111,29894,160898,238025,1427,384867,19311,1880791,288994,1645771,1528518,117253,4824916
2007:Q4,4782432,13727,1701,46605,3114,842539,30126,148802,216443,1370,445798,27118,1839262,264712,1743654,1629735,113919,4893701
2008:Q1,4852442,15730,1877,52416,3539,835055,34685,146695,209852,1313,442510,25599,1737432,238139,1942655,1832061,110594,4961222
2008:Q2,4917974,15709,1774,51157,3491,833388,34659,142011,199394,1256,456068,17114,1769649,218780,2006912,1898246,108666,5028744
2008:Q3,4991642,15462,1438,43886,3027,770520,30445,140704,182566,1184,415621,15501,1602673,201043,2338092,2237040,101052,5096266
2008:Q4,5069564,19307,1563,49812,3474,732359,35391,143751,171851,1112,380254,13181,1299132,167904,2782832,2695205,87627,5163787
2009:Q1,5121266,21909,1549,51675,3645,689698,37607,144548,157976,1040,348527,12716,1219961,150532,2969581,2891120,78461,5213386
