1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q1,25,62,7092,1248,0,-976,2224,0,1736,1160,660,-28,436,96,-4,3168,1796,1340,32,44,-264,9244,9188,10740,9636,1104,-1192,328,-444,1352,16,-1612,56,56,0,2115,ND
1974:Q2,27,64,40500,30088,0,14116,15972,0,-632,1244,940,92,124,128,-40,9880,7288,2568,24,4,-84,36168,35940,15288,2636,12652,14704,756,2064,2588,56,484,228,228,0,-4369,ND
1974:Q3,29,68,-15736,-22960,0,-5988,-16972,0,992,-128,104,-196,-180,96,48,6948,4320,2564,64,-4,-584,-9520,-9744,-2980,3960,-6940,-11024,2116,780,2584,60,-1280,224,224,0,6177,ND
1974:Q4,30,68,18168,12636,0,7952,4684,0,-1736,1364,908,348,180,-120,48,7436,6160,1204,72,4,-1536,20128,19720,14004,1724,12280,2128,1296,1104,1228,88,-128,408,408,0,1922,ND
1975:Q1,39,90,-9036,-10648,0,-3828,-6820,0,1104,-2716,-1640,-256,-892,72,0,2664,1556,648,460,56,504,-7616,-7840,-9328,-2240,-7088,-4940,716,-280,656,60,5276,224,224,0,1369,ND
1975:Q2,42,91,16508,15032,0,3448,11584,0,-816,1456,1436,-52,-192,128,136,-1264,-1056,-740,532,-68,2168,14692,14672,4384,404,3980,7840,2000,544,-748,4,648,20,20,0,-1865,ND
1975:Q3,44,93,-7800,-8652,0,880,-9532,0,1652,-336,-144,40,-216,52,-68,1412,1932,-272,-248,-4,-1872,-3780,-3800,-2328,6456,-8784,-5164,3856,-1356,-280,4,1468,20,20,0,3971,ND
1975:Q4,46,95,20452,18016,0,9356,8660,0,-700,1164,308,696,216,-120,64,1640,1488,556,-404,56,276,20184,20372,7104,-1188,8292,4568,6964,1796,568,-48,-580,-188,-188,0,-317,ND
1976:Q1,63,129,-2344,-2300,0,-844,-1456,0,996,28,104,380,-60,-112,-284,-620,-1244,704,-80,252,-700,-1320,-1340,-204,1116,-1320,468,-2456,-604,744,4,708,20,20,0,958,ND
1976:Q2,64,132,9120,6860,0,8116,-1256,0,-160,540,-380,624,220,40,36,3164,2492,684,-12,-32,-1252,8292,8192,7020,5456,1564,1780,1440,-104,656,28,-2628,100,100,0,-896,ND
