1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,15800,11708,1244,2224,624,15800,11324,4476,3360,1116,0,15800,1688,12,0,200,-24,0,52,172,60,8492,8464,0,36,-8,12,4672,100,68,400,224,0,176,0,0,44,0,0,0,0,44,0,52,0
1956:Q1,15096,11036,668,2316,1076,15096,12120,2976,936,2040,0,15096,2740,8,0,12,-112,4,40,80,64,8000,7984,0,24,-8,16,3804,112,72,564,284,0,280,0,0,44,0,0,0,0,44,0,-340,0
1956:Q2,15772,11388,680,2512,1192,15772,11912,3860,412,3448,0,15772,1652,4,0,36,-124,4,40,116,56,9628,9104,0,16,508,12,3584,128,64,592,308,0,284,0,0,44,0,0,0,0,44,0,-28,0
1956:Q3,14132,10404,580,2468,680,14132,11276,2856,332,2524,0,14132,532,4,0,-12,-168,32,40,84,76,9032,9232,0,12,-212,8,3280,136,76,676,472,0,204,0,0,20,0,0,0,0,20,0,304,0
1956:Q4,13496,10408,368,2416,304,13496,10704,2792,2048,744,0,13496,1484,12,0,52,-124,24,40,112,124,7016,7008,0,20,-12,0,3508,136,96,1396,1188,0,208,0,0,24,0,0,0,0,24,0,-352,0
1957:Q1,12884,9936,84,2072,792,12884,10004,2880,2008,872,0,12884,3132,16,0,204,-80,92,36,156,164,5388,5028,0,20,340,0,2760,132,120,1780,1528,0,252,0,0,32,0,0,0,0,32,0,-844,0
1957:Q2,11252,8180,388,1892,792,11252,8360,2892,276,2616,0,11252,1552,20,0,168,-88,-28,36,248,208,6216,6164,0,20,32,0,2008,128,140,1128,872,0,256,0,0,36,0,0,0,0,36,0,-352,0
1957:Q3,12336,8344,788,2736,468,12336,9144,3000,432,2568,192,12336,1292,20,0,304,-76,92,36,252,228,7240,7360,0,20,-140,0,2056,132,156,884,784,0,100,0,0,16,0,0,0,0,16,0,8,0
1957:Q4,12304,8056,928,3124,196,12304,8588,3524,2524,1000,192,12304,1848,16,0,448,0,56,36,356,208,6552,6768,0,20,-236,0,2164,144,164,860,764,0,96,0,0,12,0,0,0,0,12,0,-112,0
1958:Q1,12468,8092,1656,2212,508,12468,9380,2584,1100,1484,504,12468,2956,16,0,272,68,4,12,188,208,5936,5600,0,40,296,0,1828,144,176,468,328,0,140,0,0,8,0,0,0,0,8,0,456,0
1958:Q2,13568,7944,1968,2736,920,13568,9060,4008,896,3112,500,13568,2740,16,0,228,20,56,12,140,204,9396,9484,0,52,-140,0,1344,144,188,-1156,-1296,0,140,0,0,8,0,0,0,0,8,0,456,0
1958:Q3,16060,10404,2012,2832,812,16060,10696,4996,1104,3892,368,16060,1696,16,0,212,-4,56,12,148,212,11492,11304,0,52,136,0,1636,160,200,-44,-244,0,200,0,0,24,0,0,0,0,24,0,456,0
1958:Q4,19632,12772,2180,4072,608,19632,12540,6720,3896,2824,372,19632,3024,12,0,928,640,76,40,172,224,11664,11820,0,28,-184,-4,2496,188,220,392,192,0,200,0,0,28,0,0,0,0,28,0,460,0
1959:Q1,18444,12972,2268,2212,992,18444,13948,4300,144,4156,196,18444,3104,-52,0,1696,1424,60,24,188,244,10264,9840,0,8,416,0,1596,216,224,676,332,0,344,0,0,20,0,0,0,0,20,0,456,0
1959:Q2,19836,12884,2188,3216,1548,19836,13532,6100,164,5936,204,19836,2108,-48,0,1696,1368,52,16,260,268,13224,13204,0,-8,28,-8,1552,240,220,788,440,0,348,0,0,24,0,0,0,0,24,0,-228,0
1959:Q3,19728,13696,2132,3084,816,19728,14104,5196,52,5144,428,19728,1076,-164,0,1192,880,72,32,208,264,13160,12972,0,-12,200,-12,2256,260,256,1012,812,0,200,0,0,4,0,0,0,0,4,0,424,0
1959:Q4,18932,12588,1952,3780,612,18932,12552,5948,3208,2740,432,18932,2088,0,0,496,228,20,104,144,244,10816,10940,0,-12,-112,-36,3136,272,324,1252,1052,0,200,0,0,4,0,0,0,0,4,0,336,0
1960:Q1,17232,11872,1996,2684,680,17232,13628,3204,-148,3352,400,17232,3396,4,0,-304,-516,52,12,148,208,8696,7980,0,4,712,-4,2832,296,396,1576,1320,0,256,0,0,4,0,0,0,0,4,0,132,0
1960:Q2,16336,10096,2012,3076,1152,16336,10628,5300,432,4868,408,16336,2468,4,0,176,56,12,28,80,172,9448,9536,0,8,-96,0,2452,328,472,1172,920,0,252,0,0,8,0,0,0,0,8,0,-364,0
1960:Q3,18072,11704,2364,3452,552,18072,12256,5412,900,4512,404,18072,2060,4,0,392,52,72,60,208,176,11068,11180,0,12,-124,8,2232,328,496,980,828,0,152,0,0,-8,0,0,0,0,-8,0,336,0
1960:Q4,17484,11444,1972,3504,564,17484,11956,5120,2084,3036,408,17484,3172,0,0,516,36,56,120,304,212,9752,9832,0,8,-88,8,2780,296,468,540,384,0,156,0,0,-12,0,0,0,0,-12,0,-248,0
1961:Q1,17432,11124,2552,2856,900,17432,11608,5608,-324,5932,216,17432,4676,8,0,340,-52,60,100,232,244,9436,8856,0,20,560,16,2200,272,456,-204,-532,0,328,0,0,0,0,0,0,0,0,0,-12,0
1961:Q2,18392,10612,2076,4208,1496,18392,11112,7064,1148,5916,216,18392,2624,8,0,368,-40,108,60,240,276,12276,12524,0,20,-268,12,2480,244,464,-664,-992,0,328,0,0,-4,0,0,0,0,-4,0,308,0
1961:Q3,21432,13196,3388,3648,1200,21432,13780,7424,940,6484,228,21432,2344,8,0,524,-40,260,100,204,284,14028,13644,0,28,356,4,1760,244,452,536,336,0,200,0,0,176,0,0,0,0,176,0,1072,0
1961:Q4,24984,15664,3328,5272,720,24984,16236,8520,3904,4616,228,24984,3392,12,0,564,-68,220,100,312,264,14164,13852,0,40,272,-8,3288,276,412,1264,1064,0,200,0,0,184,0,0,0,0,184,0,1172,0
1962:Q1,19560,12072,2384,3884,1220,19560,12636,6604,1336,5268,320,19560,3568,20,0,204,-72,-20,76,220,260,12560,12296,0,60,204,-4,1612,296,376,884,604,0,280,0,0,88,0,0,0,0,88,0,-304,0
1962:Q2,23076,13552,2876,4840,1808,23076,14216,8536,1664,6872,324,23076,1524,24,0,-20,-188,-32,132,68,260,17816,17896,0,76,-156,-16,2052,316,336,-328,-608,0,280,0,0,96,0,0,0,0,96,0,1016,0
1962:Q3,24380,15376,3328,4596,1080,24380,16020,8168,1984,6184,192,24380,1156,24,0,-4,-256,244,64,-56,252,18852,18524,0,76,252,-24,2204,324,324,76,-92,0,168,0,0,148,0,0,0,0,148,0,1048,0
