1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,124172,904,28772,0,60052,18866,249,1816,0,-1,28,6769,4153,250,1035,0,934,0,345,0,113186,5055,2612,2188,0,24562,1847,0,171,0,0,1224,21009,35354,18866,0,0,0,106,0,249,0,-57,0,0,0,10986
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,133833,1007,31927,0,62096,21026,666,2284,0,-12,53,7290,4428,361,1295,0,921,0,491,0,120045,5657,3171,2308,0,22866,2133,0,215,0,0,1467,21647,39109,21026,0,0,0,107,0,407,0,-67,0,0,0,13788
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,259325,1371,111974,0,89272,29909,198,3692,-299,-13,253,10806,6731,323,2860,0,792,0,1456,0,178886,9610,7344,3372,213,21918,2910,-1,250,0,0,2171,32887,67261,29909,0,0,0,306,0,872,0,-136,0,0,0,80439
1955:Q2,287632,1405,135623,0,90881,30678,237,4242,-277,-12,271,10990,6920,346,3989,0,791,0,1548,0,182079,9811,7477,3434,141,21875,3321,-9,250,0,0,2211,32732,68949,30678,0,0,0,319,0,1032,0,-142,0,0,0,105553
1955:Q3,306919,1442,150933,0,92571,31391,248,4856,-288,-11,290,11179,7073,384,4454,0,790,0,1607,0,185462,10012,7567,3494,313,21892,3627,-59,251,0,0,2254,32651,70627,31391,0,0,0,317,0,1273,0,-148,0,0,0,121458
1955:Q4,313075,1482,153650,0,94432,32092,402,4461,-293,-11,311,11391,7265,339,5330,0,779,0,1445,0,189315,10189,8452,3553,469,21911,3332,-69,255,0,0,2310,32876,72504,32092,0,0,0,313,0,1281,0,-154,0,0,0,123761
1956:Q1,333937,1525,171004,0,96470,32872,202,4941,-288,-12,334,11574,7489,330,4761,0,768,0,1967,0,193117,10354,8920,3603,391,21898,3374,36,258,0,0,2378,33169,74521,32872,0,0,0,311,0,1193,0,-161,0,0,0,140821
1956:Q2,328566,1573,162281,0,98362,33894,202,5050,-285,-11,357,11750,7716,387,4752,0,758,0,1780,0,197473,10498,8913,3647,291,22091,3538,125,261,0,0,2460,34079,76332,33894,0,0,0,328,0,1184,0,-168,0,0,0,131093
1956:Q3,325829,1622,156722,0,99956,34920,103,5440,-299,-12,381,11934,7784,344,4456,0,757,0,1721,0,201544,10641,8935,3693,466,22237,3561,202,266,0,0,2543,34867,77811,34920,0,0,0,316,0,1261,0,-175,0,0,0,124285
1956:Q4,349590,1669,177621,0,102036,35935,272,4745,-320,-12,407,12148,7927,500,4374,0,760,0,1528,0,206342,10808,10031,3745,533,22274,3525,234,274,0,0,2616,35257,79824,35935,0,0,0,296,0,1171,0,-181,0,0,0,143248
1957:Q1,341980,1714,163422,0,106599,36795,168,5158,-317,-12,433,12385,8084,428,4418,0,749,0,1956,0,212852,10979,10293,3800,379,22526,3298,235,288,0,0,2681,36525,83982,36795,0,0,0,300,0,960,0,-189,0,0,0,129128
1957:Q2,366517,1760,182312,0,110959,37601,-56,5323,-303,-12,461,12652,8296,435,4598,0,748,0,1743,0,219010,11161,10252,3860,222,22835,3806,278,308,0,0,2742,37035,87936,37601,0,0,0,301,0,870,0,-197,0,0,0,147507
1957:Q3,346193,1804,156049,0,115074,38385,151,5958,-377,-12,491,12921,8407,425,4338,0,747,0,1832,0,226192,11338,10466,3918,376,22845,3861,258,329,0,0,2800,38590,92053,38385,0,0,0,308,0,870,0,-205,0,0,0,120002
1957:Q4,352291,1843,157370,0,119212,39250,146,5325,-423,-13,527,13156,8568,476,4279,0,737,0,1838,0,233740,11498,11004,3966,540,23089,3784,288,352,0,0,2854,40053,96135,39250,0,0,0,300,0,841,0,-214,0,0,0,118551
1958:Q1,370751,1877,172720,0,121084,40265,187,5509,-400,-14,565,13379,8663,478,3569,0,737,0,2132,0,237152,11639,11100,4013,320,22653,3687,311,362,0,0,2905,40467,98396,40265,0,0,0,298,0,956,0,-221,0,0,0,133600
1958:Q2,390819,1903,189358,0,122205,41515,616,5698,-308,-14,601,13577,8987,474,3253,0,737,0,2217,0,241024,11757,11449,4052,125,21615,4546,393,367,0,0,2946,40562,100541,41515,0,0,0,314,0,1071,0,-229,0,0,0,149796
1958:Q3,426808,1931,221180,0,123964,42622,226,6641,-322,-14,636,13779,9131,448,3624,0,727,0,2235,0,243569,11877,11579,4089,246,21118,3797,465,370,0,0,2992,40391,102755,42622,0,0,0,318,0,1187,0,-237,0,0,0,183238
1958:Q4,443797,1969,234722,0,125898,43686,312,6373,-358,-15,674,14051,9166,477,4181,0,728,0,1933,0,248107,12022,12340,4135,461,20774,4336,448,376,0,0,3052,40056,105047,43686,0,0,0,320,0,1300,0,-245,0,0,0,195690
1959:Q1,454853,2017,242336,0,128167,43652,441,7105,-352,-15,704,14318,9155,612,3981,0,717,0,2015,0,252147,12193,12943,4193,489,20687,4223,591,363,0,0,3129,40812,107408,43652,0,0,0,308,0,1410,0,-254,0,0,0,202705
1959:Q2,470812,2074,256228,0,129626,43689,211,7652,-348,-14,734,14620,9209,531,3852,0,715,0,2033,0,255171,12386,13301,4261,452,19984,4775,791,346,0,0,3223,40958,109604,43689,0,0,0,316,0,1348,0,-263,0,0,0,215641
1959:Q3,468795,2133,250511,0,131804,43560,270,8453,-391,-14,764,14924,9212,481,4133,0,705,0,2250,0,259285,12586,13473,4329,461,19810,5044,953,305,0,0,3320,41927,111996,43560,0,0,0,342,0,1451,0,-272,0,0,0,209511
1959:Q4,492906,2187,272444,0,134166,43500,593,7373,-437,-15,798,15213,9403,559,4656,0,707,0,1759,0,260957,12770,14192,4390,472,19819,3605,440,324,0,0,3407,42035,114393,43500,0,0,0,363,0,1529,0,-281,0,0,0,231949
1960:Q1,475144,2238,250104,0,136614,44796,209,7844,-483,-17,834,15462,9715,575,3637,0,696,0,2920,0,266769,12952,15506,4438,463,19773,2867,580,330,0,0,3486,43081,116889,44796,0,0,0,343,0,1556,0,-291,0,0,0,208375
1960:Q2,486867,2288,258011,0,138837,46132,730,6832,-403,-19,869,15695,9998,563,3672,0,694,0,2968,0,270313,13132,14979,4479,469,19857,2880,696,336,0,0,3558,43079,119198,46132,0,0,0,360,0,1459,0,-301,0,0,0,216554
1960:Q3,464957,2336,232465,0,140677,47611,216,7087,-540,-20,897,15918,10181,591,3793,0,694,0,3051,0,275741,13310,15486,4519,501,19069,3115,629,343,0,0,3630,44230,121675,47611,0,0,0,392,0,1542,0,-311,0,0,0,189216
1960:Q4,509372,2379,275126,0,142253,48850,419,5791,-630,-22,925,16152,10362,565,3780,0,695,0,2727,0,277462,13488,14514,4566,523,18084,3847,582,357,0,0,3706,43256,124169,48850,0,0,0,366,0,1476,0,-322,0,0,0,231910
1961:Q1,558025,2417,318133,0,144501,50044,262,7051,-677,-24,954,16369,10590,651,3784,0,682,0,3288,0,278208,13678,14843,4620,559,17709,2414,192,368,0,0,3788,41684,126796,50044,0,0,0,370,0,1476,0,-333,0,0,0,279817
1961:Q2,561955,2448,318066,0,147003,51419,190,6754,-717,-25,983,16579,10940,545,3928,0,680,0,3162,0,285415,13869,15244,4681,537,17921,5057,258,384,0,0,3875,41448,129136,51419,0,0,0,380,0,1551,0,-345,0,0,0,276539
1961:Q3,578660,2478,329330,0,149472,52796,84,7719,-767,-26,1009,16783,11180,529,4226,0,680,0,3167,0,287514,14060,15000,4739,502,17730,3596,229,400,0,0,3961,40875,131779,52796,0,0,0,384,0,1820,0,-357,0,0,0,291145
1961:Q4,594445,2512,341914,0,151640,54217,254,7308,-882,-26,1033,17028,11341,591,4476,0,677,0,2362,0,290824,14246,15277,4787,508,17237,4086,177,418,0,0,4037,39278,134434,54217,0,0,0,387,0,2105,0,-369,0,0,0,303621
1962:Q1,598596,2549,341903,0,154089,53375,137,8728,-904,-28,1050,17208,11408,594,4415,0,666,0,3406,0,292594,14425,16180,4825,515,16987,3068,174,426,0,0,4107,39220,137260,53375,0,0,0,386,0,2029,0,-382,0,0,0,306001
1962:Q2,605112,2587,345793,0,156409,52978,208,8294,-863,-30,1065,17366,11665,645,4970,0,666,0,3359,0,300787,14597,16238,4848,461,16800,4997,163,430,0,0,4167,43082,139760,52978,0,0,0,384,0,2278,0,-395,0,0,0,304325
1962:Q3,607593,2626,344632,0,158888,52309,215,9015,-799,-31,1074,17532,11899,552,5413,0,654,0,3614,0,302042,14768,16539,4874,420,16465,4756,160,436,0,0,4226,41949,142607,52309,0,0,0,404,0,2538,0,-409,0,0,0,305551
1962:Q4,606805,2667,342345,0,161620,51699,344,7786,-808,-31,1082,17712,12336,606,5503,0,662,0,3282,0,301763,14944,15951,4919,381,16389,4877,325,450,0,0,4295,39584,145428,51699,0,0,0,400,0,2544,0,-423,0,0,0,305042
1963:Q1,612302,2711,341305,0,164501,52805,82,9281,-754,-33,1087,17966,12368,680,5482,0,656,0,4165,0,292558,15125,5153,4993,405,16272,3509,200,461,0,0,4372,38378,148409,52805,0,0,0,382,0,2532,0,-438,0,0,0,319745
1963:Q2,617023,2758,340430,0,166928,53693,124,9541,-756,-34,1086,18284,12699,653,6310,0,657,0,4650,0,298154,15311,5418,5093,380,16109,5957,174,472,0,0,4457,37319,151016,53693,0,0,0,394,0,2814,0,-453,0,0,0,318869
1963:Q3,623254,2806,339598,0,169739,54736,67,11399,-741,-34,1084,18583,12875,576,6874,0,652,0,5040,0,301362,15495,5615,5191,377,15974,5308,194,487,0,0,4544,36316,153978,54736,0,0,0,439,0,3177,0,-469,0,0,0,321891
1963:Q4,625401,2853,338729,0,172651,55796,192,10101,-792,-34,1083,18810,13072,628,7161,0,649,0,4502,0,304284,15670,4609,5258,328,15864,5739,335,503,0,0,4627,35350,156959,55796,0,0,0,375,0,3356,0,-485,0,0,0,321117
1964:Q1,629660,2898,337506,0,175725,56843,108,10943,-838,-39,1072,19105,13181,657,6921,0,639,0,4939,0,307840,15898,4822,5352,286,15898,5823,344,526,0,0,4706,34132,160085,56843,0,0,0,376,0,3251,0,-502,0,0,0,321820
1964:Q2,634944,2941,336731,0,178495,57909,137,11209,-959,-45,1063,19405,13469,730,7482,0,640,0,5737,0,311888,16138,4902,5452,279,15810,5931,434,553,0,0,4781,33396,162914,57909,0,0,0,359,0,3549,0,-519,0,0,0,323056
1964:Q3,639792,2986,336029,0,181593,59199,180,12209,-1118,-46,1054,19727,13624,638,7782,0,631,0,5304,0,316953,16408,4812,5556,293,15921,6551,441,578,0,0,4858,32766,166010,59199,0,0,0,394,0,3703,0,-537,0,0,0,322839
1964:Q4,644104,3039,335312,0,184693,60623,875,11269,-1348,-49,1047,20118,13875,695,7876,0,625,0,5454,0,320899,16727,4495,5658,309,15747,6355,581,601,0,0,4948,32114,169185,60623,0,0,0,387,0,3725,0,-556,0,0,0,323205
1965:Q1,651437,3097,335439,0,187231,61959,608,12973,-1468,-52,1039,20481,14142,759,7998,0,614,0,6617,0,325806,17070,5264,5756,270,15027,5646,884,605,0,0,5048,32145,172547,61959,0,0,0,381,0,3779,0,-575,0,0,0,325632
1965:Q2,658123,3160,336787,0,189664,63554,492,13009,-1334,-55,1032,20860,14547,719,7959,0,615,0,7114,0,333926,17436,6057,5852,282,14346,6698,1192,597,0,0,5160,33485,175484,63554,0,0,0,420,0,3958,0,-595,0,0,0,324197
1965:Q3,663064,3228,334909,0,192867,65093,396,14264,-1019,-57,1023,21254,14805,645,8189,0,608,0,6859,0,335519,17813,4926,5951,319,14304,6294,644,590,0,0,5276,31416,178762,65093,0,0,0,434,0,4314,0,-616,0,0,0,327545
1965:Q4,667220,3303,334141,0,196166,66694,351,14271,-1037,-61,1018,21662,15052,844,7668,0,608,0,6540,0,345533,18188,9983,6060,307,14184,6694,614,604,0,0,5395,30576,182186,66694,0,0,0,442,0,4243,0,-637,0,0,0,321688
1966:Q1,676866,3385,335558,0,199801,68508,239,16452,-876,-62,1013,22085,14942,972,7006,0,598,0,7245,0,354472,18565,11697,6176,309,14243,6537,636,623,0,0,5348,31960,185920,68508,0,0,0,441,0,4169,0,-659,0,0,0,322393
1966:Q2,684479,3475,338380,0,202723,70588,336,16021,-847,-62,1011,22526,15520,775,6133,0,589,0,7311,0,363630,18945,11320,6300,374,14043,7202,1029,652,0,0,5328,34848,189199,70588,0,0,0,393,0,4091,0,-682,0,0,0,320849
1966:Q3,698361,3568,342654,0,206479,72516,261,18345,-863,-63,1004,22982,16128,774,5742,0,578,0,8256,0,374818,19331,11690,6430,377,13948,7504,974,684,0,0,5302,39382,192865,72516,0,0,0,486,0,4035,0,-706,0,0,0,323543
1966:Q4,699677,3659,342083,0,210440,74389,493,14083,-922,-65,1002,23424,16253,752,4451,0,574,0,9061,0,373801,19728,6624,6560,452,13809,6460,757,716,0,0,5607,38782,196625,74389,0,0,0,351,0,3671,0,-730,0,0,0,325877
