1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q3,38952,2073,36879,38952,13438,9,412,447,5378,0,0,5867,289,10525,2587
1973:Q4,39806,2145,37661,39806,13591,13,376,465,5442,0,0,5996,311,10948,2664
1974:Q1,40694,2201,38493,40694,13915,13,392,469,5607,0,0,5999,310,11299,2690
1974:Q2,42318,2283,40035,42318,14219,13,546,481,5828,0,0,6128,306,12177,2620
1974:Q3,43737,2386,41351,43737,14602,13,548,489,6007,0,0,6247,306,12877,2648
1974:Q4,44922,2548,42374,44922,15055,11,607,499,6049,0,0,6327,245,13484,2645
1975:Q1,46785,2649,44136,46785,15504,13,583,507,6107,0,0,6428,239,14699,2705
1975:Q2,48530,2811,45719,48530,16072,16,963,515,6242,0,0,6573,242,15507,2400
1975:Q3,49084,2922,46162,49084,16350,19,1191,529,6308,0,0,6631,239,15607,2210
1975:Q4,49853,3010,46843,49853,16699,24,1345,545,6371,0,0,6753,3,16116,1997
1976:Q1,50797,3155,47642,50797,16798,23,1454,563,6353,0,0,6815,3,16782,2006
1976:Q2,52310,3294,49016,52310,17277,23,1598,627,6363,0,0,7005,2,17485,1930
1976:Q3,53921,3413,50508,53921,17779,24,1728,647,6563,0,0,7184,1,18082,1913
1976:Q4,55412,3500,51912,55412,18239,30,1910,666,6721,0,0,7425,1,18643,1777
1977:Q1,57380,3696,53684,57380,18815,34,2024,670,6998,0,0,7645,1,19452,1741
1977:Q2,60338,3940,56398,60338,19921,39,2263,681,7361,0,0,8146,22,20314,1591
1977:Q3,62366,4093,58273,62366,20564,45,2567,687,7617,0,0,8484,18,21014,1370
1977:Q4,63949,4184,59765,63949,20964,57,2754,693,7751,0,0,8851,25,21623,1231
1978:Q1,65949,4374,61575,65949,21546,63,2831,718,7901,0,0,9205,24,22384,1277
1978:Q2,68742,4581,64161,68742,22453,69,3115,737,8210,0,0,9712,23,23274,1149
1978:Q3,71045,4748,66297,71045,23098,75,3485,746,8412,0,0,10116,22,24104,987
1978:Q4,72757,4897,67860,72757,23489,83,3579,777,8497,0,0,10499,22,24855,956
1979:Q1,76434,5233,71201,76434,24730,85,4306,827,8523,0,0,10913,21,26023,1006
1979:Q2,80935,5654,75281,80935,26300,88,5084,875,8663,0,0,11461,21,27418,1025
1979:Q3,84333,5944,78389,84333,27389,92,5706,929,8716,0,0,11837,26,28604,1034
1979:Q4,86755,6022,80733,86755,28056,101,5903,986,8590,0,0,12143,26,29919,1031
1980:Q1,90582,6490,84092,90582,29016,98,6608,1050,8526,0,0,12433,25,31790,1036
1980:Q2,94135,6785,87350,94135,29770,100,7002,1124,8468,0,0,12743,16,33861,1051
1980:Q3,95871,6865,89006,95871,29803,113,7376,1204,8497,0,0,12818,16,35065,979
1980:Q4,97487,6916,90571,97487,29770,139,7662,1243,8563,0,0,12958,15,36280,857
1981:Q1,100097,7211,92886,100097,30276,167,7744,1281,8479,0,0,12975,15,38275,885
1981:Q2,103181,7544,95637,103181,30747,197,8079,1311,8481,0,0,13044,15,40523,784
1981:Q3,105609,7765,97844,105609,31037,235,8262,1344,8450,0,0,13149,15,42365,752
1981:Q4,107229,7785,99444,107229,31123,279,8269,1372,8384,0,0,13100,15,43939,748
1982:Q1,108951,8044,100907,108951,31447,326,8430,1376,8375,0,0,12954,15,45401,627
1982:Q2,110282,8156,102126,110282,31125,364,8576,1366,8532,0,0,13005,15,46690,609
1982:Q3,111097,8177,102920,111097,31112,382,8708,1358,8588,0,0,12939,15,47412,583
1982:Q4,111311,8177,103134,111311,31100,386,8767,1369,8435,0,0,12835,15,47823,581
1983:Q1,111540,8185,103355,111540,31100,347,8763,1356,8511,0,0,12687,4,48112,660
1983:Q2,112372,8248,104124,112372,31031,316,9003,1342,8898,0,0,12671,0,48545,566
1983:Q3,113108,8317,104791,113108,31099,305,9073,1344,9124,0,0,12756,0,48860,547
1983:Q4,113721,8388,105333,113721,31258,307,9214,1336,9387,0,0,12742,0,48929,548
1984:Q1,112970,8354,104616,112970,30162,375,9301,1336,9659,0,0,12570,0,49021,546
1984:Q2,113339,8408,104931,113339,29669,446,9470,1347,10001,0,0,12595,0,49303,508
1984:Q3,113467,8413,105054,113467,29071,525,9386,1355,10184,0,0,12643,0,49527,776
1984:Q4,112422,8250,104172,112422,28346,612,9757,1361,10177,0,0,12466,0,49187,516
1985:Q1,112722,8365,104357,112722,28896,643,9947,1370,10305,0,0,12005,0,49040,516
1985:Q2,111579,8296,103283,111579,28691,662,10097,1374,10607,0,0,11539,0,48050,559
1985:Q3,108737,8065,100672,108737,27525,651,10281,1375,11036,0,0,11068,0,46360,441
1985:Q4,94090,6981,87109,94090,21026,617,10392,1375,10088,0,0,10596,0,39638,358
1986:Q1,91624,6782,84842,91624,20004,571,10341,1553,10339,0,0,10363,0,38026,427
1986:Q2,89130,6602,82528,89130,19033,545,10450,1561,10593,0,0,10127,0,36397,424
1986:Q3,86609,6441,80168,86609,18113,569,10484,1569,10850,0,0,9889,0,34749,386
1986:Q4,84088,6301,77787,84088,17232,635,10742,1547,11106,0,0,9651,0,33101,74
1987:Q1,82047,6104,75943,82047,16436,642,10640,1535,11440,0,0,9393,0,31891,70
1987:Q2,79983,5927,74056,79983,15589,649,10567,1533,11777,0,0,9133,0,30668,67
1987:Q3,77896,5804,72092,77896,14866,656,10372,1519,12117,0,0,8870,0,29431,65
1987:Q4,75810,5764,70046,75810,14065,663,10235,1527,12458,0,0,8607,0,28194,61
1988:Q1,74572,5584,68988,74572,13433,670,10136,1526,12626,0,0,8512,0,27620,49
1988:Q2,73333,5486,67847,73333,12816,677,10018,1522,12795,0,0,8417,0,27046,42
1988:Q3,72081,5437,66644,72081,12163,684,9919,1521,12965,0,0,8322,0,26466,41
1988:Q4,70829,5416,65413,70829,11518,691,9815,1519,13135,0,0,8226,0,25885,40
1989:Q1,70320,5349,64971,70320,11217,698,9717,1518,13396,0,0,8231,0,25505,38
1989:Q2,69804,5303,64501,69804,10874,705,9657,1515,13661,0,0,8237,0,25119,36
1989:Q3,69283,5289,63994,69283,10693,712,9430,1513,13928,0,0,8242,0,24730,35
1989:Q4,68761,5304,63457,68761,10461,719,9257,1508,14195,0,0,8247,0,24341,33
1990:Q1,68483,5289,63194,68483,10447,670,8997,1505,14330,0,0,8379,0,24124,31
1990:Q2,68202,5302,62900,68202,10298,653,8835,1502,14466,0,0,8513,0,23905,30
1990:Q3,67917,5329,62588,67917,10108,640,8708,1499,14603,0,0,8647,0,23683,29
1990:Q4,67633,5348,62285,67633,9925,621,8582,1494,14741,0,0,8782,0,23462,26
1991:Q1,67588,5406,62182,67588,10133,592,8350,1491,14971,0,0,8735,0,23292,24
1991:Q2,67542,5451,62091,67542,10195,565,8261,1488,15204,0,0,8687,0,23121,21
1991:Q3,67496,5473,62023,67496,10273,539,8149,1489,15439,0,0,8639,0,22948,20
1991:Q4,67450,5461,61989,67450,10217,520,8171,1484,15675,0,0,8591,0,22775,17
1992:Q1,67557,5503,62054,67557,10463,507,7902,1480,15975,0,0,8417,0,22798,16
1992:Q2,67663,5496,62167,67663,10587,495,7751,1477,16275,0,0,8242,0,22821,15
1992:Q3,67771,5501,62270,67771,10655,497,7643,1474,16578,0,0,8065,0,22844,14
1992:Q4,67879,5569,62310,67879,10727,503,7529,1470,16881,0,0,7889,0,22867,13
1993:Q1,68016,5546,62470,68016,10921,470,7387,1469,17067,0,0,7937,0,22754,11
1993:Q2,68154,5591,62563,68154,11080,460,7255,1466,17255,0,0,7987,0,22640,11
1993:Q3,68293,5680,62613,68293,11225,453,7132,1465,17445,0,0,8037,0,22525,10
1993:Q4,68433,5792,62641,68433,11380,437,7012,1463,17635,0,0,8087,0,22410,10
1994:Q1,68797,5882,62915,68797,11632,417,6875,1461,17965,0,0,8096,0,22342,9
1994:Q2,69166,5992,63174,69166,11776,453,6792,1460,18298,0,0,8105,0,22274,8
1994:Q3,69539,6109,63430,69539,11920,458,6741,1459,18634,0,0,8114,0,22206,7
1994:Q4,69912,6227,63685,69912,11689,476,6694,1457,18971,0,0,8123,0,22137,365
1995:Q1,70358,6371,63987,70358,11842,460,6589,1455,19262,0,0,8148,0,22222,380
1995:Q2,70810,6529,64281,70810,11984,453,6481,1459,19556,0,0,8173,0,22307,397
1995:Q3,71266,6678,64588,71266,12153,442,6354,1457,19854,0,0,8199,0,22394,414
1995:Q4,71723,6829,64894,71723,12324,435,6221,1456,20151,0,0,8225,0,22480,431
1996:Q1,72394,6983,65411,72394,12622,427,6075,1379,20415,0,0,8325,0,22722,429
1996:Q2,73065,7135,65930,73065,12819,416,5954,1380,20680,0,0,8426,0,22963,427
1996:Q3,73744,7307,66437,73744,12972,412,5869,1382,20947,0,0,8527,0,23211,424
1996:Q4,74422,7530,66892,74422,13134,408,5768,1383,21214,0,0,8629,0,23463,423
1997:Q1,75431,7694,67737,75431,13095,394,5649,1384,21707,0,249,8701,0,23823,429
1997:Q2,76451,7908,68543,76451,13473,388,5321,1385,22206,0,259,8774,0,24210,435
1997:Q3,77482,8139,69343,77482,13951,381,4916,1386,22711,0,272,8847,0,24577,441
1997:Q4,78514,8335,70179,78514,14068,375,4852,1386,23215,0,277,8921,0,24972,448
1998:Q1,79645,8663,70982,79645,14042,413,4729,1386,23703,0,283,9173,0,25445,471
1998:Q2,80788,8975,71813,80788,13944,450,4644,1388,24196,0,296,9428,0,25946,496
1998:Q3,81944,9231,72713,81944,13979,488,4579,1255,24695,0,305,9686,0,26436,521
1998:Q4,83100,9388,73712,83100,13780,526,4513,1329,25193,0,312,9944,0,26956,547
1999:Q1,84113,9727,74386,84113,13780,517,4413,1340,25781,0,318,10114,0,27115,735
1999:Q2,85136,9959,75177,85136,13420,505,4435,1344,26376,0,334,10286,0,27510,926
1999:Q3,86171,10161,76010,86171,13372,494,4308,1348,26978,0,350,10460,0,27747,1114
1999:Q4,87206,10421,76785,87206,13122,482,4268,1375,27579,0,358,10634,0,28084,1304
2000:Q1,86589,10457,76132,86589,11436,478,4202,1379,28120,0,367,10738,0,28483,1386
2000:Q2,85972,10553,75419,85972,9709,475,4179,1371,28662,0,383,10842,0,28883,1468
2000:Q3,85348,10694,74654,85348,7935,472,4167,1373,29209,0,395,10948,0,29300,1549
2000:Q4,84724,10865,73859,84724,6181,469,4148,1362,29757,0,401,11053,0,29722,1631
2001:Q1,85665,11133,74532,85665,6027,486,4093,1356,30084,0,407,11091,0,30484,1637
2001:Q2,86617,11449,75168,86617,5729,502,4072,1368,30414,0,421,11129,0,31339,1643
2001:Q3,87579,11826,75753,87579,5482,519,4023,1346,30748,0,446,11167,0,32199,1649
2001:Q4,88541,12323,76218,88541,5246,536,3952,1354,31082,0,453,11205,0,33057,1656
2002:Q1,90238,12807,77431,90238,5492,533,3855,1338,31570,0,469,11259,0,34388,1334
2002:Q2,91954,13383,78571,91954,5261,530,3817,1322,32063,0,485,11312,0,36152,1012
2002:Q3,93688,13999,79689,93688,5537,527,3766,1299,32561,0,497,11367,0,37444,690
2002:Q4,95423,14631,80792,95423,5764,523,3700,1299,33060,0,508,11421,0,38781,367
2003:Q1,92406,14420,77986,92406,5314,524,3590,1298,32069,0,506,11077,0,37690,338
2003:Q2,89355,14240,75115,89355,5425,525,3525,687,31067,0,523,10729,0,36535,339
2003:Q3,86271,14021,72250,86271,4137,525,3554,698,30054,0,548,10378,0,35348,1029
2003:Q4,83187,13807,69380,83187,3678,526,3439,710,29041,0,567,10026,0,34197,1003
2004:Q1,86286,14566,71720,86286,4306,548,3387,721,30431,0,578,10200,0,35149,966
2004:Q2,89386,15381,74005,89386,4973,571,3260,733,31820,0,612,10374,0,36076,967
2004:Q3,92519,16173,76346,92519,5510,594,3294,745,33225,0,632,10550,0,37005,964
2004:Q4,95653,16970,78683,95653,6133,616,3235,757,34630,0,653,10726,0,37965,938
2005:Q1,97901,17670,80231,97901,6442,643,3255,752,35437,0,668,10869,0,38953,882
2005:Q2,100173,18351,81822,100173,6734,670,3237,748,36254,0,694,11014,0,39947,875
2005:Q3,102471,18929,83542,102471,7015,697,3247,743,37079,0,721,11161,0,40973,835
2005:Q4,104768,19447,85321,104768,7313,723,3217,738,37904,0,745,11307,0,41977,844
2006:Q1,105577,19816,85761,105577,6396,716,3193,757,38458,0,760,11478,0,42521,1298
2006:Q2,106395,20126,86269,106395,5346,708,3200,777,39017,0,795,11651,0,43088,1813
2006:Q3,107221,20463,86758,107221,3558,700,3186,797,39583,0,819,11826,0,43645,3107
2006:Q4,108048,20767,87281,108048,2934,692,3212,818,40149,0,833,12001,0,44226,3183
2007:Q1,109191,21163,88028,109191,2414,730,3186,830,40577,0,845,12186,0,45021,3402
2007:Q2,110346,21603,88743,110346,741,767,3204,841,41009,0,872,12372,0,45861,4679
2007:Q3,111514,22043,89471,111514,433,804,3204,853,41447,0,902,12561,0,46692,4618
2007:Q4,112682,22542,90140,112682,46,841,3266,865,41884,0,926,12750,0,47561,4543
2008:Q1,118148,23770,94378,118148,-230,826,3228,875,44042,0,952,13307,0,50695,4453
2008:Q2,123614,25119,98495,123614,280,812,3271,884,46200,0,995,13864,0,53001,4307
2008:Q3,129141,26639,102502,129141,-255,797,3460,893,48382,41,1019,14428,0,55653,4723
2008:Q4,134700,28377,106323,134700,-321,782,3490,903,50600,51,1035,15000,0,58487,4673
2009:Q1,137486,29259,108227,137486,1834,776,3454,931,49022,50,1039,14581,0,61182,4617
2009:Q2,140304,30363,109941,140304,3847,770,3478,960,47426,47,1046,14157,0,64004,4569
2009:Q3,143152,31480,111672,143152,5574,764,3733,990,45813,35,1052,13728,0,66959,4504
2009:Q4,146000,32336,113664,146000,7420,758,3878,1021,44200,26,1051,13300,0,69860,4486
2010:Q1,147997,33056,114941,147997,7988,779,3959,1041,45926,44,1048,13078,0,70787,3347
2010:Q2,150017,33781,116236,150017,6957,799,3961,1062,47671,43,1052,12854,0,71791,3827
2010:Q3,152058,34508,117550,152058,6309,820,4179,1083,49436,36,1053,12627,0,72713,3802
2010:Q4,154100,35269,118831,154100,5648,841,4260,1104,51200,34,1051,12400,0,73803,3759
2011:Q1,157330,36244,121086,157330,8020,812,4206,1118,51619,35,1050,12548,0,74692,3230
2011:Q2,160596,37240,123356,160596,9773,783,4342,1133,52043,38,1078,12698,0,75504,3204
2011:Q3,163898,38315,125583,163898,13149,754,4429,1136,52472,41,1110,12849,0,76263,1695
2011:Q4,167200,39514,127686,167200,15029,725,4523,1139,52900,32,1119,13000,0,77083,1650
2012:Q1,168742,39987,128755,168742,12742,713,4558,1136,55809,31,1148,12627,0,78376,1602
2012:Q2,170283,40559,129724,170283,9909,701,4585,1133,58718,30,1179,12254,0,79740,2034
2012:Q3,171842,41308,130534,171842,7651,689,4590,1129,61659,23,1196,11877,0,81033,1995
2012:Q4,173400,42172,131228,173400,5225,677,4593,1126,64600,38,1239,11500,0,82478,1924
2013:Q1,176310,43127,133183,176310,5857,682,4483,1116,65660,22,1257,11623,0,83745,1865
2013:Q2,179252,44073,135179,179252,6125,687,4529,1106,66732,21,1295,11748,0,85176,1833
2013:Q3,182226,45104,137122,182226,6365,692,4582,1097,67816,186,1333,11874,0,86476,1805
2013:Q4,185200,46128,139072,185200,7241,697,4245,1087,68900,23,1370,12000,0,87870,1767
2014:Q1,188060,47296,140764,188060,7713,695,4311,1084,69985,220,1409,12099,0,88805,1739
2014:Q2,190952,48584,142368,190952,8272,693,4555,1080,71082,202,1454,12198,0,89707,1709
2014:Q3,193876,49671,144205,193876,8576,691,5075,1076,72191,181,1498,12299,0,90608,1681
2014:Q4,196800,50316,146484,196800,9176,689,5190,1073,73300,177,1525,12400,0,91633,1637
2015:Q1,199759,51731,148028,199759,8272,724,5363,1065,74755,180,1547,12425,0,93830,1598
2015:Q2,202751,52708,150043,202751,7511,760,5527,1058,76226,160,1615,12450,0,95871,1573
2015:Q3,205775,53305,152470,205775,5980,795,5702,1050,77713,159,1674,12475,0,97858,2369
2015:Q4,208800,53851,154949,208800,5146,830,5862,1043,79200,209,1720,12500,0,99958,2332
2016:Q1,213077,55045,158032,213077,5763,820,5998,1049,80493,186,1766,12674,0,101644,2684
2016:Q2,217353,56048,161305,217353,6968,810,5702,1055,81786,165,1845,12848,0,103459,2715
2016:Q3,221677,57145,164532,221677,7430,800,6332,1061,83093,163,1872,13024,0,105240,2662
2016:Q4,226000,58310,167690,226000,8233,790,6459,1067,84400,183,1907,13200,0,107080,2681
2017:Q1,228515,58982,169533,228515,8264,833,6584,1075,85386,145,1914,13644,0,107995,2675
2017:Q2,231058,59778,171280,231058,9999,875,5702,1083,86384,139,1954,14093,0,109102,1727
2017:Q3,233629,60599,173030,233629,8719,917,6950,1091,87392,138,2038,14546,0,110123,1715
2017:Q4,236200,61382,174818,236200,8676,959,7092,1099,88400,125,2069,15000,0,111074,1706
2018:Q1,238567,62181,176386,238567,8197,964,7237,1105,89510,97,2141,15222,0,112497,1597
2018:Q2,240961,62795,178166,240961,7444,969,7458,1112,90632,87,2208,15446,0,113992,1613
2018:Q3,243380,63460,179920,243380,6714,975,7655,1118,91766,198,2243,15673,0,115423,1615
2018:Q4,245800,64125,181675,245800,6111,980,7854,1125,92900,200,2258,15900,0,117005,1467
2019:Q1,251249,65439,185810,251249,6258,988,7934,1131,94133,191,2297,16368,0,120489,1460
2019:Q2,256759,66903,189856,256759,6360,997,8238,1138,95379,212,2325,16842,0,123810,1458
