1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,4762,4046,237,479,4846,4110,737,0,0,-84,-125,-0,-125,423,8,31,114,281,0,0,-135,-13,-114,0,0,-8,0,21,45,83,0,0,0,-25,0,548,-16,0,39,52,0,-63,0,-63,-84,-32,-52,17,0,0,23,0,564,155,409,0,41,64,500,479,0,84
1954:Q3,4732,3826,234,672,4713,3970,743,0,0,19,352,-0,352,691,164,54,-260,259,0,0,348,-19,345,0,0,22,0,21,30,79,0,0,0,-4,0,339,-55,0,39,-39,0,-98,0,-98,5,114,-109,9,0,0,29,0,394,177,217,0,-333,144,510,672,0,-19
1954:Q4,4745,3865,235,645,4972,4151,821,0,0,-227,124,-0,124,325,70,154,346,-323,0,0,162,234,-71,0,0,-1,0,-34,62,-129,0,0,0,17,0,201,371,0,108,28,0,-60,0,-60,258,201,57,-12,0,0,49,0,-170,114,-284,0,-351,286,586,645,0,227
1955:Q1,5047,4042,244,761,5168,4318,850,0,0,-121,-500,-0,-500,-142,30,-52,-348,37,0,0,-1,-17,6,0,0,10,0,22,49,86,0,0,0,35,0,358,-92,0,-65,47,0,-94,0,-94,-16,11,-27,12,0,0,24,0,450,149,301,0,379,276,606,761,0,121
1955:Q2,5159,4274,266,618,5101,4236,866,0,0,57,-520,-0,-520,342,33,137,72,-15,0,0,-18,-110,86,0,0,6,0,26,33,98,0,0,0,-24,0,862,234,0,80,59,0,-58,0,-58,112,55,57,20,0,0,21,0,628,123,505,0,577,-39,600,618,0,-57
1955:Q3,5220,4355,274,591,5422,4536,885,0,0,-202,-128,-0,-128,381,-15,-17,-54,63,0,0,200,3,188,0,0,9,0,21,71,80,0,0,0,32,0,509,55,0,-7,58,0,-40,0,-40,45,79,-34,15,0,0,-16,0,454,86,368,0,-74,181,612,591,0,202
1955:Q4,5387,4527,275,585,5494,4587,907,0,0,-107,85,-0,85,-122,-8,30,154,-186,0,0,65,-21,57,0,0,29,0,-28,-26,-108,0,0,0,-15,0,-207,168,0,114,9,0,-1,0,-1,36,63,-27,-15,0,0,25,0,-375,8,-383,0,-192,60,632,585,0,107
1956:Q1,5598,4731,280,587,5834,4841,992,0,0,-236,-267,-0,-267,518,-12,95,50,-222,0,0,439,37,386,0,0,16,0,25,37,98,0,0,0,8,0,785,288,0,-41,80,0,90,0,90,74,35,39,23,0,0,62,0,497,-66,563,0,31,110,713,587,0,236
1956:Q2,5647,4743,274,629,6204,5221,984,0,0,-558,-675,-0,-675,389,-103,-48,41,195,0,0,85,10,55,0,0,20,0,22,73,85,0,0,0,39,0,1064,422,0,38,98,0,81,0,81,161,36,125,27,0,0,17,0,642,-29,671,0,117,477,710,629,0,558
1956:Q3,5723,4813,290,620,6479,5456,1023,0,0,-756,-582,-0,-582,730,-164,347,-60,39,0,0,366,93,256,0,0,17,0,19,70,75,0,0,0,38,0,1312,475,0,94,236,0,74,0,74,12,54,-42,33,0,0,26,0,837,-26,828,35,-174,642,734,620,0,756
