1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,47667,589,567,22,22,0,0,0,0,0,0,0,-36,300,24737,0,24737,8916,15821,0,0,0,0,0,0,0,0,0,0,22077,21927,0,150,46871,46599,19011,27358,1686,811,875,0,0,0,553,22459,2660,0,0,0,230,272,0,272,0,0,0
1954:Q3,46737,685,511,174,174,0,0,0,0,0,0,0,-36,100,23946,0,23946,8149,15797,0,0,0,0,0,0,0,0,0,0,22042,21810,0,232,45940,45664,18331,27184,1565,796,769,0,0,0,512,22277,2830,0,0,0,149,276,0,276,0,0,0
1954:Q4,47618,818,808,10,10,0,0,0,0,0,0,0,-37,44,24888,0,24888,16049,8839,0,0,0,0,0,0,0,0,0,0,21905,21713,0,192,46876,46588,18876,27533,1359,796,563,0,0,0,494,23211,2469,0,0,0,179,288,0,288,0,0,0
1955:Q1,46637,1150,552,598,598,0,0,0,0,0,0,0,-36,100,23505,0,23505,10843,12662,0,0,0,0,0,0,0,0,0,0,21918,21719,0,199,45843,45549,18388,26963,1680,829,851,0,0,0,386,22067,2830,0,0,0,198,294,0,294,0,0,0
1955:Q2,46361,925,850,75,75,0,0,0,0,0,0,0,-62,200,23423,16,23407,9106,14301,0,0,0,0,0,0,0,0,0,0,21875,21678,0,197,45556,45261,18066,26958,1192,812,380,0,0,0,383,22702,2681,0,0,0,237,295,0,295,16,0,0
1955:Q3,47021,1437,788,649,649,0,0,0,0,0,0,0,-29,300,23421,19,23402,3527,19875,0,0,0,0,0,0,0,0,0,0,21892,21684,0,208,46196,45898,18475,27175,1303,791,512,0,0,0,384,22528,2960,0,0,0,248,298,0,298,19,0,0
1955:Q4,48355,1692,1585,107,107,0,0,0,0,0,0,0,-61,398,24415,24,24391,7424,16967,0,0,0,0,0,0,0,0,0,0,21911,21690,0,221,47586,47283,19005,27876,1161,767,394,0,0,0,409,23624,2682,0,0,0,402,303,0,303,24,0,0
1956:Q1,46985,1499,793,706,706,0,0,0,0,0,0,0,-30,300,23318,15,23303,11632,11671,0,0,0,0,0,0,0,0,0,0,21898,21716,0,182,46121,45811,18582,27027,1299,787,512,0,0,0,349,22489,2890,0,0,0,202,310,0,310,15,0,0
1956:Q2,47276,1438,1206,232,232,0,0,0,0,0,0,0,-28,300,23475,18,23457,11757,11700,0,0,0,0,0,0,0,0,0,0,22091,21799,0,292,46396,46080,18443,27435,1290,768,522,0,0,0,306,23566,2273,0,0,0,202,316,0,316,18,0,0
1956:Q3,47449,1633,1060,573,573,0,0,0,0,0,0,0,-31,300,23310,17,23293,11634,11659,0,0,0,0,0,0,0,0,0,0,22237,21884,0,353,46547,46227,18656,27468,1363,780,583,0,0,0,334,22671,3100,0,0,0,103,320,0,320,17,0,0
