1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,264232,27055,237177,211298,25879,291,18,7241,27249,940,59702,69213,47934,29961,16118,1855,0,21279,30043,4429,4970,-222,0,-93,-603,-42,275,277,385,-549,934,0,1354,1617,266,2728,13803,0,806,8764,0,8602,6542,1403,231,123,303,83,79,-9511
1952:Q1,274284,30876,243408,216050,27358,440,20,6252,27512,1034,60508,85493,46515,28967,15787,1761,0,38978,48160,5652,5876,-144,0,9792,3828,16,6560,-612,320,-580,900,0,1008,5496,524,2672,16100,0,864,9182,0,9010,6252,2386,0,172,200,96,76,-24985
1952:Q2,278260,31813,246447,220284,26163,520,24,5864,28199,1079,59643,81518,47159,29185,16195,1779,0,34359,47825,352,8092,-196,0,19192,5964,2356,9988,884,196,-496,692,0,572,-87,512,2832,15456,0,904,13466,0,13290,6388,6382,-68,284,304,104,72,-21875
1952:Q3,285331,32274,253057,222975,30082,292,24,4248,28447,1103,61942,69014,45689,27735,16228,1726,0,23325,34947,4684,6364,-192,0,1728,-1024,1208,2444,-900,388,-8,396,0,412,1623,524,2956,15556,0,904,11622,0,11442,6676,4542,-268,188,304,104,76,-7072
1952:Q4,291961,33057,258904,231280,27624,300,20,7649,29133,1004,63682,64007,50524,31741,16950,1833,0,13483,28505,-2124,9564,-96,0,-3840,-1284,-3900,1876,-532,1412,736,676,0,468,2789,460,3092,15876,0,904,15022,0,14850,7180,7378,-196,228,260,92,80,-325
1953:Q1,296379,33411,262968,235032,27936,336,24,10097,28686,1224,65807,83044,52735,33660,17193,1882,0,30309,47118,12500,8276,-152,0,44,-2596,52,3192,-604,3576,1484,2092,0,696,1494,492,3096,16220,0,876,16809,0,16637,7520,7897,56,856,308,84,88,-17237
1953:Q2,300238,33439,266799,236989,29810,312,24,9296,29405,1052,67747,88904,52709,33500,17277,1932,0,36195,50084,-5808,9448,-204,0,26028,17736,3100,4124,1068,-700,-1444,744,0,1180,-536,332,3040,16432,0,872,13889,0,13721,8352,3529,560,984,296,76,92,-21157
1953:Q3,300144,33187,266957,237822,29135,296,24,8466,29885,1113,66645,69748,51844,33077,16789,1978,0,17904,27665,3688,6488,-232,0,-3776,-6332,1468,2548,-1460,164,116,48,0,-88,633,336,2952,16668,0,832,9761,0,9589,7192,3097,-896,-56,252,76,96,-3103
1953:Q4,300148,32931,267217,237337,29880,368,20,7424,30144,1203,66593,67546,50802,32222,16592,1988,0,16744,27221,-5244,8728,-176,0,-8248,-7004,-4000,1800,956,1712,612,1100,0,-304,9737,372,2840,17040,0,764,10477,0,10305,7024,1845,524,584,328,80,92,-953
1954:Q1,300127,30196,269931,239351,30580,148,24,5757,31490,1195,66756,76361,50800,31830,16715,2255,0,25561,32974,3392,8612,-200,0,1020,812,-284,1564,-1072,2104,512,1592,0,-104,-1822,340,2768,16204,0,660,7413,0,7245,6836,-739,420,360,368,84,84,-9605
1954:Q2,299797,29977,269820,242093,27727,-56,24,5817,32222,1142,64544,82586,52638,32542,17850,2246,0,29948,40921,2904,10772,-240,0,8928,4848,2628,1840,-388,1704,684,1020,0,472,-3131,200,2716,16040,0,556,10973,0,10809,8560,1249,-292,900,392,88,76,-18042
1954:Q3,301783,30005,271778,244790,26988,-508,28,5618,32116,1143,63043,63522,53554,32143,19153,2258,0,9968,23353,9688,6528,-204,0,-10028,-12228,1192,1604,-596,1608,976,632,0,-496,-3143,496,2676,15680,0,548,13385,0,13213,10108,1305,284,1216,300,88,84,-479
1954:Q4,307175,30462,276713,249425,27288,-192,28,7368,32240,1172,65504,60475,56522,33913,20356,2253,0,3953,22054,-7664,11272,-260,0,-6308,-3616,-3564,3356,-2484,2764,1456,1308,0,-1224,3438,648,2648,16100,0,640,18101,0,17913,12168,3581,376,1728,60,84,104,5029
1955:Q1,313515,31412,282103,255865,26238,-312,24,9003,33413,1244,67074,87202,60890,36601,22042,2247,0,26312,47649,8644,9108,-156,0,5772,5324,-728,1584,-408,3084,808,2276,0,1328,-619,508,2728,16528,0,724,21337,0,21137,12772,6153,516,1580,116,80,120,-20128
1955:Q2,321060,32429,288631,261172,27459,-64,28,10726,33983,1116,70960,78867,63644,38765,22530,2349,0,15223,39140,-3632,9336,-372,0,18036,11284,2748,4796,-792,548,-364,912,0,-1100,-4700,464,2836,16920,0,804,23917,0,23709,13356,8169,2328,440,-584,72,136,-7907
1955:Q3,328471,33364,295107,265592,29515,28,24,11869,34611,1244,74755,77171,65080,40395,22207,2478,0,12091,33104,6592,5840,-440,0,1936,-2740,1452,2708,516,596,264,332,0,-328,-2684,728,3032,17028,0,804,21013,0,20785,12484,7577,260,596,-132,80,148,-2416
1955:Q4,333585,34231,299354,269773,29581,124,28,10242,35430,1408,73941,73039,63303,39435,21266,2602,0,9736,28805,-6924,10120,-52,0,-608,-3896,-1640,3752,1176,1548,-140,1688,0,-228,3393,588,3024,17236,0,708,19069,0,18809,11708,6045,1392,48,-384,100,160,902
1956:Q1,338983,35367,303616,271551,32065,400,28,6306,37661,1471,74933,95261,60989,37570,20807,2612,0,34272,50849,6768,9528,-364,0,7384,5368,164,1084,768,3704,964,2740,0,-100,649,1204,3400,18016,0,660,16577,0,16277,11036,5397,-1468,228,1084,128,172,-20328
1956:Q2,344790,36239,308551,274339,34212,420,32,6002,38252,1723,77131,93068,61427,37708,21026,2693,0,31641,47514,-4,10924,-140,0,18104,9024,3084,4204,1792,796,-856,1652,0,-2188,-2534,108,3636,18236,0,576,15873,0,15525,11388,3445,-176,344,524,156,192,-15937
1956:Q3,350083,36901,313182,277638,35544,388,32,5499,38757,1619,78537,80253,61012,37581,20646,2785,0,19241,31970,3428,6064,-264,0,12,-4780,1408,2704,680,332,-200,532,0,-272,-1486,1364,3564,18656,0,572,12729,0,12369,10404,2953,-2056,196,872,164,196,-1716
1956:Q4,357751,37857,319894,283103,36791,372,28,6477,39610,1603,81619,80918,62410,39297,20301,2812,0,18508,34021,-2840,11272,-208,0,-2732,-3708,-3240,2912,1304,1132,-352,1484,0,560,3073,468,3280,19348,0,668,15513,0,15177,10408,2729,1228,516,296,148,188,701
1957:Q1,362367,38578,323789,287700,36089,324,32,8504,38393,1650,81628,102102,62648,40009,19639,3000,0,39454,54157,4856,14116,-188,0,8412,3760,-356,2036,2972,732,-2400,3132,0,-596,1017,892,2976,21256,0,684,14703,0,14391,9936,3195,1304,-112,68,132,180,-20474
1957:Q2,367110,38965,328145,290052,38093,-128,32,7498,39090,1910,82611,99536,61857,39608,19226,3023,0,37679,52478,-3236,12968,-404,0,16968,11692,2652,1876,748,-300,-1852,1552,0,328,-130,860,2668,22028,0,728,14799,0,14491,8180,3027,1860,1244,180,124,184,-16925
1957:Q3,371679,39197,332482,294703,37779,112,32,6479,39913,1880,82371,86065,61496,39332,19101,3063,0,24569,36032,2832,6980,-408,0,2448,-1020,260,1964,1244,-584,-1876,1292,0,-2576,-16,860,2596,23192,0,708,11463,0,11163,8344,2971,-992,40,800,124,176,-3694
1957:Q4,370778,38804,331974,296385,35589,116,28,5844,40238,1708,80051,82922,60975,38948,18996,3031,0,21947,30886,-8048,13684,-308,0,-1184,-1868,-540,1928,-704,588,-1260,1848,0,-2212,310,728,2712,23976,0,640,8939,0,8651,8056,1355,-624,-668,532,132,156,-2871
1958:Q1,371282,38178,333104,295930,37174,132,36,1824,41945,1751,79288,104278,57372,36568,17467,3337,0,46906,53639,7840,15416,-100,0,-424,-3932,-1268,1548,3228,3464,508,2956,0,-2164,2895,1304,2884,21960,0,564,6733,0,6453,8092,-1263,-3224,1560,1288,144,136,-24990
1958:Q2,373724,37696,336028,298793,37235,-516,36,348,42793,1693,78131,89450,56564,35863,17461,3240,0,32886,41619,-8028,15464,-400,0,5600,11848,-116,-3404,-2728,2492,-248,2740,0,-1724,1791,1812,3100,21040,0,472,8733,0,8481,7944,-1107,-1716,2244,1116,148,104,-11319
1958:Q3,382613,38945,343668,303808,39860,584,36,1111,42824,1653,82690,87875,58437,36568,18676,3193,0,29438,42411,13960,11208,-4,0,-13496,-16432,232,868,1836,1324,-372,1696,0,-960,3123,1488,3176,22112,0,480,12973,0,12709,10404,781,556,676,292,152,112,-5185
1958:Q4,388187,39376,348811,307797,41014,-84,40,2228,43010,1684,84444,83773,61667,37772,20617,3278,0,22106,41951,-2860,14308,-268,0,2008,-1328,-1368,4048,656,2552,-472,3024,0,-3640,3335,1028,3132,21776,0,580,19845,0,19533,12772,2681,3068,1244,-232,160,152,671
1959:Q1,393980,40758,353222,315351,37871,172,44,6583,41611,1691,84502,100195,67129,40618,23202,3309,0,33066,53537,8020,10408,-136,0,8236,4088,32,2744,1372,2624,-480,3104,0,-1920,-2963,1724,3184,23676,0,684,20471,0,19279,12972,6559,-1832,604,976,1000,192,-15693
1959:Q2,402363,41986,360377,321599,38778,-716,40,7485,42507,1732,86282,98916,69784,42308,24048,3428,0,29132,51743,4020,13532,-236,0,16052,9500,3644,3340,-432,-236,-2344,2108,0,-2668,-7769,1224,3208,23844,0,772,22611,0,22223,12884,6779,940,972,648,160,228,-12634
1959:Q3,404741,42679,362062,327066,34996,1068,40,7917,42989,1882,85048,85618,70305,43118,23645,3542,0,15313,39204,7792,8068,-208,0,4864,-448,2288,2884,140,-1468,-2544,1076,0,-4772,-6872,1484,3444,26072,0,800,23891,0,23455,13696,8139,1216,-4,408,200,236,-570
1959:Q4,410367,43733,366634,329414,37220,-268,36,5579,43349,1915,83929,75962,67574,41040,23004,3530,0,8388,32075,-10116,10104,-176,0,12140,6076,-228,6020,272,-5784,-7872,2088,0,-4592,-629,1244,3848,25300,0,736,23687,0,23271,12588,9415,416,888,-36,200,216,7967
1960:Q1,416651,45292,371359,333093,38266,88,32,5594,44816,2010,86722,113336,69420,42424,23920,3713,-637,43916,58808,4644,9620,-224,0,17016,12800,-2916,1844,5288,1260,-2136,3396,0,-2908,-324,1272,3756,23968,0,728,14892,0,14528,11872,3428,-2064,-464,1756,160,204,-26614
1960:Q2,421743,46028,375715,339172,36543,360,32,6174,45240,2247,86038,98282,68417,43338,21935,3796,-652,29865,50909,276,12808,-232,0,14004,4652,2216,5252,1884,840,-1628,2468,0,-4276,-1931,1412,3508,23780,0,720,21044,0,20644,10096,6116,2656,1244,532,200,200,-12244
1960:Q3,424375,46528,377847,339278,38569,84,36,5324,45698,2145,87494,86020,67054,42860,21091,3775,-672,18966,36194,6100,13228,-176,0,-9504,-8560,-1944,692,308,3324,1264,2060,0,-4040,-1030,1072,3068,23440,0,712,17228,0,17116,11704,3932,-184,1112,552,-80,192,1474
1960:Q4,425782,46424,379358,341335,38023,-316,36,3912,46040,2566,85057,81442,65706,41710,20862,3829,-695,15736,33960,-3112,12088,-116,0,-2332,-4932,-2292,2792,2100,5776,2604,3172,0,-4672,-904,440,2580,23500,0,712,18224,0,17892,11444,2664,2384,888,512,160,172,3615
1961:Q1,430164,46511,383653,341907,41746,-56,48,1455,46218,2551,86764,91569,63050,39355,20561,3864,-730,28519,42940,6460,22264,-164,0,-10836,-6464,-3112,-1368,108,3576,-1100,4676,0,-1812,-5332,1716,2752,23556,0,760,14421,0,14269,11124,1685,-1308,2284,484,0,152,-4805
1961:Q2,436376,46944,389432,346838,42594,40,52,2417,46338,2391,88946,107570,64054,40361,20414,4032,-753,43516,61549,360,19444,-116,0,9964,2096,504,3996,3368,5476,2852,2624,0,-3480,789,1320,3172,23856,0,764,18033,0,17509,10612,-519,4248,2668,500,400,124,-18624
1961:Q3,443432,47402,396030,349808,46222,20,52,3331,46680,2571,93630,86800,66164,41535,21260,4142,-773,20636,36845,3100,11780,-124,0,-3956,-328,792,-2600,-1820,740,-1604,2344,0,-4964,453,1548,3692,23812,0,764,16209,0,15969,13196,2157,-528,560,584,120,120,6830
1961:Q4,452329,48143,404186,357208,46978,-216,56,4990,47060,2523,96233,88202,68765,43494,21725,4334,-788,19437,44226,-11064,20048,-92,0,5760,484,52,5968,-744,3304,-88,3392,0,-8816,4334,2100,4172,23736,0,744,24789,0,24413,15664,5425,1068,1684,572,240,136,8031
1962:Q1,459335,49402,409933,362497,47436,20,52,5907,47234,2418,98127,110110,70120,44501,21936,4474,-791,39990,56665,9276,25572,-172,0,-6512,-2224,-564,-4256,532,3060,-508,3568,0,-6336,1381,1388,4128,24164,0,716,16675,0,16327,12072,3551,840,-700,564,200,148,-11983
1962:Q2,466750,50924,415826,368363,47463,144,56,6850,47637,2727,99311,106528,71989,45756,22417,4620,-804,34539,55970,-1460,25672,-116,0,7832,7588,392,-72,-76,4164,2640,1524,0,-8940,-786,1252,3952,23712,0,688,21431,0,21159,13552,8067,-472,-652,664,120,152,-7217
1962:Q3,471497,52319,419178,372490,46688,-60,60,6931,48137,2649,98987,92902,72314,46241,22231,4660,-818,20588,44863,-2020,23276,-112,0,-1192,296,440,1116,-3044,2204,1048,1156,0,-5372,243,132,3648,23372,0,684,24275,0,24039,15376,5235,700,2084,644,80,156,6085
1962:Q4,477768,53575,424193,378974,45219,48,60,8293,48722,2758,99464,92689,73901,48087,22058,4590,-834,18788,44951,-7624,29412,-76,0,-748,-660,-1696,1536,72,860,-1580,2440,0,-6376,755,716,3340,23988,0,704,26163,0,25879,16120,6783,764,1700,512,120,164,6775
1963:Q1,483208,54101,429107,382931,46176,60,60,8520,49274,2797,101173,107100,75218,48758,22795,4517,-852,31882,55381,20840,26972,-104,0,-23032,-21960,-1368,-1484,1780,1828,-888,2716,0,-4440,2101,900,3828,25764,0,724,23499,0,23123,14544,7859,-1160,1068,812,200,176,-5927
1963:Q2,488050,54311,433739,387298,46441,284,72,9276,49833,2906,102856,113583,77945,49956,24271,4590,-872,35638,66209,904,26960,-96,0,6480,6744,980,-176,-1068,6552,4452,2100,0,-7240,461,616,4092,26736,0,744,30571,0,30063,16148,7279,2384,3824,428,320,188,-10727
1963:Q3,495194,54593,440601,394668,45933,52,64,9449,50546,3038,102878,101072,78857,50716,24359,4675,-893,22215,52010,4168,20968,-112,0,-4168,-428,1012,-2704,-2048,236,-244,480,0,-5168,2066,1440,4380,27464,0,736,29795,0,29243,18504,9247,-1532,2520,504,360,192,1806
1963:Q4,504640,55203,449437,399597,49840,156,68,9823,51270,2799,108222,112125,80743,51678,25189,4791,-915,31382,63337,-7196,29532,-60,0,10412,6520,-1564,4392,1064,2164,1372,792,0,-9616,3373,928,4648,28452,0,700,31955,0,31407,18000,9719,1684,1364,640,360,188,-3903
1964:Q1,514147,53755,460392,409308,51084,124,68,11265,52010,2951,111464,120857,84018,53716,26354,4892,-944,36839,65338,3960,20880,-68,0,-2244,-3156,-440,2080,-728,6840,3840,3000,0,-2088,2614,124,4336,30072,0,912,28499,0,27803,17268,10739,-932,144,584,516,180,-9393
1964:Q2,523561,49723,473838,417585,56253,100,76,11981,52824,3349,117733,128139,84551,55087,25395,5029,-960,43588,73839,6384,27304,-72,0,11652,10380,1004,2076,-1808,-4060,-3972,-88,0,-4928,35,1144,4348,31072,0,960,30251,0,29879,16460,8855,3220,720,624,200,172,-10406
1964:Q3,533162,51575,481587,426841,54746,216,84,13135,53604,3427,118190,134234,86187,56849,25124,5187,-973,48047,75226,13468,24360,-72,0,-1972,-6924,1024,3452,476,5504,3988,1516,0,-5892,982,1124,4428,32216,0,1080,27179,0,26799,18004,10079,-2012,124,604,200,180,-16044
1964:Q4,541898,53223,488675,429631,59044,68,80,10639,54432,3493,120610,123761,84712,54996,25388,5311,-983,39049,70576,1544,31876,-76,0,5444,-28,-608,3432,2648,-268,-2120,1852,0,-13328,5128,1384,4552,33044,0,1276,31527,0,31195,17184,8255,5084,64,608,120,212,-3151
1965:Q1,552984,56964,496020,440472,55548,292,88,15692,54939,3594,122789,131206,90749,60357,25729,5641,-978,40457,67996,3344,27732,-100,0,-4524,1028,-1276,-3568,-708,3684,1696,1988,0,-8036,3016,2108,4392,35008,0,1372,27539,0,27027,16988,11967,-3300,660,712,280,232,-8417
1965:Q2,562564,58415,504149,447875,56274,364,84,14742,56003,3422,123877,133901,91266,60267,26176,5809,-986,42635,72334,3644,23408,-92,0,11388,10464,3380,-680,-1776,260,408,-148,0,-10052,1502,564,4932,35316,0,1464,29699,0,29007,15624,11799,-68,904,748,440,252,-10024
1965:Q3,576868,57005,519863,457272,62591,376,84,15823,56879,3614,131971,152728,93371,62016,26407,5945,-997,59357,87088,21968,24084,-68,0,-756,-7796,2008,3848,1184,932,1472,-540,0,-8824,3224,3348,5096,36576,0,1508,27731,0,27019,18184,9327,-1452,236,724,440,272,-20757
1965:Q4,590228,58272,531956,471358,60598,76,80,17443,57730,3802,131965,136767,95948,64272,26612,6075,-1011,40819,73514,-2000,34668,-76,0,144,-2544,-564,7108,-3856,2840,2088,752,0,-15240,6358,2272,4880,38168,0,1500,32695,0,31879,17660,7455,3112,2964,688,516,300,-4802
1966:Q1,602901,61526,541375,481915,59460,284,108,20034,58490,3946,134214,154015,99378,67403,26879,6133,-1037,54637,80536,6732,18668,-80,0,16904,6100,2480,5412,2912,-328,-660,332,0,-13244,944,3948,4692,40792,0,1508,25899,0,25131,17184,10067,-4644,1812,712,440,328,-19801
1966:Q2,612809,65567,547242,487306,59936,328,108,16574,59755,3967,132518,143976,95792,64988,25705,6149,-1050,48184,77691,-5704,20432,-464,0,18024,1216,13388,3428,-8,5940,4188,1752,0,-10908,1215,1484,4564,41588,0,1520,29507,0,28787,13188,5467,6984,2428,720,360,360,-11458
1966:Q3,626019,67854,558165,496600,61565,240,104,17867,61105,3845,136828,167320,97246,67414,24733,6157,-1058,70074,85649,13500,9596,-208,0,15276,4780,3804,500,6192,2528,316,2212,0,-10280,5213,1304,4628,42548,0,1544,15575,0,14923,11672,3635,-2340,1220,736,280,372,-30492
1966:Q4,639626,70565,569061,502579,66482,220,100,16937,62534,3786,142287,144055,95532,67695,22720,6180,-1063,48523,69126,-7196,25788,-116,0,8140,416,-800,9140,-616,4224,1896,2328,0,-20004,5542,2088,4884,44188,0,1588,20603,0,19919,9768,4563,2684,2280,624,320,364,-1768
1967:Q1,650497,71175,579322,507088,72234,328,112,14771,63383,3987,146617,168636,93527,66163,22272,6137,-1045,75109,89872,13096,38044,-144,0,-16072,-14460,-412,-5076,3876,5408,1752,3656,0,-9872,6396,2068,5060,44196,0,1692,14763,0,14055,9356,3867,-3560,3620,772,400,308,-22019
1967:Q2,657638,70942,586696,516789,69907,476,108,17228,64305,3871,147937,153515,99437,69310,25029,6150,-1052,54078,74009,-3576,41428,-64,0,-1656,4016,496,-6528,360,1844,1924,-80,0,-14468,-1391,-252,4948,45536,0,1660,19931,0,18971,9020,4127,2228,3404,192,676,284,-5578
1967:Q3,671585,73833,597752,523790,73962,160,108,16289,65692,4163,151832,186588,101047,69511,26462,6138,-1064,85541,109680,22920,31860,-156,0,9424,1480,276,3200,4468,4364,2124,2240,0,-14252,-536,2364,4968,47032,0,1692,24139,0,23147,17616,5815,-6052,4976,792,716,276,-34756
1967:Q4,683174,75894,607280,531405,75875,64,120,15724,67396,3891,155048,121474,103856,70388,28306,6240,-1078,17618,98645,8724,28704,-76,0,13392,8240,1300,-3404,7256,6148,3468,2680,0,-10492,-1935,-464,4884,48056,0,1704,81027,0,80027,17440,6771,39488,6140,10188,716,284,33574
1968:Q1,702518,78564,623954,549761,74193,-116,132,19324,69373,3688,158954,223814,109440,75686,28545,6351,-1142,114374,96690,4356,32540,0,0,904,6428,-2740,-3476,692,2748,-1856,4604,0,-14476,10422,3188,4808,50368,0,1832,-17684,0,-18576,16580,7764,-33712,-676,-8532,556,336,-64860
1968:Q2,722353,81665,640688,563907,76781,128,136,20016,71086,4036,163839,159181,112077,77769,29165,6267,-1124,47104,87680,-5808,20724,0,0,22376,10360,4200,2924,4892,9624,9540,84,0,-19700,996,624,4736,52236,0,1872,40576,0,39976,15168,9612,5200,9348,648,240,360,4658
1968:Q3,741250,91861,649389,580558,68831,40,148,22779,72869,4217,160154,190283,116646,81945,29386,6391,-1076,73637,103633,28976,32220,0,0,-4768,-2232,-1332,-2200,996,9484,5912,3572,0,-26484,585,3508,4756,53420,0,1936,29996,0,28872,17908,10752,-3408,2896,724,756,368,-30129
1968:Q4,757524,95858,661666,589777,71889,-64,160,21352,74974,4411,163580,141636,118546,82208,30626,6710,-998,23090,70394,8188,35188,0,0,-5424,-6172,-708,-3704,5160,944,-132,1076,0,-32904,-702,1500,4852,56720,0,2032,47304,0,46312,18616,14900,5536,6664,596,636,356,21944
1969:Q1,772358,102602,669756,602308,67448,104,192,21263,76709,4562,160770,190843,121538,83394,31929,7052,-837,69305,89565,-7520,17684,0,0,34072,18832,-916,14988,1168,-11148,-13704,2556,0,-19328,5257,3416,4948,59764,0,2420,20260,0,19352,18472,12620,-7768,-4712,740,556,352,-30073
1969:Q2,790610,105660,684950,614341,70609,-428,212,20193,78588,4800,163950,150202,122044,83799,31721,7285,-761,28158,63946,-8672,16872,0,0,7788,-10392,8988,7644,1548,4716,7040,-2324,0,-23656,-3386,1020,5012,62084,0,2168,35788,0,34760,17072,11760,4104,1032,792,676,352,13748
1969:Q3,811619,104139,707480,625009,82471,700,220,18826,80467,4549,177695,203841,122160,83966,31310,7597,-713,81681,104085,7552,-4836,0,0,51812,27144,5544,11796,7328,-10580,-12424,1844,0,-14252,-2283,4544,5076,65500,0,1552,22404,0,21408,19032,7628,-3396,-2584,728,636,360,-26146
1969:Q4,826760,105623,721137,637434,83703,-676,228,17723,82059,4589,177992,183685,120477,84166,29326,7686,-701,63208,100964,1744,5056,0,0,29372,9408,7124,8588,4252,16264,10912,5352,0,-27584,-588,1684,5116,67100,0,2800,37756,0,36480,16240,7620,7940,4084,596,796,480,-5693
1970:Q1,841741,104573,737168,648912,88256,524,232,15488,83613,4768,182881,228984,119386,83257,29144,7719,-734,109598,118469,18480,5188,0,0,15928,3276,11632,3356,-2336,-3564,-6096,2532,0,1592,13373,1632,5364,57912,0,2564,8871,0,7819,12068,5195,-9432,-1268,1256,636,416,-46103
1970:Q2,860032,105512,754520,659113,95407,-236,228,15857,84833,4784,190849,225534,119825,84553,28247,7815,-790,105709,117200,19632,38428,0,0,964,-7776,3160,592,4988,-1880,-328,-1552,0,-2308,-4000,-396,5100,58900,0,2760,11491,0,10587,4500,3231,2208,-96,744,476,428,-34685
1970:Q3,874679,100657,774022,671283,102739,336,236,15695,86281,4676,200139,278111,121582,85487,29038,7929,-872,156529,179548,39388,69432,0,0,5220,-12492,2980,-224,14956,5604,1844,3760,0,-5328,-6884,3268,5264,60788,0,2796,23019,0,21787,11624,6347,-472,3416,872,796,436,-77972
1970:Q4,883724,101538,782186,678238,103948,-412,240,10014,88019,4828,196501,147615,120266,81132,32302,7808,-976,27349,59656,-47200,55692,0,0,-14136,-24160,780,-4124,13368,9732,8884,848,0,-9336,-5556,-264,5632,62412,0,2680,32307,0,31231,16976,2943,7440,3200,672,636,440,48886
