1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q4,1102242,253972,481296,-63944,928214,216770,-38,1448052,2124959,1462013,1435341,24010,2662,662946,1112706,17269,-110844,-26860,136290,1628,-59047,-51039,-2596,-864,-5104,556,12500,-13928,26428,58546,35132,440268,68,-4904,144156,468504,449760,987508,190231,15954,59789,114488,439843,127613,239055,73175,47932,88721,-25502,246283,4544,-4740,246479,-537748,-661028,123280,-676907,230731
2008:Q1,970495,241395,478561,-120652,1061302,142691,-78,1333958,992325,1447402,1448380,-9054,8076,-455077,-243261,-18878,-251640,19148,390778,-3800,-149144,-55528,-44320,-14772,-33496,-1028,5572,-4756,10328,6663,228468,286424,-300,-16512,-108450,-631590,211816,471912,168855,42873,48326,77656,331438,196921,74392,60124,71548,-130039,37794,-7685,14736,104492,-126913,-260096,-421964,161868,341633,256135
2008:Q2,998790,230797,499449,-151636,1073987,178310,-101,1369306,821424,1460724,1463923,-22517,19318,-639300,-308357,-61463,118056,-72800,56794,3824,11114,3526,6232,2076,-1404,684,-35929,-3996,-31933,14764,221092,319696,-72,-16512,-60275,-806645,330943,542299,324161,-77271,97604,303828,151764,31570,120770,-575,94512,-203437,-46159,221458,14736,102679,104043,-211356,-312524,101168,547882,269728
2008:Q3,1034414,218894,497393,-60372,1085321,206105,-14443,1563624,1180499,1438560,1448199,-16992,7353,-258061,-414579,-136707,-128116,-21028,109640,-11024,1139,1723,-13168,-4388,14432,2540,-17863,-5680,-12183,-87436,201464,287776,-128,-16512,-179179,-416604,-156518,95978,186534,62833,69625,54076,118201,102019,122383,-106202,-24796,-253953,46666,23326,14736,102474,-93884,-252496,-409904,157408,383125,81041
2008:Q4,637280,137736,489271,193340,1093850,159187,-119,1456769,775222,1355659,1373452,-54649,36856,-580437,-358552,-311935,-176088,-27504,376216,7512,36071,1575,19800,6600,8372,-276,16254,-7612,23866,-43243,156016,233356,148,-16512,-325061,-283781,221885,513461,108377,2217,43976,62184,-259780,-71638,-45651,-142491,-44516,-332255,-25797,1067433,14744,101805,950884,-291576,-568568,276992,681547,58077
2009:Q1,673544,135804,470610,91956,1069890,189225,-130,1418331,2159202,1152821,1258949,-131603,25475,1006381,214792,227685,8168,4128,77023,1164,-380,-31896,42600,-1800,-15384,6100,45092,10920,34172,69435,-81644,190484,152,35268,-240498,-121285,-791589,-701901,280485,-138777,32146,387116,-540856,-226547,-299886,-14423,-42488,-339270,-48704,-11067,-8608,39211,-41670,-89688,-148068,58380,-740871,-76285
2009:Q2,689890,154424,392605,7344,1070184,180535,-153,1401077,1054252,1029948,1198204,-170834,2578,24304,-62236,10410,-18788,2020,-69863,1740,32116,13112,3140,17044,-1172,-8,-45941,-6288,-39653,39271,-94072,203248,-64,35268,-13399,-144181,-86540,-235272,159074,-132785,31059,260800,-424942,-249986,-120975,-53981,-12392,-118096,31816,129268,-8604,37820,100052,148732,70080,78652,346825,-190594
2009:Q3,764762,163533,289823,-20520,1068516,177725,98033,1439094,1218348,1005402,1180910,-174887,-621,212946,183866,272948,252780,76,-175890,4372,-15096,-15452,-4220,-1404,8224,-2244,7879,-1936,9815,27797,-108168,238348,-136,35268,66754,-423067,-29080,-161860,137680,2027,44881,90772,-552013,-278462,-130751,-142801,41212,3804,15037,192420,-8604,37872,163152,132780,2976,129804,220746,-255967
2009:Q4,941217,191983,318133,-68312,1065880,196019,55443,1569245,1870883,1152406,1196795,-43400,-989,718477,613202,227541,65492,21072,-126986,-4580,54120,29040,8516,2836,12080,1648,-22127,-2908,-19219,10446,-114104,295308,132,35268,69080,102540,-105275,-53935,139301,-22733,41598,120436,-455017,-198089,-92366,-164563,-33012,105850,-11165,200107,-8604,38221,170490,-51340,-281316,229976,-301638,-220820
2010:Q1,1022942,191960,364418,-47068,1054159,229646,58777,1644524,1610853,1191534,1189712,3113,-1291,419319,593047,439715,-73008,26332,-291132,4576,-12575,-10403,-2352,12552,-12368,-4,15344,-2444,17788,-59526,-52332,434423,64,7460,117739,35967,173728,227640,283155,50254,39117,193784,-520330,-245134,-180642,-94555,11464,145122,-7078,315308,15380,-17264,317192,-53912,-163340,109428,33671,-223344
2010:Q2,1044249,196293,351354,-36392,1054112,202813,6932,1710203,1786101,1280011,1241091,39245,-325,506090,745002,-48105,18608,2184,-175969,900,34436,31888,10540,3512,-9612,-1892,-24004,-1556,-22448,-52843,-46124,293038,-128,7460,146096,589453,238912,266596,194593,62710,28523,103360,-430690,-141731,-141112,-147847,-6036,175453,37476,295800,15384,-18988,299404,-27684,-137532,109848,-75898,-227379
2010:Q3,1101636,208864,399600,-18052,1098670,208992,-3568,1786350,1324775,1389168,1281790,108266,-888,-64393,526202,168042,-38648,-11464,-93955,9304,39880,20760,7512,2504,8356,748,-5232,-1576,-3656,-20075,-51068,302077,300,7460,147080,72502,590595,598691,350399,43766,22733,283900,-165854,-15366,-44280,-106208,10292,55804,5982,342067,15388,-22505,349184,-8096,-269440,261344,461575,-188190
2010:Q4,1052812,218019,413295,-88860,1188166,205460,21526,1704738,1581114,1380314,1315008,67122,-1816,200799,353992,-56968,118804,35760,-118659,-15152,-82796,-92148,11768,-10672,6160,2096,-1132,764,-1896,-2245,-56276,299533,252,6756,156426,69690,153193,98729,160377,-58658,42823,176212,-84423,55755,-69443,-70734,-47156,251077,134412,-315559,15380,-24671,-306268,54464,-145720,200184,123624,-118964
2011:Q1,992128,212299,428703,-141616,1237941,204905,-5772,1658128,1325375,1347308,1319845,29179,-1716,-21933,616102,103717,-105348,43096,-16489,4680,-27359,9321,-24812,-8708,-2896,-264,17493,-1520,19013,37571,24644,349641,328,-14048,171731,26445,638035,685991,166910,25799,11639,129472,-60511,82567,6171,-149249,-68,122446,35664,421551,2960,-3913,422504,-47956,-168732,120776,332753,-105915
2011:Q2,1070315,212399,451289,-82964,1253486,206072,-5708,1788929,1835370,1419684,1364294,56618,-1228,415687,594098,233488,-40736,19372,-19944,-44,24549,-5823,27248,9292,-4584,-1584,-1762,15688,-17450,25610,24548,449575,-276,-14048,109245,-215480,178411,371039,284560,49535,4817,230208,140001,90468,131462,-81929,5592,87795,-4848,-142061,2960,-3889,-141132,-192628,-381436,188808,-46441,-163173
2011:Q3,1048308,191149,470217,-35680,1268244,215661,-7474,1842641,2003041,1420839,1430828,-9686,-303,582202,744054,-68896,-66832,-85636,-83957,-3880,-144293,-84593,-42128,-11904,-4008,-1660,-4889,-3904,-985,-27797,21028,312191,-272,-14048,6552,904782,161852,488396,208904,29663,9417,169824,185133,230771,36990,-82628,57004,-129632,45060,121927,2960,-3376,122343,-326544,-507240,180696,-160400,-206141
