1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,243903,0,0,0,0,0,0,23603,0,220300,243903,243903,23603,220300,243903,0
1968:Q3,248236,0,0,0,0,0,0,23594,0,224642,248236,248236,23594,224642,248236,0
1968:Q4,252645,0,0,0,0,0,0,23628,0,229017,252645,252645,23628,229017,252645,0
1969:Q1,257285,0,0,0,0,0,0,23755,0,233530,257285,257285,23755,233530,257285,0
1969:Q2,262513,0,0,0,0,0,0,24871,0,237642,262513,262513,24871,237642,262513,0
1969:Q3,267237,0,0,0,0,0,0,25176,0,242061,267237,267237,25176,242061,267237,0
1969:Q4,271799,0,0,0,0,0,0,25147,0,246652,271799,271799,25147,246652,271799,0
1970:Q1,279893,0,0,0,0,0,0,25185,0,254708,279893,279893,25185,254708,279893,0
1970:Q2,288688,0,0,0,0,0,0,26910,0,261778,288688,288688,26910,261778,288688,0
1970:Q3,296707,0,0,0,0,0,0,27046,0,269661,296707,296707,27046,269661,296707,0
1970:Q4,304735,0,0,0,0,0,0,27528,0,277207,304735,304735,27528,277207,304735,0
1971:Q1,311605,0,0,0,0,0,0,27726,0,283879,311605,311605,27726,283879,311605,0
1971:Q2,319154,0,0,0,0,0,0,29583,0,289571,319154,319154,29583,289571,319154,0
1971:Q3,325869,0,0,0,0,0,0,29814,0,296055,325869,325869,29814,296055,325869,0
1971:Q4,332737,0,0,0,0,0,0,30371,0,302366,332737,332737,30371,302366,332737,0
1972:Q1,339969,0,0,0,0,0,0,30289,0,309680,339969,339969,30289,309680,339969,0
1972:Q2,348063,0,0,0,0,0,0,32423,0,315640,348063,348063,32423,315640,348063,0
1972:Q3,355275,0,0,0,0,0,0,32693,0,322582,355275,355275,32693,322582,355275,0
1972:Q4,362527,0,0,0,0,0,0,33364,0,329163,362527,362527,33364,329163,362527,0
1973:Q1,370015,0,0,0,0,0,0,33182,0,336833,370015,370015,33182,336833,370015,0
1973:Q2,378389,0,0,0,0,0,0,35497,0,342892,378389,378389,35497,342892,378389,0
1973:Q3,385785,0,0,0,0,0,0,35193,0,350592,385785,385785,35193,350592,385785,0
1973:Q4,393345,0,0,0,0,0,0,35499,0,357846,393345,393345,35499,357846,393345,0
1974:Q1,401040,0,0,0,0,0,0,35113,0,365927,401040,401040,35113,365927,401040,0
1974:Q2,409725,0,0,0,0,0,0,38912,0,370813,409725,409725,38912,370813,409725,0
1974:Q3,417229,0,1501,1501,0,0,0,36625,0,379103,417229,417229,38126,379103,417229,0
1974:Q4,424887,0,1501,1501,0,0,0,36737,0,386649,424887,424887,38238,386649,424887,0
1975:Q1,432693,0,0,0,0,0,0,37947,0,394746,432693,432693,37947,394746,432693,0
1975:Q2,441436,0,0,0,0,0,0,43043,0,398393,441436,441436,43043,398393,441436,0
1975:Q3,448949,0,0,0,0,0,0,41962,0,406987,448949,448949,41962,406987,448949,0
1975:Q4,456667,0,38,38,0,0,0,42023,0,414606,456667,456667,42061,414606,456667,0
1976:Q1,464733,0,74,74,0,0,0,41249,0,423410,464733,464733,41323,423410,464733,0
1976:Q2,473875,0,96,96,0,0,0,47585,0,426194,473875,473875,47681,426194,473875,0
1976:Q3,481543,0,124,124,0,0,0,46188,0,435231,481543,481543,46312,435231,481543,0
