1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q2,86398,-4934,14010,ND,ND,9298,4948,4350,1199,247,552,-288,2294,8840,-1805,56985,74977,-5219,22,-11421,-7978,-24479,ND,ND,14166,16651,-2485,-3671,648,-4319,747,890,60,455,39071,-1993,-6002,2158,43218,-1907,0,39018,11421,0,0,0
2007:Q3,66936,3340,3056,ND,ND,-33613,-29481,-4132,1459,-192,775,-67,-20718,92200,-1159,21855,120831,-1052,24,13287,19524,77933,ND,ND,9294,242,9052,319,-1629,1948,492,109,60,-658,104493,1711,-22648,-2177,-9899,-1338,0,-70820,-53895,0,0,0
2007:Q4,-164475,8296,15977,ND,ND,-7379,-11895,4516,-107,-112,1045,-776,6090,-159644,90,-27955,66743,407,26,839,1776,49940,ND,ND,-7454,-12696,5242,-4878,-588,-4290,-470,-132,60,-17,78487,1531,18265,-12377,-27710,23,2295,-46245,-231218,0,0,0
2008:Q1,214780,116,-11821,ND,ND,20744,40717,-19973,-1274,1693,1199,-358,-1843,136412,-2014,71926,74010,-950,28,-4316,29528,17515,ND,ND,-41059,10857,-51916,1362,174,1188,-1722,356,-243,425,-14420,-106,-11113,6783,93994,-1835,0,6566,140770,0,0,0
2008:Q2,-363136,-279,15810,ND,ND,-41086,-17290,-23796,-134,217,2204,-268,1764,-230246,272,-111390,-190763,956,30,-7954,38530,12205,ND,ND,-38354,-9258,-29096,-2171,19,-2190,1050,170,-243,-48,-74969,5997,10239,-3247,5799,445,0,-142444,-172373,0,0,0
2008:Q3,38192,34115,24177,ND,ND,-37910,-3281,-34629,1156,-578,-2091,1436,-2048,57987,-1081,-36971,6803,-2756,37,-6698,-31464,29797,ND,ND,-812,11468,-12280,-3089,-1449,-1640,-218,542,-242,-464,76153,-5382,-3577,4977,84752,-526,0,-129250,31389,0,0,0
2008:Q4,-1288063,10415,-37910,ND,ND,-98427,-58330,-40097,-1970,522,-8773,-1802,-10211,-829560,-4199,-306148,-1045616,1878,26,-8262,-2974,-4623,ND,ND,-97305,-27655,-69650,-29,43,-72,1734,4556,-243,447,-50256,-11266,-23886,-54032,-490062,-4757,3945,-364539,-242447,0,0,0
2009:Q1,-32840,-17762,-36007,ND,ND,39115,14927,24188,-519,-1595,336,-65,-106,-134254,-17,118034,-12920,291,13,-10285,-79987,-85332,ND,ND,24864,5187,19677,-123,-15,-108,-8,4841,39,171,23279,-10903,44783,23103,64924,290,100,10123,-19920,0,0,0
2009:Q2,-5700,2079,-6553,ND,ND,45317,10438,34879,19,-57,-2397,-12,2717,-38146,117,-8784,-250174,435,8,13468,8,-85978,ND,ND,-4322,-1778,-2544,-26,-24,-2,932,-1804,39,-397,-78980,5105,-57146,-5671,-47027,5900,5300,-5688,244474,0,0,0
2009:Q3,45834,-3756,-32741,ND,ND,-3363,-12032,8669,-157,-34,3481,112,7152,23698,-192,51634,-19166,1093,3,7353,3,-69977,ND,ND,-13900,-5683,-8217,24,24,0,806,844,38,149,6307,7580,14158,7083,42043,5167,-1939,-18917,65000,0,0,0
2009:Q4,-352142,8819,-119731,ND,ND,-17546,63846,-81392,-66,-51,-1862,-112,1353,-148084,-68,-74794,-284592,-1145,2,-2696,2,-66896,ND,ND,-6548,-73,-6475,36,69,-33,-1606,-1392,39,-257,-15856,6333,5750,-10217,-163274,8661,-5439,-40306,-67550,0,0,0
2010:Q1,339270,-19966,25311,ND,ND,26850,-64252,91102,0,-160,-3371,180,-1567,219027,449,92517,290933,1144,2,1762,2,-10942,ND,ND,5474,1925,3549,-50,-50,0,3741,1307,-59,-91,-41594,-1189,47283,24369,224949,4199,1,54995,48337,0,0,0
2010:Q2,79177,9457,-36238,ND,ND,22989,1728,21261,0,177,716,-38,5475,385,262,75992,65774,225,1,-6473,1,-836,ND,ND,8305,-2507,10812,29,29,0,-2219,-321,-59,-10,24763,-10846,-12629,-8984,84236,7345,1,-25739,13403,0,0,0
2010:Q3,29860,-3413,11558,ND,ND,13053,-16197,29250,0,-121,1155,43,7652,-57559,1060,56432,72749,2326,3,6516,3,8914,ND,ND,20898,-469,21367,-72,-72,0,-194,33,-59,-42,30910,4400,-39,5180,-74424,9329,1,64247,-42889,0,0,0
2010:Q4,-27012,-4107,-48736,ND,ND,-8078,2984,-11062,0,927,-728,-133,18345,34016,-1529,-16989,-67146,-3788,3,347,3,3606,ND,ND,-14412,-788,-13624,-104,-104,0,-2086,96,-59,401,-14656,-10455,-13927,693,8680,-19362,-282,-1151,40134,0,0,0
2011:Q1,90010,2468,-39783,ND,ND,2420,5896,-3476,0,1838,2571,-27,40426,80880,323,-1106,52908,1170,4,-6201,4,-44883,ND,ND,1781,1483,298,-2,-2,0,-697,-3368,9,556,-31472,4465,6268,4956,59583,8951,1,56739,37102,0,0,0
2011:Q2,62482,8138,-16272,ND,ND,-9605,-6222,-3383,0,56,-245,-25,26292,-9650,195,63598,18537,-11,7,-5384,7,2116,ND,ND,145,17,128,18845,18845,0,-402,308,9,304,7711,-16539,-41159,-25940,17467,3039,1,32074,43945,0,0,0
2011:Q3,130399,13814,-4772,ND,ND,54598,-2329,56927,0,-113,-1022,0,23753,27548,-125,16718,146076,-970,6,-1783,6,27522,ND,ND,33668,727,32941,-7936,-7936,0,-192,357,9,-463,32759,-29048,-843,1070,144297,-9069,13096,-55339,-15677,0,0,0
2011:Q4,-2089,15777,-20711,ND,ND,6977,-7242,14219,0,-110,596,-800,7250,-28320,28,17224,-18501,683,4,6449,4,-9796,ND,ND,-3924,-755,-3169,4984,4984,0,-109,-2615,9,-484,-10426,8336,-3212,-14802,-66778,-2241,1468,59148,16412,0,0,0
2012:Q1,70447,-3229,-23160,ND,ND,22331,7758,14573,0,-73,2100,-400,43471,31855,-78,-2370,-41259,3393,1,-3411,1,-13409,ND,ND,32321,3262,29059,4966,4916,50,-233,2900,-79,70,40147,14783,-5106,6184,-33005,-50508,-2457,-31633,111706,0,0,0
2012:Q2,80380,-11193,20760,70,20690,1918,-7112,9030,0,-1156,747,153,20272,35103,-86,13862,84509,-97,1,-1465,1,15243,6516,8727,20781,-2352,23133,-7919,-7869,-50,-647,215,-78,-44,16043,1977,31722,-251,25707,31,2814,-19775,-4129,0,0,0
2012:Q3,43115,7265,-18360,5900,-24260,-13734,-732,-13002,0,-91,1582,-153,40001,21223,119,5263,115978,-5541,0,6022,0,40028,89,39939,9573,-435,10008,-4360,-4435,75,89,508,-79,149,-25156,3145,36067,4254,32691,160,-1146,23828,-72863,0,0,0
2012:Q4,51686,14445,-32030,-7192,-24838,10107,-2559,12666,0,294,-2069,0,-1297,42988,-5,19253,55502,-2388,-1,-4430,-1,18220,4199,14021,-4513,-1255,-3258,1077,1077,0,7,-1312,-78,75,29927,-8789,-24115,-7316,29722,618,1136,20346,-3816,0,0,0
