1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1168558,22872,119193,74898,4805,0,0,57870,90,42330,518,8645,6287,94470,64741,21258,8471,489,184698,12078,329520,3482,57777,118836,52363,22101,13106,1139546,661298,0,4553,2813,229803,269,166727,245,22770,39792,204542,27298,69321,82573,25350,548,6142,46245,20537,146115,478248,147629,2112,328507
1952:Q1,1186985,23428,120485,76296,4799,0,80,59886,138,42706,491,10417,6134,94039,64773,21579,7687,503,186382,12442,332599,3612,58445,123170,54793,22550,13476,1152005,666801,0,4575,2777,231785,328,165360,208,25016,40873,205496,27071,69415,84413,24597,560,6157,44885,18812,151754,485204,151463,2156,331585
1952:Q2,1203516,23533,119922,78592,4741,0,167,61447,432,41669,563,12428,6355,95254,64923,21903,8428,527,192554,13002,333521,3696,59153,127384,53757,22479,13787,1172375,680052,0,4598,2728,235211,304,165031,53,27480,42343,210722,26965,70096,86783,26878,575,6177,42888,16610,160543,492323,157607,2211,332505
1952:Q3,1208931,23526,122743,80122,4687,0,679,63719,411,43255,626,13297,6130,96089,65283,22210,8596,538,192052,13289,333842,3837,59892,131502,58238,9830,14346,1187728,695747,0,4625,2680,240775,346,167863,401,28695,43470,215433,27386,70872,89210,27965,584,6185,45852,17238,162375,491981,156907,2249,332825
1952:Q4,1212524,23252,124341,82530,4656,0,247,65075,195,44401,601,13881,5997,97981,65669,22591,9721,555,181107,13706,331679,3932,60665,135627,58154,12707,16310,1182268,702685,0,4656,2656,246730,331,171619,626,29657,44497,222026,28340,71634,91530,30522,596,6185,48251,17381,154204,479583,146628,2294,330661
1953:Q1,1218438,22649,122801,84448,4656,0,256,65981,212,44425,644,14854,5846,98162,66202,23131,8829,570,177850,14065,330124,3867,61439,139907,60465,14577,16622,1175823,701305,0,4670,2618,245767,370,168191,728,31221,45257,225253,28332,72371,93649,30901,614,6193,47682,16007,152501,474518,143052,2362,329104
1953:Q2,1217547,22521,119694,87159,4511,0,0,68273,194,45496,650,15820,6113,99364,66491,23568,9305,586,168575,14472,328757,3778,62199,144271,59540,16949,16898,1165297,701362,0,4698,2567,247810,297,168581,283,32379,46270,230461,28275,72997,96517,32672,620,6211,48039,15201,145754,463935,133816,2382,327737
1953:Q3,1222372,22220,124615,88695,4481,0,815,70642,214,47211,703,16766,5748,100125,67097,23811,9217,599,163841,14825,329707,3753,62937,148566,61159,7862,17530,1175406,715001,0,4716,2509,256385,347,175018,425,33795,46800,233992,28477,73143,99018,33354,637,6236,49294,17399,143833,460405,129274,2447,328684
1953:Q4,1246825,22091,124221,91085,4409,0,175,71281,204,47249,670,17171,5987,101597,67423,24067,10107,611,177571,15124,331240,4146,63647,152853,57671,10462,18642,1217924,741121,0,4738,2465,262493,402,176814,2253,35012,48012,236439,27329,73136,101360,34614,651,6259,48763,17986,161327,476803,144082,2506,330215
1954:Q1,1263507,22035,122073,93465,4284,0,-216,70533,312,46064,705,17733,5719,100674,67536,24228,8910,623,188597,15408,331452,4512,64339,157092,59058,10699,18879,1238656,749405,0,4779,2415,260941,525,172200,2911,36516,48789,236695,27198,73432,103321,32744,665,6246,47800,14340,175524,489251,156255,2562,330434
1954:Q2,1286171,22027,123265,96499,4276,0,0,67067,338,42350,716,18041,5622,101298,67340,24566,9392,639,203774,15801,331341,4895,65018,161396,58627,11336,18911,1276345,770818,0,4803,2355,261991,484,171915,2002,37866,49724,240909,26719,73818,106366,34006,686,6187,48012,11324,194551,505527,172550,2634,330343
1954:Q3,1314447,21863,126042,98272,4186,0,1006,67744,300,42502,758,18711,5473,101796,67510,25016,9270,648,221809,16001,332710,5469,65687,165597,61375,4957,19285,1332470,806067,0,4815,2304,266541,584,175045,537,39376,50999,245076,26883,74194,109757,34242,702,6087,50250,13163,217130,526402,191985,2707,331710
1954:Q4,1334983,21793,128537,101071,4150,0,172,68786,291,43433,807,19403,4852,103852,67936,25463,10453,663,222894,16373,334920,6110,66349,169935,61403,7748,20226,1361107,829743,0,4829,2239,273611,531,178532,2338,40663,51547,251897,27097,75257,113580,35963,701,5960,52964,14767,222776,531363,194840,2698,333825
1955:Q1,1357865,21763,126734,103100,4157,0,402,70960,281,44996,928,20005,4750,103532,68345,25888,9299,675,229229,16656,336900,6525,67031,174406,64619,10637,20539,1380611,839910,0,4841,2200,271278,500,173973,2595,42155,52055,256352,27574,75820,117256,35702,720,5861,53196,12936,232526,540701,202122,2776,335803
1955:Q2,1395445,21730,127232,105740,4149,0,0,72108,352,45092,1089,21023,4552,104672,68402,26293,9977,693,249979,17144,337510,7186,67740,179126,65670,13903,20863,1441779,876973,0,4846,2107,270973,380,172997,1550,43267,52779,266542,29544,76587,121656,38755,744,5809,55339,12026,258587,564806,225533,2862,336411
1955:Q3,1425606,21745,129657,107052,4064,0,1136,76363,245,48172,1233,22032,4681,105137,68534,26557,10046,707,264068,17493,340678,7257,68498,183738,70190,6437,21386,1497276,913775,0,4850,1997,274391,371,175191,908,44668,53253,274326,30930,76957,125896,40543,762,5810,60053,15248,276337,583501,240995,2931,339575
1955:Q4,1451629,21753,130692,109496,4092,0,721,80496,217,50831,1601,22872,4975,106722,68444,27035,11243,728,265346,17992,344912,7839,69254,188255,71053,9614,22664,1532389,941407,0,4852,1984,280423,362,178189,1611,45697,54564,283419,33198,77449,129823,42949,768,5795,64079,18430,281656,590982,244222,2957,343803
1956:Q1,1485323,21765,129507,111805,4050,0,563,80725,171,50153,1676,23558,5167,106255,68638,27530,10087,750,281568,18536,350720,8555,70104,193193,73141,10818,23268,1574337,959344,0,4859,1893,277621,362,173724,1617,46932,54986,287872,34309,78054,133258,42251,792,5853,63450,15133,301871,614993,262345,3042,349606
1956:Q2,1492863,21868,128958,114765,4111,0,0,79223,325,47061,1950,24272,5615,107280,68659,28029,10592,775,272443,19186,355471,8613,71013,198064,74724,13020,23349,1567578,957400,0,4876,1858,273741,289,168502,1151,47853,55946,296233,36212,78415,137325,44281,812,5943,65652,12175,296110,610178,252704,3120,354354
1956:Q3,1502212,22032,130063,116193,4284,0,1878,81187,371,47748,2181,25102,5785,107646,68641,28348,10657,809,267405,19990,359096,8506,71904,202861,78780,5843,23735,1575575,967616,0,4890,1792,276845,401,169476,917,49038,57013,301620,36770,78768,141104,44978,828,6029,68133,14259,293220,607959,246833,3189,357937
1956:Q4,1544501,22058,131593,118960,4982,0,1292,83060,305,48796,2126,25722,6111,109417,68963,28746,11708,846,287754,20894,361991,9046,72724,207775,78337,8655,25117,1641044,1008603,0,4910,1740,282273,378,172637,1356,49862,58040,308438,38207,79204,144447,46580,843,6098,70286,16754,317261,632441,268373,3242,360826
1957:Q1,1552061,22406,131212,122386,5203,0,1118,85357,355,49459,2268,26421,6854,108017,68332,29386,10299,870,274211,21482,365796,9106,73468,215364,80493,10121,25451,1622095,1000250,0,4929,1693,283653,353,171487,1378,50925,59510,310513,38598,79383,147290,45242,852,6144,69717,14218,308530,621846,254023,3276,364547
1957:Q2,1583608,22732,129147,126034,5439,0,0,84516,349,47836,2601,26689,7041,108527,67622,29947,10958,917,290571,22680,368521,9687,74135,223253,80034,11920,25495,1669282,1025615,0,4951,1592,280114,320,166057,926,51836,60975,317794,40679,79646,150246,47223,863,6166,69546,11957,332632,643666,273076,3323,367267
1957:Q3,1575798,22759,131933,127954,5686,0,2242,87492,345,49638,2607,27550,7352,108737,67303,30595,10839,936,264952,23106,372282,9001,74784,230809,81801,5227,26098,1637615,1017869,0,4970,1490,287417,364,170669,704,53192,62488,321213,40193,79447,153602,47971,865,6178,70913,13511,311312,619746,245392,3332,371022
1957:Q4,1593853,22857,130920,131251,5609,0,1820,89026,435,50480,3015,27920,7176,110402,67427,31203,11772,955,266362,23569,374447,8714,75462,238362,79313,7776,27008,1659235,1036856,0,4990,1413,292385,422,171843,1679,54369,64072,325479,40271,79350,156641,49217,898,6185,73210,14621,317675,622379,245747,3453,373179
1958:Q1,1625139,22487,129438,135958,5811,0,1758,87975,746,48323,2658,28265,7983,109693,67761,31794,10138,965,280533,23878,380457,9463,76183,244119,81398,7951,27073,1695338,1051314,0,5026,1388,294817,716,170060,2275,55829,65937,324985,38179,80695,159336,46775,916,6192,70549,11495,335946,644024,261319,3522,379183
1958:Q2,1655921,21412,132596,141323,5919,0,0,84211,455,46731,2020,27704,7301,111133,67786,32695,10652,990,294974,24479,383782,10610,76958,249988,81346,8817,27383,1743689,1079013,0,5047,1288,299356,791,173354,1222,56972,67017,330000,38118,81269,162909,47704,936,6203,72211,8991,354981,664676,278565,3599,382512
1958:Q3,1701963,20929,132802,143743,6056,0,2093,83741,224,45265,1996,28496,7760,112251,68042,33434,10775,1005,323831,24832,386811,11791,77752,255963,86488,4083,27791,1826760,1127012,0,5063,1287,302976,795,173914,1291,58513,68463,334440,38104,81180,167216,47940,955,6219,76053,10322,389697,699748,310541,3671,385536
1958:Q4,1739457,20582,136377,147082,5762,0,1417,87967,210,48489,2033,29311,7924,114682,68315,34444,11923,1028,333702,25415,388546,13242,78535,261909,86439,7815,28957,1883546,1167932,0,5078,1220,312886,658,181096,1598,59819,69715,343673,40177,81933,172073,49490,957,6241,79577,12026,406275,715614,324670,3678,387266
1959:Q1,1759420,20486,133575,149541,5612,0,204,92541,502,51473,2181,30163,8222,114723,68484,35359,10880,1049,339992,25930,389266,14132,79331,266993,88841,7386,29818,1908116,1184346,0,5090,1186,314788,652,181118,1314,61397,70307,347604,39592,82836,176185,48991,983,6268,80573,11682,416172,723770,332012,3781,387977
1959:Q2,1789552,19746,134334,153359,5994,0,0,95089,622,52527,3002,30824,8114,116289,68268,36447,11574,1080,351618,26670,388848,14973,80133,272376,90504,8139,30400,1954970,1217063,0,5123,1127,317354,458,182046,1026,62655,71169,359397,42409,83788,181322,51878,1015,6299,82540,12591,431617,737907,346451,3905,387551
1959:Q3,1802215,19579,137980,155031,5891,0,998,100723,240,56479,3604,32251,8149,116416,67795,37145,11476,1099,345702,27150,388558,14747,80994,277689,92582,6228,30849,1961162,1230036,0,5153,1075,324345,527,186548,939,64594,71737,367352,43613,83371,186450,53918,1039,6327,83462,13275,428008,731126,339875,3999,387252
1959:Q4,1838506,19507,138071,157489,5634,0,576,105819,742,59975,4015,32870,8217,117151,65791,37817,13543,1118,364772,27634,389934,15818,81956,282854,91217,7132,31823,2027721,1272929,0,5155,1031,329867,315,190148,949,65661,72794,377218,45206,83671,191128,57213,1046,6350,85815,14150,452297,754792,362157,4019,388616
1960:Q1,1832049,19457,133600,159418,5593,0,154,110552,740,62751,3413,34109,9539,115052,65535,38335,11182,1140,344367,28172,392887,15312,82895,288834,95486,5770,33359,1991556,1256596,0,5184,975,328320,427,186451,978,67248,73216,380841,45349,84786,194949,55757,1065,6371,87271,12817,433752,734960,339310,4093,391557
1960:Q2,1852441,19363,135530,163281,5647,0,0,109853,757,60271,3890,34925,10010,116612,65375,39191,12046,1153,350355,28488,394029,16097,83772,295418,95268,4516,33059,2023041,1278703,0,5198,917,328285,547,184325,953,68353,74107,391684,47278,86489,199295,58622,1075,6389,87983,11903,445268,744338,347588,4139,392611
1960:Q3,1848519,18725,139161,166943,5673,0,155,107949,648,58194,3281,35739,10087,117553,65829,40044,11680,1165,326084,28811,396996,15640,84539,301295,98438,5575,33816,1988407,1267363,0,5219,873,332217,782,186230,392,69924,74889,397152,46950,86509,204103,59590,1094,6406,89518,11795,423089,721044,321285,4202,395557
1960:Q4,1903701,17804,139445,172280,5588,0,-176,106765,788,55993,3236,36136,10612,120424,66618,40981,12825,1192,364813,29478,400078,17026,85184,307674,96869,6166,33091,2096195,1328255,0,5242,844,336994,769,188350,688,70971,76216,405766,48631,87478,208409,61248,1098,6426,90718,12560,468608,767939,365166,4220,398553
1961:Q1,1952290,17433,133215,178156,5611,0,92,105003,562,54829,2618,36355,10639,119418,66879,41979,10560,1222,403502,30171,402397,19440,85872,313878,98947,4233,33700,2190377,1374878,0,5253,803,336242,623,185688,934,72420,76577,408625,48407,88626,212253,59339,1113,6447,90378,10921,515095,815499,410353,4282,400864
1961:Q2,1976916,17603,134841,184513,5829,0,93,105067,613,53171,2586,37216,11481,121628,67349,42970,11309,1248,403359,30831,406058,20003,86665,320203,101283,3361,34331,2211946,1391507,0,5281,774,339156,726,185994,656,73250,78530,417581,49414,90414,217156,60597,1135,6469,91591,10584,518936,820440,411555,4366,404519
1961:Q3,2016246,17457,139747,187881,6217,0,587,104451,245,52999,3003,37178,11026,122871,67553,43931,11387,1278,412972,31568,411273,21007,87588,326199,105238,5610,34301,2261379,1423617,0,5406,743,346749,1017,191041,436,75018,79237,423826,49254,90699,222791,61082,1146,6493,93622,11557,534076,837761,423621,4411,409729
1961:Q4,2074141,16947,142254,192694,5952,0,3,106535,1089,53547,3395,37664,10840,125558,67846,44965,12747,1299,443622,32088,417501,22875,88631,332393,103454,7518,34817,2319144,1461371,0,5429,720,353255,1094,194206,995,76349,80611,435341,51036,91901,228969,63435,1125,6519,95425,13274,550283,857773,437674,4321,415778
1962:Q1,2079025,16643,137260,200976,5696,0,156,107015,562,54546,3377,37557,10973,125302,68365,45629,11308,1316,433425,32538,422446,23012,89663,335970,105359,6304,35944,2321430,1468426,0,5432,677,356201,1131,194302,1294,78037,81437,438740,50908,92492,233302,62038,1132,6548,94865,12916,551916,853004,427931,4359,420714
1962:Q2,1990941,16527,140088,208275,5640,0,277,105863,907,53651,3219,37132,10954,128332,69613,46293,12426,1342,329923,33183,425688,18339,90651,339111,106029,5529,36143,2245107,1490147,0,5442,648,358632,1092,194009,1347,79203,82981,451266,52705,93694,239432,65435,1151,6579,95661,13001,557767,754959,326582,4428,423949
1962:Q3,2034129,16082,141836,212711,5881,0,1137,106303,1079,54174,3307,37550,10193,129263,70018,46792,12453,1367,348575,33766,430549,18930,91563,342950,110294,6321,36601,2284877,1506237,0,5394,620,361122,1363,194901,748,80552,83558,460087,53636,94034,245791,66626,1163,6612,98788,13996,558455,778640,345363,4473,428804
1962:Q4,2141858,16057,146503,220547,5918,0,516,106412,1304,54163,3377,37357,10211,131343,70157,47481,13705,1392,431479,34401,434723,21077,92398,347129,108083,7686,36195,2390532,1528738,0,5411,601,368933,1198,199754,1538,81800,84643,473401,56249,95370,252438,69344,1205,6644,99857,14355,558331,861794,424314,4632,432848
1963:Q1,2171494,15946,141311,228678,6030,0,65,107435,1092,55644,2519,37524,10656,130789,70667,47806,12316,1427,455928,35258,436690,22343,93355,353307,110935,6321,25676,2426565,1539096,0,5422,575,371335,1214,199827,1739,82976,85579,478944,55534,97032,257443,68935,1218,6677,100006,13596,561322,887470,447981,4681,434808
1963:Q2,2218792,15830,145655,235910,6530,0,63,106497,1008,54260,2998,37842,10389,133770,72233,48280,13257,1460,477618,36117,436814,23499,94378,359984,112492,5972,26202,2469144,1560405,0,5431,551,372989,987,199094,1489,84724,86695,494631,57746,100022,264646,72217,1246,6711,101293,13743,563809,908739,469026,4789,434924
1963:Q3,2259400,15634,145840,240571,6424,0,1081,106862,445,55565,2890,38085,9877,134377,72406,48491,13480,1486,497749,36697,436792,24313,95473,366147,115717,7559,26678,2505986,1578526,0,5432,523,374504,1111,199333,936,85899,87225,504671,57723,100522,272064,74362,1271,6744,103789,14713,566879,927461,487677,4888,434896
1963:Q4,2260636,15596,150559,248976,6172,0,-639,109226,969,55860,4039,38215,10143,136959,73254,48807,14898,1519,470253,37562,440374,25022,96635,372399,114839,9319,25865,2516977,1607953,0,5422,508,380000,968,202211,1367,87040,88414,520618,61148,102344,279256,77870,1243,6775,107614,15744,570029,909024,465779,4781,438464
1964:Q1,2307682,15550,145011,256090,6047,0,-655,111960,1341,58450,3628,38580,9961,137905,74908,49232,13765,1548,499839,38273,441259,26647,97719,379682,116535,7914,26358,2555719,1616483,0,5423,491,381972,948,202520,1236,88177,89091,527172,60508,103746,284877,78041,1260,6803,105281,15109,572972,939236,495027,4852,439357
1964:Q2,2353300,15623,149349,263377,6003,0,260,111725,1058,57511,3954,39693,9509,138571,74614,49520,14437,1586,515490,39188,446620,27381,98806,387400,118230,6920,26771,2599207,1638510,0,5422,473,383368,889,200805,1364,89948,90362,543543,63447,106081,292203,81812,1283,6827,106843,14675,576076,960697,511094,4938,444665
1964:Q3,2406012,15643,153680,269003,6075,0,593,112245,1729,56814,3920,40154,9628,141060,76405,50037,14618,1620,532743,40064,450966,28761,99913,394671,124154,7753,27069,2645167,1662199,0,5397,455,388577,1081,203501,1177,91760,91058,554122,63687,106520,299773,84142,1295,6851,110357,15338,579807,982968,528953,4981,449034
1964:Q4,2449100,15471,154535,277796,6180,0,-1233,113230,1694,56300,4189,40757,10290,143661,77022,50579,16060,1658,544543,40974,460143,28700,101051,401876,124302,9023,27189,2703624,1694588,0,5249,436,395682,1125,206767,2222,93160,92408,569573,67875,107312,307034,87352,1282,6879,115609,16211,583667,1009035,545955,4931,458149
1965:Q1,2490042,14638,150005,287205,5834,0,-323,114906,995,58802,4115,40881,10113,143809,78233,50674,14902,1718,558249,42446,465186,30021,102149,410278,127718,7843,28360,2738610,1710524,0,5234,411,397332,847,206174,2308,94661,93342,579251,69738,109137,312731,87645,1319,6910,116450,15891,587726,1028085,559834,5069,463182
1965:Q2,2498063,14308,154025,294492,6105,0,471,113566,678,56985,4780,41454,9669,145739,79124,50914,15701,1773,534934,43805,470089,29580,103382,418760,130860,6547,29627,2748924,1736333,0,5256,388,397464,727,202972,1966,96858,94941,597188,73358,111577,320010,92243,1320,6944,119293,15316,593165,1012591,539451,5073,468067
1965:Q3,2578989,14184,154536,301133,5743,0,1355,115266,893,56869,5249,42290,9965,146561,79945,50901,15715,1809,581546,44718,473963,32359,104656,427481,137067,7604,29008,2823048,1757983,0,5316,371,400185,926,201452,2268,98905,96634,607962,74390,111786,327395,94391,1352,6979,123393,16329,596097,1065064,587928,5206,471930
1965:Q4,2672030,14065,159697,309943,5735,0,276,116030,1370,56846,5515,43298,9001,149896,81364,51266,17266,2074,616587,51270,487082,34740,105876,435926,138547,9749,34538,2910255,1796147,0,5419,352,408149,797,207025,2670,100397,97260,625927,79894,114034,334510,97489,1368,7013,129321,18294,600304,1114107,623812,5256,485039
1966:Q1,2681500,13738,153308,316489,5903,0,527,123783,2375,61580,6224,43875,9729,149566,82173,51520,15873,2112,597014,52197,489857,35677,107049,445817,142719,8998,36746,2915756,1816378,0,5580,332,412955,820,206960,3110,101842,100223,634963,80333,116275,341259,97096,1394,7042,128729,18132,607252,1099377,606267,5368,487742
1966:Q2,2697951,13529,159623,322143,5706,0,800,123753,2473,57299,9297,44957,9727,152889,83655,52613,16621,2169,571516,53625,503895,34917,108190,456039,146948,5270,36939,2932895,1844678,0,5822,216,412832,861,200411,4629,104141,102790,655642,87497,119516,348424,100205,1415,7070,130922,15594,615166,1088217,581050,5447,501720
1966:Q3,2668031,13356,156003,324319,5549,0,2763,128456,1952,59568,9985,45676,11275,154604,84907,53520,16177,2214,513005,54715,509935,31694,109347,465257,153648,5338,37828,2908851,1872481,0,5930,164,418716,1466,202581,3922,105524,105223,662348,88116,119171,354072,100989,1409,7096,135039,16562,625217,1036369,523227,5418,507724
1966:Q4,2739643,13235,160998,329420,5382,0,2361,130534,2852,59053,10593,46915,11121,157565,85670,54510,17385,2207,548563,54524,520649,34275,110568,475695,153374,6931,33364,2977696,1905602,0,6161,135,427892,1622,208138,4025,106633,107474,674841,91389,121493,358537,103422,1474,7120,139994,17414,630571,1072094,547891,5669,518534
1967:Q1,2839428,13184,158320,342205,5188,0,745,128810,3495,57587,10473,45165,12090,158612,87515,55049,16048,2258,617941,55795,524972,38695,111833,487191,154890,5906,32883,3069656,1915464,0,6348,99,436258,2677,209601,5489,107874,110617,677374,91134,123030,361862,101348,1515,7144,136286,16730,633710,1154192,625556,5826,522810
1967:Q2,2870076,13169,162252,352967,5022,0,1036,121591,3418,51940,10265,43788,12180,160901,88721,55557,16623,2290,623421,56591,530525,39807,113070,498505,157232,-1638,33334,3108472,1932839,0,6456,83,434753,3242,199980,7100,110195,114236,692168,95600,124990,367447,104131,1560,7168,138511,11296,640844,1175632,641312,6000,528320
1967:Q3,2961012,13077,167077,360677,4965,0,2164,125291,3916,53623,9960,44495,13297,163131,90381,56428,16322,2336,660489,57717,535954,42587,114312,509672,162477,5729,33357,3182824,1964471,0,6604,44,449537,3264,208290,6919,112319,118745,699658,93235,126114,374765,105544,1589,7188,142188,11866,645797,1218354,678588,6113,533653
1967:Q4,3039014,12065,175844,367985,5112,0,2099,130161,3952,56177,11288,43633,15111,166721,91629,57539,17553,2452,682587,60585,545559,43608,115533,520252,164281,7818,36354,3285126,2023507,0,6628,25,464038,3034,216899,8180,113793,122132,726874,107330,128922,382055,108567,1611,7200,148792,13225,655114,1261619,712221,6199,543199
1968:Q1,3031136,10703,168975,377005,5577,0,3345,136056,3819,61494,11947,43512,15284,167311,92320,58775,16216,2494,633130,61653,558693,41215,116735,533152,166109,10425,38558,3259041,2043553,0,6799,0,474145,3482,222114,8537,115278,124734,724696,98934,130469,388021,107272,1685,7202,145931,17667,665428,1215488,652734,6480,556274
1968:Q2,3163342,10681,173046,381610,6899,0,2507,137638,4603,58633,13944,43951,16507,171698,95234,59747,16717,2545,719045,62888,567010,46731,117919,548654,171706,6478,36287,3374527,2072329,0,6708,0,475737,3400,217294,9458,117323,128262,747212,104935,135455,395418,111404,1714,7194,151078,13031,669654,1302198,731114,6588,564496
1968:Q3,3225200,10755,178569,390729,6980,0,3867,138630,5071,59449,14383,42971,16756,175072,97730,61226,16116,2607,728181,64425,573937,49116,119108,562373,179454,6834,34564,3420119,2113343,0,6741,0,490276,4928,223989,10477,119319,131563,757718,104700,135771,403087,114160,1738,7186,158254,12930,678501,1306775,728536,6686,571553
1968:Q4,3375868,10892,184574,400846,6558,0,1612,139702,5099,59002,15112,42443,18046,178137,98369,62120,17648,2752,815603,68028,590623,50374,120321,576542,182961,8650,37693,3601853,2163673,0,6795,0,498425,4249,225679,11340,122132,135025,781993,112560,138728,411381,119324,1750,7186,165579,14330,687615,1438180,843150,6734,588296
1969:Q1,3374162,10836,176901,403637,6648,0,3843,153772,6207,67338,16059,45830,18338,172912,95831,60749,16332,2813,770738,69504,602105,49399,121558,591689,189090,10229,38489,3602976,2192862,0,6826,0,506249,4880,225552,11552,125803,138462,787052,112714,139387,416067,118884,1814,7197,166102,15517,702105,1410114,803399,6983,599732
1969:Q2,3373478,11153,183620,403851,7049,0,4924,151241,6806,59788,17664,47818,19165,176157,98348,61076,16733,2883,734087,71268,611142,47006,122811,607671,196129,3715,38772,3618275,2227960,0,6736,0,500655,4914,213596,11043,129343,141759,811825,119343,144583,424224,123675,1861,7217,172215,12220,715231,1390315,774485,7158,608672
